accession	plsdb_mpf_type	replicons	n_cds	dual_system	dual_system_both_tierA	family_call_mode	mpft_admitted	mpft_VirB1	mpft_VirB2	mpft_VirB3	mpft_VirB4	mpft_VirB4b	mpft_VirB5	mpft_VirB6	mpft_VirB7	mpft_VirB8	mpft_VirB9	mpft_VirB10	mpft_VirB11	mpft_VirD4	mpft_TraN	mpft_tier	mpft_core_completeness_ga	mpft_architecture	mpft_slot_ready__virb5_virb6	mpft_fused_virB3_virB4	mpft_virB7_status	mpft_n_gap_genes_le10kb	mpft_carries_novel84	mpff_admitted	mpff_TraU	mpff_TraH	mpff_TraF	mpff_TraC_F_IV	mpff_TraG_N	mpff_TrbI	mpff_P-loop_TraG	mpff_TraE	mpff_TrbC_Ftype	mpff_F_T4SS_TraN	mpff_TrwB_AAD_bind	mpff_TraV	mpff_TraG-D_C	mpff_tier	mpff_core_completeness_fspecific	mpff_layout	mpff_anchor_span_bp	mpff_slot_ready__traG	mpff_traN_present	mpff_slot_occupant
AM261282.1	MPF_T	IncP1	64	0	0	GA	1	16;15315;15944;+;24.1	4;4683;5147;+;65.0	5;5151;5462;+;47.0	6;5459;8017;+;98.2	6;5459;8017;+;122.1		14;12759;14675;+;155.8		7;8014;8787;+;145.4	8;8805;9698;+;185.7	10;10160;11563;+;222.0	3;3707;4669;+;134.7	44;40239;42143;-;521.1		A	7/7	canonical	0	0	unscoreable	5	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP011958.1	MPF_F	IncFIB(S);IncFII(S);IncFII(pAR0022)	131	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	112;84808;85800;+;366.7	121;91048;92430;+;392.4	118;89267;90016;+;231.0	109;81173;83821;+;314.1	122;92427;95249;+;394.4	101;77219;78640;+;91.5	109;81173;83821;+;97.8	99;75926;76492;+;185.6	114;86112;86750;+;70.6	116;87203;89029;+;271.0	125;96903;99137;+;374.0	104;79446;79961;+;96.7	125;96903;99137;+;72.0	A	9/9	contiguous	20977	1	1	95271..95759+;162;TraS;0
AP012552.1	MPF_T	-	30	0	0	GA	1	20;11942;12652;-;47.6	19;11640;11945;-;76.4	18;8889;11627;-;46.0	18;8889;11627;-;137.3	18;8889;11627;-;30.9	17;8160;8867;-;129.2	15;6862;7911;-;156.6		13;5918;6553;-;180.7	11;5035;5541;-;84.5					D	4/7	canonical	1	1	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP014566.1	MPF_F	IncFIB(AP001918);IncFII(S);IncFII(pAR0022)	162	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	137;108048;109040;+;366.7	146;114288;115670;+;392.4	143;112507;113256;+;231.0	134;104413;107061;+;314.1	147;115667;118489;+;394.4	126;100459;101880;+;91.5	134;104413;107061;+;97.8	124;99166;99732;+;188.1	139;109352;109990;+;70.6	141;110443;112269;+;271.0	150;120143;122305;+;374.1	129;102686;103201;+;96.7	150;120143;122305;+;72.1	A	9/9	contiguous	20977	1	1	118511..118999+;162;TraS;0
AP014581.1	-	-	216	0	0	GA	1	17;20326;20748;+;76.2			92;82389;84851;+;54.0	92;82389;84851;+;80.5		94;85639;86658;+;59.7		12;15448;16152;+;93.4	13;16155;17027;+;175.5	14;17030;18280;+;166.8	22;24946;27375;+;151.3	96;88037;89908;+;39.7		A	7/7	canonical	0	0	unscoreable	9	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP014659.1	MPF_T	-	225	0	0	GA	1		86;77837;78217;+;78.1	87;78210;78509;+;64.0	88;78519;79319;+;35.3	88;78519;79319;+;132.5		93;81425;82585;+;106.0		94;82628;83290;+;134.8	95;83287;84147;+;178.1	97;84614;85915;+;214.3	85;76879;77847;+;138.5	50;46133;47572;+;516.3		A	7/7	canonical	0	0	unscoreable	5	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP014686.1	MPF_T	-	226	0	0	GA	1		198;187215;187604;+;76.9	199;187597;187896;+;61.8	200;187906;190359;+;170.3	200;187906;190359;+;130.2				204;192532;193212;+;131.2	205;193616;194050;+;130.1	207;194530;195828;+;223.7	197;186257;187225;+;134.9	30;31588;33510;+;533.1		B	6/7	uncallable	0	0	unscoreable	13	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP014688.1	MPF_T	-	153	0	0	GA	1		20;18919;19299;+;78.1	21;19292;19591;+;64.0	22;19601;22042;+;160.0	22;19601;22042;+;134.3		25;23009;24169;+;106.2				133;123223;124053;-;178.0	19;17961;18929;+;138.5	145;130924;131694;-;317.2		C	5/7	canonical	0	0	unscoreable	13	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP014952.1	MPF_F	IncFIB(K)	237	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	65;49827;50816;+;366.6	75;56307;57677;+;383.8	71;54353;55105;+;233.2	61;45745;48384;+;258.5	78;59255;61924;+;302.4	53;40062;41486;+;89.2	61;45745;48384;+;87.8	51;38769;39335;+;169.3	66;50829;51467;+;66.9	67;51526;53481;+;260.1	81;63477;65786;+;393.1	54;41600;42184;+;54.4	81;63477;65786;+;66.6	A	9/9	contiguous	24708	1	1	61935..62468+;177;unnamed;0
AP014954.1	MPF_F	IncFII(p14)	94	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	68;54751;55743;+;372.3	79;61777;63147;+;380.8	76;60256;61008;+;222.2	65;51086;53725;+;254.8	80;63147;65990;+;348.4	57;46474;47895;+;86.6	65;51086;53725;+;88.2	55;45187;45753;+;157.8	69;55756;56403;+;68.8	71;56780;58735;+;253.1	83;67560;69854;+;391.4	59;48356;48940;+;55.9	83;67560;69854;+;66.6	A	9/9	contiguous	22373	1	1	65996..66511+;171;unnamed;0
AP017965.1	-	-	210	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	151;149858;150967;-;354.9	15;15763;16296;+;26.6		155;152741;155467;-;187.9	16;16300;19155;+;201.5	157;155789;157135;-;80.4	155;152741;155467;-;100.9	159;157870;158460;-;89.1	150;149244;149888;-;72.8	148;147503;148123;-;86.0	136;138538;140496;-;321.9		136;138538;140496;-;71.0	C	7/9	split_2	142107	1	1	19167..19361+;64;unnamed;0
AP017966.1	-	-	190	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	94;83852;84901;-;348.5	86;74694;76106;-;195.8	87;76103;76900;-;100.9	102;89160;91655;-;185.1	85;71859;74690;-;228.3	106;92632;93882;-;95.8	102;89160;91655;-;74.5	108;94574;95149;-;103.8	90;78989;79675;-;86.5	88;76909;77961;-;138.1	78;66853;67923;-;255.9		78;66853;67923;-;76.1	B	8/9	contiguous	27721	1	1	71677..71862-;61;unnamed;0
AP017969.1	-	-	84	0	0	GA	1		4;6466;6795;+;65.7	12;13169;13414;+;38.9	13;13425;15911;+;55.8	13;13425;15911;+;92.8		26;26936;28564;+;52.5		5;6809;7516;+;103.1	7;7917;8780;+;174.0	8;8792;9955;+;188.8	11;12234;13169;+;99.7	9;9957;11885;+;303.2		A	7/7	canonical	0	0	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP017970.1	-	-	71	0	0	GA	1		5;6593;6922;+;66.1	13;13292;13540;+;33.1	14;13561;16053;+;58.1	14;13561;16053;+;90.0		26;25055;26677;+;47.2		6;6936;7643;+;105.1	8;8044;8904;+;165.3	9;8915;10081;+;188.1	12;12357;13292;+;98.7	10;10083;12011;+;303.7		A	7/7	canonical	0	0	unscoreable	13	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP018566.2	MPF_T	IncFII(pSE11);IncN	85	0	0	GA	1	12;7560;8294;+;32.5	14;8594;8887;+;28.7	15;8937;9254;+;63.3	16;9254;11854;+;111.8	16;9254;11854;+;76.8	17;11872;12585;+;97.1	19;12836;13876;+;153.6		20;14095;14793;+;131.9	21;14804;15688;+;159.0	22;15688;16848;+;154.9	23;16890;17885;+;81.2	32;27891;29420;-;38.5		A	7/7	canonical	1	0	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP018568.2	MPF_F	IncFII(pHN7A8);IncN	104	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	78;62194;63186;+;369.5	91;70019;71392;+;376.8	86;67710;68453;+;234.4	75;58558;61185;+;301.8	92;71389;74205;+;376.7	70;55076;56503;+;94.1	75;58558;61185;+;101.8	68;53795;54361;+;183.8	81;64132;64770;+;70.4	84;65583;67433;+;265.0	96;76506;78740;+;391.7	74;57527;58042;+;78.0	96;76506;78740;+;70.3	A	9/9	contiguous	22711	1	1	74238..74759+;173;unnamed;0
AP018570.2	-	pKPC-CAV1321	368	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	129;97662;98729;+;276.8	149;114643;116085;+;260.7	148;113546;114646;+;198.4	125;93068;95554;+;223.8	150;116100;119618;+;240.0	121;88443;89840;+;109.8	125;93068;95554;+;120.8	119;86534;87160;+;87.1	128;96352;97665;+;41.0	152;120054;122711;+;136.9	113;82010;83986;+;22.7	122;89837;90403;+;71.6	113;82010;83986;+;33.5	A	9/9	contiguous	38044	0	1	
AP018571.2	MPF_T	IncX3	67	0	0	GA	1	40;31558;32202;+;46.4	41;32186;32476;+;73.1	42;32501;35254;+;47.0	42;32501;35254;+;142.4	42;32501;35254;+;73.3	43;35264;36034;+;60.1	45;36313;37368;+;133.2		46;37563;38291;+;119.4	47;38297;39226;+;138.8	48;39223;40437;+;128.3	50;40633;41667;+;65.7	52;42256;43497;+;377.1		A	7/7	canonical	1	1	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP018581.2	-	IncFII(Yp);IncFII(pAR0022)	87	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	13;14659;15654;-;369.5			18;17347;19962;-;236.0		22;21277;22635;-;94.4	18;17347;19962;-;120.2	24;23388;23957;-;107.8	12;14014;14640;-;65.3		6;8238;10427;-;366.9	19;19965;20552;-;52.5	6;8238;10427;-;62.7	D	5/9	contiguous	15150	0	0	
AP018705.1	-	-	49	0	0	GA	1	38;33658;34401;-;47.4	36;30856;31170;-;76.7	35;30525;30842;-;87.1	34;27993;30515;-;212.3	34;27993;30515;-;101.2	33;27219;27932;-;224.9	31;25878;26954;-;141.9		29;24553;25278;-;189.7	28;23678;24556;-;196.0	27;22524;23678;-;199.3	26;21458;22540;-;91.7	24;18723;21239;-;330.2		A	7/7	canonical	1	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP018706.1	-	-	48	0	0	GA	1	38;34176;34919;-;47.3	36;31374;31688;-;76.0	35;31043;31360;-;87.1	34;28511;31033;-;211.9	34;28511;31033;-;101.2	33;27737;28450;-;223.4	31;26396;27472;-;141.9		29;25070;25795;-;189.7	28;24195;25073;-;196.0	27;23041;24195;-;199.3	26;21975;23057;-;91.7	24;19243;21756;-;330.4		A	7/7	canonical	1	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP018707.1	MPF_T	-	53	0	0	GA	1	40;34835;35599;-;44.6	38;31995;32300;-;77.7	37;31656;31979;-;84.6	36;29112;31646;-;207.9	36;29112;31646;-;102.7	35;28388;29107;-;231.8	33;26869;27954;-;165.9		32;25825;26556;-;198.9	31;24950;25828;-;202.0	30;23817;24953;-;198.2	29;22769;23839;-;101.2	28;19953;22547;-;330.4		A	7/7	canonical	1	0	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP018708.1	MPF_T	-	53	0	0	GA	1	40;34919;35683;-;44.6	38;32079;32384;-;77.7	37;31740;32063;-;84.6	36;29196;31730;-;207.9	36;29196;31730;-;102.7	35;28472;29191;-;231.8	33;26953;28038;-;165.9		32;25909;26640;-;198.9	31;25034;25912;-;202.0	30;23901;25037;-;198.2	29;22853;23923;-;101.2	28;20037;22631;-;330.4		A	7/7	canonical	1	0	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP018709.1	MPF_T	IncP1	56	0	0	GA	1	41;37347;37988;-;23.4	52;47856;48320;-;63.6	51;47541;47852;-;49.8	50;44986;47544;-;91.0	50;44986;47544;-;112.1		43;38604;40340;-;141.9		49;44207;44989;-;144.6	48;43290;44189;-;185.3	46;41370;42791;-;223.1	53;48337;49299;-;127.4	21;16202;18115;+;525.5		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP018710.1	-	-	39	0	0	GA	1	13;11793;12689;+;45.2	36;33468;33959;-;68.5	35;33154;33468;-;51.1	34;30633;33140;-;96.9	34;30633;33140;-;113.0		31;27950;29668;-;86.9		29;26853;27551;-;122.8	28;25915;26853;-;163.0	26;23995;25458;-;206.3	37;33971;34954;-;135.2	11;9275;11233;+;355.7		A	7/7	canonical	0	0	unscoreable	5	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP019385.1	MPF_F	IncHI2;IncHI2A	337	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	31;33306;34364;+;276.9	194;174776;176191;-;194.1	195;176181;177227;-;173.7	11;8955;11636;+;168.0	193;170817;174767;-;101.6	7;5270;6625;+;80.7	11;8955;11636;+;72.2	4;2758;3546;+;74.8	29;31653;33164;+;62.7	32;34383;37571;+;58.3	201;184266;186350;+;56.7	10;7996;8946;+;46.4	201;184266;186350;+;38.8	A	9/9	split_3	181508	0	1	
AP019386.1	MPF_F	IncHI2;IncHI2A	360	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	29;32275;33333;+;276.9	224;200521;201936;-;194.1	225;201926;202972;-;173.7	11;8955;11636;+;168.0	223;196562;200512;-;101.6	7;5270;6625;+;80.7	11;8955;11636;+;70.8	4;2758;3546;+;74.8	27;30622;32133;+;62.7	30;33352;36540;+;58.3	231;210013;212097;+;56.7	10;7996;8946;+;46.4	231;210013;212097;+;38.8	A	9/9	split_3	207255	0	1	
AP019515.1	-	-	487	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1		49;26111;26446;-;58.8	50;26388;26936;-;43.6	395;225809;226090;-;30.2	45;23581;23949;-;60.5	398;226820;227446;-;93.4	391;223913;224461;-;54.9	402;228972;229478;-;52.9	27;14208;14594;+;70.8	467;263436;264170;+;39.1		396;226319;226579;-;23.5		B	8/9	split_3	249228	0	1	
AP019683.1	MPF_T	-	95	0	0	GA	1	2;4664;5254;-;62.9	53;41304;41618;-;76.8	52;41035;41301;-;36.5	51;38398;40968;-;34.6	51;38398;40968;-;107.4		49;35559;37034;-;84.7		48;34842;35552;-;129.8	47;33824;34816;-;166.9	46;32465;33808;-;209.6	54;41697;42701;-;116.3	0;256;1401;-;183.6		A	7/7	canonical	0	0	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP019705.1	MPF_F	IncFII(pHN7A8)	86	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	62;46271;47263;+;369.5	73;53040;54413;+;386.6	67;50369;51112;+;234.4	59;42632;45262;+;307.3	74;54410;57229;+;385.4	50;37534;38985;+;93.9	59;42632;45262;+;97.0	48;36253;36819;+;179.9	64;47607;48245;+;70.7	65;48242;50092;+;266.4	78;59499;61778;+;380.7	54;40089;40604;+;79.4	78;59499;61778;+;66.4	A	9/9	contiguous	23246	1	1	57254..57745+;163;TraS;0
AP019756.1	MPF_T	-	63	0	0	GA	1	1;513;1181;-;30.8	0;226;510;-;59.2		62;58924;61344;-;151.4	62;58924;61344;-;79.5	61;58214;58927;-;125.2	59;56830;57996;-;136.9		57;55797;56504;-;125.5	56;55045;55800;-;126.5	55;53915;55048;-;155.0	54;52793;53911;-;95.4	53;50806;52800;-;340.6		A	7/7	canonical	1	0	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP020333.1	MPF_F	IncFIA(HI1);IncHI1A;IncHI1B(R27)	272	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	41;44958;46010;+;277.6	208;200871;202286;-;202.9	209;202276;203322;-;171.3	23;22880;25561;+;160.6	207;196873;200862;-;103.1	19;19174;20532;+;84.0	23;22880;25561;+;76.5	16;16722;17507;+;68.7	39;43305;44813;+;65.6	42;46033;49209;+;58.9	215;210257;212341;+;50.2	22;21921;22871;+;45.2	215;210257;212341;+;36.5	A	9/9	split_3	193535	0	1	
AP021970.1	MPF_F	Col(pHAD28);IncFIB(K);IncFII(pKP91)	278	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	49;43526;44515;+;363.3	60;50334;51701;+;382.2	56;48324;49076;+;233.7	45;39430;42069;+;259.4	61;51701;54550;+;342.9	35;34044;35468;+;89.2	45;39430;42069;+;88.3	33;32751;33317;+;167.9	51;44791;45438;+;65.9	52;45497;47452;+;259.5	65;56362;58644;+;393.3	37;36080;36664;+;53.8	65;56362;58644;+;65.9	A	9/9	contiguous	23611	1	1	54553..55083+;176;unnamed;0
AP022086.1	MPF_F	IncFIB(pNDM-Mar);IncHI1B(pNDM-MAR);IncQ1	307	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	229;208502;209536;-;282.2	102;74946;76355;+;190.4	101;73919;74956;+;175.9	243;222117;224834;-;148.5	103;76357;80265;+;122.1	247;226947;228317;-;65.8	243;222117;224834;-;85.2	250;229963;230823;-;79.0	232;211297;212643;-;70.1	228;205310;208492;-;58.9	94;64595;66721;-;57.8	244;224879;225616;-;56.9	94;64595;66721;-;41.0	A	9/9	split_2	165368	0	1	
AP022134.1	MPF_F	IncHI2;IncHI2A	300	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	282;250504;251562;-;276.9	228;196666;198081;-;194.1	229;198071;199117;-;173.7	0;101;2782;-;168.0	227;192707;196657;-;101.6	4;5112;6467;-;80.7	0;101;2782;-;72.2	7;8191;8979;-;74.8	284;251704;253215;-;62.7	281;247297;250485;-;54.5	235;206158;208242;+;56.7	1;2791;3741;-;46.4	235;206158;208242;+;38.8	A	9/9	split_3	251603	0	1	
AP022158.1	MPF_F	Col(pHAD28);IncFIB(K);IncFII(pKP91)	268	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	49;43526;44515;+;363.3	60;50334;51701;+;382.2	56;48324;49076;+;233.7	45;39430;42069;+;259.4	61;51701;54550;+;342.9	35;34044;35468;+;89.2	45;39430;42069;+;88.3	33;32751;33317;+;167.9	51;44791;45438;+;65.9	52;45497;47452;+;259.5	65;56362;58644;+;393.3	37;36080;36664;+;53.8	65;56362;58644;+;65.9	A	9/9	contiguous	23611	1	1	54553..55083+;176;unnamed;0
AP022275.1	MPF_T	-	128	0	0	GA	1	49;44599;45261;-;47.8	48;44290;44589;-;31.9	47;41530;44280;-;61.1	47;41530;44280;-;128.9	47;41530;44280;-;44.7	46;40795;41511;-;133.1	44;39483;40481;-;136.8		42;38585;39271;-;160.2	41;37699;38592;-;146.7	40;36506;37702;-;132.2	39;35453;36502;-;69.6	32;27164;29062;-;23.6		A	7/7	canonical	1	1	unscoreable	8	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
AP022276.1	MPF_F	IncFIB(pECLA);IncFII(pECLA)	143	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	30;18640;19638;+;364.2	39;24875;26239;+;359.5	33;22104;22886;+;214.9	22;12673;15282;+;214.8	40;26239;29637;+;306.6	14;8657;10060;+;90.2	22;12673;15282;+;103.5	12;7327;7908;+;100.9	31;19649;20275;+;64.3	32;20272;22107;+;222.5	44;31694;34249;+;360.8	20;11883;12425;+;46.9	44;31694;34249;+;72.7	A	9/9	contiguous	24367	1	1	29639..30328+;229;unnamed;0
