accession	n_anchors	n_same_strand	layout	anchor_span_bp	max_internal_gap_bp	order_canonical
CP031374.2	13	11	contiguous	26564	6736	traI traK traL traM traN traO traP traQ traU traW traY
CP031731.1	11	10	split_3	61371	27671	traM traN traO traP traQ traU traW traY trbA trbB
CP033728.1	12	10	contiguous	30180	11507	traI traK traM traN traO traP traQ traU traW traY
CP034202.2	13	11	split_2	65493	45666	traI traK traL traM traN traO traP traQ traU traW traY
CP034251.1	16	16	contiguous	29857	6662	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP034252.1	16	16	contiguous	30103	5702	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP034325.1	13	11	contiguous	26344	6744	traI traK traL traM traN traO traP traQ traU traW traY
CP034708.1	13	10	contiguous	32096	9284	traI traK traM traN traO traP traQ traU traW traY
CP035009.1	16	16	contiguous	29994	5604	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP035635.1	15	15	contiguous	25876	4927	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
CP036162.1	15	15	contiguous	23138	4592	traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP038508.1	16	16	split_2	316107	290858	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP040054.1	7	5	split_2	225963	188404	traM traN traU traW traY
CP040258.1	5	4	split_3	123009	83519	traM traN traU traW
CP041127.1	13	13	contiguous	20759	3652	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP042501.1	13	11	split_2	51647	33718	traI traK traL traM traN traO traP traQ traU traW traY
CP042618.1	16	16	contiguous	34137	9738	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP042951.1	16	16	contiguous	31959	8552	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP043738.1	16	16	split_2	109407	80418	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP043768.1	15	15	contiguous	25046	3919	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
CP044022.1	15	15	contiguous	32205	8802	traE traI traK traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP048042.1	13	11	split_2	82099	59474	traI traK traL traM traN traO traP traQ traU traW traY
CP048295.1	16	16	contiguous	30841	6440	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP048298.1	16	16	contiguous	28360	5166	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP048936.1	16	16	contiguous	31798	8388	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP049611.1	16	16	contiguous	28608	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP049876.1	16	16	split_2	83429	58487	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP049984.1	16	16	contiguous	28360	5166	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP050279.1	13	13	contiguous	19507	3728	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP050283.1	12	12	contiguous	20141	4119	traI traK traL traM traN traO traP traQ traU traW traY trbA
CP050288.1	13	13	split_2	74713	56383	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP050747.1	16	16	contiguous	29793	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP051408.1	16	16	split_2	103050	78656	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP051629.1	14	14	contiguous	23709	4803	traI traK traL traM traN traO traP traQ traT traU traW traY trbA trbB
CP051676.1	16	16	split_2	294107	267667	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052260.1	16	16	contiguous	31630	6994	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052382.1	16	16	contiguous	30039	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052472.1	13	11	split_2	50599	32544	traI traK traL traM traN traO traP traQ traU traW traY
CP052779.1	16	16	contiguous	29794	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052781.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052783.1	16	16	split_2	311561	282988	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052786.1	16	16	contiguous	30039	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052788.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052791.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052793.1	16	16	contiguous	30032	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052795.1	16	16	contiguous	29793	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052799.1	16	16	contiguous	30039	5638	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052802.1	16	16	contiguous	29794	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052804.1	16	16	contiguous	30039	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052806.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052808.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052810.1	16	16	contiguous	30038	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052812.1	16	16	contiguous	30039	5638	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052814.1	16	16	contiguous	29784	6596	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052816.1	16	16	contiguous	30387	6596	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052818.1	16	16	contiguous	30039	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052820.1	15	15	contiguous	29790	6690	traE traI traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052822.1	15	15	contiguous	29793	6690	traE traI traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052824.1	16	16	contiguous	29784	6598	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052826.1	16	16	contiguous	29639	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052828.1	16	16	contiguous	29786	6597	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052830.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052832.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052834.1	16	16	contiguous	30037	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052836.1	16	16	contiguous	29794	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052838.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP052840.1	16	16	contiguous	29794	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP053317.1	13	10	split_2	61634	40015	traI traK traM traN traO traP traQ traU traW traY
CP053327.1	14	14	contiguous	24836	6417	traI traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP053328.1	16	16	contiguous	28607	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP053333.1	16	16	contiguous	35849	6773	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP053403.1	13	13	contiguous	24228	4912	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP053415.1	14	14	contiguous	24837	6417	traI traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP053577.1	13	13	contiguous	27363	7836	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP053578.1	9	9	contiguous	14743	5168	traP traQ traT traU traV traW traY trbA trbB
CP054316.1	16	16	contiguous	28952	4725	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP054459.1	15	15	split_2	80744	51582	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
CP055714.1	13	13	contiguous	23093	4429	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP056349.1	16	16	contiguous	30056	5655	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP056557.1	13	13	contiguous	25874	4969	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP056600.1	16	16	contiguous	32186	8777	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP056606.1	16	16	contiguous	29811	5413	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP056607.1	16	16	contiguous	33024	8379	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP056610.1	16	16	contiguous	33419	8762	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP056615.1	16	16	contiguous	33419	8762	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP056650.1	16	16	contiguous	30039	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP056797.1	16	16	contiguous	28606	4787	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP056802.1	16	16	contiguous	27713	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP056817.1	16	16	contiguous	28607	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP056818.1	16	16	contiguous	31818	7734	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP056844.1	16	16	contiguous	29766	5365	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP056904.1	16	16	contiguous	33428	8771	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP056909.1	16	16	contiguous	30277	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP056976.1	16	16	contiguous	28882	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057011.1	13	13	contiguous	23792	4429	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP057019.1	13	13	contiguous	23782	4429	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP057021.1	13	13	contiguous	23187	4429	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP057033.1	13	13	contiguous	23782	4429	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP057041.1	13	13	contiguous	23782	4429	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP057042.1	13	13	contiguous	23299	4429	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP057063.1	13	13	contiguous	23782	4429	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP057064.1	13	13	contiguous	23299	4429	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP057134.1	14	14	contiguous	33011	8355	traE traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP057202.1	13	13	contiguous	23093	4429	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP057275.1	16	16	contiguous	32150	7749	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057294.1	16	16	contiguous	30278	5877	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057303.1	16	16	contiguous	30278	5877	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057321.1	15	15	contiguous	25876	4927	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
CP057335.1	16	16	contiguous	33629	8784	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057341.1	16	16	contiguous	33629	8784	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057343.1	16	16	contiguous	33629	8784	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057346.1	16	16	contiguous	33629	8784	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057348.1	16	16	contiguous	33629	8784	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057399.1	16	16	contiguous	39809	14970	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057400.1	16	16	contiguous	28606	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057403.1	16	16	contiguous	28608	4789	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057452.1	16	16	contiguous	28682	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057526.1	16	16	contiguous	30206	5805	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057540.1	16	16	contiguous	28881	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057546.1	16	16	contiguous	30206	5805	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057591.1	16	16	contiguous	30663	6261	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057635.1	15	15	contiguous	28979	8178	traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057639.1	15	15	contiguous	28979	8178	traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057695.1	16	16	contiguous	32149	7749	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057698.1	16	16	contiguous	28882	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057735.1	16	16	contiguous	28617	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057743.1	16	16	contiguous	28617	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057756.1	16	16	contiguous	28617	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057764.1	16	16	contiguous	28617	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057774.1	16	16	contiguous	30662	6261	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057846.1	16	16	contiguous	32149	7749	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057852.1	16	16	contiguous	32149	7749	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057857.1	16	16	contiguous	32149	7749	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057884.1	16	16	contiguous	30103	5702	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057903.1	13	13	contiguous	23459	4429	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP057908.1	16	16	contiguous	28953	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057909.1	13	13	contiguous	23459	4429	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP057913.1	13	13	contiguous	23459	4429	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP057924.1	16	16	contiguous	28592	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057944.1	16	16	contiguous	28417	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057972.1	16	16	contiguous	40651	16250	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057977.1	16	16	contiguous	32204	8795	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP057998.1	16	16	contiguous	30031	5630	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP058016.1	16	16	contiguous	28606	4787	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP059906.1	16	16	contiguous	31317	6915	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP059924.1	16	16	contiguous	31315	6914	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP060167.1	16	16	contiguous	30026	5632	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP060477.1	7	4	split_2	58802	34195	traM traN traU traW
CP061214.1	16	16	contiguous	39734	14882	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP061218.1	16	16	split_2	86780	61957	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP061221.1	16	16	contiguous	42875	19229	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP061224.1	16	16	split_2	101541	62254	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP061227.1	16	16	contiguous	42875	19229	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP061248.1	15	15	split_2	101018	62136	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
CP061251.1	14	14	split_2	86397	62145	traE traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP061259.1	15	15	contiguous	32235	8806	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
CP061271.1	7	7	contiguous	28634	19466	traT traU traV traW traY trbA trbB
CP061273.1	15	15	contiguous	34418	11360	traE traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP061688.1	6	5	split_4	269274	220841	traM traN traU traW traY
CP063724.1	16	16	split_2	89853	65013	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP063731.1	16	16	contiguous	41985	17145	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP063741.1	16	16	contiguous	39837	14998	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP065422.1	11	7	contiguous	57089	18471	traM traN traO traP traQ traU traY
CP065519.1	11	10	split_3	60981	27681	traM traN traO traP traQ traU traW traY trbA trbB
CP066329.1	16	16	contiguous	28606	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP066336.1	16	16	contiguous	29794	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP067504.1	13	11	split_2	50920	32841	traI traK traL traM traN traO traP traQ traU traW traY
CP067934.1	13	13	contiguous	20772	3659	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP067953.1	16	16	contiguous	28360	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP069703.1	16	16	contiguous	31140	6015	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP070303.1	16	16	contiguous	29794	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP070395.1	16	16	contiguous	32186	8710	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP070396.1	16	16	contiguous	30554	7442	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP071164.1	13	13	contiguous	20842	3731	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP071788.1	13	11	contiguous	26036	7981	traI traK traL traM traN traO traP traQ traU traW traY
CP073108.1	16	16	contiguous	28605	4785	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP074224.1	16	16	split_2	87543	61659	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP074320.1	16	16	contiguous	28361	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP074342.1	16	16	contiguous	29794	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP074344.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP074608.1	16	16	contiguous	28606	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP074613.1	16	16	contiguous	28360	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP074624.1	13	13	contiguous	26651	6237	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP074629.1	13	13	contiguous	24222	5058	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP074631.1	13	13	contiguous	24029	5314	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP074634.1	13	13	split_2	131206	111081	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP074638.1	13	13	contiguous	24250	5054	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP074641.1	13	13	contiguous	24052	5354	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP074645.1	13	13	split_2	134531	111259	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP075047.1	13	13	contiguous	24036	5314	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP075049.1	13	13	contiguous	24451	5732	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP075051.1	13	13	split_2	120425	100129	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP076089.1	13	13	contiguous	24409	5723	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP076094.1	13	13	contiguous	23383	4698	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP076294.1	13	13	contiguous	26755	6921	traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP076674.1	13	13	contiguous	20734	3623	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
CP077226.1	16	16	contiguous	28610	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP077245.1	16	16	split_2	90441	59993	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP077274.1	16	16	contiguous	28610	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP077282.1	16	16	contiguous	33564	9166	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP077327.1	16	16	contiguous	32195	8786	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP077343.1	16	16	contiguous	33319	10126	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP077667.1	16	16	contiguous	30035	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP082371.1	16	16	contiguous	30122	5728	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
CP082378.1	16	16	split_2	102919	79290	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
