element	inc	gene	virb	start	end	strand	aa_len	pfam_name	pfam_acc	score	protein_id
R388	IncW			22591	23484	-1	297	MPTase-PolyVal	PF18818	164.4	R388|29
R388	IncW			24217	24786	-1	189	PFIN	PF22162	61.3	R388|30
R388	IncW			24789	25391	-1	200	KfrB	PF18790	37.4	R388|31
R388	IncW			25595	26119	-1	174	SNase	PF00565	104.3	R388|32
R388	IncW			26116	26745	-1	209	KfrA_N	PF11740	87.8	R388|33
R388	IncW			27457	28428	-1	323	RepA_C	PF04796	83.8	R388|34
R388	IncW			28421	29077	-1	218	Resolvase	PF00239	84.5	R388|35
R388	IncW	intI1		29666	30679	-1	337	Phage_integrase	PF00589	167.5	R388|36
R388	IncW			30918	31154	1	78	DHFR_2	PF06442	173.5	R388|37
R388	IncW			31809	32156	1	115	Multi_Drug_Res	PF00893	117.3	R388|38
R388	IncW	sul1		32150	32989	1	279	Pterin_bind	PF00809	237.2	R388|39
R388	IncW			33117	33617	1	166	Acetyltransf_1	PF00583	54.1	R388|40
R751	IncP-beta	kfrC		166	819	-1	217			0.0	R751|0
R751	IncP-beta	kfrB		848	1195	-1	115	KfrB	PF18790	74.8	R751|1
R751	IncP-beta			1366	2394	-1	342	KfrA_N	PF11740	95.6	R751|2
R751	IncP-beta			2574	3623	-1	349	KorB_C	PF06613	109.6	R751|3
R751	IncP-beta			3620	4384	-1	254	AAA_31	PF13614	102.1	R751|4
R751	IncP-beta			4381	4683	-1	100	KORA	PF16509	118.1	R751|5
R751	IncP-beta			4797	5327	-1	176	DUF2761	PF10959	169.0	R751|6
R751	IncP-beta	kleE		5329	5658	-1	109	KleE	PF17394	148.3	R751|7
R751	IncP-beta			5803	6018	-1	71	DUF2688	PF10892	74.9	R751|8
R751	IncP-beta	kleA		6077	6313	-1	78	kleA_kleC	PF17383	86.0	R751|9
R751	IncP-beta	korC		6473	6730	-1	85			0.0	R751|10
R751	IncP-beta			6747	7952	-1	401	KlcB_C	PF29622	136.8	R751|11
R751	IncP-beta			8004	8432	-1	142	Antirestrict	PF03230	119.3	R751|12
R751	IncP-beta			8601	8870	1	89	ParD_antitoxin	PF03693	24.9	R751|13
R751	IncP-beta			8867	9181	1	104	ParE_toxin	PF05016	50.5	R751|14
R751	IncP-beta			10389	11393	-1	334	Transposase_20	PF02371	69.2	R751|15
R751	IncP-beta			11735	12157	-1	140	Cupin_2	PF07883	64.3	R751|16
R751	IncP-beta			12260	13222	1	320	LysR_substrate	PF03466	105.5	R751|17
R751	IncP-beta			13470	14474	1	334	Transposase_20	PF02371	69.2	R751|18
R751	IncP-beta	trfA		15226	16449	-1	407	TrfA	PF07042	638.0	R751|19
R751	IncP-beta			16496	16837	-1	113	SSB	PF00436	80.8	R751|20
R751	IncP-beta			16951	17313	1	120	HTH_3	PF01381	42.8	R751|21
R751	IncP-beta	trbB	VirB11	17618	18580	1	320	T2SSE	PF00437	126.4	R751|22
R751	IncP-beta	trbC	VirB2	18597	19061	1	154	TrbC	PF04956	62.3	R751|23
R751	IncP-beta			19065	19376	1	103	VirB3	PF05101	47.1	R751|24
R751	IncP-beta			19373	21931	1	852	VirB4_TrbE_N	PF27097	110.2	R751|25
R751	IncP-beta			21928	22710	1	260	VirB8	PF04335	145.4	R751|26
R751	IncP-beta	trbG	VirB9	22728	23627	1	299	CagX	PF03524	186.3	R751|27
R751	IncP-beta			23630	24118	1	162	TrbH	PF07283	127.8	R751|28
R751	IncP-beta			24123	25544	1	473	TrbI	PF03743	223.3	R751|29
R751	IncP-beta	trbJ	VirB5	25565	26329	1	254			0.0	R751|30
R751	IncP-beta	trbK		26340	26567	1	75			0.0	R751|31
R751	IncP-beta	trbL	VirB6	26578	28296	1	572	TrbL	PF04610	143.0	R751|32
R751	IncP-beta			28314	28901	1	195	TrbM	PF07424	193.2	R751|33
R751	IncP-beta			28915	29550	1	211	SLT	PF01464	23.1	R751|34
R751	IncP-beta			29577	29843	1	88			0.0	R751|35
R751	IncP-beta			29843	30541	1	232	TraX	PF05857	197.3	R751|36
R751	IncP-beta			30557	30985	1	142	OmpA	PF00691	55.7	R751|37
R751	IncP-beta			31140	31664	1	174			0.0	R751|38
R751	IncP-beta	intI1		31911	32924	-1	337	Phage_integrase	PF00589	167.5	R751|39
R751	IncP-beta			34478	35116	-1	212	Resolvase	PF00239	142.5	R751|40
R751	IncP-beta			35163	36380	-1	405	TniQ	PF06527	66.9	R751|41
R751	IncP-beta			36377	37285	-1	302	TniB	PF05621	261.6	R751|42
R751	IncP-beta			37288	38967	-1	559	TnsB_C	PF29688	152.6	R751|43
R751	IncP-beta			39518	43864	-1	1448	MPTase-PolyVal	PF18818	160.0	R751|44
R751	IncP-beta			43868	44257	-1	129	TraD_b_g-type	PF27712	102.5	R751|45
R751	IncP-beta			44279	46342	-1	687	Topoisom_bac	PF01131	126.3	R751|46
R751	IncP-beta	traF		46354	46890	-1	178	Peptidase_S26	PF10502	50.1	R751|47
R751	IncP-beta			46887	48800	-1	637	T4SS-DNA_transf	PF02534	524.8	R751|48
R751	IncP-beta	traI		48797	51040	-1	747	TraI_middle	PF22863	133.9	R751|49
R751	IncP-beta	traJ		51075	51449	-1	124	NikA-like	PF21983	75.0	R751|50
R751	IncP-beta			51823	52221	1	132	DUF5338	PF17273	100.2	R751|51
R751	IncP-beta			52221	52946	1	241	CbiA	PF01656	33.2	R751|52
R751	IncP-beta			52946	53386	1	146	Activator-TraM	PF11657	193.4	R751|53
RP4	IncP-alpha	klaB		366	1502	-1	378	TelA	PF05816	283.5	RP4|0
RP4	IncP-alpha	klaA		1520	2293	-1	257	TelA	PF05816	38.8	RP4|1
RP4	IncP-alpha	kleF		2416	2730	-1	104	DUF2761	PF10959	187.0	RP4|2
RP4	IncP-alpha	kleE		2758	3081	-1	107	KleE	PF17394	190.1	RP4|3
RP4	IncP-alpha			3193	3393	-1	66			0.0	RP4|4
RP4	IncP-alpha	kleC		3427	3657	-1	76	kleA_kleC	PF17383	133.9	RP4|5
RP4	IncP-alpha	kleB		3810	4025	-1	71	DUF2688	PF10892	108.0	RP4|6
RP4	IncP-alpha	kleA		4074	4307	-1	77	kleA_kleC	PF17383	120.7	RP4|7
RP4	IncP-alpha	korC		4533	4790	-1	85			0.0	RP4|8
RP4	IncP-alpha			4813	5523	-1	236	KlcB_C	PF29622	140.7	RP4|9
RP4	IncP-alpha	bla		5639	6499	-1	286	Beta-lactamase2	PF13354	149.6	RP4|10
RP4	IncP-alpha	tnpR		6682	7239	-1	185	Resolvase	PF00239	140.1	RP4|11
RP4	IncP-alpha	tnpA		7402	10407	1	1001	DDE_Tnp_Tn3	PF01526	493.4	RP4|12
RP4	IncP-alpha			10331	11152	-1	273	KlcB_N1	PF29618	120.1	RP4|13
RP4	IncP-alpha	klcA		11198	11638	-1	146	Antirestrict	PF03230	118.0	RP4|14
RP4	IncP-alpha			13020	13262	1	80			0.0	RP4|15
RP4	IncP-alpha			13294	13971	-1	225	TetR_C_1	PF02909	111.7	RP4|16
RP4	IncP-alpha	tetA		14050	15249	1	399	MFS_1	PF07690	113.0	RP4|17
RP4	IncP-alpha			15881	16549	-1	222	Acetyltransf_1	PF00583	37.9	RP4|18
RP4	IncP-alpha	trfA		16521	17669	-1	382	TrfA	PF07042	637.5	RP4|19
RP4	IncP-alpha	ssb		17718	18068	-1	116	SSB	PF00436	90.3	RP4|20
RP4	IncP-alpha	trbA		18189	18554	1	121	HTH_3	PF01381	49.0	RP4|21
RP4	IncP-alpha	trbB	VirB11	18825	19784	1	319	T2SSE	PF00437	125.9	RP4|22
RP4	IncP-alpha	trbC	VirB2	19797	20234	1	145	TrbC	PF04956	63.8	RP4|23
RP4	IncP-alpha	trbD	VirB3	20237	20548	1	103	VirB3	PF05101	48.2	RP4|24
RP4	IncP-alpha	trbE	VirB4	20545	23103	1	852	VirB4_TrbE_N	PF27097	113.6	RP4|25
RP4	IncP-alpha	trbF	VirB8	23100	23858	1	252	VirB8	PF04335	143.2	RP4|26
RP4	IncP-alpha	trbG	VirB9	23870	24763	1	297	CagX	PF03524	181.2	RP4|27
RP4	IncP-alpha	trbH		24767	25249	1	160	TrbH	PF07283	136.8	RP4|28
RP4	IncP-alpha	trbI		25254	26645	1	463	TrbI	PF03743	219.9	RP4|29
RP4	IncP-alpha	trbJ	VirB5	26662	27438	1	258			0.0	RP4|30
RP4	IncP-alpha	trbK		27450	27659	1	69			0.0	RP4|31
RP4	IncP-alpha	trbL	VirB6	27666	29252	1	528	TrbL	PF04610	137.1	RP4|32
RP4	IncP-alpha	trbM		29276	29875	1	199	TrbM	PF07424	188.3	RP4|33
RP4	IncP-alpha	trbN	VirB1	29891	30595	1	234			0.0	RP4|34
RP4	IncP-alpha	trbO		30626	30889	1	87			0.0	RP4|35
RP4	IncP-alpha	trbP		30926	31660	1	244	TraX	PF05857	178.3	RP4|36
RP4	IncP-alpha	upf31.7		31677	32096	1	139			0.0	RP4|37
RP4	IncP-alpha	fiwA		32111	32806	1	231	PFIN	PF22162	105.2	RP4|38
RP4	IncP-alpha	upf32.8		32842	33504	1	220			0.0	RP4|39
RP4	IncP-alpha			33528	34151	-1	207	Resolvase	PF00239	71.5	RP4|40
RP4	IncP-alpha	parB		34148	34681	-1	177	SNase	PF00565	107.0	RP4|41
RP4	IncP-alpha			34678	34971	-1	97			0.0	RP4|42
RP4	IncP-alpha	parD		35122	35373	1	83	ParD	PF09386	121.2	RP4|43
RP4	IncP-alpha	parE		35370	35681	1	103	ParE_toxin	PF05016	56.1	RP4|44
RP4	IncP-alpha			35759	36223	1	154			0.0	RP4|45
RP4	IncP-alpha	istA		36310	37482	1	390	Mu-transpos_C_2	PF22483	63.3	RP4|46
RP4	IncP-alpha	istB		37482	38279	1	265	IstB_IS21	PF01695	290.6	RP4|47
RP4	IncP-alpha			38716	39531	1	271	APH	PF01636	117.9	RP4|48
RP4	IncP-alpha	traA		39615	39905	-1	96	DUF5440	PF17509	152.6	RP4|49
RP4	IncP-alpha	traB		39913	40353	-1	146	KfrB	PF18790	49.6	RP4|50
RP4	IncP-alpha	traC1		40369	43554	-1	1061	MPTase-PolyVal	PF18818	168.3	RP4|51
RP4	IncP-alpha	traD		43561	43824	-1	87	TraD_b_g-type	PF27712	103.2	RP4|52
RP4	IncP-alpha	traE		43830	46043	-1	737	Topoisom_bac	PF01131	324.0	RP4|53
RP4	IncP-alpha	traF		46058	46591	-1	177	Peptidase_S26	PF10502	52.0	RP4|54
RP4	IncP-alpha	traG		46588	48495	-1	635	T4SS-DNA_transf	PF02534	560.6	RP4|55
RP4	IncP-alpha	traI		48492	50690	-1	732	TraI_middle	PF22863	136.3	RP4|56
RP4	IncP-alpha	traJ		50725	51096	-1	123	NikA-like	PF21983	76.8	RP4|57
RP4	IncP-alpha	traK		51464	51868	1	134	DUF5338	PF17273	99.9	RP4|58
RP4	IncP-alpha	traL		51868	52593	1	241	CbiA	PF01656	27.3	RP4|59
RP4	IncP-alpha	traM		52590	53027	1	145	Activator-TraM	PF11657	188.1	RP4|60
RP4	IncP-alpha	kfrC		53079	54425	-1	448			0.0	RP4|61
RP4	IncP-alpha	kfrB		54454	54801	-1	115	KfrB	PF18790	71.1	RP4|62
RP4	IncP-alpha	kfrA		54960	55886	-1	308	KfrA_N	PF11740	64.7	RP4|63
RP4	IncP-alpha	korG		56072	56599	-1	175			0.0	RP4|64
RP4	IncP-alpha	korF		56592	57113	-1	173			0.0	RP4|65
RP4	IncP-alpha	korB		57184	58260	-1	358	KorB_C	PF06613	109.0	RP4|66
RP4	IncP-alpha			58257	59036	-1	259	AAA_31	PF13614	111.1	RP4|67
RP4	IncP-alpha			59033	59347	-1	104	KORA	PF16509	114.4	RP4|68
RP4	IncP-alpha			59512	60069	-1	185			0.0	RP4|69
pKM101	IncN			70	381	-1	103			0.0	pKM101|0
pKM101	IncN	kikA		417	731	-1	104	TrbM	PF07424	27.3	pKM101|1
pKM101	IncN			694	1071	-1	125			0.0	pKM101|2
pKM101	IncN	korB		1087	1392	-1	101	Histone_HNS	PF00816	60.4	pKM101|3
pKM101	IncN	traL	VirB1	1501	2235	1	244	SLT	PF01464	31.2	pKM101|4
pKM101	IncN	korA		2244	2525	1	93			0.0	pKM101|5
pKM101	IncN	traM	VirB2	2535	2828	1	97	TrbC	PF04956	28.7	pKM101|6
pKM101	IncN	traA	VirB3	2878	3189	1	103	VirB3	PF05101	57.1	pKM101|7
pKM101	IncN	traB	VirB4	3194	5794	1	866	CagE_TrbE_VirB	PF03135	99.1	pKM101|8
pKM101	IncN	traC	VirB5	5812	6525	1	237	T4SS	PF07996	86.9	pKM101|9
pKM101	IncN	eex		6533	6760	1	75			0.0	pKM101|10
pKM101	IncN	traD	VirB6	6776	7816	1	346	TrbL	PF04610	145.4	pKM101|11
pKM101	IncN	traE	VirB8	8035	8733	1	232	VirB8	PF04335	127.0	pKM101|12
pKM101	IncN	traO	VirB9	8744	9628	1	294	CagX	PF03524	149.8	pKM101|13
pKM101	IncN	traF	VirB10	9628	10788	1	386	TrbI	PF03743	156.0	pKM101|14
pKM101	IncN	traG	VirB11	10827	11822	1	331	T2SSE	PF00437	79.3	pKM101|15
pKM101	IncN	nuc		11822	12355	1	177	PLDc_2	PF13091	92.4	pKM101|16
