element_id	element_type	length	n_cds_called	has_relaxase	relaxase_families	mpf_classes	n_mpf_classes	n_fa_fata_profiles	exclusion_family_hit	phylum	genus
NC_007777_5094597..5104140	NA	9544	14	0	NA	none	0	0		Actinobacteriota	Frankia
NC_007794_305890..397654	ICE	91765	75	1	T4SS_MOBP1	MPF_T	1	0		Proteobacteria	Novosphingobium
NC_007802_1489312..1517992	NA	28681	27	1	T4SS_MOBQ	none	0	0		Proteobacteria	Roseicyclus
NC_007907_2511464..2558665	NA	47202	83	1	profile_MOBT	none	0	0		Firmicutes_B	Desulfitobacterium
NC_007908_3355032..3419012	IME	63981	57	1	T4SS_MOBC	none	0	0		Proteobacteria	Rhodoferax
NC_007925_134694..168669	NA	33976	40	1	T4SS_MOBQ	none	0	0		Proteobacteria	Rhodopseudomonas
NC_007925_677004..706204	NA	29201	22	1	profile_MOBF	none	0	0		Proteobacteria	Rhodopseudomonas
NC_007951_2185339..2316800	NA	131462	120	1	profile_MOBT	none	0	1		Proteobacteria	Paraburkholderia
NC_007951_577235..590610	NA	13376	16	1	T4SS_MOBP1	none	0	0		Proteobacteria	Paraburkholderia
NC_007964_628229..659858	IME	31630	32	1	T4SS_MOBP1	none	0	0		Proteobacteria	Nitrobacter
NC_007973_2524369..2599412	ICE	75044	85	1	T4SS_MOBH	MPF_F	1	0		Proteobacteria	Cupriavidus
NC_008024_1656371..1670248	NA	13878	15	1	T4SS_MOBP1	none	0	0		Firmicutes	Streptococcus
NC_008148_1939538..1947849	NA	8312	10	0	NA	none	0	0		Actinobacteriota	Rubrobacter_B
NC_008254_4083656..4181696	ICE	98041	100	1	T4SS_MOBP1	MPF_T	1	0		Proteobacteria	Chelativorans
NC_008254_551117..573443	ICE	22327	21	1	T4SS_MOBP1,profile_MOBT	MPF_T	1	0		Proteobacteria	Chelativorans
NC_008278_3172323..3201793	NA	29471	28	0	NA	none	0	0		Actinobacteriota	Frankia
NC_008278_5890472..5904804	NA	14333	16	0	NA	none	0	0		Actinobacteriota	Frankia
NC_008278_6885254..6911707	NA	26454	19	1	profile_MOBF,profile_MOBT	none	0	0		Actinobacteriota	Frankia
NC_008313_2688767..2697764	NA	8998	12	1	T4SS_MOBQ	none	0	0		Proteobacteria	Cupriavidus
NC_008322_1174554..1207842	IME	33289	36	1	profile_MOBF	none	0	0		Proteobacteria	Shewanella
NC_008526_1331557..1426710	NA	95154	88	1	profile_MOBM	none	0	0		Firmicutes	Lacticaseibacillus
NC_008526_515695..644611	ICE	128917	129	1	T4SS_MOBP1,T4SS_MOBP2	MPF_FA	1	2		Firmicutes	Lacticaseibacillus
NC_008531_979498..1182784	ICE	203287	202	1	T4SS_MOBP2,profile_MOBT	MPF_FA	1	6		Firmicutes	Leuconostoc
NC_008543_136715..185679	ICE	48965	55	1	T4SS_MOBP1,T4SS_MOBV	MPF_T	1	0		Proteobacteria	Burkholderia
NC_008554_127614..203573	NA	75960	63	1	T4SS_MOBH	none	0	0		Desulfobacterota	Syntrophobacter
NC_008555_788869..862554	ICE	73686	73	1	profile_MOBM,profile_MOBT	MPF_FA	1	7		Firmicutes	Listeria
NC_008577_2413003..2419764	NA	6762	5	1	T4SS_MOBH	none	0	0		Proteobacteria	Shewanella
NC_008577_2829650..2837063	NA	7414	4	1	T4SS_MOBH	none	0	0		Proteobacteria	Shewanella
NC_008595_254232..294377	NA	40146	45	0	NA	none	0	0		Actinobacteriota	Mycobacterium
NC_008595_3872983..3926224	AICE	53242	48	0	NA	none	0	0		Actinobacteriota	Mycobacterium
NC_008609_442849..484652	NA	41804	40	1	T4SS_MOBH	none	0	0		Desulfobacterota	Pseudopelobacter
NC_008686_2391102..2423208	NA	32107	27	1	T4SS_MOBP1,T4SS_MOBV,profile_MOBT	none	0	0		Proteobacteria	Paracoccus
NC_008699_1136136..1183294	IME	47159	42	1	profile_MOBF,profile_MOBT	none	0	0		Actinobacteriota	Nocardioides
NC_008699_2095964..2103198	NA	7235	8	1	profile_MOBT	none	0	0		Actinobacteriota	Nocardioides
NC_008699_2265679..2453543	ICE	187865	192	1	T4SS_MOBC,profile_MOBF	none	0	1		Actinobacteriota	Nocardioides
NC_008700_383200..386360	NA	3161	2	1	T4SS_MOBC,profile_MOBM	none	0	0		Proteobacteria	Shewanella
NC_008705_1549290..1562282	NA	12993	9	1	profile_MOBF	none	0	0		Actinobacteriota	Mycobacterium
NC_008740_452483..468110	NA	15628	21	1	T4SS_MOBV	none	0	0		Proteobacteria	Marinobacter
NC_008740_510901..618812	ICE	107912	100	0	NA	none	0	0		Proteobacteria	Marinobacter
NC_008750_1128833..1160779	NA	31947	27	1	profile_MOBF	none	0	0		Proteobacteria	Shewanella
NC_008750_1225354..1440333	ICE	214980	185	1	T4SS_MOBH	MPF_F	1	1	EexR	Proteobacteria	Shewanella
NC_008752_2770357..3080161	NA	309805	292	1	T4SS_MOBH	MPF_F	1	0		Proteobacteria	Acidovorax_A
NC_008752_422185..675592	ICE	253408	239	1	T4SS_MOBH	MPF_F	1	0		Proteobacteria	Acidovorax_A
NC_008752_748071..913808	NA	165738	156	1	T4SS_MOBP1	MPF_T	1	0	Eex_IncN	Proteobacteria	Acidovorax_A
NC_008782_1291733..1397557	ICE	105825	113	1	T4SS_MOBH	MPF_F	1	0		Proteobacteria	Diaphorobacter
NC_008782_1578073..1617459	NA	39387	41	1	T4SS_MOBH,profile_MOBT	MPF_F	1	0		Proteobacteria	Diaphorobacter
NC_008782_3000410..3288596	ICE	288187	287	1	T4SS_MOBP1	MPF_T	1	0	Eex_IncN	Proteobacteria	Diaphorobacter
NC_008782_644999..789466	ICE	144468	131	1	profile_MOBT	none	0	1		Proteobacteria	Diaphorobacter
NC_008784_23066..111431	IME	88366	70	1	T4SS_MOBC	none	0	0		Proteobacteria	Burkholderia
NC_008786_4039012..4156407	ICE	117396	113	1	T4SS_MOBH	MPF_T	1	0		Proteobacteria	Acidovorax
NC_008800_1084886..1114277	NA	29392	33	1	T4SS_MOBP1	none	0	0		Proteobacteria	Yersinia
NC_008800_3761949..3828088	ICE	66140	71	1	T4SS_MOBH	MPF_F	1	0		Proteobacteria	Yersinia
NC_008825_2498157..2574031	ICE	75875	80	1	T4SS_MOBH,profile_MOBT	MPF_F	1	0		Proteobacteria	Methylibium
NC_009012_3800183..3843018	IME	42836	33	1	T4SS_MOBP1	none	0	0		Firmicutes_A	Hungateiclostridium
NC_009089_3787248..4057027	ICE	269780	252	1	profile_MOBT	MPF_FA	1	8		Firmicutes_A	Clostridioides
NC_009092_1141764..1152966	IME	11203	13	1	T4SS_MOBQ	none	0	0		Proteobacteria	Shewanella
NC_009338_2933811..2972061	NA	38251	45	1	profile_MOBF	none	0	2		Actinobacteriota	Mycobacterium
NC_009436_3125455..3147545	NA	22091	24	1	T4SS_MOBP1	none	0	0		Proteobacteria	Lelliottia
NC_009441_4367371..4393660	IME	26290	34	1	T4SS_MOBP1	none	0	0		Bacteroidota	Flavobacterium
NC_009456_557367..582825	IME	25459	27	1	profile_MOBT	none	0	0		Proteobacteria	Vibrio
NC_009480_2582454..2614620	NA	32167	35	1	T4SS_MOBC	none	0	0		Actinobacteriota	Clavibacter
NC_009484_2667001..2682446	NA	15446	13	1	profile_MOBF	none	0	0		Proteobacteria	Acidiphilium
NC_009485_3457650..3525849	NA	68200	60	1	T4SS_MOBP1,profile_MOBT	MPF_T	1	0		Proteobacteria	Bradyrhizobium
NC_009485_6997252..7040060	NA	42809	37	1	profile_MOBT	none	0	0		Proteobacteria	Bradyrhizobium
NC_009485_7660817..7687256	NA	26440	24	1	profile_MOBF	none	0	0		Proteobacteria	Bradyrhizobium
NC_009485_8092241..8136994	ICE	44754	54	1	T4SS_MOBP1,profile_MOBT	none	0	0		Proteobacteria	Bradyrhizobium
NC_009494_128635..218920	ICE	90286	79	1	T4SS_MOBP1	MPF_T	1	0		Proteobacteria	Legionella
NC_009494_614021..656784	ICE	42764	40	1	T4SS_MOBP1	MPF_T	1	0		Proteobacteria	Legionella
NC_009613_657469..689246	NA	31778	31	1	T4SS_MOBP1	none	0	0		Bacteroidota	Flavobacterium
NC_009614_1275041..1282008	NA	6968	7	1	T4SS_MOBB,T4SS_MOBP1	none	0	0		Bacteroidota	Phocaeicola
NC_009614_1988394..2084298	ICE	95905	102	1	T4SS_MOBP1	none	0	0		Bacteroidota	Phocaeicola
NC_009614_2710586..2740075	IME	29490	22	1	T4SS_MOBP1	none	0	0		Bacteroidota	Phocaeicola
NC_009614_3152704..3266220	NA	113517	115	1	T4SS_MOBV	none	0	1		Bacteroidota	Phocaeicola
NC_009614_4310659..4364479	NA	53821	47	1	T4SS_MOBB	none	0	0		Bacteroidota	Phocaeicola
NC_009614_920629..1003717	ICE	83089	90	1	T4SS_MOBP1	none	0	0		Bacteroidota	Phocaeicola
NC_009615_1456233..1470856	NA	14624	11	1	T4SS_MOBB,T4SS_MOBP1	none	0	0		Bacteroidota	Parabacteroides
NC_009615_2506123..2527946	NA	21824	19	1	T4SS_MOBV	none	0	0		Bacteroidota	Parabacteroides
NC_009615_4285983..4324742	NA	38760	38	1	T4SS_MOBP1	none	0	0		Bacteroidota	Parabacteroides
NC_009633_4030820..4147536	ICE	116717	134	1	T4SS_MOBC,T4SS_MOBP1	MPF_FA	1	7		Firmicutes_A	Alkaliphilus_A
NC_009648_5125931..5161919	IME	35989	29	1	T4SS_MOBH	none	0	0		Proteobacteria	Klebsiella
NC_009656_4573758..4659356	ICE	85599	108	1	T4SS_MOBH	MPF_F	1	0		Proteobacteria	Pseudomonas
NC_009656_5499472..5528096	IME	28625	31	1	T4SS_MOBQ	none	0	0		Proteobacteria	Pseudomonas
NC_009659_2856543..3394062	ICE	537520	515	1	T4SS_MOBC,T4SS_MOBP1,profile_MOBT	none	0	1		Proteobacteria	Herminiimonas
NC_009662_1687651..1708085	IME	20435	18	1	profile_MOBF	none	0	0		Campylobacterota	YY08-10
NC_009663_1488071..1494307	NA	6237	7	0	NA	none	0	0		Campylobacterota	Sulfurovum
NC_009663_2520991..2543883	IME	22893	26	1	T4SS_MOBP1,profile_MOBT	none	0	0		Campylobacterota	Sulfurovum
NC_009668_462345..573428	NA	111084	119	1	T4SS_MOBP1	MPF_T	1	0		Proteobacteria	Ochrobactrum
NC_009697_2538601..2630141	NA	91541	120	1	T4SS_MOBP1,T4SS_MOBV,profile_MOBT	none	0	0		Firmicutes_A	Clostridium_F
NC_009706_226437..273426	NA	46990	58	1	T4SS_MOBP1	MPF_FA	1	9		Firmicutes_A	Clostridium_B
NC_009708_4157211..4221900	ICE	64690	62	1	T4SS_MOBH	MPF_F	1	0		Proteobacteria	Yersinia
NC_009714_75486..156261	NA	80776	92	1	T4SS_MOBP1,T4SS_MOBV	none	0	0		Campylobacterota	Campylobacter_B
NC_009719_109701..112822	NA	3122	4	0	NA	none	0	0		Proteobacteria	Parvibaculum
NC_009792_3266389..3291795	IME	25407	24	1	T4SS_MOBP1	none	0	0		Proteobacteria	Citrobacter_B
NC_009792_3647126..3698504	IME	51379	58	1	T4SS_MOBP1	none	0	0		Proteobacteria	Citrobacter_B
NC_009792_814729..920550	ICE	105822	61	1	T4SS_MOBC	MPF_T	1	0	Eex_IncN	Proteobacteria	Citrobacter_B
NC_009801_1530882..1862356	ICE	331475	317	1	profile_MOBT	none	0	2		Proteobacteria	Escherichia
NC_009801_2906455..2927636	IME	21182	19	1	T4SS_MOBP1	none	0	0		Proteobacteria	Escherichia
NC_009801_3373174..3397436	IME	24263	22	1	T4SS_MOBH	none	0	0		Proteobacteria	Escherichia
NC_009832_355873..451331	NA	95459	102	1	T4SS_MOBH	MPF_F	1	0		Proteobacteria	Serratia
NC_009832_4486620..4571913	ICE	85294	75	1	T4SS_MOBH	MPF_F	1	0		Proteobacteria	Serratia
NC_009848_584324..639021	NA	54698	63	1	profile_MOBT	MPF_FA	1	7		Firmicutes	Bacillus
NC_009883_1050160..1088531	NA	38372	30	1	T4SS_MOBQ	MPF_F	1	0		Proteobacteria	Rickettsia
NC_009900_636728..748877	ICE	112150	130	1	T4SS_MOBQ	MPF_F	1	0		Proteobacteria	Rickettsia
NC_009921_37976..46814	NA	8839	11	0	NA	none	0	0		Actinobacteriota	Frankia
NC_009921_6413576..6433026	NA	19451	17	0	NA	none	0	0		Actinobacteriota	Frankia
NC_009921_6686377..6718717	NA	32341	35	0	NA	none	0	0		Actinobacteriota	Frankia
NC_009921_7658736..7675751	NA	17016	19	0	NA	none	0	0		Actinobacteriota	Frankia
NC_009937_4346448..4397109	NA	50662	57	1	T4SS_MOBP1	none	0	0		Proteobacteria	Azorhizobium
NC_009952_379328..386180	NA	6853	5	0	NA	none	0	0		Proteobacteria	Dinoroseobacter
NC_009953_1357773..1384066	NA	26294	29	0	NA	none	0	0		Actinobacteriota	Micromonospora
NC_009953_1797408..1810724	NA	13317	20	0	NA	none	0	0		Actinobacteriota	Micromonospora
NC_009953_2218289..2232718	NA	14430	18	0	NA	none	0	0		Actinobacteriota	Micromonospora
NC_010002_2915584..3020022	NA	104439	96	1	T4SS_MOBP1	MPF_T	1	0	Eex_IncN	Proteobacteria	Comamonas
NC_010002_4531458..4614944	ICE	83487	74	1	T4SS_MOBH,profile_MOBT	MPF_F	1	0		Proteobacteria	Comamonas
NC_010067_190252..238931	IME	48680	34	1	T4SS_MOBP1	none	0	0		Proteobacteria	Salmonella
NC_010067_3008361..3076079	ICE	67719	69	1	T4SS_MOBH	MPF_F	1	0		Proteobacteria	Salmonella
NC_010087_291625..372425	NA	80801	95	1	T4SS_MOBH	MPF_T	1	0		Proteobacteria	Burkholderia
NC_010102_4577547..4580070	NA	2524	2	1	T4SS_MOBH	none	0	0		Proteobacteria	Salmonella
NC_010125_1545114..1588797	NA	43684	40	1	T4SS_MOBP1	none	0	0		Proteobacteria	Gluconacetobacter
NC_010125_2299650..2309337	NA	9688	13	1	T4SS_MOBQ	none	0	0		Proteobacteria	Gluconacetobacter
NC_010125_2842292..3001996	ICE	159705	164	1	T4SS_MOBP1,profile_MOBT	MPF_T	1	1		Proteobacteria	Gluconacetobacter
NC_010125_984151..1042505	ICE	58355	64	1	T4SS_MOBP1	MPF_T	1	0		Proteobacteria	Gluconacetobacter
NC_010170_1087806..1216154	NA	128349	142	1	T4SS_MOBH,profile_MOBM	MPF_F	1	0		Proteobacteria	Bordetella_A
NC_010170_1340583..1529791	NA	189209	208	1	T4SS_MOBH,profile_MOBM,profile_MOBT	MPF_F	1	0		Proteobacteria	Bordetella_A
NC_010321_52655..199189	ICE	146535	126	1	T4SS_MOBC	MPF_FA	1	2		Firmicutes_A	Thermoanaerobacter
NC_010336_1946401..1970072	IME	23672	19	1	T4SS_MOBC,profile_MOBT	none	0	0		Proteobacteria	Francisella
NC_010337_718106..802912	NA	84807	79	0	NA	none	0	0		Firmicutes_B	Heliomicrobium
NC_010338_1212092..1229865	NA	17774	24	1	T4SS_MOBQ,profile_MOBT	none	0	0		Proteobacteria	Caulobacter
NC_010338_2395402..2470977	ICE	75576	70	1	T4SS_MOBP1	MPF_T	1	0		Proteobacteria	Caulobacter
NC_010338_367554..384096	NA	16543	20	1	T4SS_MOBQ,profile_MOBT	none	0	0		Proteobacteria	Caulobacter
NC_010338_4082880..4297444	ICE	214565	201	1	T4SS_MOBP1,profile_MOBT	MPF_T	1	1		Proteobacteria	Caulobacter
NC_010376_1009024..1102021	ICE	92998	81	1	T4SS_MOBP1,T4SS_MOBQ	MPF_FA	1	13		Firmicutes_A	Finegoldia
NC_010380_1280821..1327266	ICE	46446	44	1	profile_MOBT	MPF_FA	1	7		Firmicutes	Streptococcus
NC_010424_749068..891575	ICE	142508	138	1	profile_MOBM,profile_MOBT	none	0	0		Firmicutes_B	Desulforudis
NC_010471_883043..922724	ICE	39682	42	1	profile_MOBT	MPF_FA	1	3		Firmicutes	Leuconostoc
NC_010524_830194..935032	NA	104839	101	1	T4SS_MOBP1,T4SS_MOBV	none	0	0		Proteobacteria	Leptothrix
NC_010547_273000..306382	NA	33383	37	1	profile_MOBT	none	0	0		Cyanobacteria	Crocosphaera
NC_010554_2638440..2769857	ICE	131418	113	1	T4SS_MOBH	MPF_F	1	0	EexR	Proteobacteria	Proteus
NC_010554_2793715..2886352	NA	92638	87	1	T4SS_MOBH	MPF_F	1	0		Proteobacteria	Proteus
NC_010571_1466417..1540875	NA	74459	73	1	profile_MOBF	none	0	0		Verrucomicrobiota	Opitutus
NC_010571_2432646..2444876	NA	12231	16	1	profile_MOBF	none	0	0		Verrucomicrobiota	Opitutus
NC_010571_5673877..5791473	NA	117597	123	1	profile_MOBF	none	0	0		Verrucomicrobiota	Opitutus
NC_010572_3389215..3405986	NA	16772	22	0	NA	none	0	0		Actinobacteriota	Streptomyces
NC_010572_4190633..4206032	NA	15400	17	0	NA	none	0	0		Actinobacteriota	Streptomyces
NC_010582_1250253..1279652	NA	29400	26	1	T4SS_MOBP1	none	0	0		Firmicutes	Streptococcus
NC_010582_140304..220648	ICE	80345	79	1	profile_MOBT	MPF_FA	1	7		Firmicutes	Streptococcus
NC_010612_2567528..2572183	NA	4656	4	0	NA	none	0	0		Actinobacteriota	Mycobacterium
NC_010644_1541063..1551763	NA	10701	11	0	NA	none	0	0		Elusimicrobiota	Elusimicrobium
NC_010645_356560..409192	IME	52633	57	1	T4SS_MOBP1,T4SS_MOBV	none	0	0	Eex_IncN	Proteobacteria	Bordetella
NC_010676_2614914..2814356	ICE	199443	182	1	T4SS_MOBP1,T4SS_MOBV,profile_MOBT	MPF_T	1	0		Proteobacteria	Paraburkholderia
NC_010681_113668..315917	NA	202250	194	1	T4SS_MOBP1,T4SS_MOBV,profile_MOBT	MPF_T	1	0		Proteobacteria	Paraburkholderia
NC_010682_1543072..1700732	NA	157661	159	1	T4SS_MOBH	MPF_T	1	0		Proteobacteria	Ralstonia
NC_010682_469459..495154	IME	25696	24	1	T4SS_MOBP1,profile_MOBT	none	0	0		Proteobacteria	Ralstonia
NC_010688_1196537..1232890	IME	36354	40	1	T4SS_MOBQ	none	0	0		Proteobacteria	Xanthomonas
NC_010688_3038236..3073543	IME	35308	39	1	T4SS_MOBQ	none	0	0		Proteobacteria	Xanthomonas
NC_010698_700651..896417	ICE	195767	161	1	T4SS_MOBP1	MPF_T	1	1		Campylobacterota	Helicobacter
NC_010725_3220381..3366693	ICE	146313	146	1	T4SS_MOBP1	MPF_T	1	0		Proteobacteria	Methylobacterium
NC_010729_1021623..1030354	NA	8732	10	1	T4SS_MOBP1,T4SS_MOBV	none	0	0		Bacteroidota	Porphyromonas
NC_010729_35127..114450	NA	79324	70	1	T4SS_MOBP1	none	0	1		Bacteroidota	Porphyromonas
NC_010793_1432339..1570077	NA	137739	160	1	T4SS_MOBQ	MPF_F	1	0		Proteobacteria	Orientia
NC_010793_316972..435033	NA	118062	121	1	T4SS_MOBQ,T4SS_MOBV	MPF_F	1	0		Proteobacteria	Orientia
NC_010793_502335..513583	NA	11249	16	0	NA	MPF_F	1	0		Proteobacteria	Orientia
NC_010804_2815221..2819433	NA	4213	4	1	T4SS_MOBV	none	0	0		Proteobacteria	Burkholderia
NC_010804_938763..1101538	NA	162776	165	1	T4SS_MOBP1	MPF_T	1	0	Eex_IncN	Proteobacteria	Burkholderia
