element	n_MPF_T	n_MPF_F	n_MPF_I	n_MPF_FA	n_MPF_FATA	n_MPF_G	n_MPF_B	n_MPF_C	phylum
NC_008526_515695..644611	0	0	0	0	2	0	1	0	Firmicutes
NC_008531_979498..1182784	0	0	0	3	3	0	0	0	Firmicutes
NC_008543_136715..185679	8	0	0	0	0	0	0	0	Proteobacteria
NC_008554_127614..203573	1	0	0	0	0	0	0	0	Desulfobacterota
NC_008555_788869..862554	0	0	0	6	1	0	0	0	Firmicutes
NC_008595_254232..294377	1	0	0	0	0	0	0	0	Actinobacteriota
NC_008699_2265679..2453543	2	0	0	0	1	0	0	0	Actinobacteriota
NC_008740_510901..618812	1	0	0	0	0	0	0	0	Proteobacteria
NC_008750_1225354..1440333	0	12	0	0	1	0	0	0	Proteobacteria
NC_008752_2770357..3080161	1	0	0	0	0	15	0	0	Proteobacteria
NC_008752_422185..675592	1	1	0	0	0	15	0	0	Proteobacteria
NC_008752_748071..913808	8	0	0	0	0	1	0	0	Proteobacteria
NC_008782_1291733..1397557	0	1	0	0	0	16	0	0	Proteobacteria
NC_008782_1578073..1617459	0	12	0	0	0	0	0	0	Proteobacteria
NC_008782_3000410..3288596	8	0	0	0	0	0	1	0	Proteobacteria
NC_008782_644999..789466	2	0	0	0	1	0	0	0	Proteobacteria
NC_008784_23066..111431	0	0	0	0	0	1	0	0	Proteobacteria
NC_008786_4039012..4156407	6	0	0	0	0	0	0	0	Proteobacteria
NC_008800_3761949..3828088	0	0	0	0	0	15	0	0	Proteobacteria
NC_008825_2498157..2574031	0	1	0	0	0	16	0	0	Proteobacteria
NC_009089_3787248..4057027	2	0	0	7	1	0	0	0	Firmicutes_A
NC_009092_1141764..1152966	0	0	1	0	0	0	0	0	Proteobacteria
NC_009338_2933811..2972061	0	0	0	0	2	0	0	0	Actinobacteriota
NC_009485_3457650..3525849	3	0	0	0	0	0	1	0	Proteobacteria
NC_009485_8092241..8136994	3	0	0	0	0	0	1	0	Proteobacteria
NC_009494_128635..218920	8	0	1	0	0	0	0	0	Proteobacteria
NC_009494_614021..656784	8	0	0	0	0	0	0	0	Proteobacteria
NC_009613_657469..689246	0	0	0	0	0	0	1	0	Bacteroidota
NC_009614_1988394..2084298	0	0	0	0	0	0	12	0	Bacteroidota
NC_009614_3152704..3266220	0	0	0	1	0	0	1	0	Bacteroidota
NC_009614_920629..1003717	1	0	0	0	0	0	12	0	Bacteroidota
NC_009615_2506123..2527946	0	0	0	0	0	0	1	0	Bacteroidota
NC_009615_4285983..4324742	0	0	0	0	0	0	1	0	Bacteroidota
NC_009633_4030820..4147536	0	0	0	0	7	0	0	0	Firmicutes_A
NC_009656_4573758..4659356	0	0	0	0	0	16	0	0	Proteobacteria
NC_009656_5499472..5528096	0	0	1	0	0	0	0	0	Proteobacteria
NC_009659_2856543..3394062	1	0	0	0	1	0	0	0	Proteobacteria
NC_009668_462345..573428	8	0	0	0	0	0	0	0	Proteobacteria
NC_009697_2538601..2630141	1	0	0	0	0	0	0	0	Firmicutes_A
NC_009706_226437..273426	1	0	0	0	9	0	0	0	Firmicutes_A
NC_009708_4157211..4221900	0	0	0	0	0	15	0	0	Proteobacteria
NC_009714_75486..156261	3	0	0	0	0	0	1	0	Campylobacterota
NC_009792_814729..920550	7	0	0	0	0	0	0	0	Proteobacteria
NC_009801_1530882..1862356	0	0	0	0	2	0	0	0	Proteobacteria
NC_009832_355873..451331	0	0	0	0	0	17	0	0	Proteobacteria
NC_009832_4486620..4571913	0	0	0	0	0	17	0	0	Proteobacteria
NC_009848_584324..639021	1	0	0	6	1	0	0	0	Firmicutes
NC_009883_1050160..1088531	0	10	0	0	0	0	1	0	Proteobacteria
NC_009900_636728..748877	0	11	0	0	0	0	1	0	Proteobacteria
NC_010002_2915584..3020022	8	0	0	0	0	0	0	0	Proteobacteria
NC_010002_4531458..4614944	0	1	0	0	0	16	0	0	Proteobacteria
NC_010067_3008361..3076079	0	1	0	0	0	15	0	0	Proteobacteria
NC_010087_291625..372425	4	0	0	0	0	0	1	0	Proteobacteria
NC_010125_2842292..3001996	8	0	0	0	1	0	1	0	Proteobacteria
NC_010125_984151..1042505	8	0	0	0	0	0	1	0	Proteobacteria
NC_010170_1087806..1216154	0	1	0	0	0	16	0	0	Proteobacteria
NC_010170_1340583..1529791	0	1	0	0	0	16	0	0	Proteobacteria
NC_010321_52655..199189	1	0	0	0	2	0	1	0	Firmicutes_A
NC_010338_2395402..2470977	3	0	0	0	0	0	0	0	Proteobacteria
NC_010338_4082880..4297444	8	0	0	0	1	0	1	0	Proteobacteria
NC_010376_1009024..1102021	2	0	0	1	12	0	0	0	Firmicutes_A
NC_010380_1280821..1327266	0	0	0	6	1	0	0	0	Firmicutes
NC_010471_883043..922724	0	0	0	2	1	0	0	0	Firmicutes
NC_010524_830194..935032	6	0	0	0	0	0	0	0	Proteobacteria
NC_010554_2638440..2769857	0	12	0	0	0	0	0	0	Proteobacteria
NC_010554_2793715..2886352	0	1	0	0	0	16	0	0	Proteobacteria
NC_010571_1466417..1540875	1	0	0	0	0	0	2	0	Verrucomicrobiota
NC_010571_5673877..5791473	2	0	0	0	0	0	2	0	Verrucomicrobiota
NC_010582_140304..220648	0	0	0	6	1	0	0	0	Firmicutes
NC_010645_356560..409192	2	0	0	0	0	0	0	0	Proteobacteria
NC_010676_2614914..2814356	8	0	0	0	0	0	0	0	Proteobacteria
NC_010681_113668..315917	8	0	0	0	0	0	0	0	Proteobacteria
NC_010682_1543072..1700732	6	0	0	0	0	0	0	0	Proteobacteria
NC_010698_700651..896417	5	0	0	0	1	0	0	0	Campylobacterota
NC_010725_3220381..3366693	8	0	0	0	0	0	2	0	Proteobacteria
NC_010729_1021623..1030354	0	0	0	0	0	0	1	0	Bacteroidota
NC_010729_35127..114450	2	0	0	0	1	0	11	0	Bacteroidota
NC_010793_1432339..1570077	1	9	0	0	0	0	0	0	Proteobacteria
NC_010793_316972..435033	0	8	0	0	0	0	1	0	Proteobacteria
NC_010793_502335..513583	0	6	0	0	0	0	0	0	Proteobacteria
NC_010804_938763..1101538	8	0	0	0	0	0	1	0	Proteobacteria
NC_010814_6077..280100	0	2	0	0	0	1	0	0	Desulfobacterota
NC_011000_2812878..2859770	0	0	0	0	0	5	0	0	Proteobacteria
NC_011072_1202367..1237394	0	0	0	1	3	0	1	0	Firmicutes
NC_011144_1616644..1737271	8	0	0	0	0	0	1	0	Proteobacteria
NC_011283_1817492..1880912	7	0	0	0	0	0	0	0	Proteobacteria
NC_011365_1041274..1187967	8	0	0	0	0	0	1	0	Proteobacteria
NC_011365_3031715..3095728	5	0	0	0	0	0	2	0	Proteobacteria
NC_011386_169203..266107	8	0	0	0	0	0	1	0	Proteobacteria
NC_011386_2328065..2425755	8	0	0	0	0	0	1	0	Proteobacteria
NC_011386_3487203..3614289	8	0	0	0	0	0	1	0	Proteobacteria
NC_011567_648861..725897	1	0	0	0	0	0	0	0	Firmicutes
NC_011662_975523..1219207	1	1	0	0	0	16	0	0	Proteobacteria
NC_011883_1249225..1466945	1	0	0	0	1	0	1	0	Desulfobacterota_I
NC_011891_1228929..1306266	8	0	0	0	0	0	1	0	Myxococcota
NC_011901_1988367..2031762	8	0	0	0	0	0	1	0	Proteobacteria
NC_011901_2928215..3060935	1	1	0	0	0	16	0	0	Proteobacteria
NC_011985_3793863..3896759	8	0	0	0	0	0	0	0	Proteobacteria
NC_011992_1651847..1664530	1	0	0	0	1	0	0	0	Proteobacteria
NC_012034_2558194..2593479	1	0	0	0	1	0	0	0	Firmicutes_A
NC_012467_1001438..1136741	0	0	0	6	14	0	2	0	Firmicutes
NC_012469_1771399..1812468	0	0	0	6	1	0	0	0	Firmicutes
NC_012483_1238802..1473052	7	0	0	0	0	0	0	0	Acidobacteriota
NC_012660_2050486..2190550	0	1	0	0	0	15	0	0	Proteobacteria
NC_012668_2916746..3071439	0	12	0	0	0	0	0	0	Proteobacteria
NC_012731_3395820..3472027	7	0	0	0	0	0	0	0	Proteobacteria
NC_012779_319354..380035	0	0	0	0	0	17	0	0	Proteobacteria
NC_012792_519244..889863	8	0	0	0	0	0	0	0	Proteobacteria
NC_012803_14428..71803	0	0	0	0	1	0	0	0	Actinobacteriota
NC_012856_700799..729121	0	1	0	0	0	16	0	0	Proteobacteria
NC_012891_1284664..1298181	0	0	0	0	1	0	0	0	Firmicutes
NC_012912_1679148..1732972	7	0	0	0	0	0	0	0	Proteobacteria
NC_012918_2721982..2814233	8	0	0	0	0	0	0	0	Desulfobacterota
NC_012924_808819..964460	0	0	0	6	15	0	1	0	Firmicutes
NC_012926_1032547..1125755	1	0	0	6	4	0	0	0	Firmicutes
NC_012926_549571..577957	0	0	0	1	3	0	0	0	Firmicutes
NC_012969_2144366..2210839	0	0	1	0	0	0	0	0	Proteobacteria
NC_012969_2503508..2508729	1	0	0	0	0	0	0	0	Proteobacteria
NC_013037_6220680..6239334	0	0	0	0	0	0	1	0	Bacteroidota
NC_013165_2248647..2290538	1	0	0	0	0	0	0	0	Actinobacteriota
NC_013169_636588..657599	0	0	0	0	1	0	0	0	Actinobacteriota
NC_013192_906266..1182482	7	0	0	0	1	0	0	0	Fusobacteriota
NC_013204_1782091..1824289	0	0	0	0	5	0	0	0	Actinobacteriota
NC_013235_469432..527041	1	0	0	0	0	0	0	0	Actinobacteriota
NC_013421_1728172..1807718	0	1	0	0	0	16	0	0	Proteobacteria
NC_013421_650611..753402	0	0	0	0	0	17	0	0	Proteobacteria
NC_013422_1772375..1830980	3	0	0	0	0	0	0	0	Proteobacteria
NC_013450_1709480..1774428	0	0	0	5	1	0	0	0	Firmicutes
NC_013456_102528..316157	1	0	1	0	0	0	1	0	Proteobacteria
NC_013456_1668087..2017340	1	0	0	0	0	0	0	0	Proteobacteria
NC_013515_1281427..1317217	6	0	0	0	1	0	0	0	Fusobacteriota
NC_013530_867898..916677	1	0	0	0	1	0	0	0	Actinobacteriota
NC_013592_2972012..3023098	7	0	0	0	0	0	0	0	Proteobacteria
NC_013722_3041048..3131613	2	0	0	0	0	0	0	0	Proteobacteria
NC_013798_283548..337531	1	0	0	0	7	0	0	0	Firmicutes
NC_013853_1271111..1347229	0	0	0	7	1	0	0	0	Firmicutes
NC_013861_3335593..3431895	8	0	0	0	1	0	0	0	Proteobacteria
NC_013892_1429060..1512928	0	0	0	0	0	16	0	0	Proteobacteria
NC_014006_1973709..2061647	8	0	0	0	0	0	0	0	Proteobacteria
NC_014006_2934452..3030065	8	0	0	0	0	0	0	0	Proteobacteria
NC_014006_434516..476784	8	0	0	0	0	0	1	0	Proteobacteria
NC_014029_345141..403014	0	0	0	0	0	17	0	0	Proteobacteria
NC_014041_1814583..1983973	0	0	0	0	0	0	3	0	Bacteroidota
NC_014121_416311..525347	0	0	0	0	0	17	0	0	Proteobacteria
NC_014125_609202..648915	8	0	0	0	0	0	0	0	Proteobacteria
NC_014151_1357563..1388192	1	0	0	0	0	0	0	0	Actinobacteriota
NC_014153_2073897..2202852	8	0	0	0	0	0	0	0	Proteobacteria
NC_014209_56706..94524	1	0	0	0	3	0	0	0	Firmicutes_A
NC_014218_1818039..1837434	0	0	0	0	4	0	0	0	Actinobacteriota
NC_014251_1991237..2035155	0	0	0	6	1	0	0	0	Firmicutes
NC_014364_521185..538872	0	0	0	0	0	0	1	0	Spirochaetota
NC_014391_5262526..5305301	1	0	0	0	0	0	0	0	Actinobacteriota
NC_014394_2777009..2780676	0	0	0	0	1	0	0	0	Proteobacteria
NC_014410_273777..309314	1	0	0	0	3	0	0	0	Firmicutes_A
NC_014414_1066593..1105651	8	0	0	0	0	0	1	0	Proteobacteria
NC_014414_8800..50117	1	12	0	0	0	0	0	0	Proteobacteria
NC_014494_830913..878241	0	0	0	1	5	0	0	0	Firmicutes
NC_014494_965268..1102986	0	0	0	0	1	0	1	0	Firmicutes
NC_014498_999659..1170615	0	0	0	6	14	0	2	0	Firmicutes
NC_014500_3126494..3201103	7	0	0	0	0	0	0	0	Proteobacteria
NC_014500_858366..1087159	8	0	0	0	0	0	0	0	Proteobacteria
NC_014501_482109..593462	0	0	0	0	0	0	0	7	Cyanobacteria
NC_014501_907714..1046035	0	0	0	0	0	0	0	7	Cyanobacteria
NC_014532_3548936..3633847	0	0	0	0	0	16	0	0	Proteobacteria
NC_014555_1496741..1562797	4	1	0	0	0	0	0	0	Campylobacterota
NC_014562_2553911..2632519	0	0	0	0	1	0	0	0	Proteobacteria
NC_014640_1127769..1210927	0	1	0	0	0	16	0	0	Proteobacteria
NC_014664_3019135..3101085	8	0	0	0	0	0	0	0	Proteobacteria
NC_014752_1149374..1448712	0	0	0	0	1	0	0	0	Proteobacteria
NC_014830_16975..46389	0	0	0	0	1	0	0	0	Actinobacteriota
NC_014833_2800767..2837474	0	0	0	0	0	0	1	0	Firmicutes_A
NC_014834_860972..924906	8	0	0	0	0	0	0	0	Proteobacteria
NC_014910_4180109..4216559	0	1	0	0	0	16	0	0	Proteobacteria
NC_014963_2871730..2921320	6	0	0	0	0	0	0	0	Acidobacteriota
NC_014963_3370698..3661090	4	0	0	0	0	0	0	0	Acidobacteriota
NC_014963_4478303..4549003	6	0	0	0	0	0	0	0	Acidobacteriota
NC_014964_43707..222518	1	0	0	0	3	0	1	0	Firmicutes_A
NC_015064_3577137..3671256	6	0	0	0	1	0	0	0	Acidobacteriota
NC_015145_2323149..2397290	0	0	0	0	1	0	0	0	Actinobacteriota
NC_015160_1378791..1418275	0	0	0	0	0	0	1	0	Bacteroidota
NC_015164_1237256..1314422	0	0	0	0	0	0	11	0	Bacteroidota
NC_015164_2875441..2890532	0	0	0	0	0	0	1	0	Bacteroidota
NC_015164_3682411..3795388	1	0	0	0	0	0	12	0	Bacteroidota
NC_015177_1667146..1913147	0	0	0	0	1	0	9	0	Bacteroidota
NC_015186_2813998..2932090	8	0	0	0	0	0	1	0	Proteobacteria
NC_015214_1740904..1898725	0	0	0	0	1	0	0	0	Firmicutes
NC_015215_1386272..1452778	0	0	0	0	6	0	1	0	Firmicutes
NC_015215_2225385..2326933	0	0	0	2	1	0	0	0	Firmicutes
NC_015259_262702..320473	8	0	0	0	0	0	1	0	Proteobacteria
NC_015277_263071..318498	1	0	0	0	0	0	6	0	Bacteroidota
NC_015311_2495379..2684960	2	0	0	0	0	0	11	0	Bacteroidota
NC_015381_2768861..2944476	8	0	0	0	0	0	1	0	Proteobacteria
NC_015385_1651245..1916597	7	0	0	0	0	0	1	0	Spirochaetota
NC_015410_3057752..3221063	8	0	0	0	1	0	0	0	Proteobacteria
NC_015422_1646248..1709553	8	0	0	0	0	0	1	0	Proteobacteria
NC_015422_1799028..2022229	0	1	0	0	0	16	0	0	Proteobacteria
NC_015422_2764448..2948163	0	11	0	0	0	0	0	0	Proteobacteria
NC_015422_3421113..3549687	0	12	0	0	0	0	0	0	Proteobacteria
NC_015458_243482..391685	8	0	0	0	0	1	0	0	Proteobacteria
NC_015460_322599..378534	0	0	0	0	0	16	0	0	Proteobacteria
NC_015556_2210348..2319136	8	0	0	0	0	0	0	0	Proteobacteria
NC_015563_1850692..1944092	0	12	0	0	0	0	0	0	Proteobacteria
NC_015563_3165857..3430643	0	0	0	0	1	0	0	0	Proteobacteria
NC_015565_2285729..2359374	1	0	0	0	0	0	1	0	Firmicutes_B
NC_015571_2019600..2039826	0	0	0	0	0	0	1	0	Bacteroidota
NC_015572_2116213..2237136	0	0	0	0	0	15	0	0	Proteobacteria
NC_015580_1543919..1687384	1	12	0	0	0	0	0	0	Proteobacteria
NC_015580_1699873..1740603	1	11	0	0	0	0	0	0	Proteobacteria
NC_015580_283264..331816	8	0	0	0	0	0	1	0	Proteobacteria
NC_015589_3792111..3868969	1	0	0	0	1	0	0	0	Firmicutes_B
NC_015593_2909552..2959608	8	0	0	0	0	0	1	0	Proteobacteria
NC_015593_933235..1044714	0	11	0	0	0	0	0	0	Proteobacteria
NC_015600_1642682..1745786	0	0	0	6	1	0	0	0	Firmicutes
NC_015678_1937352..2003286	0	0	0	3	1	0	1	0	Firmicutes
NC_015684_231768..350418	8	0	0	0	0	0	1	0	Proteobacteria
NC_015684_504324..587956	8	0	0	0	0	0	1	0	Proteobacteria
NC_015737_696391..903560	1	0	0	0	0	0	0	0	Firmicutes_A
NC_015844_3151674..3229706	0	0	0	0	0	0	2	0	Bacteroidota
NC_015850_1008463..1089377	0	0	1	0	0	0	0	0	Proteobacteria
NC_015850_2034869..2084313	4	0	0	0	0	0	0	0	Proteobacteria
NC_015875_179396..274630	0	0	0	6	1	0	0	0	Firmicutes
NC_015942_2863364..2936661	0	2	0	0	0	0	0	0	Proteobacteria
NC_015945_2717484..2952659	0	0	0	0	0	0	3	0	Bacteroidota
NC_015957_633863..650193	0	0	0	0	0	1	0	0	Actinobacteriota
NC_015958_2441281..2477302	1	0	0	0	3	0	0	0	Firmicutes_A
NC_015964_1153023..1213144	0	0	0	0	0	16	0	0	Proteobacteria
NC_015976_2807050..2914110	8	0	0	0	0	0	1	0	Proteobacteria
NC_015976_3257508..3304588	8	0	0	0	0	0	1	0	Proteobacteria
NC_015977_2875224..2967313	1	0	0	1	8	0	0	0	Firmicutes_A
NC_015977_3258082..3299719	0	0	0	1	2	0	0	0	Firmicutes_A
NC_015977_3396581..3512389	1	0	0	0	3	0	1	0	Firmicutes_A
NC_015977_342106..450060	1	0	0	0	6	0	1	0	Firmicutes_A
NC_016027_2457743..2601364	8	0	0	0	0	0	2	0	Proteobacteria
NC_016048_1302936..1385257	1	0	0	0	6	0	1	0	Firmicutes_A
NC_016048_3036823..3274181	1	0	0	0	6	0	0	0	Firmicutes_A
NC_016147_1990540..2026999	8	0	0	0	0	0	0	0	Proteobacteria
NC_016609_4261829..4285538	0	0	0	0	0	0	1	0	Bacteroidota
NC_016609_7438682..7457449	0	0	0	0	0	0	1	0	Bacteroidota
NC_016609_7596650..7621523	0	0	0	0	0	0	1	0	Bacteroidota
NC_016610_698175..760153	0	0	0	0	0	0	1	0	Bacteroidota
NC_016612_5252010..5313115	7	0	0	0	0	0	0	0	Proteobacteria
NC_016616_2629763..2761096	7	0	0	0	0	0	0	0	Proteobacteria
NC_016630_1199644..1285251	0	0	0	6	3	0	0	0	Firmicutes_A
NC_016630_519101..536335	1	0	0	0	6	0	0	0	Firmicutes_A
NC_016776_1604369..1649845	0	0	0	0	0	0	11	0	Bacteroidota
NC_016791_3855683..4060785	2	0	0	0	2	0	1	0	Firmicutes_A
NC_016808_284341..322355	0	0	0	0	0	15	0	0	Proteobacteria
NC_016809_87550..143609	0	0	0	0	0	16	0	0	Proteobacteria
NC_016811_2218657..2295155	0	11	0	1	0	0	0	0	Proteobacteria
NC_016816_4127972..4238416	0	0	0	0	0	17	0	0	Proteobacteria
NC_016826_1750116..1839818	1	0	0	0	8	0	0	0	Firmicutes
NC_016830_3873318..4082937	0	1	0	0	0	15	0	0	Proteobacteria
NC_016832_4240652..4504612	0	0	0	0	0	17	0	0	Proteobacteria
NC_016941_1654211..1722970	1	0	0	5	1	0	0	0	Firmicutes
NC_016943_1332859..1467218	1	0	0	0	1	0	0	0	Actinobacteriota
NC_017025_1638628..1696403	0	0	0	0	0	0	1	0	Bacteroidota
NC_017043_122701..151533	0	4	0	0	0	0	1	0	Proteobacteria
NC_017067_393643..504433	1	0	0	0	0	0	0	0	Proteobacteria
NC_017094_524897..585066	0	0	6	0	0	0	0	0	Nitrospirota_A
NC_017174_375579..763568	1	0	0	1	13	0	0	0	Firmicutes_A
NC_017178_3770147..3980118	3	0	0	0	13	0	1	0	Firmicutes_A
NC_017372_593752..884445	6	0	0	0	0	0	0	0	Campylobacterota
NC_017379_1019071..1057258	6	0	0	0	0	0	0	0	Campylobacterota
NC_017491_2494796..2598376	0	0	0	6	1	0	0	0	Firmicutes
NC_017506_190656..293919	1	0	0	0	0	0	0	0	Proteobacteria
NC_017532_1309004..1377715	0	1	0	0	0	16	0	0	Proteobacteria
NC_017532_511609..719119	0	0	0	0	1	1	0	0	Proteobacteria
NC_017549_1513064..1597104	0	1	0	0	0	16	0	0	Proteobacteria
NC_017554_4114800..4222180	0	0	0	0	0	17	0	0	Proteobacteria
NC_017566_4163925..4325801	0	0	0	0	0	2	0	0	Proteobacteria
NC_017573_310422..387257	0	0	0	0	0	17	0	0	Proteobacteria
NC_017576_1726802..1763316	0	0	0	2	2	0	0	0	Firmicutes
NC_017582_747594..816131	0	0	0	0	1	0	0	0	Firmicutes
NC_017617_484681..550214	0	0	0	0	6	0	2	0	Firmicutes
NC_017619_809925..940453	0	0	0	0	14	0	1	0	Firmicutes
NC_017626_2994821..3028550	0	0	1	0	0	0	0	0	Proteobacteria
NC_017634_4429779..4478026	0	0	0	0	0	16	0	0	Proteobacteria
NC_017641_4885823..4951469	0	0	0	0	0	17	0	0	Proteobacteria
NC_017668_3621588..3675078	0	0	0	1	1	0	0	0	Firmicutes
NC_017671_1645653..1745007	0	1	0	0	0	16	0	0	Proteobacteria
NC_017737_1763744..1821806	6	0	0	0	0	0	0	0	Campylobacterota
NC_017737_863672..948367	5	0	0	0	0	0	0	0	Campylobacterota
NC_017739_1081552..1206611	6	0	0	0	0	0	0	0	Campylobacterota
NC_017739_1535795..1648841	6	0	0	0	1	0	0	0	Campylobacterota
NC_017743_526202..554904	0	0	0	5	1	0	0	0	Firmicutes
NC_017845_1604217..1685714	0	0	0	0	0	16	0	0	Proteobacteria
NC_017845_1694213..1803540	7	0	0	0	0	0	0	0	Proteobacteria
NC_017845_3703194..3820617	0	0	0	0	0	17	0	0	Proteobacteria
NC_017856_897933..1015315	8	0	0	0	1	0	0	0	Proteobacteria
NC_017905_1820098..1896622	0	0	0	3	1	0	1	0	Firmicutes
NC_017955_1619448..1675583	1	0	0	0	1	0	0	0	Actinobacteriota
NC_018011_1029047..1074461	1	0	0	0	0	0	0	0	Bacteroidota
NC_018011_2077063..2147860	1	0	0	0	1	0	2	0	Bacteroidota
NC_018011_212959..226603	1	0	0	0	0	0	0	0	Bacteroidota
NC_018011_743546..823964	2	0	0	0	0	0	9	0	Bacteroidota
NC_018011_864600..889038	1	0	0	0	0	0	3	0	Bacteroidota
NC_018012_1478080..1681058	0	8	0	0	0	0	0	0	Proteobacteria
NC_018028_1401135..1461193	0	1	0	0	0	13	0	0	Proteobacteria
NC_018080_5097748..5188381	0	0	0	0	0	16	0	0	Proteobacteria
NC_018140_88470..258976	8	0	1	1	0	0	0	0	Proteobacteria
NC_018220_4537276..4681992	0	1	0	0	0	15	0	0	Proteobacteria
NC_018221_1885514..2011276	0	0	0	1	1	0	0	0	Firmicutes
NC_018485_1852989..1930021	8	0	0	0	0	0	2	0	Proteobacteria
NC_018485_94306..230925	8	0	0	0	0	0	2	0	Proteobacteria
NC_018522_1608318..1882592	7	0	0	0	0	0	0	0	Proteobacteria
NC_018585_2302552..2340760	0	0	0	6	2	0	1	0	Firmicutes
NC_018586_1417062..1479202	1	0	0	5	2	0	0	0	Firmicutes
NC_018641_557493..642414	0	0	0	0	2	0	1	0	Firmicutes
NC_018695_2198398..2383594	6	0	0	0	0	0	0	0	Proteobacteria
NC_018708_3122034..3253494	8	0	0	0	0	0	1	0	Proteobacteria
NC_018712_1302768..1367936	1	0	0	0	9	0	0	0	Firmicutes
NC_018828_531849..583368	0	1	0	0	0	13	0	0	Proteobacteria
NC_018867_12902..142905	3	0	0	0	9	0	1	0	Firmicutes_B
NC_018870_702994..806678	1	0	0	0	1	0	1	0	Firmicutes_B
NC_019042_1598550..1633731	0	0	0	2	2	0	0	0	Firmicutes
NC_019560_433003..491490	6	0	0	0	0	0	0	0	Campylobacterota
NC_019751_2604701..2850752	0	0	0	0	1	0	0	7	Cyanobacteria
NC_019903_1781220..1796908	0	0	0	0	0	0	1	0	Firmicutes_B
NC_019904_402987..456416	0	0	0	0	0	0	1	0	Bacteroidota
NC_019968_1116587..1192973	1	0	1	0	1	0	6	0	Bacteroidota
NC_019968_385491..395035	0	0	0	0	0	0	1	0	Bacteroidota
NC_020181_3327464..3377175	0	0	0	0	0	9	0	0	Proteobacteria
NC_020450_1189549..1255793	0	0	0	0	5	0	1	0	Firmicutes
NC_020450_642755..685334	0	0	0	3	0	0	0	0	Firmicutes
