accession	n_fa_fata_profiles
CP126592.1	2
CP126687.1	2
CP127381.1	11
CP127537.1	7
CP127576.1	3
CP127666.1	7
CP128120.1	4
CP128128.1	2
CP128450.1	5
CP128455.1	4
CP130744.1	2
CP130746.1	3
CP130747.1	5
CP131007.1	9
CP136438.1	2
CP137273.1	3
CP137275.1	3
CP137277.1	3
CP137279.1	3
CP137601.1	3
CP138365.1	16
CP139434.1	2
CP151132.1	8
CP151427.1	7
CP152455.1	8
CP155473.1	2
CP156023.1	2
HE970765.1	8
HM037272.1	3
LC499744.1	7
LC744564.1	7
LC755502.1	7
LC757832.1	7
LC783998.1	7
LC784006.1	7
LC784009.1	7
LC799788.1	8
LC799789.1	8
LC799790.1	8
LC799791.1	8
LC799792.1	8
LC799793.1	8
LC799794.1	8
LC799795.1	8
LC799796.1	8
LC799797.1	8
LR961927.1	6
LR961936.1	8
LR961937.1	6
LR961939.1	8
LR961946.1	8
LR961949.1	8
LR961954.1	7
LR961955.1	6
LR961958.1	7
LR961962.1	8
LR961971.1	6
LR961976.1	9
LR961979.1	8
LR961982.1	8
LR961983.1	5
LR961987.1	6
LR961988.1	8
LR961990.1	3
LR961992.1	8
LR961993.1	5
LR961998.1	6
LR962003.1	5
LR962005.1	3
LR962007.1	3
LR962009.1	6
LR962011.1	5
LR962020.1	8
LR962024.1	2
LR962026.1	3
LR962031.1	6
LR962032.1	6
LR962035.1	6
LR962037.1	3
LR962040.1	3
LR962041.1	6
LR962042.1	8
LR962044.1	6
LR962054.1	6
LR962057.1	3
LR962058.1	6
LR962059.1	8
LR962061.1	6
LR962065.1	8
LR962070.1	6
LR962073.1	8
LR962076.1	7
LR962080.1	3
LR962081.1	6
LR962087.1	6
LR962088.1	8
LR962090.1	6
LR962099.1	7
LR962104.1	6
LR962105.1	3
LR962108.1	5
LR962111.1	2
LR962113.1	7
LR962120.1	8
LR962122.1	8
LR962124.1	8
LR962126.1	7
LR962127.1	8
LR962133.1	4
LR962139.1	7
LR962142.1	8
LR962143.1	7
LR962145.1	11
LR962147.1	7
LR962150.1	8
LR962156.1	4
LR962159.1	7
LR962164.1	7
LR962166.1	7
LR962172.1	8
LR962175.1	2
LR962176.1	5
LR962183.1	3
LR962191.1	2
LR962192.1	6
LR962198.1	8
LR962199.1	7
LR962204.1	2
LR962205.1	3
LR962207.1	8
LR962208.1	5
LR962212.1	8
LR962214.1	8
LR962218.1	2
LR962219.1	6
LR962220.1	3
LR962228.1	2
LR962229.1	3
LR962232.1	6
LR962233.1	4
LR962235.1	3
LR962240.1	7
LR962243.1	12
LR962249.1	6
LR962252.1	6
LR962253.1	6
LR962255.1	7
LR962259.1	9
LR962260.1	3
LR962261.1	2
LR962265.1	8
LR962268.1	8
LR962269.1	6
LR962272.1	2
LR962274.1	5
LR962276.1	6
LR962278.1	6
LR962281.1	8
LR962282.1	5
LR962285.1	6
LR962286.1	3
LR962289.1	8
LR962297.1	2
LR962299.1	8
LR962303.1	3
LR962304.1	8
LR962305.1	8
LR962307.1	2
LR962309.1	3
LR962310.1	8
LR962312.1	11
LR962313.1	8
LR962317.1	2
LR962330.1	5
LR962332.1	8
LR962335.1	7
LR962337.1	6
LR962341.1	6
LR962344.1	6
LR962347.1	7
LR962349.1	6
LR962352.1	7
LR962354.1	7
LR962355.1	6
LR962365.1	6
LR962376.1	5
LR962379.1	2
LR962387.1	6
LR962391.1	2
LR962394.1	8
LR962397.1	2
LR962398.1	6
LR962401.1	5
LR962405.1	14
LR962409.1	5
LR962411.1	7
LR962419.1	5
LR962420.1	6
LR962422.1	8
LR962424.1	8
LR962433.1	3
LR962435.1	6
LR962436.1	7
LR962438.1	7
LR962441.1	6
LR962449.1	7
LR962451.1	3
LR962455.1	8
LR962457.1	7
LR962467.1	7
LR962469.1	8
LR962475.1	7
LR962477.1	7
LR962478.1	7
LR962482.1	6
LR962483.1	7
LR962487.1	7
LR962491.1	6
LR962492.1	7
LR962496.1	7
LR962498.1	5
LR962503.1	3
LR962504.1	3
LR962505.1	8
LR962513.1	6
LR962514.1	5
LR962518.1	8
LR962520.1	7
LR962522.1	3
LR962527.1	5
LR962528.1	3
LR962529.1	6
LR962533.1	7
LR962543.1	8
LR962547.1	7
LR962549.1	8
LR962552.1	9
LR962553.1	5
LR962555.1	7
LR962557.1	7
LR962562.1	9
LR962563.1	5
LR962564.1	7
LR962566.1	8
LR962568.1	7
LR962570.1	3
LR962571.1	6
LR962573.1	8
LR962575.1	8
LR962577.1	2
LR962581.1	5
LR962583.1	7
LR962585.1	7
LR962588.1	2
LR962592.1	3
LR962594.1	3
LR962596.1	8
LR962597.1	3
LR962599.1	3
LR962601.1	5
LR962603.1	6
LR962609.1	6
LR962613.1	7
LR962614.1	4
LR962619.1	8
LR962623.1	2
LR962630.1	7
LR962631.1	4
LR962635.1	8
LR962637.1	7
LR962638.1	8
LR962640.1	8
LR962641.1	8
LR962643.1	6
LR962651.1	4
LR962652.1	8
LR962655.1	3
LR962657.1	3
LR962659.1	6
LR962660.1	6
LR962661.1	8
LR962664.1	3
LR962665.1	8
LR962667.1	6
LR962673.1	4
LR962677.1	4
LR962678.1	8
LR962685.1	3
LR962688.1	6
LR962696.1	8
LR962699.1	6
LR962701.1	6
LR962704.1	8
LR962705.1	5
LR962706.1	8
LR962709.1	6
LR962715.1	3
LR962718.1	6
LR962719.1	6
LR962727.1	8
LR962733.1	6
LR962773.1	6
LR962776.1	7
LR962778.1	3
LR962779.1	8
LR962783.1	8
LR962785.1	8
LR962789.1	3
LR962790.1	8
LR962793.1	6
LR962798.1	8
LR962799.1	8
LR962803.1	6
LR962808.1	8
LR962812.1	8
LR962815.1	8
LR962819.1	7
LR962822.1	6
LR962828.1	8
LR962833.1	8
LR962835.1	8
LR962841.1	6
LR962844.1	7
LR962847.1	8
LR962848.1	5
LR962849.1	5
LR962851.1	5
LR962853.1	5
LR962856.1	3
LR962858.1	3
LR962860.1	8
LT603682.1	9
LT984414.1	5
NC_001496.1	3
NC_002146.1	2
NC_002630.1	5
NC_004669.1	6
NC_004671.1	8
NC_005024.1	7
NC_005054.1	7
NC_006377.1	5
NC_006578.1	2
NC_006827.2	14
NC_006873.1	2
NC_007103.1	8
NC_007322.2	3
NC_007323.3	2
NC_007594.1	2
NC_007773.1	3
NC_007792.1	7
NC_008445.1	7
NC_009329.1	4
NC_009806.1	2
NC_009841.1	5
NC_010279.1	7
NC_010283.1	3
NC_010371.1	4
NC_010381.1	2
NC_010418.1	2
NC_010420.1	4
NC_010470.1	3
NC_010492.1	2
NC_010608.1	2
NC_010901.1	7
NC_010924.1	2
NC_010933.1	7
NC_010934.1	3
NC_010937.1	3
NC_011412.1	2
NC_011642.1	9
NC_011777.1	2
NC_011839.1	5
NC_011996.1	2
NC_012473.1	2
NC_012547.1	7
NC_012577.1	2
NC_012579.1	3
NC_012654.1	4
NC_012655.1	2
NC_012656.1	3
NC_013164.1	10
NC_013320.1	7
NC_013327.1	2
NC_013338.1	7
NC_013339.1	7
NC_013341.1	6
NC_013342.1	7
NC_013343.1	7
NC_013344.1	7
NC_013514.1	7
NC_013533.1	8
NC_013653.1	7
NC_013767.1	3
NC_013792.1	2
NC_013793.1	5
NC_014172.1	7
NC_014331.1	3
NC_014332.1	2
NC_014389.1	4
NC_014475.1	6
NC_014726.1	6
NC_014825.1	6
NC_015148.1	2
NC_015712.1	3
NC_015845.1	5
NC_016827.2	3
NC_016967.1	2
NC_017177.1	2
NC_017202.1	3
NC_017205.1	5
NC_017313.1	8
NC_017315.1	6
NC_017476.1	8
NC_017483.1	3
NC_017499.1	2
NC_017543.1	3
NC_017726.1	3
NC_017727.1	2
NC_017961.1	6
NC_018223.1	3
NC_018486.1	2
NC_018488.1	5
NC_018501.1	2
NC_018510.1	4
NC_018675.1	3
NC_018879.1	5
NC_018967.1	7
NC_019213.1	6
NC_019257.1	3
NC_019259.1	3
NC_019284.1	6
NC_019308.1	3
NC_019688.1	3
NC_019699.1	2
NC_019898.1	3
NC_020239.1	3
NC_020240.1	2
NC_020249.1	4
NC_020382.1	5
NC_020392.1	4
NC_020393.1	3
NC_020394.1	2
NC_020535.1	7
NC_021076.1	3
NC_021519.1	2
NC_022111.1	2
NC_022602.1	7
NC_022603.1	7
NC_022782.1	4
NC_022875.1	10
NC_022879.1	5
NC_022880.1	5
NC_023284.1	2
NC_023285.1	2
NC_025146.1	2
NC_025249.1	5
NZ_AP012550.1	7
NZ_AP014834.1	3
NZ_AP014835.1	2
NZ_AP014868.1	4
NZ_AP017321.1	7
NZ_AP017631.1	3
NZ_AP017976.1	5
NZ_AP018444.1	3
NZ_AP018445.1	2
NZ_AP018539.1	6
NZ_AP018540.1	2
NZ_AP018541.1	8
NZ_AP018542.1	9
NZ_AP018544.1	6
NZ_AP018545.1	2
NZ_AP018546.1	8
NZ_AP018547.1	9
NZ_AP019732.1	3
NZ_AP019733.1	2
NZ_AP019752.1	3
NZ_AP019811.1	5
NZ_AP019812.1	5
NZ_AP022858.1	2
NZ_AP022875.1	2
NZ_AP022878.1	2
NZ_AP022887.1	2
NZ_AP022904.1	2
NZ_AP022908.1	2
NZ_AP022916.1	2
NZ_AP022922.1	2
NZ_AP022928.1	2
NZ_AP022929.1	7
NZ_AP022937.1	2
NZ_AP022938.1	8
NZ_AP022939.1	5
NZ_AP022947.1	3
NZ_AP022953.1	2
NZ_AP022957.1	2
NZ_AP022965.1	2
NZ_AP022966.1	4
NZ_AP022971.1	2
NZ_AP022982.1	2
NZ_AP022983.1	2
NZ_AP022987.1	2
NZ_AP022988.1	7
NZ_AP022989.1	5
NZ_AP023001.1	2
NZ_AP023416.1	16
NZ_AP023421.1	8
NZ_AP024505.1	2
NZ_AP024686.1	2
NZ_AP024724.1	7
NZ_AP025141.1	4
NZ_AP025163.1	4
NZ_AP025228.1	3
NZ_AP025272.1	3
NZ_AP025636.1	4
NZ_AP026569.1	2
NZ_AP026711.1	4
NZ_AP026713.1	2
NZ_AP026722.1	2
NZ_AP026773.1	7
NZ_AP026824.1	7
NZ_AP026872.1	3
NZ_AP027137.1	8
NZ_AP027296.1	5
NZ_AP027300.1	6
NZ_AP027303.1	7
NZ_AP028060.1	2
NZ_AP028148.1	2
NZ_CP001971.2	3
NZ_CP001972.2	2
NZ_CP004860.1	2
NZ_CP004862.1	4
NZ_CP004868.1	3
NZ_CP004869.1	5
NZ_CP004872.1	5
NZ_CP004873.1	4
NZ_CP004874.1	2
NZ_CP004875.1	3
NZ_CP004877.1	2
NZ_CP006743.1	3
NZ_CP006744.1	2
NZ_CP006909.1	3
NZ_CP007124.1	2
NZ_CP007125.1	9
NZ_CP007513.1	2
NZ_CP007613.1	4
NZ_CP007614.1	3
NZ_CP007616.1	2
NZ_CP007617.1	2
NZ_CP007650.1	6
NZ_CP007664.1	2
NZ_CP007665.1	3
NZ_CP007740.1	6
NZ_CP008815.1	8
NZ_CP008847.1	3
NZ_CP008848.1	2
NZ_CP008877.1	6
NZ_CP009299.1	2
NZ_CP009314.1	2
NZ_CP009316.1	3
NZ_CP009317.1	2
NZ_CP009324.1	3
NZ_CP009326.1	2
NZ_CP009327.1	3
NZ_CP009329.1	2
NZ_CP009330.1	3
NZ_CP009333.1	2
NZ_CP009336.1	6
NZ_CP009339.1	2
NZ_CP009340.1	3
NZ_CP009349.1	2
NZ_CP009350.1	4
NZ_CP009462.1	2
NZ_CP009463.1	3
NZ_CP009475.1	2
NZ_CP009540.1	3
NZ_CP009542.1	2
NZ_CP009543.1	3
NZ_CP009558.1	3
NZ_CP009595.1	7
NZ_CP009597.1	3
NZ_CP009606.1	7
NZ_CP009636.1	2
NZ_CP009640.1	2
NZ_CP009691.1	6
NZ_CP009695.1	2
NZ_CP009696.1	3
NZ_CP009698.1	2
NZ_CP009699.1	3
NZ_CP009900.1	2
NZ_CP009901.1	3
NZ_CP009921.1	2
NZ_CP009967.1	8
NZ_CP009979.1	2
NZ_CP009980.1	3
NZ_CP010087.1	2
NZ_CP010090.1	2
NZ_CP010092.1	3
NZ_CP010093.1	5
NZ_CP010094.1	4
NZ_CP010110.1	3
NZ_CP010111.1	2
NZ_CP010270.1	2
NZ_CP010320.1	2
NZ_CP010321.1	3
NZ_CP010580.1	3
NZ_CP010581.1	5
NZ_CP010853.1	3
NZ_CP010854.1	2
NZ_CP011009.1	7
NZ_CP011023.1	7
NZ_CP011152.1	3
NZ_CP011154.1	3
NZ_CP011157.1	3
NZ_CP011350.1	2
NZ_CP011351.1	2
NZ_CP011357.1	4
NZ_CP011358.1	4
NZ_CP011513.1	2
NZ_CP012100.1	7
NZ_CP012101.1	3
NZ_CP012102.1	10
NZ_CP012103.1	3
NZ_CP012121.2	2
NZ_CP012188.1	2
NZ_CP012476.1	6
NZ_CP012477.1	2
NZ_CP013017.1	3
NZ_CP013039.1	2
NZ_CP013041.1	2
NZ_CP013057.1	4
NZ_CP013058.1	3
NZ_CP013059.1	2
NZ_CP013241.1	3
NZ_CP013276.1	2
NZ_CP013280.1	4
NZ_CP013684.1	2
NZ_CP013700.1	2
NZ_CP013710.1	3
NZ_CP013725.1	3
NZ_CP013750.1	2
NZ_CP013755.1	2
NZ_CP014152.1	3
NZ_CP014171.1	7
NZ_CP014177.1	3
NZ_CP014178.1	2
NZ_CP014284.1	2
NZ_CP014419.1	7
NZ_CP014448.1	7
NZ_CP014473.1	2
NZ_CP014535.1	2
NZ_CP014644.1	2
NZ_CP014851.1	2
NZ_CP014857.1	2
NZ_CP014988.1	2
NZ_CP015154.1	2
NZ_CP015155.1	3
NZ_CP015156.1	5
NZ_CP015179.1	5
NZ_CP015180.1	2
NZ_CP015253.1	7
NZ_CP015260.1	2
NZ_CP015284.1	2
NZ_CP015313.1	3
NZ_CP015314.1	5
NZ_CP015351.1	3
NZ_CP015352.1	8
NZ_CP015354.1	5
NZ_CP015356.1	4
NZ_CP015517.1	3
NZ_CP015608.1	6
NZ_CP015730.1	3
NZ_CP015777.1	3
NZ_CP015778.1	2
NZ_CP015885.1	6
NZ_CP015967.1	5
NZ_CP016281.1	7
NZ_CP016356.1	2
NZ_CP016361.1	4
NZ_CP016541.2	2
NZ_CP016589.1	2
NZ_CP016596.1	3
NZ_CP016624.1	4
NZ_CP016686.2	6
NZ_CP016702.1	7
NZ_CP016707.2	5
NZ_CP016721.3	6
NZ_CP016727.2	6
NZ_CP016791.1	2
NZ_CP016840.1	2
NZ_CP016845.1	4
NZ_CP016846.1	6
NZ_CP016847.1	5
NZ_CP016848.1	3
NZ_CP016860.1	2
NZ_CP016918.1	4
NZ_CP017199.1	3
NZ_CP017573.1	4
NZ_CP017574.1	7
NZ_CP017691.1	4
NZ_CP017764.1	2
NZ_CP017773.1	3
NZ_CP017955.1	2
NZ_CP017963.1	2
NZ_CP018130.1	2
NZ_CP018178.1	8
NZ_CP018185.1	2
NZ_CP018188.1	5
NZ_CP018198.1	4
NZ_CP018741.1	3
NZ_CP018742.1	2
NZ_CP018877.1	2
NZ_CP018904.1	3
NZ_CP018905.1	2
NZ_CP018932.1	2
NZ_CP018934.1	2
NZ_CP018936.1	2
NZ_CP019039.1	6
NZ_CP019166.1	3
NZ_CP019168.1	3
NZ_CP019234.1	2
NZ_CP019513.1	6
NZ_CP019514.1	3
NZ_CP019589.1	3
NZ_CP019642.1	5
NZ_CP019658.1	5
NZ_CP019661.1	5
NZ_CP019720.1	4
NZ_CP019796.1	4
NZ_CP019972.1	2
NZ_CP020024.1	2
NZ_CP020031.1	4
NZ_CP020329.1	5
NZ_CP020429.2	3
NZ_CP020434.2	3
NZ_CP020460.1	2
NZ_CP020716.1	3
NZ_CP020717.1	2
NZ_CP020745.1	4
NZ_CP020746.1	2
NZ_CP020747.1	3
NZ_CP020748.1	2
NZ_CP020829.1	3
NZ_CP020864.1	3
NZ_CP021062.1	2
NZ_CP021063.1	3
NZ_CP021065.1	5
NZ_CP021357.1	2
NZ_CP021459.1	7
NZ_CP021876.1	4
NZ_CP021878.1	6
NZ_CP021893.1	2
NZ_CP022045.1	3
NZ_CP022320.2	3
NZ_CP022346.1	2
NZ_CP022406.1	2
NZ_CP022446.1	2
NZ_CP022465.2	2
NZ_CP022484.1	6
NZ_CP022485.1	8
NZ_CP022984.1	5
NZ_CP023002.1	3
NZ_CP023003.1	2
NZ_CP023176.1	2
NZ_CP023246.1	2
NZ_CP023318.1	2
NZ_CP023413.1	3
NZ_CP023976.1	2
NZ_CP024036.1	2
NZ_CP024097.1	2
NZ_CP024099.1	4
NZ_CP024100.1	2
NZ_CP024102.1	4
NZ_CP024103.1	2
NZ_CP024105.1	4
NZ_CP024106.1	2
NZ_CP024108.1	2
NZ_CP024110.1	2
NZ_CP024112.1	2
NZ_CP024114.1	4
NZ_CP024115.1	2
NZ_CP024117.1	4
NZ_CP024118.1	2
NZ_CP024122.1	2
NZ_CP024656.1	4
NZ_CP024657.1	6
NZ_CP024658.1	2
NZ_CP024773.1	2
NZ_CP024774.1	7
NZ_CP025124.1	2
NZ_CP025224.1	4
NZ_CP025472.1	4
NZ_CP025497.1	2
NZ_CP025498.1	8
NZ_CP025503.1	3
NZ_CP025504.1	3
NZ_CP025732.1	6
NZ_CP025961.1	2
NZ_CP026078.1	7
NZ_CP026096.1	6
NZ_CP026535.1	6
NZ_CP026611.1	2
NZ_CP026737.1	2
NZ_CP026738.1	2
NZ_CP026963.1	7
NZ_CP027401.1	8
NZ_CP027515.1	2
NZ_CP027790.1	5
NZ_CP027795.1	2
NZ_CP027859.1	2
NZ_CP028161.1	4
NZ_CP028164.1	3
NZ_CP028184.1	3
NZ_CP028203.1	3
NZ_CP028214.1	7
NZ_CP028253.1	3
NZ_CP028283.1	8
NZ_CP028284.1	2
NZ_CP028286.1	6
NZ_CP028335.1	2
NZ_CP028427.1	6
NZ_CP028721.1	5
NZ_CP028722.1	5
NZ_CP028723.1	8
NZ_CP028725.1	9
NZ_CP028836.1	8
NZ_CP028837.1	3
NZ_CP028838.1	6
NZ_CP029067.1	4
NZ_CP029324.1	3
NZ_CP029325.1	2
NZ_CP029456.1	4
NZ_CP029537.1	3
NZ_CP029547.1	2
NZ_CP029628.1	2
NZ_CP029806.1	3
NZ_CP029807.1	2
NZ_CP030044.1	9
NZ_CP030046.1	3
NZ_CP030151.1	2
NZ_CP030772.1	2
NZ_CP030934.1	9
NZ_CP030935.1	7
NZ_CP031005.1	2
NZ_CP031028.1	3
NZ_CP031029.1	6
NZ_CP031063.1	2
NZ_CP031066.1	2
NZ_CP031069.1	2
NZ_CP031072.1	3
NZ_CP031076.1	5
NZ_CP031095.1	4
NZ_CP031163.1	2
NZ_CP031260.1	2
NZ_CP032413.1	3
NZ_CP032437.1	6
NZ_CP032539.1	5
NZ_CP032609.1	2
NZ_CP032740.1	9
NZ_CP032820.1	2
NZ_CP032854.1	5
NZ_CP032856.1	7
NZ_CP032862.1	2
NZ_CP032864.1	2
NZ_CP032866.1	2
NZ_CP033045.1	7
NZ_CP033047.1	6
NZ_CP033741.1	7
NZ_CP033789.1	2
NZ_CP033793.1	5
NZ_CP034112.1	2
NZ_CP034168.1	8
NZ_CP034684.1	2
NZ_CP034685.1	3
NZ_CP035095.1	2
NZ_CP035114.1	2
NZ_CP035190.1	5
NZ_CP035233.1	2
NZ_CP035396.1	8
NZ_CP035564.1	2
NZ_CP035955.1	2
NZ_CP035964.1	7
NZ_CP035967.1	4
NZ_CP035969.1	8
NZ_CP035976.1	7
NZ_CP035981.1	3
NZ_CP035986.1	4
NZ_CP035988.1	3
NZ_CP035996.1	3
NZ_CP035998.1	3
NZ_CP036001.1	2
NZ_CP036002.1	2
NZ_CP036007.1	3
NZ_CP036011.1	9
NZ_CP036012.1	3
NZ_CP036020.1	2
NZ_CP036021.1	3
NZ_CP036025.1	4
NZ_CP036030.1	7
NZ_CP036038.1	3
NZ_CP036041.1	3
NZ_CP036045.1	3
NZ_CP036049.1	3
NZ_CP036053.1	4
NZ_CP036054.1	3
NZ_CP036055.1	7
NZ_CP036058.1	2
NZ_CP036067.1	4
NZ_CP036071.1	4
NZ_CP036072.1	8
NZ_CP036074.1	7
NZ_CP036079.1	2
NZ_CP036081.1	5
NZ_CP036083.1	7
NZ_CP036092.1	3
NZ_CP036093.1	7
NZ_CP036095.1	4
NZ_CP036097.1	8
NZ_CP036100.1	3
NZ_CP036104.1	2
NZ_CP036106.1	5
NZ_CP036113.1	3
NZ_CP036114.1	7
NZ_CP036118.1	3
NZ_CP036119.1	6
NZ_CP036122.1	6
NZ_CP036124.1	2
NZ_CP036125.1	7
NZ_CP036128.1	7
NZ_CP036129.1	2
NZ_CP036131.1	5
NZ_CP036138.1	3
NZ_CP036148.1	3
NZ_CP036248.1	6
NZ_CP036355.1	2
NZ_CP036556.1	2
NZ_CP037750.1	3
NZ_CP037962.1	5
NZ_CP038154.1	8
NZ_CP038173.1	5
NZ_CP038866.1	7
NZ_CP038867.1	2
NZ_CP039722.1	2
NZ_CP039726.1	4
NZ_CP039728.1	2
NZ_CP039737.1	3
NZ_CP040341.1	2
NZ_CP040343.1	2
NZ_CP040366.1	2
NZ_CP040376.1	3
NZ_CP040462.1	7
NZ_CP040502.1	2
NZ_CP040554.1	4
NZ_CP040620.1	7
NZ_CP040675.1	2
NZ_CP040783.1	2
NZ_CP040803.1	6
NZ_CP040879.1	2
NZ_CP040897.1	2
NZ_CP041067.1	2
NZ_CP041231.1	2
NZ_CP041255.1	2
NZ_CP041325.1	3
NZ_CP041370.1	2
NZ_CP041397.1	2
NZ_CP041658.1	8
NZ_CP041739.1	8
NZ_CP041762.1	2
NZ_CP042290.1	7
NZ_CP042292.1	5
NZ_CP042375.1	4
NZ_CP042409.1	7
NZ_CP042411.1	3
NZ_CP042414.1	3
NZ_CP042419.1	3
NZ_CP042421.1	3
NZ_CP042827.1	2
NZ_CP042875.1	2
NZ_CP042928.1	2
NZ_CP043502.1	5
NZ_CP043527.1	6
NZ_CP043642.1	2
NZ_CP043762.1	2
NZ_CP043831.1	7
NZ_CP043832.1	3
NZ_CP043967.1	4
NZ_CP043968.1	4
NZ_CP044238.1	8
NZ_CP044979.1	3
NZ_CP044980.1	2
NZ_CP045023.1	2
NZ_CP045225.1	2
NZ_CP045273.1	2
NZ_CP045275.1	2
NZ_CP045276.1	2
NZ_CP045297.1	9
NZ_CP045607.2	2
NZ_CP045613.1	2
NZ_CP045776.1	2
NZ_CP045850.1	2
NZ_CP046076.1	6
NZ_CP046109.1	2
NZ_CP046248.1	8
NZ_CP046263.1	2
NZ_CP046399.1	2
NZ_CP046516.1	3
NZ_CP046517.1	3
NZ_CP046573.1	2
NZ_CP046625.1	8
NZ_CP047086.1	2
NZ_CP047088.1	4
NZ_CP047132.1	3
NZ_CP047133.1	2
NZ_CP047329.1	7
NZ_CP047367.1	2
NZ_CP047468.1	7
NZ_CP047806.1	7
NZ_CP048644.1	6
NZ_CP048887.1	2
NZ_CP048888.1	2
NZ_CP049224.1	2
NZ_CP049227.1	2
NZ_CP049229.1	2
NZ_CP049704.1	4
NZ_CP049776.1	8
NZ_CP049777.1	7
NZ_CP049890.1	6
NZ_CP050484.1	7
NZ_CP050492.1	7
NZ_CP050501.1	8
NZ_CP050502.1	8
NZ_CP050503.1	9
NZ_CP051014.1	2
NZ_CP051015.1	7
NZ_CP051179.1	3
NZ_CP051681.1	6
NZ_CP053094.1	2
NZ_CP053182.1	7
NZ_CP053290.1	2
NZ_CP053558.1	2
NZ_CP053657.2	2
NZ_CP053672.2	5
NZ_CP053930.1	2
NZ_CP053937.1	2
NZ_CP053961.1	2
NZ_CP053962.1	2
NZ_CP053978.1	2
NZ_CP053992.1	7
NZ_CP053994.1	7
NZ_CP054001.1	2
NZ_CP054154.1	3
NZ_CP054211.1	2
NZ_CP054419.1	3
