seq_idx	aa_len	n_records	pfam_domains
182	288	1	
183	549	1	TrbL(114.4)
184	71	1	
185	71	1	
186	314	1	TrbL(122.1)
187	86	4	DUF2749(82.8)
188	320	2	TrbL(119.0)
189	351	3	TrbL(133.2)
190	72	1	
191	370	1	
192	148	1	
193	754	1	TraG_N(52.3)
194	198	1	
195	203	1	
196	402	1	DDE_Tnp_1(87.3)
197	402	7	DDE_Tnp_1(87.3)
198	81	1	
199	370	1	TrbL(110.3)
200	99	1	
201	83	1	
202	99	1	
203	158	1	
204	147	1	
205	147	1	
206	148	1	
207	132	1	
208	149	1	
209	159	1	
210	125	5	DDE_Tnp_IS1(248.0)
211	514	1	TrbL(62.6)
212	381	1	TrbL(95.7)
213	104	1	TrbK(110.7)
214	95	1	TrbK(129.6)
215	95	4	TrbK(131.3)
216	95	1	TrbK(130.4)
217	95	1	TrbK(132.2)
218	95	1	TrbK(133.2)
219	120	1	TrbK(123.5)
220	95	1	TrbK(129.0)
221	88	6	TrbK(127.3)
222	111	1	TrbK(129.5)
223	105	1	TrbK(91.8)
224	105	1	TrbK(94.5)
225	125	1	TrbK(123.3)
226	105	1	TrbK(102.8)
227	105	2	TrbK(103.0)
228	101	1	TrbK(102.7)
229	101	1	TrbK(102.7)
230	105	1	TrbK(95.8)
231	175	2	
232	175	1	
233	334	4	TrbL(104.3)
234	334	1	TrbL(103.0)
235	341	5	TrbL(101.5)
236	315	1	TrbL(125.1)
237	340	1	TrbL(110.4)
238	338	1	TrbL(114.4)
239	340	1	TrbL(122.6)
240	361	1	TrbL(121.8)
241	153	1	
242	178	1	
243	178	1	
244	178	3	
245	178	2	
246	144	1	
247	121	1	TrbK(80.0)
248	366	1	TrbL(122.1)
249	485	1	TrbL(89.5)
250	175	1	
251	163	2	
252	358	1	DUF772(85.5);DDE_Tnp_1(44.4)
253	196	1	
254	490	1	TrbL(90.4)
255	492	3	TrbL(90.3)
256	492	1	TrbL(86.6)
257	493	3	TrbL(89.0)
258	492	1	TrbL(85.4)
259	345	1	TrbL(124.1)
260	344	1	rve_3(53.2);rve(53.1);HTH_32(47.9);HTH_29(44.5);HTH_28(44.0);HTH_23(34.0);LZ_Tnp_IS481(23.4)
261	191	1	TraG_N(37.5)
262	95	1	TrbK(128.8)
263	668	1	
264	177	1	
265	140	4	
266	332	1	TrbL(84.2)
267	404	1	TrbL(88.8)
268	406	1	TrbL(87.2)
269	334	1	TrbL(102.5)
270	311	1	TrbL(124.0)
271	305	1	TrbL(126.5)
272	121	1	
273	338	1	TrbL(149.5)
274	341	1	TrbL(146.6)
275	342	1	TrbL(149.2)
276	342	2	TrbL(147.4);TrbL_3(28.5)
277	314	1	TrbL(120.3)
278	314	1	TrbL(120.4)
279	95	1	TrbK(107.4)
280	95	1	TrbK(111.4)
281	119	1	TrbK(103.2)
282	95	1	TrbK(123.7)
283	96	1	TrbK(129.0)
284	100	1	TrbK(125.7)
285	49	1	
286	70	1	
287	236	1	
288	384	1	SLT(51.4)
289	384	1	SLT(50.7)
290	331	1	TrbL(119.7)
291	645	1	TraG_N(112.6)
292	246	1	
293	623	1	
294	95	1	TraT(51.8)
295	308	1	TrbL(136.5)
296	308	1	TrbL(127.1)
297	184	1	
298	141	4	HTH_Tnp_1(45.1);HTH_23(29.9)
299	141	2	HTH_Tnp_1(45.1);HTH_23(29.9)
300	341	1	TrbL(105.6)
301	189	1	
302	189	1	
303	29	1	
304	141	1	
305	141	1	
306	80	1	
307	181	1	DUF2059(35.5)
308	120	1	
309	342	2	TrbL(130.5)
310	308	1	TrbL(126.5)
311	47	1	
312	303	2	
313	170	1	
314	435	1	TrbL(51.2)
315	195	1	
316	316	1	TrbL(104.2)
317	318	1	TrbL(83.4)
318	349	1	TrbL(146.9)
319	349	1	TrbL(143.0)
320	348	1	TrbL(141.6)
321	165	1	
322	165	1	
323	165	1	
324	153	1	
325	140	1	
326	763	1	
327	321	1	
328	121	1	
329	115	1	
330	115	1	
331	115	1	
332	114	1	
333	115	5	
334	114	2	
335	117	1	
336	117	1	
337	117	1	
338	117	2	
339	121	1	
340	121	1	
341	117	3	
342	117	3	
343	117	1	
344	117	3	
345	117	1	
346	117	1	
347	117	1	
348	117	1	
349	117	1	
350	117	1	
351	121	3	
352	117	1	
353	117	1	
354	117	1	
355	117	1	
356	117	1	
357	117	1	
358	117	1	
359	80	1	
360	317	1	TrbL(99.7)
361	105	1	
362	393	1	TrbL(109.8)
363	627	1	TrbL(76.3)
364	290	1	TraG_N(119.4)
365	143	1	
366	234	1	VirB8(130.3)
367	232	1	VirB8(130.7)
368	161	1	
369	232	1	VirB8(141.0)
370	232	1	VirB8(142.0)
371	229	1	VirB8(140.5)
372	151	1	
373	115	1	
374	519	1	
375	388	1	
376	397	1	
377	644	1	
378	456	1	
379	30	1	
380	196	1	
381	83	1	
382	112	1	TraG_N(50.1)
383	312	1	
384	343	2	TrbL(152.0)
385	41	1	
386	48	1	
387	456	1	
388	496	1	TraG_N(95.9)
389	109	1	TraG_N(85.9)
390	631	1	TraG_N(95.1)
391	315	1	VirB8(148.8)
392	315	2	VirB8(144.0)
393	59	1	
394	107	2	YbjQ_1(25.3)
395	422	2	TrbL(73.4);TrbL_3(31.8)
396	422	1	TrbL(74.6);TrbL_3(32.4)
397	395	1	TrbL(66.0)
398	91	2	DUF2749(46.9)
399	368	1	TrbL(70.3)
400	368	1	TrbL(68.0)
401	368	1	TrbL(68.8)
402	368	1	TrbL(71.0)
403	353	2	TrbL(60.1);TrbL_3(28.2)
404	136	2	
405	191	6	
406	189	1	
407	148	1	DUF2749(55.6)
408	334	1	TrbL(94.0)
409	189	1	
410	116	1	
411	458	1	
412	142	1	
413	113	1	
414	400	1	TrbL(107.2)
415	74	1	
416	310	1	
417	310	1	
418	309	1	
419	309	1	
420	309	1	
421	310	1	
422	311	1	
423	175	1	SLT(35.6)
424	125	1	SLT(68.9)
425	362	2	HNH_2(40.8)
426	342	2	TrbL(146.6)
427	342	1	TrbL(147.2)
428	342	1	TrbL(143.7)
429	342	1	TrbL(150.2)
430	346	1	TrbL(142.8)
431	345	2	TrbL(143.0)
432	95	1	TrbK(97.3)
433	285	1	TrbL(133.0)
434	489	2	TraG_N(55.3)
435	425	1	TraG_N(55.3)
436	234	1	
437	52	1	
438	491	5	TraG_N(56.1)
439	121	1	HTH_Tnp_1(65.8)
440	271	1	SprT-like(49.6)
441	134	1	
442	137	1	
443	100	1	
444	401	1	TraG_N(131.4)
445	298	1	TraG_N(132.6)
446	697	1	TraG_N(130.0)
447	697	1	TraG_N(130.0)
448	295	1	TraG_N(132.5)
449	1008	1	DDE_Tnp_Tn3(369.1);DUF4158(107.8)
450	141	1	
451	554	1	TrwB_AAD_bind(446.4);TraG-D_C(89.2);T4SS-DNA_transf(89.2);DUF87(28.9)
452	115	1	
453	64	2	
454	132	32	
455	233	5	
456	174	1	
457	93	1	
458	166	1	
459	165	1	
460	42	1	
461	42	1	
462	258	1	
463	149	1	Phage_integrase(128.3)
464	192	1	
465	165	1	
466	428	1	
467	73	1	
468	81	1	
469	175	4	
470	71	1	
471	218	1	
472	218	8	
473	218	5	
474	218	1	
475	42	2	
476	524	1	
477	114	2	
478	272	1	
479	167	5	
480	131	2	
481	131	1	
482	80	1	
483	87	1	
484	175	1	
485	705	1	
486	263	1	
487	172	1	
488	167	1	
489	180	2	
490	175	1	
491	47	1	
492	169	7	
493	169	1	
494	54	1	
495	177	27	
496	169	1	
497	169	1	
498	169	1	
499	169	1	
500	43	2	
501	57	1	
502	169	1	
503	89	1	
504	147	1	
505	169	91	
506	169	1	
507	169	1	
508	96	1	
509	169	1	
510	169	1	
511	169	2	
512	151	1	
513	169	2	
514	151	14	
515	151	1	
516	169	1	
517	169	286	
518	417	1	TraT(276.9)
519	169	160	
520	169	3	
521	146	1	
522	169	1	
523	169	19	
524	169	1	
525	169	5	
526	63	1	
527	169	2	
528	151	1	
529	46	1	
530	169	2	
531	169	1	
532	29	2	
533	169	6	
534	169	1	
535	69	2	
536	169	75	
537	169	3	
538	169	2	
539	133	1	
540	169	1	
541	169	4	
542	157	2	
543	169	8	
544	169	4	
545	169	1	
546	169	1	
547	169	4	
548	170	1	
549	169	1	
550	169	1	
551	169	2	
552	169	3	
553	169	7	
554	169	1	
555	169	3	
556	169	1	
557	169	1	
558	169	3	
559	169	98	
560	169	1	
561	169	1	
562	169	3	
563	169	5	
564	169	1	
565	130	1	
566	171	13	
567	171	2	
568	181	2	
569	182	1	
570	182	6	
571	182	334	
572	182	1	
573	182	1	
574	181	1	
575	181	2	
576	175	3	
577	169	1	
578	190	1	
579	190	1	
580	237	2	
581	173	1	
582	109	2	
583	173	1	
584	173	1	
585	173	337	
586	173	1	
587	173	1	
588	167	2	
589	173	1	
590	168	1	
591	173	1	
592	173	4	
593	173	2	
594	173	2	
595	173	117	
596	173	1	
597	173	2	
598	167	1	
599	167	1	
600	167	1	
601	173	2	
602	173	6	
603	167	3	
604	167	1	
605	172	1	
606	80	1	
607	538	1	TrbL(91.2)
608	62	1	DUF2749(52.3)
609	176	1	
610	269	1	
611	70	1	
612	70	1	
613	70	6	
614	117	1	
615	71	1	
616	189	1	
617	70	1	
618	70	1	
619	70	4	
620	70	1	
621	239	1	
622	251	1	
623	151	1	Y1_Tnp(141.5)
624	335	1	TrbL(117.9)
625	325	1	TrbL(116.3)
626	251	2	
627	59	1	
628	62	3	
629	69	1	
630	69	1	
631	253	1	TraF(116.6)
632	78	1	
633	167	1	
634	167	1	
635	167	1	
636	167	2	
637	104	1	
638	519	1	TrbL(113.8)
639	519	2	TrbL(113.8)
640	519	4	TrbL(113.8)
641	519	1	TrbL(113.8)
642	519	30	TrbL(113.8)
643	519	1	TrbL(113.8)
644	411	1	TrbL(114.6)
645	517	2	TrbL(113.8)
646	519	9	TrbL(112.1)
647	53	1	
648	70	4	
649	206	2	
650	206	1	
651	91	1	
652	172	1	
653	176	2	
654	69	1	
655	127	1	
656	127	1	
657	215	4	HTH_Tnp_1(54.9);HTH_23(35.9)
658	71	1	
659	238	1	KfrA_N(36.7)
660	127	2	TrbK(46.5)
661	69	1	
662	69	1	
663	72	1	
664	72	1	
665	72	1	
666	72	1	
667	177	1	
668	172	1	
669	178	1	
670	66	1	
671	69	1	
672	62	1	
673	395	1	TrbL(54.4)
674	144	1	
675	117	1	
676	529	1	
677	191	1	
678	194	1	
679	179	1	
680	179	1	
681	112	1	
682	473	1	
683	42	1	
684	62	4	
685	257	3	
686	109	1	
687	59	1	
688	63	1	
689	153	1	
690	153	1	
691	153	40	
692	153	1	
693	153	1	
694	176	1	
695	176	1	
696	176	3	
697	178	1	
698	178	1	
699	178	1	
700	178	1	
701	176	1	
702	177	1	
703	177	1	
704	177	1	
705	177	1	
706	176	1	
707	178	1	
708	176	1	
709	177	1	
710	79	1	
711	262	1	TrbM(118.7)
712	261	1	TrbM(116.8)
713	436	3	
714	436	2	
715	114	2	
716	114	2	
717	117	1	
718	114	11	
719	114	2	
720	114	2	
721	114	2	
722	534	1	TrbL(105.3)
723	535	4	TrbL(103.7)
724	535	1	TrbL(102.8)
725	535	1	TrbL(103.2)
726	535	9	TrbL(103.2)
727	106	2	
728	72	1	
729	72	1	
730	69	1	
731	78	3	
732	78	1	
733	79	1	
734	81	1	
735	111	1	
736	61	1	
737	130	1	
738	377	1	DUF4172(88.0);Fic(57.4)
739	123	1	TrbK(43.1)
740	87	1	HTH_Tnp_1(82.1)
741	87	3	HTH_Tnp_1(84.7);HTH_28(29.0)
742	87	1	HTH_Tnp_1(83.5);HTH_28(28.9)
743	206	1	
744	191	1	
745	100	1	HTH_Tnp_1(54.5)
746	185	1	
747	169	1	
748	72	2	
749	71	1	
750	73	4	
751	74	2	
752	177	1	
753	178	2	
754	436	1	
755	436	3	
756	149	2	
757	62	1	
758	62	2	
759	62	4	
760	62	4	
761	62	1	
762	42	2	
763	54	1	
764	72	1	
765	108	1	
766	41	1	
767	66	5	
768	66	1	
769	66	12	
770	66	1	
771	66	1	
772	243	1	TraT(277.5)
773	243	2	TraT(277.6)
774	61	3	
775	137	1	
776	166	1	
777	263	1	
778	53	5	
779	53	1	
780	69	1	
781	123	1	
782	145	1	
783	186	2	
784	186	1	
785	186	2	
786	69	1	
787	263	1	
788	264	1	
789	55	1	
790	108	1	
791	885	1	F_T4SS_TraN(138.0)
792	189	1	
793	111	5	
794	195	1	
795	195	1	
796	67	1	
797	525	1	
798	82	2	
799	83	1	
800	83	3	
801	83	2	
802	83	3	
803	191	1	
804	77	1	
805	392	1	TrbL(111.2)
806	271	1	Sel1(63.6)
807	271	1	Sel1(62.3)
808	665	1	TrwB_AAD_bind(364.9);TraG-D_C(69.0);T4SS-DNA_transf(59.6)
809	192	2	
810	192	1	
811	192	1	
812	192	1	
813	192	1	
814	667	7	TrwB_AAD_bind(365.3);TraG-D_C(70.6);T4SS-DNA_transf(61.0)
815	71	4	
816	71	2	
817	71	3	
818	62	1	
819	62	1	
820	145	1	
821	140	1	
822	59	8	
823	59	1	
824	435	1	TrbL(129.0)
825	444	1	
826	132	9	
827	132	1	
828	132	12	
829	132	1	
830	177	1	
831	242	5	TraT(270.4)
832	41	1	
833	80	1	
834	80	3	
835	80	4	
836	191	1	
837	186	1	
838	186	2	
839	186	2	
840	186	21	
841	82	1	
842	186	1	
843	186	2	
844	37	1	
845	186	2	
846	111	1	
847	186	13	
848	158	1	
849	82	2	
850	186	13	
851	186	1	
852	186	2	
853	186	1	
854	186	2	
855	186	1	
856	186	13	
857	186	1	
858	186	1	
859	186	1	
860	191	1	
861	193	2	
862	191	1	
863	186	5	
864	196	1	
865	192	1	
866	192	1	
867	192	5	
868	192	2	
869	958	1	TraG_N(47.0)
870	177	1	
871	77	1	MazE_antitoxin(26.7)
872	179	7	
873	46	1	
874	209	3	
875	45	1	
876	112	1	
877	112	2	
878	112	1	
879	211	1	
880	141	1	
881	534	1	TrbL(96.4)
882	534	1	TrbL(97.3)
883	57	1	
884	177	1	
885	134	4	HTH_Tnp_1(44.4)
886	493	1	DUF4116(28.1)
887	166	1	
888	189	1	
889	418	1	TrbL(114.5)
890	300	1	rve(93.3);HTH_21(74.0);rve_3(36.5)
891	161	1	TraT(131.9)
892	243	1	TraT(279.1)
893	185	1	
894	452	4	
895	70	1	
896	70	1	
897	70	3	
898	70	2	
899	70	3	
900	107	1	
901	302	1	
902	76	1	
903	60	1	
904	144	1	
905	176	1	
906	178	1	
907	178	1	
908	177	1	
909	190	1	
910	219	1	
911	186	1	
912	241	1	
913	191	2	
914	191	3	
915	191	2	
916	191	1	
917	76	2	
918	60	2	
919	202	1	
920	184	1	
921	184	1	
922	178	1	
923	184	1	
924	71	1	
925	145	1	
926	68	7	
927	68	1	
928	68	2	
929	68	1	
930	582	1	TrbL(125.5)
931	338	1	
932	382	1	TrbL(111.4)
933	166	1	HTH_Tnp_1(44.8)
934	85	1	
935	153	1	
936	117	1	
937	103	1	
938	111	1	
939	155	5	
940	512	1	
941	63	1	
942	190	1	
943	59	1	
944	235	2	
945	106	1	
946	106	1	
947	117	1	
948	117	1	
949	117	1	
950	243	1	VirB8(155.5)
951	197	1	
952	106	1	YbaB_DNA_bd(53.9)
953	411	1	TrbL(52.6)
954	112	1	
955	202	1	TrbL(83.8)
956	254	1	TraG_N(114.2)
957	316	1	
958	127	1	
959	164	1	
960	164	1	
961	67	1	
962	67	1	
963	67	1	
964	67	2	
965	67	14	
966	67	15	
967	63	1	
968	62	1	
969	165	1	
970	192	1	
971	192	1	
972	371	1	TrbL(108.3)
973	371	1	TrbL(108.3)
974	120	1	
975	170	1	
976	199	2	
977	218	1	
978	185	1	
979	185	1	
980	185	1	
981	185	2	
982	120	1	
983	120	1	
984	78	1	
985	187	2	
986	92	1	
987	187	1	
988	187	3	
989	187	13	
990	187	1	
991	187	1	
992	187	6	
993	187	2	
994	187	11	
995	186	1	
996	177	1	
997	175	1	
998	175	15	
999	181	1	
1000	181	3	
1001	174	1	
1002	174	1	
1003	149	1	
1004	174	9	
1005	106	1	
1006	174	2	
1007	127	1	
1008	174	23	
1009	127	1	
1010	174	226	
1011	174	2	
1012	174	1	
1013	174	4	
1014	144	1	
1015	177	6	
1016	177	2	
1017	178	1	
1018	174	7	
1019	174	2	
1020	178	4	
1021	178	1	
1022	176	1	
1023	177	6	
1024	177	1	
1025	177	2	
1026	177	16	
1027	177	2	
1028	177	1	
1029	177	1	
1030	177	1	
1031	177	1	
1032	177	1	
1033	177	3	
1034	194	1	
1035	171	1	
1036	171	1	
1037	171	1	
1038	171	1	
1039	171	1	
1040	176	1	
1041	185	1	
1042	91	1	
1043	150	1	
1044	69	1	
1045	115	1	
1046	64	1	
1047	176	7	
1048	532	1	
1049	64	1	
1050	189	1	
1051	189	1	
1052	189	1	
1053	189	7	
1054	189	2	
1055	189	7	
1056	176	1	
1057	176	1	
1058	176	1	
1059	176	45	
1060	149	1	
1061	176	1	
1062	162	1	
1063	176	58	
1064	186	1	
1065	192	1	
1066	176	6	
1067	176	1	
1068	176	7	
1069	176	1	
1070	176	2	
1071	176	30	
1072	232	1	
1073	149	1	
1074	176	1	
1075	176	87	
1076	232	1	
1077	107	1	
1078	176	24	
1079	192	1	
1080	176	8	
1081	176	2	
1082	176	1	
1083	176	328	
1084	232	3	
1085	176	4	
1086	192	1	
1087	107	1	
1088	93	4	
1089	84	1	
1090	176	9	
1091	176	2	
1092	149	5	
1093	147	6	
1094	124	2	
1095	114	1	
1096	176	40	
1097	176	17	
1098	93	1	
1099	176	1	
1100	177	1	
1101	205	1	
1102	205	4	
1103	205	1	
1104	177	217	
1105	205	1	
1106	176	1	
1107	176	2	
1108	176	4	
1109	176	2	
1110	176	4	
1111	176	4	
1112	176	20	
1113	176	1	
1114	176	1	
1115	176	4	
1116	834	1	
1117	233	1	
1118	81	1	
1119	81	19	
1120	81	1	
1121	139	2	
1122	168	1	
1123	168	1	
1124	168	1	
1125	68	1	
1126	1756	1	TrwC(262.1);TraI_C(141.8);AAA_30(131.8);TraI_hel_assoc_N(123.0);TraI_2B(110.8);ssDNA_TraI_N(95.3);AAA_19(49.9)
1127	646	1	
1128	176	1	
1129	149	1	
1130	174	5	
1131	176	1	
1132	220	1	
1133	220	1	
1134	516	1	
1135	220	1	
1136	516	1	
1137	515	1	
1138	176	1	
1139	176	1	
1140	176	1	
1141	176	1	
1142	176	1	
1143	177	1	
1144	177	3	
1145	177	1	
1146	140	1	
1147	186	1	
1148	186	1	
1149	186	1	
1150	152	1	
1151	63	1	
1152	70	19	
1153	95	1	
1154	149	4	
1155	68	5	
1156	342	1	TrbL(146.0)
1157	342	1	TrbL(146.0)
1158	354	1	TrbL(109.5)
1159	354	1	TrbL(110.1)
1160	352	1	TrbL(114.3)
1161	457	1	TrbL(172.5)
1162	331	2	TrbL(116.4)
1163	331	6	TrbL(118.4)
1164	325	1	TrbL(118.4)
1165	331	1	TrbL(118.4)
1166	331	3	TrbL(118.4)
1167	331	1	TrbL(116.4)
1168	331	9	TrbL(116.9)
1169	331	4	TrbL(116.9)
1170	331	18	TrbL(116.9)
1171	331	1	TrbL(116.1)
1172	331	3	TrbL(114.7)
1173	341	1	TrbL(102.8)
1174	434	1	TrbL(181.9)
1175	209	1	
1176	505	1	TrwB_AAD_bind(212.8);TraG-D_C(40.3);T4SS-DNA_transf(35.6);DUF87(31.8)
1177	511	1	DDE_Tnp_IS66(351.3);DDE_Tnp_IS66_C(62.0);LZ_Tnp_IS66(55.2);zf-IS66(53.5)
1178	209	3	
1179	458	1	TrbL(172.7)
1180	457	1	TrbL(171.3)
1181	443	1	TrbL(174.1)
1182	455	1	TrbL(178.6)
1183	111	1	
1184	195	1	
1185	258	1	SLT(31.5)
1186	330	1	TrbL(110.5)
1187	330	1	TrbL(110.5)
1188	330	2	TrbL(109.8)
1189	330	1	TrbL(113.6)
1190	326	1	TrbL(111.8)
1191	330	7	TrbL(112.5)
1192	330	1	TrbL(112.5)
1193	77	1	
1194	330	1	TrbL(111.0)
1195	330	3	TrbL(111.2)
1196	330	7	TrbL(112.5)
1197	330	22	TrbL(111.7)
1198	330	1	TrbL(112.6)
1199	330	1	TrbL(111.7)
1200	330	2	TrbL(111.2)
1201	330	1	TrbL(112.0)
1202	330	2	TrbL(116.1)
1203	330	1	TrbL(117.0)
1204	238	2	
1205	342	1	TrbL(151.9)
1206	342	1	TrbL(153.6)
1207	342	1	TrbL(152.9)
1208	342	4	TrbL(152.9)
1209	342	1	TrbL(152.6)
1210	342	1	TrbL(152.1)
1211	356	1	TrbL(145.4)
1212	567	1	
1213	154	1	
1214	154	8	
1215	347	1	TrbL(107.3)
1216	347	1	TrbL(107.2)
1217	347	1	TrbL(106.8)
1218	347	1	TrbL(107.6)
1219	347	1	TrbL(107.5)
1220	347	1	TrbL(107.2)
1221	347	1	TrbL(107.2)
1222	347	1	TrbL(107.1)
1223	347	1	TrbL(109.0)
1224	674	1	TraG_N(90.9)
1225	177	1	
1226	177	1	
1227	177	2	
1228	177	1	
1229	177	2	
1230	114	1	
1231	114	3	
1232	114	14	
1233	114	1	
1234	68	1	
1235	57	1	
1236	186	1	
1237	186	1	
1238	177	1	
1239	195	3	
1240	186	1	
1241	117	1	
1242	139	1	
1243	86	1	
1244	103	1	HTH_Tnp_1(50.2);HTH_28(26.6)
1245	229	1	
1246	65	1	
1247	282	1	VirB8(143.1)
1248	271	3	VirB8(144.7)
1249	282	1	VirB8(144.5)
1250	282	1	VirB8(144.5)
1251	271	3	VirB8(144.7)
1252	282	1	VirB8(144.5)
1253	282	3	VirB8(144.5)
1254	282	1	VirB8(144.5)
1255	282	2	VirB8(144.5)
1256	282	1	VirB8(144.5)
1257	271	1	VirB8(143.1)
1258	175	1	
1259	44	1	
1260	193	1	
1261	68	3	DUF2749(37.5)
1262	68	1	DUF2749(35.4)
1263	275	2	
1264	141	1	
1265	141	5	
1266	107	1	
1267	332	21	TrbL(116.3)
1268	325	1	TrbL(113.3)
1269	332	1	TrbL(119.2)
1270	332	3	TrbL(116.3)
1271	332	2	TrbL(118.1)
1272	315	1	TrbL(113.5)
1273	332	1	TrbL(119.5)
1274	281	1	TrbL(120.7)
1275	332	30	TrbL(119.5)
1276	332	1	TrbL(120.0)
1277	332	3	TrbL(120.0)
1278	332	1	TrbL(119.2)
1279	104	1	T4SS(33.6)
1280	105	1	T4SS(33.5)
1281	64	1	
1282	198	1	
1283	130	1	
1284	137	1	
1285	130	5	
1286	130	1	
1287	189	2	
1288	189	1	
1289	189	1	
1290	207	1	
1291	53	1	
1292	81	1	
1293	234	7	DDE_Tnp_IS240(164.3);rve(37.3);DDE_Tnp_IS66(27.3)
1294	234	1	DDE_Tnp_IS240(164.0);rve(37.4);DDE_Tnp_IS66(27.3)
1295	234	7	DDE_Tnp_IS240(166.4);rve(37.3);DDE_Tnp_IS66(27.4)
1296	170	1	DDE_Tnp_IS240(80.0);DDE_Tnp_IS66(28.0)
1297	540	1	TrbL(47.2)
1298	492	25	TrbL(84.9)
1299	491	1	TrbL(84.7)
1300	491	1	TrbL(84.9)
1301	53	1	
1302	596	1	
