seed	gene	product	aa	start	end	strand	n_families	families
R64	PLSM15973718_RS00365	Rpn family recombination-promoting nuclease/putative transposase	313	63512	64453	1	2	Transposase_31(PF04754):262.0;HTH_Rpn_C(PF27070):32.5
R64	PLSM15973718_RS00370	hypothetical protein	56	64515	64685	1	0	
R64	PLSM15973718_RS00375	helix-turn-helix domain-containing protein	83	64716	64967	-1	0	
R64	PLSM15973718_RS00380	hypothetical protein	65	65001	65198	-1	0	
R64	PLSM15973718_RS00385	DUF4942 domain-containing protein	282	65547	66395	1	1	DUF4942(PF13708):173.8
R64	PLSM15973718_RS00390	hypothetical protein	111	66480	66815	-1	0	
R64	nikA	IncI1-type relaxosome accessory protein NikA	110	67048	67380	1	1	NikA-like(PF21983):79.1
R64	nikB	IncI1-type relaxase NikB	899	67391	70090	1	2	Relaxase(PF03432):106.4;TraI_middle(PF22863):65.4
R64	trbC	F-type conjugative transfer protein TrbC	763	70127	72418	-1	0	
R64	trbB	IncI1-type conjugal transfer protein TrbB	356	72411	73481	-1	0	
R64	trbA	IncI1-type conjugal transfer protein TrbA	402	73500	74708	-1	1	DotM_C(PF23127):146.9
R64	PLSM15973718_RS00420	Hok/Gef family protein	50	75000	75152	1	1	HOK_GEF(PF01848):47.5
R64	PLSM15973718_RS00425	hypothetical protein	83	75224	75475	-1	0	
R64	dqlB	DinQ-like type I toxin DqlB	31	75974	76069	1	0	
R64	PLSM15973718_RS00435	hypothetical protein	58	76134	76310	-1	0	
R64	PLSM15973718_RS00440	HEAT repeat domain-containing protein	69	76702	76911	1	2	HEAT_2(PF13646):30.5;HEAT(PF02985):24.2
R64	excA	plasmid IncI1-type surface exclusion protein ExcA	220	76983	77645	-1	1	Exclusion-determining_protein(PF27689):62.6
R64	PLSM15973718_RS00450	DotA/TraY family protein	722	77716	79884	-1	0	
R64	traX	IncI1-type conjugal transfer protein TraX	194	79981	80565	-1	1	TraX-like(PF28070):148.1
R64	traW	IncI1-type conjugal transfer protein TraW	400	80594	81796	-1	1	TraW-like(PF28212):435.0
R64	traV	IncI1-type conjugal transfer protein TraV	204	81763	82377	-1	0	
R64	traU	IncI1-type conjugal transfer protein TraU	1014	82377	85421	-1	0	
R64	traT	IncI1-type conjugal transfer protein TraT	266	85511	86311	-1	0	
R64	traS	putative conjugal transfer protein TraS	62	86295	86483	-1	0	
R64	traR	IncI1-type conjugal transfer protein TraR	134	86547	86951	-1	1	DUF6750(PF20535):47.8
R64	traQ	conjugal transfer protein TraQ	175	87002	87529	-1	1	DUF6750(PF20535):32.4
R64	traP	IncI1-type conjugal transfer protein TraP	234	87529	88233	-1	0	
R64	traO	conjugal transfer protein TraO	429	88233	89522	-1	0	
R64	traN	IncI1-type conjugal transfer protein TraN	327	89525	90508	-1	1	T4BSS_DotH_IcmK(PF12293):203.7
R64	PLSM15973718_RS00510	DotI/IcmL family type IV secretion protein	230	90519	91211	-1	1	T4BSS_DotI_IcmL(PF11393):136.6
R64	PLSM15973718_RS00515	conjugal transfer protein	115	91208	91555	-1	0	
R64	PLSM15973718_RS00520	LPD7 domain-containing protein	1255	91573	95340	-1	2	LPD7(PF18821):52.4;DUF5710(PF18974):35.2
R64	PLSM15973718_RS00525	phospholipase D family nuclease	183	95430	95981	-1	2	PLDc_2(PF13091):98.2;SACK1(PF07894):33.4
R64	PLSM15973718_RS00530	hypothetical protein	96	95996	96286	-1	1	IcmT_2(PF28014):52.6
R64	traJ	plasmid transfer ATPase TraJ	382	96283	97431	-1	1	T2SSE(PF00437):124.1
R64	traI	IncI1-type conjugal transfer lipoprotein TraI	272	97428	98246	-1	1	T4SS_TraI(PF16932):230.1
R64	traH	IncI1-type conjugal transfer lipoprotein TraH	152	98243	98701	-1	1	DotD(PF16816):64.6
R64	PLSM15973718_RS00550	histidine phosphatase family protein	194	99096	99680	-1	1	His_Phos_1(PF00300):34.4
R64	PLSM15973718_RS00555	conjugal transfer protein TraF	400	99740	100942	-1	2	TraF_2(PF13729):249.9;PorP_SprF(PF11751):25.5
R64	traE	conjugal transfer protein TraE	274	101027	101851	-1	0	
R64	PLSM15973718_RS00565	tyrosine-type recombinase/integrase	384	102002	103156	-1	2	Phage_integrase(PF00589):85.2;HicB-like_2(PF15970):28.9
R64	PLSM15973718_RS00570	hypothetical protein	108	103140	103466	1	0	
R64	PLSM15973718_RS00580	shufflon system plasmid conjugative transfer pilus tip adhesin PilV	474	104790	106214	-1	1	Shufflon_N(PF04917):621.1
R64	PLSM15973718_RS00585	prepilin peptidase	218	106214	106870	-1	1	Peptidase_A24(PF01478):29.4
R64	PLSM15973718_RS00590	lytic transglycosylase domain-containing protein	186	106855	107415	-1	1	SLT(PF01464):84.5
R64	PLSM15973718_RS00595	type 4 pilus major pilin	204	107425	108039	-1	1	PilS(PF08805):134.0
R64	PLSM15973718_RS00600	type II secretion system F family protein	365	108057	109154	-1	1	T2SSF(PF00482):79.9
R64	PLSM15973718_RS00605	GspE/PulE family protein	517	109167	110720	-1	1	T2SSE(PF00437):214.4
R64	pilP	type IV pilus biogenesis protein PilP	150	110731	111183	-1	0	
R64	pilO2	type 4b pilus protein PilO2	431	111170	112465	-1	1	PAP_PilO(PF06864):232.3
R64	PLSM15973718_RS00620	PilN family type IVB pilus formation outer membrane protein	560	112458	114140	-1	2	Secretin_N_2(PF07655):69.4;Secretin(PF00263):48.6
R64	pilM	type IV pilus biogenesis protein PilM	145	114154	114591	-1	1	PilM(PF07419):123.4
R64	pilL	type IV pilus biogenesis lipoprotein PilL	355	114591	115658	-1	1	TcpQ(PF10671):57.7
R64	PLSM15973718_RS00635	hypothetical protein	196	115692	116282	-1	0	
R64	PLSM15973718_RS00640	hypothetical protein	150	116332	116784	-1	0	
R64	PLSM15973718_RS00645	PilI type IV pilus biogenesis protein	84	116827	117081	-1	1	PilI(PF10623):120.6
R64	traD	protein TraD	188	117349	117915	-1	0	
R64	PLSM15973718_RS00655	conjugal transfer protein TraC	227	117929	118612	-1	0	
R64	PLSM15973718_RS00660	transcription termination/antitermination NusG family protein	177	118866	119399	-1	0	
R621a	repA	plasmid replication initiator RepA	343	454	1485	1	1	IncFII_repA(PF02387):157.0
R621a	HXF67_RS00570	replication-associated protein RepA4	88	1963	2229	1	1	Rep_assoc_RepA4(PF27691):174.5
R621a	HXF67_RS00010	hypothetical protein	169	2554	3063	-1	0	
R621a	HXF67_RS00015	ProQ/FINO family protein	200	3119	3721	-1	1	ProQ(PF04352):45.3
R621a	yagA	protein YagA	448	4074	5420	1	3	Endonuc-like_C(PF27227):84.5;DUF8534(PF29381):72.2;DUF8535(PF29382):68.1
R621a	HXF67_RS00025	hypothetical protein	100	5918	6220	-1	0	
R621a	HXF67_RS00030	ParA family plasmid-partitioning AAA ATPase	208	6217	6843	-1	7	MipZ(PF09140):70.9;AAA_31(PF13614):62.6;CbiA(PF01656):45.4;ParA(PF10609):33.7
R621a	HXF67_RS00035	Y-family DNA polymerase	423	7031	8302	-1	4	IMS(PF00817):136.2;IMS_C(PF11799):88.7;DUF4113(PF13438):78.0;IMS_HHH(PF11798):24.8
R621a	umuD	translesion error-prone DNA polymerase V autoproteolytic subunit	145	8302	8739	-1	1	Peptidase_S24(PF00717):85.2
R621a	HXF67_RS00045	DinI-like family protein	93	8736	9017	-1	1	DinI(PF06183):64.8
R621a	HXF67_RS00050	DUF1281 domain-containing protein	308	9378	10304	1	2	DUF1281(PF06924):159.8;DUF1281_C(PF18406):57.9
R621a	HXF67_RS00535	hypothetical protein	108	10399	10725	-1	0	
R621a	HXF67_RS00055	plasmid segregation protein ParM	326	11073	12053	1	2	StbA_N(PF06406):263.3;ParM_N(PF21523):229.7
R621a	HXF67_RS00060	plasmid partitioning/stability family protein	140	12056	12478	1	1	Plasmid_stab_B(PF10784):110.8
R621a	HXF67_RS00065	hypothetical protein	103	12482	12793	1	0	
R621a	HXF67_RS00070	DNA methylase	227	12870	13553	1	1	N6_N4_Mtase(PF01555):139.2
R621a	HXF67_RS00075	YubE family protein	73	13554	13775	1	1	YubE(PF27407):109.3
R621a	HXF67_RS00080	DUF1380 family protein	172	13705	14223	1	1	DUF1380(PF07128):180.5
R621a	HXF67_RS00085	YubG family protein	256	14268	15038	1	2	YubG_N(PF30111):209.1;YubG_C(PF30110):196.2
R621a	HXF67_RS00090	antirestriction protein	141	15451	15876	1	1	Antirestrict(PF03230):92.0
R621a	HXF67_RS00095	DUF1380 family protein	140	15923	16345	1	0	
R621a	HXF67_RS00100	hypothetical protein	63	16342	16533	1	0	
R621a	HXF67_RS00105	single-stranded DNA-binding protein	175	17303	17830	1	1	SSB(PF00436):129.4
R621a	HXF67_RS00110	DUF905 domain-containing protein	77	17888	18121	1	1	DUF905(PF06006):121.3
R621a	HXF67_RS00115	ParB/RepB/Spo0J family partition protein	652	18180	20138	1	2	ParB_N(PF02195):71.6;HTH_ParB(PF17762):32.9
R621a	psiB	conjugation system SOS inhibitor PsiB	144	20193	20627	1	1	PsiB(PF06290):191.5
R621a	HXF67_RS00125	plasmid SOS inhibition protein A	239	20624	21343	1	1	PsiA(PF06952):317.6
R621a	HXF67_RS00135	IS4-like element ISVsa5 family transposase	402	21673	22881	1	1	DDE_Tnp_1(PF01609):87.3
R621a	tetC	tetracyline resistance-associated transcriptional repressor TetC	197	23395	23988	1	1	TetR_N(PF00440):53.9
R621a	tet(B)	tetracycline efflux MFS transporter Tet(B)	401	24101	25306	-1	2	MFS_1(PF07690):185.0;Sugar_tr(PF00083):29.1
R621a	tetR(B)	tetracycline resistance transcriptional repressor TetR(B)	207	25388	26011	1	2	TetR_C_1(PF02909):105.0;TetR_N(PF00440):49.9
R621a	HXF67_RS00160	ArsR/SmtB family transcription factor	228	25989	26675	-1	2	HTH_5(PF01022):34.6;HTH_20(PF12840):31.1
R621a	HXF67_RS00165	hypothetical protein	128	26683	27069	-1	0	
R621a	HXF67_RS00170	antibiotic biosynthesis monooxygenase family protein	106	27062	27382	-1	1	ABM(PF03992):58.8
R621a	gltS	sodium/glutamate symporter	401	27826	29031	1	1	Glt_symporter(PF03616):546.7
R621a	HXF67_RS00185	IS4-like element ISVsa5 family transposase	402	29397	30605	-1	1	DDE_Tnp_1(PF01609):87.3
R621a	HXF67_RS00195	antirestriction protein ArdA	166	31554	32054	1	1	ArdA(PF07275):96.2
R621a	HXF67_RS00200	hypothetical protein	144	32787	33221	1	0	
R621a	HXF67_RS00205	hypothetical protein	88	33313	33579	1	0	
R621a	HXF67_RS00210	hypothetical protein	117	33792	34145	1	0	
R621a	HXF67_RS00215	Rpn family recombination-promoting nuclease/putative transposase	307	34142	35065	1	1	Transposase_31(PF04754):257.9
R621a	HXF67_RS00220	helix-turn-helix domain-containing protein	83	35096	35347	-1	0	
R621a	HXF67_RS00225	hypothetical protein	65	35381	35578	-1	0	
R621a	HXF67_RS00230	DUF4942 domain-containing protein	282	35927	36775	1	1	DUF4942(PF13708):172.1
R621a	HXF67_RS00235	molybdopterin-guanine dinucleotide biosynthesis protein MobC	111	36860	37195	-1	0	
R621a	nikA	IncI1-type relaxosome accessory protein NikA	110	37429	37761	1	1	NikA-like(PF21983):79.1
R621a	nikB	IncI1-type relaxase NikB	899	37772	40471	1	2	Relaxase(PF03432):106.4;TraI_middle(PF22863):64.3
R621a	trbC	F-type conjugative transfer protein TrbC	763	40508	42799	-1	0	
R621a	trbB	IncI1-type conjugal transfer protein TrbB	356	42792	43862	-1	0	
R621a	trbA	IncI1-type conjugal transfer protein TrbA	402	43881	45089	-1	1	DotM_C(PF23127):146.9
R621a	finQ	protein FinQ	259	45396	46175	-1	1	AcrVA2-like(PF26125):144.5
R621a	HXF67_RS00270	Hok/Gef family protein	50	46802	46954	1	1	HOK_GEF(PF01848):47.5
R621a	HXF67_RS00275	hypothetical protein	83	47026	47277	-1	0	
R621a	dqlB	DinQ-like type I toxin DqlB	31	47778	47873	1	0	
R621a	HXF67_RS00285	hypothetical protein	58	47938	48114	-1	0	
R621a	HXF67_RS00290	HEAT repeat domain-containing protein	69	48481	48690	1	2	HEAT_2(PF13646):30.5;HEAT(PF02985):24.2
R621a	excA	plasmid IncI1-type surface exclusion protein ExcA	204	48762	49376	-1	1	Exclusion-determining_protein(PF27689):43.1
R621a	traY	IncI1-type conjugal transfer membrane protein TraY	722	49452	51620	-1	0	
R621a	traX	IncI1-type conjugal transfer protein TraX	194	51717	52301	-1	1	TraX-like(PF28070):143.1
R621a	traW	IncI1-type conjugal transfer protein TraW	400	52330	53532	-1	1	TraW-like(PF28212):435.0
R621a	traV	IncI1-type conjugal transfer protein TraV	204	53499	54113	-1	0	
R621a	traU	IncI1-type conjugal transfer protein TraU	1014	54113	57157	-1	0	
R621a	HXF67_RS00325	IS3-like element IS2 family transposase	409	57170	58398	-1	5	Tnp_IS2_N(PF30445):73.4;rve_3(PF13683):67.4;HTH_Tnp_1(PF01527):61.9;rve(PF00665):60.0
R621a	traT	IncI1-type conjugal transfer protein TraT	266	58583	59383	-1	0	
R621a	traS	putative conjugal transfer protein TraS	62	59367	59555	-1	0	
R621a	traR	IncI1-type conjugal transfer protein TraR	134	59619	60023	-1	1	DUF6750(PF20535):49.9
R621a	traQ	conjugal transfer protein TraQ	175	60074	60601	-1	1	DUF6750(PF20535):32.3
R621a	traP	IncI1-type conjugal transfer protein TraP	234	60601	61305	-1	0	
R621a	traO	conjugal transfer protein TraO	429	61305	62594	-1	0	
R621a	traN	IncI1-type conjugal transfer protein TraN	327	62597	63580	-1	1	T4BSS_DotH_IcmK(PF12293):204.3
R621a	HXF67_RS00365	DotI/IcmL family type IV secretion protein	230	63591	64283	-1	1	T4BSS_DotI_IcmL(PF11393):136.8
R621a	HXF67_RS00370	hypothetical protein	115	64280	64627	-1	0	
R621a	HXF67_RS00375	LPD7 domain-containing protein	1255	64645	68412	-1	2	LPD7(PF18821):52.3;DUF5710(PF18974):34.2
R621a	HXF67_RS00380	phospholipase D family nuclease	183	68502	69053	-1	2	PLDc_2(PF13091):96.2;SACK1(PF07894):32.9
R621a	HXF67_RS00385	hypothetical protein	96	69068	69358	-1	1	IcmT_2(PF28014):52.7
R621a	traJ	plasmid transfer ATPase TraJ	382	69355	70503	-1	1	T2SSE(PF00437):124.1
R621a	traI	IncI1-type conjugal transfer lipoprotein TraI	272	70500	71318	-1	1	T4SS_TraI(PF16932):229.9
R621a	traH	IncI1-type conjugal transfer lipoprotein TraH	152	71315	71773	-1	1	DotD(PF16816):64.6
R621a	HXF67_RS00405	histidine phosphatase family protein	194	72167	72751	-1	1	His_Phos_1(PF00300):34.4
R621a	HXF67_RS00410	conjugal transfer protein TraF	400	72811	74013	-1	2	TraF_2(PF13729):246.6;PorP_SprF(PF11751):24.9
R621a	traE	conjugal transfer protein TraE	274	74099	74923	-1	0	
R621a	HXF67_RS00420	tyrosine-type recombinase/integrase	384	75074	76228	-1	2	Phage_integrase(PF00589):85.2;HicB-like_2(PF15970):28.9
R621a	HXF67_RS00425	hypothetical protein	108	76212	76538	1	0	
R621a	HXF67_RS00430	hypothetical protein	85	76833	77090	-1	0	
R621a	HXF67_RS00435	hypothetical protein	51	77403	77558	-1	0	
R621a	HXF67_RS00445	shufflon system plasmid conjugative transfer pilus tip adhesin PilV	474	77862	79286	-1	1	Shufflon_N(PF04917):621.1
R621a	HXF67_RS00450	prepilin peptidase	218	79286	79942	-1	1	Peptidase_A24(PF01478):29.4
R621a	HXF67_RS00455	lytic transglycosylase domain-containing protein	186	79927	80487	-1	1	SLT(PF01464):84.5
R621a	HXF67_RS00460	type 4 pilus major pilin	204	80497	81111	-1	1	PilS(PF08805):132.0
R621a	HXF67_RS00465	type II secretion system F family protein	365	81130	82227	-1	1	T2SSF(PF00482):80.1
R621a	HXF67_RS00470	GspE/PulE family protein	517	82240	83793	-1	1	T2SSE(PF00437):215.4
R621a	pilP	type IV pilus biogenesis protein PilP	150	83804	84256	-1	0	
R621a	pilO2	type 4b pilus protein PilO2	431	84243	85538	-1	1	PAP_PilO(PF06864):228.0
R621a	pilN	PilN family type IVB pilus formation outer membrane protein	560	85531	87213	-1	2	Secretin_N_2(PF07655):69.4;Secretin(PF00263):48.6
R621a	pilM	type IV pilus biogenesis protein PilM	145	87227	87664	-1	1	PilM(PF07419):123.4
R621a	pilL	type IV pilus biogenesis lipoprotein PilL	355	87664	88731	-1	1	TcpQ(PF10671):55.3
R621a	HXF67_RS00555	hypothetical protein	197	88765	89358	-1	0	
R621a	HXF67_RS00500	hypothetical protein	136	89408	89818	-1	0	
R621a	HXF67_RS00505	PilI type IV pilus biogenesis protein	84	89861	90115	-1	1	PilI(PF10623):109.0
R621a	HXF67_RS00510	transcription termination factor NusG	227	90287	90970	-1	0	
R621a	HXF67_RS00515	transcription termination/antitermination NusG family protein	177	91224	91757	-1	0	
R621a	HXF67_RS00520	helix-turn-helix transcriptional regulator	95	92199	92486	-1	1	Sigma70_r4_2(PF08281):26.2
R621a	HXF67_RS00565	ash family protein	72	92404	92622	-1	1	Phage_ASH(PF10554):35.2
pEK204	repA	plasmid replication initiator RepA	343	455	1486	1	1	IncFII_repA(PF02387):155.5
pEK204	HS645_RS00010	hypothetical protein	169	2556	3065	-1	0	
pEK204	HS645_RS00015	ProQ/FINO family protein	200	3121	3723	-1	1	ProQ(PF04352):45.3
pEK204	yagA	protein YagA	448	4077	5423	1	3	Endonuc-like_C(PF27227):84.4;DUF8534(PF29381):72.2;DUF8535(PF29382):67.3
pEK204	HS645_RS00025	IS1380-like element ISEcp1 family transposase	420	5997	7259	1	2	DDE_Tnp_1_4(PF13701):180.9;DDE_Tnp_1(PF01609):97.1
pEK204	HS645_RS00030	extended-spectrum class A beta-lactamase CTX-M-3	291	7594	8469	1	2	Beta-lactamase2(PF13354):155.1;Beta-lactamase(PF00144):123.0
pEK204	HS645_RS00040	Tn3-like element Tn3 family transposase	999	8772	11771	-1	2	DDE_Tnp_Tn3(PF01526):485.2;DUF4158(PF13700):178.7
pEK204	HS645_RS00045	recombinase family protein	185	11935	12492	1	2	Resolvase(PF00239):139.7;HTH_7(PF02796):46.0
pEK204	HS645_RS00050	broad-spectrum class A beta-lactamase TEM-1	286	12675	13535	1	2	Beta-lactamase2(PF13354):149.9;Beta-lactamase(PF00144):118.2
pEK204	HS645_RS00055	hypothetical protein	100	13924	14226	-1	0	
pEK204	HS645_RS00060	ParA family plasmid-partitioning AAA ATPase	208	14223	14849	-1	7	MipZ(PF09140):70.9;AAA_31(PF13614):62.6;CbiA(PF01656):45.4;ParA(PF10609):33.7
pEK204	HS645_RS00065	Y-family DNA polymerase	423	15037	16308	-1	4	IMS(PF00817):136.3;IMS_C(PF11799):88.7;DUF4113(PF13438):78.0;IMS_HHH(PF11798):24.8
pEK204	umuD	translesion error-prone DNA polymerase V autoproteolytic subunit	145	16308	16745	-1	1	Peptidase_S24(PF00717):85.2
pEK204	HS645_RS00075	DinI-like family protein	93	16742	17023	-1	1	DinI(PF06183):64.8
pEK204	HS645_RS00080	DUF1281 domain-containing protein	300	17408	18310	1	2	DUF1281(PF06924):159.9;DUF1281_C(PF18406):58.0
pEK204	HS645_RS00085	hypothetical protein	111	18405	18740	-1	0	
pEK204	HS645_RS00090	plasmid segregation protein ParM	326	19078	20058	1	2	StbA_N(PF06406):263.4;ParM_N(PF21523):226.6
pEK204	HS645_RS00095	plasmid partitioning/stability family protein	140	20061	20483	1	1	Plasmid_stab_B(PF10784):110.8
pEK204	HS645_RS00100	hypothetical protein	103	20487	20798	1	0	
pEK204	HS645_RS00105	DNA methylase	227	20874	21557	1	1	N6_N4_Mtase(PF01555):139.7
pEK204	HS645_RS00110	YubE family protein	73	21558	21779	1	1	YubE(PF27407):109.3
pEK204	HS645_RS00115	DUF1380 family protein	172	21709	22227	1	1	DUF1380(PF07128):177.3
