accession	slot_family	slot_status	gap_up	gap_down	anchor_gap_median	n_anchor_gaps
AP026450.1	Eex_IncN	eex_occupied	7	15	17	6
AP026458.1	Eex_IncN	eex_occupied	7	15	17	6
AP026466.1	Eex_IncN	eex_occupied	252	8	5	4
AP026467.1	Eex_IncN	eex_occupied	7	15	17	6
AP026474.1	Eex_IncN	eex_occupied	7	15	17	6
AP026478.1	Eex_IncN	eex_occupied	7	15	17	6
AP026481.1	Eex_IncN	eex_occupied	7	15	17	6
AP026485.1	Eex_IncN	eex_occupied	7	15	17	6
AP026490.1	Eex_IncN	eex_occupied	9	0	4	8
AP026491.1	Eex_IncN	eex_occupied	7	15	17	6
AP026498.1	Eex_IncN	eex_occupied	254	8	5	4
AP026499.1	Eex_IncN	eex_occupied	7	15	17	6
AP026506.1	Eex_IncN	eex_occupied	7	15	17	6
AP026509.1	Eex_IncN	eex_occupied	7	15	17	6
AP026512.1	Eex_IncN	eex_occupied	7	15	17	6
AP026516.1	Eex_IncN	eex_occupied	7	15	17	6
AP026522.1	Eex_IncN	eex_occupied	7	15	10	5
AP026533.1	Eex_IncN	eex_occupied	7	15	17	6
AP026741.1		candidate	-4	11	11	8
AP026900.1	Eex_IncN	eex_occupied	24	2	1	7
AP026901.1		candidate	2	77	1	7
AP027307.1		candidate	-1	19	-4	8
AP027317.1	Eex_IncN	eex_occupied	-4	16	-4	8
AP027326.1		candidate	-1	23	-1	7
AP027343.1	Eex_IncN	eex_occupied	12	7	-4	5
AP027376.1		candidate	-4	0	2	7
AP027405.1	Eex_IncN	eex_occupied	7	15	17	7
AP027406.1	Eex_IncN	eex_occupied	12	1	5	4
AP027409.1	Eex_IncN	eex_occupied	7	15	17	6
AP027410.1	Eex_IncN	eex_occupied	12	1	5	4
AP027529.1	Eex_IncN	eex_occupied	222	8	5	4
AP027530.1	Eex_IncN	eex_occupied	9	11	5	7
AP027810.1		candidate	11	-4	11	7
AP027894.1		candidate	11	-4	11	6
AP027896.1	Eex_IncN	eex_occupied	11	9	5	8
AP028203.1		candidate	23	-11	-1	4
AP028486.1	Eex_IncN	eex_occupied	7	15	17	6
AP028509.1		candidate	74	3	-1	5
AP029036.1	Eex_IncN	eex_occupied	13	14	1	6
AP031458.1		candidate	9	-8	-4	2
BN000925.1	TrbK_RP4	eex_occupied	11	6	11	6
CM003353.1		candidate	2	43	21	4
CM003354.1	Eex_IncN	eex_occupied	8	32	2	5
CP000541.1	TrbK_RP4	eex_occupied	10	9	12	6
CP000630.1		candidate	-7	-4	10	6
CP000631.1		candidate	11	13	17	8
CP000701.1	Eex_IncN	eex_occupied	14	-4	3	8
CP000782.1	Eex_IncN	eex_occupied	3	-4	5	7
CP001076.1	Eex_IncN	eex_occupied	-4	2	5	6
CP001077.1	Eex_IncN	eex_occupied	2	-4	5	6
CP001136.1	Eex_IncN	eex_occupied	11	9	-4	7
CP002030.1		candidate	-4	-11	-4	5
CP002151.1	TrbK_RP4	eex_occupied	11	6	11	6
CP002152.1	TrbK_RP4	eex_occupied	11	6	11	6
CP002153.1	TrbK_RP4	eex_occupied	11	6	11	6
CP002166.1		candidate	3	-31	-4	4
CP002245.1		candidate	4	-7	9	6
CP002441.1		candidate	-14	234	12	7
CP003042.1		candidate	65	10	-8	5
CP003090.1		candidate	246	2	1	6
CP003092.1		candidate	45	-8	1	8
CP006582.2		candidate	182	68	3	9
CP006657.1		candidate	13	7	41	4
CP007068.1	Eex_IncN	eex_occupied	-4	3	5	6
CP007070.1		candidate	-4	-7	-1	2
CP007238.1		candidate	-7	-4	3	6
CP007643.1	Eex_IncN	eex_occupied	-4	3	-4	7
CP007645.1	Eex_IncN	eex_occupied	-4	2	-1	6
CP009851.1	Eex_IncN	eex_occupied	11	17	9	6
CP009853.1	Eex_IncN	eex_occupied	7	15	17	6
CP009858.1	Eex_IncN	eex_occupied	7	15	17	6
CP009867.1	Eex_IncN	eex_occupied	7	15	10	5
CP009869.1		candidate	12	-4	-4	3
CP009881.1	Eex_IncN	eex_occupied	7	15	17	6
CP009883.1		candidate	-4	12	-4	7
CP010856.1		candidate	0	10	0	7
CP010861.1		candidate	2	111	-4	7
CP011635.1		candidate	-4	12	-4	3
CP011992.1	Eex_IncN	eex_occupied	11	9	5	7
CP014330.2	Eex_IncN	eex_occupied	16	21	12	6
CP016609.1	Eex_IncN	eex_occupied	12	5	12	6
CP018090.1	Eex_IncN	eex_occupied	15	4	15	6
CP018959.1	Eex_IncN	eex_occupied	7	15	17	6
CP020527.1	Eex_IncN	eex_occupied	7	15	17	6
CP021115.1		candidate	16	2	-1	7
CP021117.1		candidate	-4	-4	-4	6
CP021182.1	Eex_IncN	eex_occupied	-1	18	-4	9
CP021184.1	Eex_IncN	eex_occupied	8	33	2	6
CP021375.1		candidate	-7	-4	-8	5
CP021899.1	Eex_IncN	eex_occupied	15	7	17	6
CP021901.1	Eex_IncN	eex_occupied	11	9	5	7
CP022245.1		candidate	-55	10	10	5
CP022246.1		candidate	-55	10	10	4
CP022483.1		candidate	-4	-4	10	5
CP022767.1		candidate	-4	-4	23	6
CP024820.1	Eex_IncN	eex_occupied	9	11	5	7
CP025215.1		candidate	277	194	5	7
CP025875.1		candidate	-4	11	11	8
CP025879.1	Eex_IncN	eex_occupied	0	8	4	8
CP025925.1		candidate	-4	11	11	8
CP026196.1		candidate	-4	12	-4	7
CP026274.1	Eex_IncN	eex_occupied	15	7	39	3
CP026277.1	Eex_IncN	eex_occupied	15	7	17	6
CP026279.1	Eex_IncN	eex_occupied	16	9	15	6
CP027617.1	Eex_IncN	eex_occupied	9	16	15	7
CP027700.1	Eex_IncN	eex_occupied	9	11	24	6
CP028182.1	Eex_IncN	eex_occupied	9	11	9	6
CP028705.1	Eex_IncN	eex_occupied	11	9	5	7
CP029841.1	TraS	eex_occupied	0	9	4	7
CP030160.1		candidate	47	-8	1	8
CP030162.1		candidate	-8	47	1	8
CP030167.1		candidate	47	-8	1	8
CP030168.1		candidate	217	370	18	5
CP030170.1		candidate	-8	47	1	8
CP030179.1		candidate	47	-8	1	8
CP030195.1	Eex_IncN	eex_occupied	8	11	4	8
CP030802.1		candidate	10	-4	10	5
CP030830.1		candidate	-7	-7	10	6
CP030832.1		candidate	20	165	10	7
CP031373.2	Eex_IncN	eex_occupied	9	11	9	6
CP031589.1		candidate	-1	12	-1	7
CP031590.1	Eex_IncN	eex_occupied	30	9	-1	8
CP031591.1		candidate	-4	-4	-4	7
CP031592.1		candidate	31	-1	1	7
CP031755.1	Eex_IncN	eex_occupied	8	21	1	6
CP033548.1	Eex_IncN	eex_occupied	67	52	140	6
CP034075.1	Eex_IncN	eex_occupied	11	14	2	7
CP034323.1	Eex_IncN	eex_occupied	11	9	5	7
CP034356.1	Eex_IncN	eex_occupied	21	-4	3	7
CP034398.1	Eex_IncN	eex_occupied	16	9	15	7
CP034400.1	Eex_IncN	eex_occupied	12	1	5	4
CP035638.1		candidate	10	139	12	7
CP035775.1		candidate	-4	10	11	8
CP035910.1	Eex_IncN	eex_occupied	11	9	5	7
CP036400.2	Eex_IncN	eex_occupied	7	15	17	6
CP038200.1		candidate	7	-4	1	7
CP038202.1		candidate	4	9	-1	4
CP039389.1	Eex_IncN	eex_occupied	13	7	1	5
CP039587.1	Eex_IncN	eex_occupied	3	77	5	4
CP039913.1	Eex_IncN	eex_occupied	4	-4	2	6
CP039914.1	Eex_IncN	eex_occupied	11	152	7	7
CP039918.1	Eex_IncN	eex_occupied	-4	3	6	6
CP039919.1		candidate	-7	-4	11	6
CP040178.1	Eex_IncN	eex_occupied	7	15	17	6
CP040446.1	Eex_IncN	eex_occupied	11	9	5	7
CP040826.1	Eex_IncN	eex_occupied	9	16	15	6
CP041053.1	Eex_IncN	eex_occupied	11	9	5	7
CP041205.1	Eex_IncN	eex_occupied	-4	4	2	6
CP041938.1	Eex_IncN	eex_occupied	9	11	5	7
CP042602.1		candidate	188	-23	192	4
CP042607.1		candidate	40	11	18	5
CP042643.1	Eex_IncN	eex_occupied	7	15	92	2
CP042647.1		candidate	25	49	59	1
CP043014.1	Eex_IncN	eex_occupied	222	8	5	5
CP043017.1	Eex_IncN	eex_occupied	1	152	5	4
CP043604.1	Eex_IncN	eex_occupied	11	9	5	7
CP044008.1	Eex_IncN	eex_occupied	17	11	9	6
CP044026.1		candidate	65	92	-4	1
CP044027.1	Eex_IncN	eex_occupied	11	12	3	3
CP044166.1		candidate	-4	-11	-4	5
CP044292.1	Eex_IncN	eex_occupied	11	9	5	7
CP044383.1		candidate	266	10	12	7
CP046494.1	Eex_IncN	eex_occupied	13	3	-1	7
CP046499.1		candidate	-4	19	18	7
CP046501.1		candidate	-4	19	18	7
CP046892.1	Eex_IncN	eex_occupied	11	9	5	7
CP046894.1		candidate	9	75	-4	4
CP047083.1	Eex_IncN	eex_occupied	-53	48	1	6
CP047084.1		candidate	-11	-4	0	6
CP047287.1		candidate	20	49	3	9
CP047483.1		candidate	-11	-4	0	6
CP047611.1	Eex_IncN	eex_occupied	10	11	-4	7
CP047612.1		candidate	10	-4	11	7
CP047775.1	Eex_IncN	eex_occupied	7	15	17	6
CP048291.1	Eex_IncN	eex_occupied	8	0	4	8
CP048471.1		candidate	8	11	-1	6
CP048487.1	Eex_IncN	eex_occupied	-4	4	2	6
CP048491.1	Eex_IncN	eex_occupied	-4	5	-1	6
CP048549.1	Eex_IncN	eex_occupied	-4	4	2	6
CP048927.1	Eex_IncN	eex_occupied	0	9	2	7
CP049307.1		candidate	-4	12	-4	7
CP049311.1		candidate	-4	12	-4	7
CP049735.2		candidate	-7	-4	10	3
CP049982.1	Eex_IncN	eex_occupied	9	0	4	8
CP049987.1	Eex_IncN	eex_occupied	9	0	4	8
CP050294.1		candidate	67	182	3	9
CP050295.1		candidate	-4	54	6	8
CP050513.1	Eex_IncN	eex_occupied	-4	22	-1	5
CP050515.1	Eex_IncN	eex_occupied	-4	3	-1	7
CP050564.1		candidate	-4	43	10	6
CP050684.1		candidate	3	-11	3	6
CP050859.2	Eex_IncN	eex_occupied	7	15	17	6
CP052170.1	Eex_IncN	eex_occupied	11	9	5	7
CP052359.1	Eex_IncN	eex_occupied	7	15	17	6
CP052394.1	Eex_IncN	eex_occupied	7	15	17	6
CP052433.1	Eex_IncN	eex_occupied	7	15	17	6
CP052446.1	Eex_IncN	eex_occupied	7	15	17	6
CP052480.1	Eex_IncN	eex_occupied	11	11	12	6
CP052507.1	Eex_IncN	eex_occupied	11	9	5	7
CP052768.1	Eex_IncN	eex_occupied	9	11	5	7
CP052790.1		candidate	11	-4	11	8
CP052800.1		candidate	10	-4	11	6
CP052872.1	Eex_IncN	eex_occupied	7	15	17	6
CP053405.1	Eex_IncN	eex_occupied	9	-4	4	6
CP053703.1	Eex_IncN	eex_occupied	15	7	17	6
CP053916.1		candidate	-1	-4	5	6
CP054320.1	Eex_IncN	eex_occupied	14	11	10	7
CP054423.1	Eex_IncN	eex_occupied	11	14	2	7
CP054716.1		candidate	3	84	2	4
CP055459.1	Eex_IncN	eex_occupied	7	15	17	5
CP055705.1	Eex_IncN	eex_occupied	9	0	4	8
CP055715.1	Eex_IncN	eex_occupied	11	14	4	8
CP056027.1		candidate	72	9	-4	4
CP056177.1	Eex_IncN	eex_occupied	-8	14	9	6
CP056317.1	Eex_IncN	eex_occupied	7	15	17	6
CP056464.1	Eex_IncN	eex_occupied	-8	14	9	6
CP056496.1		candidate	-4	12		0
CP056572.1		candidate	65	93	1	6
CP056627.1	Eex_IncN	eex_occupied	3	7	12	5
CP056799.1	TrbK_RP4	eex_occupied	12	-47	12	6
CP056820.1	Eex_IncN	eex_occupied	8	0	4	8
CP056866.1	Eex_IncN	eex_occupied	11	9	5	7
CP056923.1	Eex_IncN	eex_occupied	238	8	5	4
CP056930.1	Eex_IncN	eex_occupied	238	8	5	4
CP056978.1	Eex_IncN	eex_occupied	7	15	17	7
CP057048.1		candidate	-29	67	2	8
CP057053.1		candidate	67	-29	2	8
CP057056.1	Eex_IncN	eex_occupied	17	11	9	6
CP057077.1	Eex_IncN	eex_occupied	7	15	17	7
CP057089.1	Eex_IncN	eex_occupied	7	15	17	7
CP057157.1		candidate	67	-29	2	8
CP057161.1		candidate	11	-4	11	7
CP057196.1	Eex_IncN	eex_occupied	11	17	10	4
CP057236.1	Eex_IncN	eex_occupied	9	0	4	8
CP057326.1	Eex_IncN	eex_occupied	187	6	-1	4
CP057370.1	Eex_IncN	eex_occupied	14	11	4	8
CP057373.1	Eex_IncN	eex_occupied	11	9	5	7
CP057409.1	Eex_IncN	eex_occupied	7	15	17	7
CP057443.1	Eex_IncN	eex_occupied	11	14	4	8
CP057472.1	Eex_IncN	eex_occupied	8	0	4	8
CP057478.1	Eex_IncN	eex_occupied	52	2	5	5
CP057489.1	Eex_IncN	eex_occupied	11	14	4	8
CP057511.1	Eex_IncN	eex_occupied	7	15	17	7
CP057528.1	Eex_IncN	eex_occupied	238	8	5	5
CP057529.1		candidate	11	-4	11	7
CP057548.1	Eex_IncN	eex_occupied	238	8	5	5
CP057579.1		candidate	10	-4	11	8
CP057707.1	Eex_IncN	eex_occupied	12	1	5	5
CP057749.1	Eex_IncN	eex_occupied	9	0	4	8
CP057780.1	TrbK_RP4	eex_occupied	-47	12	12	6
CP057806.1	Eex_IncN	eex_occupied	9	0	4	8
CP057810.1	Eex_IncN	eex_occupied	9	0	4	8
CP057904.1	Eex_IncN	eex_occupied	0	8	4	8
CP057914.1	Eex_IncN	eex_occupied	0	8	4	8
CP057938.1	Eex_IncN	eex_occupied	11	14	4	7
CP057948.1	Eex_IncN	eex_occupied	132	1	5	5
CP057954.1	Eex_IncN	eex_occupied	152	1	5	5
CP057999.1		candidate	-29	68	2	8
CP058017.1	Eex_IncN	eex_occupied	8	0	4	8
CP058067.1	Eex_IncN	eex_occupied	9	0	2	7
CP058085.1		candidate	-4	10	11	8
CP058779.1	Eex_IncN	eex_occupied	9	11	17	6
CP059361.1		candidate	-11	-4	-4	4
CP059363.1		candidate	-4	-11	0	6
CP059367.1		candidate	-11	-4	0	6
CP059370.1	Eex_IncN	eex_occupied	-50	47	3	5
CP059928.1		candidate	-4	10	11	8
CP060651.1		candidate	-4	12	-4	3
CP060660.1	TraS	eex_occupied	-4	12	-4	3
CP060663.1		candidate	-4	12	-4	3
CP061215.1	Eex_IncN	eex_occupied	11	14	4	8
CP061774.1		candidate	-11	12	-1	9
CP061776.1		candidate	21	174	10	7
CP063084.1		candidate	-11	-1	-1	5
CP063167.1		candidate	168	236	9	7
CP063721.1		candidate	11	-4	11	8
CP063755.1	Eex_IncN	eex_occupied	0	9	18	6
CP063758.1	Eex_IncN	eex_occupied	0	9	10	7
CP064039.1		candidate	-4	10	14	2
CP066116.1		candidate	-4	12	-4	7
CP066261.1	Eex_IncN	eex_occupied	16	9	15	6
CP066331.1	Eex_IncN	eex_occupied	9	0	4	8
CP067096.1	Eex_IncN	eex_occupied	7	15	2	5
CP067444.1	Eex_IncN	eex_occupied	16	9	15	6
CP067446.1	Eex_IncN	eex_occupied	9	11	5	7
CP067462.1	Eex_IncN	eex_occupied	9	11	5	7
CP067471.1	Eex_IncN	eex_occupied	11	9	5	7
CP067482.1	Eex_IncN	eex_occupied	15	7	17	6
CP067487.1	Eex_IncN	eex_occupied	9	11	5	7
CP067493.1	Eex_IncN	eex_occupied	11	9	5	7
CP067498.1	Eex_IncN	eex_occupied	11	9	5	7
CP067523.1	Eex_IncN	eex_occupied	11	9	5	7
CP067528.1	Eex_IncN	eex_occupied	9	11	5	7
CP067540.1	Eex_IncN	eex_occupied	11	9	5	7
CP067547.1	Eex_IncN	eex_occupied	11	9	5	7
CP067554.1	Eex_IncN	eex_occupied	3	18	2	4
CP067560.1	Eex_IncN	eex_occupied	16	9	15	6
CP067570.1	Eex_IncN	eex_occupied	11	9	5	7
CP067597.1	Eex_IncN	eex_occupied	11	9	5	7
CP067602.1	Eex_IncN	eex_occupied	11	9	5	7
CP067619.1	Eex_IncN	eex_occupied	11	9	5	7
CP067625.1	Eex_IncN	eex_occupied	11	9	5	7
CP067635.1	Eex_IncN	eex_occupied	9	11	5	7
CP067641.1	Eex_IncN	eex_occupied	11	9	5	7
CP067646.1	Eex_IncN	eex_occupied	11	9	5	7
CP067682.1	Eex_IncN	eex_occupied	11	9	5	7
CP067701.1	Eex_IncN	eex_occupied	11	9	5	7
CP067706.1	Eex_IncN	eex_occupied	16	9	15	7
CP067727.1	Eex_IncN	eex_occupied	11	9	5	7
CP067731.1	Eex_IncN	eex_occupied	11	9	5	7
CP067740.1	Eex_IncN	eex_occupied	11	9	5	7
CP067756.1	Eex_IncN	eex_occupied	11	9	5	7
CP067765.1	Eex_IncN	eex_occupied	11	9	5	7
CP067772.1	Eex_IncN	eex_occupied	11	9	5	7
CP067780.1	Eex_IncN	eex_occupied	16	9	15	6
CP067784.1	Eex_IncN	eex_occupied	11	9	5	7
CP067798.1		candidate	9	93	9	6
CP067820.1	Eex_IncN	eex_occupied	9	11	5	7
CP067834.1	Eex_IncN	eex_occupied	9	11	5	7
CP067869.1	Eex_IncN	eex_occupied	11	9	5	7
CP067875.1	Eex_IncN	eex_occupied	11	9	5	7
CP067894.1	Eex_IncN	eex_occupied	11	9	5	7
CP067919.1	Eex_IncN	eex_occupied	11	9	5	7
CP067928.1	Eex_IncN	eex_occupied	11	9	5	7
CP067942.1	Eex_IncN	eex_occupied	11	9	5	7
CP068397.1	Eex_IncN	eex_occupied	50	7	17	6
CP068398.1	Eex_IncN	eex_occupied	9	11	5	7
CP068635.1		candidate	-55	10	10	5
CP068636.1		candidate	-55	10	10	4
CP068637.1		candidate	-4	10	14	2
CP069018.1		candidate	-1	14	2	7
CP069019.1		candidate	-1	114	-4	7
CP069301.1	Eex_IncN	eex_occupied	11	-4	-4	7
CP069705.1	Eex_IncN	eex_occupied	222	8	5	4
CP070402.1	Eex_IncN	eex_occupied	9	0	4	8
CP070877.2		candidate	-1	3	23	8
CP070885.2		candidate	-1	3	2	7
CP071169.1	Eex_IncN	eex_occupied	9	11	5	7
CP071915.1		candidate	11	12	2	7
CP073109.1	Eex_IncN	eex_occupied	11	14	4	8
CP073606.1	Eex_IncN	eex_occupied	8	238	5	4
CP073611.1	Eex_IncN	eex_occupied	8	238	5	4
CP073612.1	TrbK_RP4	eex_occupied	-47	12	12	6
CP073614.1	Eex_IncN	eex_occupied	2	52	5	5
CP073616.1		candidate	10	-4	22	6
CP073679.1	Eex_IncN	eex_occupied	5	-4	4	1
CP074218.1	Eex_IncN	eex_occupied	0	9	4	8
CP074228.1	Eex_IncN	eex_occupied	0	8	10	6
CP074230.1	Eex_IncN	eex_occupied	7	15	17	7
CP074235.1	Eex_IncN	eex_occupied	9	0	4	8
CP074237.1	Eex_IncN	eex_occupied	14	11	4	7
CP074273.1		candidate	8	81	-4	5
CP074326.1		candidate	81	8	-4	5
CP074597.1		candidate	8	81	-1	6
CP074635.1	Eex_IncN	eex_occupied	12	11	12	5
CP074637.1	Eex_IncN	eex_occupied	10	11	-4	8
CP074642.1	Eex_IncN	eex_occupied	11	12	17	4
CP074646.1	Eex_IncN	eex_occupied	11	12	12	5
CP074654.1	Eex_IncN	eex_occupied	11		12	5
CP074667.1		candidate	81	8	-4	5
CP074669.1		candidate	8	68	-4	5
CP075568.1		candidate	-8	28	8	6
CP075774.1		candidate	2	18	10	4
CP075789.1		candidate	2	18	9	4
CP076065.1	TrbK_RP4	eex_occupied	10	9	16	5
CP076121.1		candidate	-4	-4	23	6
CP076328.1		candidate	8	81	-4	5
CP077251.1	Eex_IncN	eex_occupied	152	1	5	4
CP077287.1	Eex_IncN	eex_occupied	10	13	12	5
CP077347.1	Eex_IncN	eex_occupied	10	13	12	6
CP077354.1	Eex_IncN	eex_occupied	1	152	5	4
CP077665.1		candidate	-4	11	11	8
CP078023.1	Eex_IncN	eex_occupied	7	15	17	2
CP078024.1	Eex_IncN	eex_occupied	17	11	9	6
CP078109.1	Eex_IncN	eex_occupied	15	7	17	4
CP079750.1		candidate		62	10	7
CP080283.1		candidate	27	-8	2	6
CP080431.1	Eex_IncN	eex_occupied	11	-1	-4	8
CP080433.1		candidate	40	2	1	8
CP080434.1	Eex_IncN	eex_occupied	23	13	2	6
CP080655.1	Eex_IncN	eex_occupied	11	9	5	7
CP080691.1	Eex_IncN	eex_occupied	11	9	5	7
CP082405.1	Eex_IncN	eex_occupied	9	0	10	8
CP082416.1	Eex_IncN	eex_occupied	14	11	4	8
CP082423.2		candidate	-4	12	-4	7
CP082433.1	Eex_IncN	eex_occupied	17	11	9	6
CP082438.1		candidate	81	8	-1	4
CP082484.1	Eex_IncN	eex_occupied	1	12	5	5
CP082524.1	Eex_IncN	eex_occupied	0	9	4	8
CP082549.1	Eex_IncN	eex_occupied	11	14	4	8
CP082578.1		candidate	11	-4	11	8
CP082630.1		candidate	-4	12	-4	7
CP082632.1	Eex_IncN	eex_occupied	15	7	17	7
CP082651.1	Eex_IncN	eex_occupied	15	7	17	6
CP082660.1	Eex_IncN	eex_occupied	0	8	4	8
CP082667.1		candidate	-4	12	-4	7
CP082680.1	Eex_IncN	eex_occupied	0	9	4	8
CP082725.1	Eex_IncN	eex_occupied	11	14	4	8
CP082730.1	Eex_IncN	eex_occupied	0	9	4	7
CP082731.1	Eex_IncN	eex_occupied	15	7	17	7
CP082734.1	Eex_IncN	eex_occupied	11	17	9	5
CP082738.1	Eex_IncN	eex_occupied	14		4	8
CP082742.1	Eex_IncN	eex_occupied	8	0	4	8
CP084173.1		candidate	-16	-1	-1	8
CP084537.1	Eex_IncN	eex_occupied	17	11	9	6
CP084538.1	Eex_IncN	eex_occupied	9	11	5	7
CP085055.1		candidate	81	8	-4	5
CP085520.1	Eex_IncN	eex_occupied	222	8	5	4
CP085736.1	Eex_IncN	eex_occupied	3	18	2	6
CP085739.1		candidate	12	-4	-4	7
CP087279.1		candidate	-4	-4	23	6
CP087973.1		candidate	343	172	17	5
CP088385.1	Eex_IncN	eex_occupied	1	132	5	5
CP088439.1		candidate	3	0	-1	5
CP088481.1	Eex_IncN	eex_occupied	15	7	17	7
CP088488.1	Eex_IncN	eex_occupied	11	14	4	8
CP088493.1	Eex_IncN	eex_occupied	11	14	4	8
CP088523.1		candidate	51	-1	16	5
CP088524.1	Eex_IncN	eex_occupied	3	18	2	6
CP088550.1	Eex_IncN	eex_occupied	9	0	4	8
CP088568.1	Eex_IncN	eex_occupied	10	11	-1	6
CP088666.1	Eex_IncN	eex_occupied	3	77	5	4
CP088696.1	Eex_IncN	eex_occupied	7	15	17	7
CP088705.1	Eex_IncN	eex_occupied	3	18	2	6
CP088715.1		candidate	11	-4	11	6
CP088727.1	Eex_IncN	eex_occupied	11	14	4	8
CP088731.1		candidate	11	-4	11	8
CP088733.1	Eex_IncN	eex_occupied	9	0	4	8
CP088736.1		candidate	10	139	12	7
CP088752.1	TrbK_RP4	eex_occupied	12	-47	12	6
CP088757.1	Eex_IncN	eex_occupied	9	0	4	8
CP088769.1	Eex_IncN	eex_occupied	0	8	4	8
CP088770.1	Eex_IncN	eex_occupied	7	15	42	6
CP088791.1		candidate	9	1	2	5
CP088823.1	Eex_IncN	eex_occupied	0	9	4	8
CP088858.1	Eex_IncN	eex_occupied	8	222	5	4
CP090109.1	Eex_IncN	eex_occupied	-4	3	-1	7
CP090116.1	Eex_IncN	eex_occupied	-4	3	5	5
CP090120.1	Eex_IncN	eex_occupied	-4	3	5	6
CP090202.1	Eex_IncN	eex_occupied	-4	3	6	6
CP090248.1	Eex_IncN	eex_occupied	11	9	5	6
CP090255.1	Eex_IncN	eex_occupied	7	15	17	6
CP090258.1	Eex_IncN	eex_occupied	7	15	17	6
CP090265.1	Eex_IncN	eex_occupied	15	7	17	6
CP090268.1	Eex_IncN	eex_occupied	18	12	2	7
CP090279.1	Eex_IncN	eex_occupied	9	11	5	8
CP090281.1	Eex_IncN	eex_occupied	11	9	5	7
CP090286.1		candidate	11	-4	11	8
CP090287.1	Eex_IncN	eex_occupied	11	9	5	6
CP090300.1	Eex_IncN	eex_occupied	9	11	5	7
CP090405.1	Eex_IncN	eex_occupied	254	8	5	4
CP090551.1	Eex_IncN	eex_occupied	-4	436	6	4
CP090553.1		candidate	47	137	0	5
CP091033.1		candidate	225	36	6	7
CP091035.1		candidate	29	10	6	7
CP091388.1	Eex_IncN	eex_occupied	14	11	4	8
CP092293.1	Eex_IncN	eex_occupied	18	3	9	3
CP092296.1		candidate	11	-4	11	8
CP092300.1		candidate	11	-4	11	8
CP092303.1		candidate	11	-4	11	8
CP092305.1		candidate	-4	11	11	8
CP092309.1		candidate	-4	11	11	8
CP092312.1		candidate	11	70	11	6
CP092315.1	Eex_IncN	eex_occupied	11	14	4	8
CP092316.1		candidate	11	-4	11	8
CP092317.1	Eex_IncN	eex_occupied	10	13	12	6
CP092320.1		candidate	11	-4	11	7
CP092324.1		candidate	11	-4	11	7
CP092325.1	Eex_IncN	eex_occupied	18	3	2	6
CP092328.1		candidate	-4	11	11	8
CP092330.1		candidate	11	-4	11	7
CP092842.1		candidate	-4	-1	-4	6
CP093097.1	Eex_IncN	eex_occupied	9	0	4	8
