accession	length	n_cds	mpf_classes	n_fa_fata	relaxase	exclusion_family_hit	description
NC_001835.1	28451	56	none	0	0		NC_001835.1 Lactococcus phage sk1, complete genome
NC_001884.1	134416	180	none	1	0		NC_001884.1 Bacillus phage SPBc2, complete genome
NC_001890.1	4215	5	none	0	0		NC_001890.1 Enterobacteria phage Qbeta, complete genome
NC_001895.1	33593	42	none	0	0		NC_001895.1 Enterobacteria phage P2, complete genome
NC_001901.1	46375	59	none	0	0		NC_001901.1 Bacteriophage N15, complete genome
NC_001902.1	26111	38	none	0	0		NC_001902.1 Methanobacterium phage psiM2, complete genome
NC_001909.1	31754	61	none	0	0		NC_001909.1 Lactococcus phage bIL170, complete genome
NC_001942.1	15644	15	none	0	0		NC_001942.1 Mycoplasma phage MAV1, complete genome
NC_001954.1	8454	13	none	0	0		NC_001954.1 Enterobacteria phage If1, complete genome
NC_001956.1	8651	10	none	0	0		NC_001956.1 Vibrio phage fs2, complete genome
NC_001978.3	41491	48	none	0	0		NC_001978.3 Bacteriophage phi-C31 complete genome
NC_001998.1	4529	4	none	0	0		NC_001998.1 Guinea pig Chlamydia phage, complete genome
NC_002014.1	6883	9	none	0	0		NC_002014.1 Enterobacteria phage Ike, complete genome
NC_002072.2	34815	43	none	0	0		NC_002072.2 Streptococcus phage DT1, complete genome
NC_002166.1	40751	66	none	1	0		NC_002166.1 Bacteriophage HK022, complete genome
NC_002167.1	39732	59	none	1	0		NC_002167.1 Enterobacteria phage HK97, complete genome
NC_002180.1	4532	4	none	0	0		NC_002180.1 Chlamydia phage phiCPAR39, complete sequence
NC_002185.1	35466	46	none	0	0		NC_002185.1 Streptococcus phage 7201, complete genome
NC_002194.1	4563	5	none	0	0		NC_002194.1 Chlamydia phage Chp2, complete genome
NC_002214.1	39807	52	none	0	0		NC_002214.1 Streptococcus phage Sfi11, complete genome
NC_002321.1	41401	64	none	1	0		NC_002321.1 Staphylococcus phage PVL proviral DNA, complete sequence
NC_002362.1	8784	13	none	0	0		NC_002362.1 Vibrio phage VfO3K6, complete genome
NC_002363.1	6891	10	none	0	0		NC_002363.1 Vibrio phage VfO4K68 DNA, complete genome
NC_002371.2	41724	64	none	0	0		NC_002371.2 TPA: Salmonella phage P22, complete genome
NC_002484.2	56426	95	none	1	0		NC_002484.2 Bacteriophage D3, complete genome
NC_002486.1	45636	69	none	1	0		NC_002486.1 Staphylococcus prophage phiPV83, complete genome
NC_002515.1	11660	12	none	0	0		NC_002515.1 Mycoplasma phage P1, complete genome
NC_002519.1	39898	56	none	0	0		NC_002519.1 Roseophage SIO1 complete genome
NC_002628.3	31007	45	none	0	0		NC_002628.3 Methanothermobacter wolfeii prophage psiM100, complete genome; flanked by Methanothermobacter wolfeii MTW121
NC_002643.1	4594	4	none	0	0		NC_002643.1 Bdellovibrio phage phiMH2K, complete genome
NC_002649.1	21129	32	none	1	0		NC_002649.1 Bacillus phage GA-1, complete genome
NC_002656.1	50550	83	none	0	0		NC_002656.1 Mycobacterium phage Bxb1, complete genome
NC_002661.2	42942	68	none	1	0		NC_002661.2 Staphylococcus phage phiSLT, complete genome
NC_002666.1	35538	59	none	1	0		NC_002666.1 Lactococcus prophage bIL285, complete genome
NC_002667.1	41834	57	none	1	0		NC_002667.1 Lactococcus prophage bIL286, complete genome
NC_002668.1	36949	58	none	1	0		NC_002668.1 Lactococcus prophage bIL309, complete genome
NC_002700.2	4268	3	none	0	0		NC_002700.2 Acinetobacter phage AP205, complete genome
NC_002703.1	38347	53	none	1	0		NC_002703.1 Lactococcus phage Tuc2009, complete genome
NC_002730.1	38297	56	none	0	0		NC_002730.1 Enterobacteria phage HK620, complete genome
NC_002747.1	37667	55	none	1	0		NC_002747.1 Lactococcus phage TP901-1, complete genome
NC_002796.1	40003	50	none	1	0		NC_002796.1 Lactococcus phage BK5-T, complete genome
NC_003050.2	40248	52	none	0	0		NC_003050.2 Streptococcus pneumoniae bacteriophage MM1 complete genome
NC_003085.1	49534	79	none	1	0		NC_003085.1 Myxococcus phage Mx8, complete genome
NC_003157.5	43106	66	none	0	0		NC_003157.5 Streptococcus phage phiNIH1.1, complete genome
NC_003216.1	40834	66	none	0	0		NC_003216.1 Listeria phage A118, complete genome
NC_003278.1	35580	44	none	0	0		NC_003278.1 Pseudomonas phage phiCTX DNA, complete genome
NC_003287.2	6407	7	none	0	0		NC_003287.2 Enterobacteria phage M13, complete genome
NC_003288.1	43081	65	none	0	0		NC_003288.1 Staphylococcus phage phiETA DNA, complete genome
NC_003291.2	37618	61	none	0	0		NC_003291.2 Bacteriophage PSA complete genome
NC_003298.1	38208	43	none	0	0		NC_003298.1 Enterobacteria phage T3, complete genome
NC_003299.1	7051	7	none	0	0		NC_003299.1 Pseudomonas phage phi8 segment L, complete sequence
NC_003300.1	4741	7	none	0	0		NC_003300.1 Pseudomonas phage phi8 segment M, complete sequence
NC_003301.1	3192	6	none	0	0		NC_003301.1 Pseudomonas phage phi8 segment S, complete sequence
NC_003309.1	53373	73	none	0	0		NC_003309.1 Burkholderia phage phiE125, complete genome
NC_003311.2	6834	9	none	0	1		NC_003311.2 Bacteriophage VSKK, complete genome
NC_003313.1	33106	44	none	0	0		NC_003313.1 Vibrio phage K139, complete genome
NC_003315.1	31508	41	none	0	0		NC_003315.1 Haemophilus phage HP2, complete genome
NC_003324.1	57416	63	none	0	0		NC_003324.1 Sinorhizobium phage PBC5, complete genome
NC_003327.2	6882	12	none	0	0		NC_003327.2 Vibrio phage VSK, complete genome
NC_003345.2	77672	114	none	0	0		NC_003345.2 Halorubrum phage HF2, complete genome
NC_003356.1	42575	63	none	0	0		NC_003356.1 Enterobacteria phage phiP27, complete genome
NC_003387.1	52797	85	none	0	0		NC_003387.1 Mycobacterium phage TM4, complete genome
NC_003390.2	46675	55	none	0	0		NC_003390.2 Synechococcus phage P60, complete genome
NC_003438.1	4421	6	none	0	0		NC_003438.1 Spiroplasma phage 4, complete genome
NC_003444.1	37074	52	none	0	0		NC_003444.1 Enterobacteria phage SfV, complete genome
NC_003460.1	5804	10	none	0	0		NC_003460.1 Propionibacterium phage B5, complete genome
NC_003524.1	33507	52	none	1	0		NC_003524.1 Clostridium phage phi3626, complete genome
NC_003714.1	2948	5	none	0	0		NC_003714.1 Pseudomonas phage phi-6 segment S, complete sequence
NC_003715.1	6374	5	none	0	0		NC_003715.1 Pseudomonas phage phi-6 segment L, complete sequence
NC_003716.1	4063	7	none	0	0		NC_003716.1 Pseudomonas phage phi-6 segment M, complete sequence
NC_003793.1	7768	12	none	0	0		NC_003793.1 Spiroplasma phage 1-C74, complete genome
NC_003907.2	46012	73	none	0	0		NC_003907.2 Vibrio phage VpV262, complete genome
NC_004066.1	36798	62	none	1	0		NC_004066.1 Lactococcus phage ul36, complete genome
NC_004084.1	58498	99	none	0	0		NC_004084.1 Natrialba phage PhiCh1, complete genome
NC_004112.1	43411	64	none	0	0		NC_004112.1 Lactobacillus phage A2, complete genome
NC_004165.1	18630	24	none	1	0		NC_004165.1 Bacillus phage B103, complete genome
NC_004166.2	44010	79	none	0	0		NC_004166.2 Bacteriophage SPP1 complete nucleotide sequence
NC_004167.1	39325	57	none	0	0		NC_004167.1 Bacteriophage phi-105 DNA, complete sequence
NC_004170.1	2981	7	none	0	0		NC_004170.1 Pseudomonas phage phi13 segment S, complete sequence
NC_004171.1	4213	8	none	0	0		NC_004171.1 Pseudomonas phage phi13 segment M, complete sequence
NC_004172.1	6458	4	none	0	0		NC_004172.1 Pseudomonas phage phi13 segment L, complete genome
NC_004173.1	6751	6	none	0	0		NC_004173.1 Pseudomonas phage phi12 segment L, complete sequence
NC_004174.1	2322	4	none	0	0		NC_004174.1 Pseudomonas phage phi12 segment S, complete sequence
NC_004175.1	4100	8	none	0	0		NC_004175.1 Pseudomonas phage phi12 segment M, complete sequence
NC_004301.1	4276	4	none	0	0		NC_004301.1 Bacteriophage SP genomic RNA
NC_004302.1	33350	49	none	0	0		NC_004302.1 Lactococcus phage r1t, complete genome
NC_004303.1	43075	57	none	0	0		NC_004303.1 Streptococcus phage 01205, complete genome
NC_004305.1	42259	64	none	1	0		NC_004305.1 Lactobacillus phage phig1e, complete genome
NC_004306.1	6340	10	none	1	0		NC_004306.1 Vibrio phage fs1, complete genome
NC_004313.1	40149	57	none	0	0		NC_004313.1 Salmonella phage ST64B, complete genome
NC_004333.2	48247	64	none	0	0		NC_004333.2 Burkholderia phage Bcep781, complete genome
NC_004348.1	40679	66	none	0	0		NC_004348.1 Enterobacteria phage ST64T, complete genome
NC_004456.1	43198	62	none	1	0		NC_004456.1 Vibrio phage VHML, complete genome
NC_004462.2	19604	41	none	1	0		NC_004462.2 Thermus thermophilus phage IN93, complete genome
NC_004466.2	45503	70	none	0	0		NC_004466.2 Pseudomonas aeruginosa phage PaP3, complete genome
NC_004584.1	39538	58	none	0	0		NC_004584.1 Streptococcus prophage 315.1, complete genome
NC_004585.1	41072	56	none	0	0		NC_004585.1 Streptococcus prophage 315.2, complete genome
NC_004586.1	34419	54	none	0	0		NC_004586.1 Streptococcus pyogenes phage 315.3, complete genome
NC_004587.1	41796	65	none	0	0		NC_004587.1 Streptococcus prophage 315.4, complete genome
NC_004588.1	38206	62	none	0	0		NC_004588.1 Streptococcus prophage 315.5, complete genome
NC_004589.1	40014	50	none	0	0		NC_004589.1 Streptococcus prophage 315.6, complete genome
NC_004615.1	43604	65	none	0	0		NC_004615.1 Staphylococcus phage phi 11, complete genome
NC_004616.1	44970	63	none	1	0		NC_004616.1 Staphylococcus prophage phi 12, complete genome
NC_004617.1	42722	64	none	1	0		NC_004617.1 Staphylococcus prophage phi 13, complete genome
NC_004629.1	280334	366	none	0	0		NC_004629.1 Pseudomonas phage phiKZ, complete genome
NC_004664.2	41831	52	none	0	0		NC_004664.2 Streptomyces phage phiBT1, complete genome
NC_004665.1	37359	40	none	0	0		NC_004665.1 Pseudomonas phage gh-1, complete genome
NC_004678.1	16784	19	none	0	0		NC_004678.1 Staphylococcus phage phi44AHJD, complete genome
NC_004679.1	18227	20	none	0	0		NC_004679.1 Staphylococcus phage phiP68, complete genome
NC_004680.2	59472	111	none	0	0		NC_004680.2 Mycobacterium phage Che8, complete genome
NC_004681.1	75931	134	none	0	0		NC_004681.1 Mycobacterium phage Cjw1, complete genome
NC_004683.1	57050	80	none	0	0		NC_004683.1 Mycobacterium phage Che9c, complete genome
NC_004684.1	67480	89	none	1	0		NC_004684.1 Mycobacterium phage Rosebush, complete genome
NC_004685.1	69777	118	none	0	0		NC_004685.1 Mycobacterium phage Corndog, complete genome
NC_004686.2	56275	110	none	0	0		NC_004686.2 Mycobacteriophage Che9d, complete genome
NC_004687.1	156102	228	none	2	0		NC_004687.1 Mycobacterium phage Bxz1, complete genome
NC_004688.1	110865	216	none	0	0		NC_004688.1 Mycobacterium phage Omega, complete genome
NC_004689.1	70797	100	none	0	0		NC_004689.1 Mycobacterium phage Barnyard, complete genome
NC_004735.1	129908	150	none	0	0		NC_004735.1 Rhodothermus phage RM378, complete genome
NC_004736.1	7542	13	none	0	1		NC_004736.1 Vibrio phage VGJphi, complete genome
NC_004740.1	44082	63	none	1	0		NC_004740.1 Staphylococcus prophage phiN315, complete genome
NC_004745.1	30728	39	none	0	0		NC_004745.1 Yersinia phage L-413C, complete genome
NC_004746.1	36596	50	none	0	0		NC_004746.1 Lactococcus bacteriophage 4268, complete genome
NC_004775.2	39672	45	none	0	0		NC_004775.2 Enterobacteria phage epsilon15, complete genome
NC_004777.1	37555	43	none	0	0		NC_004777.1 Yersinia pestis phage phiA1122, complete genome
NC_004813.1	57930	83	none	0	0		NC_004813.1 Enterobacteria phage BP-4795, complete genome
NC_004814.1	16687	26	none	0	0		NC_004814.1 Streptococcus phage C1, complete genome
NC_004820.1	61395	89	none	0	1		NC_004820.1 Bacillus prophage phBC6A51, complete genome
NC_004821.1	38472	53	none	0	0		NC_004821.1 Bacillus prophage phBC6A52, complete genome
NC_004827.1	43033	60	none	0	0		NC_004827.1 Bacteriophage Aaphi23, complete genome
NC_004831.2	43769	50	none	0	0		NC_004831.2 Enterobacteria phage SP6, complete genome
NC_004902.1	44373	66	none	0	0		NC_004902.1 Xanthomonas phage Xp10, complete genome
NC_004913.3	59866	88	none	0	0		NC_004913.3 Stx1 converting phage DNA, complete genome
NC_004914.3	62706	92	none	0	0		NC_004914.3 Stx2 converting phage II DNA, complete genome
NC_004927.2	75898	113	none	0	0		NC_004927.2 Halophage HF1, complete genome
NC_004928.1	167560	266	none	0	1		NC_004928.1 Enterobacteria phage RB69, complete genome
NC_004996.1	34692	57	none	0	0		NC_004996.1 Streptococcus phage SM1, complete genome
NC_005045.1	42519	52	none	0	0		NC_005045.1 Pseudomonas phage phiKMV, complete genome
NC_005056.1	32684	42	none	0	0		NC_005056.1 Escherichia phage Wphi, complete genome
NC_005066.1	164018	267	none	0	1		NC_005066.1 Enterobacteria phage RB49, complete genome
NC_005069.1	46339	60	none	0	0		NC_005069.1 Yersinia phage PY54, complete genome
NC_005083.2	244834	382	none	0	1		NC_005083.2 Vibrio phage KVP40, complete genome
NC_005091.2	57455	71	none	0	0		NC_005091.2 Burkholderia phage BcepNazgul, complete genome
NC_005131.2	7118	11	none	0	0		NC_005131.2 Ralstonia phage p12J, complete genome
NC_005135.1	173591	256	none	0	1		NC_005135.1 Aeromonas phage 44RR2.8t, complete genome
NC_005178.1	37611	55	none	0	0		NC_005178.1 Bacteriophage D3112, complete genome
NC_005258.1	14935	26	none	0	0		NC_005258.1 Bacillus phage Bam35c, complete genome
NC_005259.1	68999	98	none	1	0		NC_005259.1 Mycobacterium phage PG1, complete genome
NC_005260.1	233234	338	none	0	1		NC_005260.1 Aeromonas phage Aeh1, complete genome
NC_005262.3	63882	74	none	0	0		NC_005262.3 Burkholderia cepacia phage Bcep22, complete genome
NC_005263.2	48177	69	none	0	0		NC_005263.2 Burkholderia phage Bcep1, complete genome
NC_005282.1	86155	120	none	0	0		NC_005282.1 Enterobacteria phage Felix 01, complete genome
NC_005284.1	54865	77	none	0	0		NC_005284.1 Bacteriophage phi1026b, complete genome
NC_005294.1	42935	75	none	0	0		NC_005294.1 Streptococcus prophage EJ-1, complete genome
NC_005340.1	30636	41	none	0	0		NC_005340.1 Enterobacteria phage PsP3, complete genome
NC_005342.2	48024	64	none	0	0		NC_005342.2 Burkholderia phage Bcep43, complete genome
NC_005344.1	39043	60	none	0	0		NC_005344.1 Enterobacteria phage Sf6, complete genome
NC_005345.2	49220	81	none	0	0		NC_005345.2 Streptomyces phage VWB, complete genome
NC_005354.1	38384	55	none	1	0		NC_005354.1 Lactobacillus prophage Lj928, complete genome
NC_005355.1	40190	52	none	0	0		NC_005355.1 Lactobacillus prophage Lj965, complete genome
NC_005356.1	41708	68	none	1	0		NC_005356.1 Staphylococcus phage 77, complete genome
NC_005357.1	42493	50	none	0	0		NC_005357.1 Bordetella phage BPP-1, complete genome
NC_005822.1	32172	48	none	0	0		NC_005822.1 Lactococcus phage phiLC3, complete genome
NC_005833.1	48836	73	none	0	0		NC_005833.1 Escherichia phage T1, complete genome
NC_005841.1	41391	62	none	0	0		NC_005841.1 Enterobacteria phage ST104 DNA, complete genome
NC_005856.1	94800	100	none	0	0		NC_005856.1 Enterobacteria phage P1, complete genome
NC_005857.1	51601	57	none	0	0		NC_005857.1 Klebsiella phage phiKO2, complete genome
NC_005859.1	121750	179	none	0	0		NC_005859.1 Enterobacteria phage T5, complete genome
NC_005879.1	39853	46	none	0	0		NC_005879.1 Vibrio phage VP2, complete genome
NC_005880.2	148317	235	none	2	0		NC_005880.2 Staphylococcus phage K, complete genome
NC_005882.1	36748	50	none	0	0		NC_005882.1 Burkholderia cenocepacia phage BcepMu, complete genome
NC_005884.1	43783	52	none	0	0		NC_005884.1 Pseudomonas phage PaP2, complete genome
NC_005885.1	58638	74	none	0	0		NC_005885.1 Actinoplanes phage phiAsp2, complete genome
NC_005886.2	47399	67	none	0	0		NC_005886.2 Burkholderia cenocepacia phage BcepB1A, complete genome
NC_005887.1	42415	50	none	0	0		NC_005887.1 Burkholderia phage BcepC6B, complete genome
NC_005891.1	39786	48	none	0	0		NC_005891.1 Vibrio phage VP5, complete genome
NC_005893.1	39166	56	none	0	0		NC_005893.1 Lactobacillus phage phiAT3, complete genome
NC_005948.1	7965	13	none	0	0		NC_005948.1 Vibrio phage Vf33, complete genome
NC_005949.1	7965	13	none	0	0		NC_005949.1 Vibrio phage Vf12 DNA, complete genome
NC_005964.2	18855	18	none	0	0		NC_005964.2 Mycoplasma phage phiMFV1, complete genome
NC_006294.1	7107	9	none	0	1		NC_006294.1 Vibrio phage KSF-1phi, complete genome
NC_006356.2	36012	65	none	0	0		NC_006356.2 Flavobacterium phage 11b, complete genome
NC_006548.1	38439	51	none	0	0		NC_006548.1 Pseudomonas phage B3, complete genome
NC_006552.1	65195	74	none	0	0		NC_006552.1 Pseudomonas phage F116, complete genome
NC_006557.1	41092	55	none	0	0		NC_006557.1 Bacillus phage BCJA1c, complete genome
NC_006565.1	131522	167	none	0	0		NC_006565.1 Lactobacillus phage LP65, complete genome
NC_006820.1	196280	225	none	1	0		NC_006820.1 Synechococcus phage S-PM2, complete genome
NC_006882.2	45176	55	none	0	0		NC_006882.2 Prochlorococcus phage P-SSP7, complete genome
NC_006883.2	252401	331	none	0	0		NC_006883.2 Prochlorococcus phage P-SSM2, complete genome
NC_006884.2	178249	221	none	0	0		NC_006884.2 Prochlorococcus phage P-SSM4, complete genome
NC_006936.1	36674	47	none	0	0		NC_006936.1 Lactobacillus phage phiJL-1, complete genome
NC_006938.1	63649	87	none	0	1		NC_006938.1 Alphaproteobacteria phage PhiJL001, complete genome
NC_006940.2	40793	61	none	0	0		NC_006940.2 Salmonella phage SS3e, complete genome
NC_006945.1	14844	23	none	0	0		NC_006945.1 Bacillus phage GIL16c, complete genome
NC_006949.1	46900	73	none	0	0		NC_006949.1 Enterobacteria phage ES18, complete genome
NC_006953.1	37966	57	none	0	0		NC_006953.1 Listonella phage phiHSIC, complete genome
NC_007016.1	131217	99	none	0	0		NC_007016.1 Macaca fuscata rhadinovirus, complete genome
NC_007019.1	34704	41	none	0	0		NC_007019.1 Streptococcus phage 2972, complete genome
NC_007021.1	130706	181	none	0	0		NC_007021.1 Staphylococcus phage Twort, complete genome
NC_007022.1	172963	254	none	0	1		NC_007022.1 Aeromonas phage 31, complete genome
NC_007023.1	180500	286	none	0	1		NC_007023.1 Escherichia phage RB43, complete genome
NC_007024.1	55770	78	none	0	0		NC_007024.1 Xanthomonas phage Xp15, complete genome
NC_007046.1	18199	21	none	0	0		NC_007046.1 Staphylococcus phage 66, complete genome
NC_007047.1	39620	66	none	0	0		NC_007047.1 Staphylococcus phage 187, complete genome
NC_007048.1	42732	66	none	0	0		NC_007048.1 Staphylococcus phage 69, complete genome
NC_007049.1	43883	67	none	0	0		NC_007049.1 Staphylococcus phage 53, complete genome
NC_007050.1	44283	67	none	0	0		NC_007050.1 Staphylococcus phage 85, complete genome
NC_007051.1	41318	55	none	1	0		NC_007051.1 Staphylococcus phage 2638A, complete genome
NC_007052.1	45861	66	none	1	0		NC_007052.1 Staphylococcus phage 42e, complete genome
NC_007053.1	43095	62	none	1	0		NC_007053.1 Staphylococcus phage 3A, complete genome
NC_007054.1	44777	61	none	1	0		NC_007054.1 Staphylococcus phage 47, complete genome
NC_007055.1	43681	67	none	0	0		NC_007055.1 Staphylococcus phage 37, complete genome
NC_007056.1	45286	66	none	0	0		NC_007056.1 Staphylococcus phage EW, complete genome
NC_007057.1	43576	70	none	0	0		NC_007057.1 Staphylococcus phage 96, complete genome
NC_007058.1	43155	69	none	0	0		NC_007058.1 Staphylococcus phage ROSA, complete genome
NC_007059.1	43114	66	none	0	0		NC_007059.1 Staphylococcus phage 71, complete genome
NC_007060.1	41902	62	none	0	0		NC_007060.1 Staphylococcus phage 55, complete genome
NC_007061.1	42802	64	none	0	0		NC_007061.1 Staphylococcus phage 29, complete genome
NC_007062.1	41690	58	none	0	0		NC_007062.1 Staphylococcus phage 52A, complete genome
NC_007063.1	43231	65	none	0	0		NC_007063.1 Staphylococcus phage 88, complete genome
NC_007064.1	42431	63	none	0	0		NC_007064.1 Staphylococcus phage 92, complete genome
NC_007065.1	43440	65	none	0	0		NC_007065.1 Staphylococcus phage X2, complete genome
NC_007066.1	138715	207	none	2	0		NC_007066.1 Staphylococcus phage G1, complete genome
NC_007145.2	37639	50	none	0	0		NC_007145.2 Burkholderia prophage phi52237, complete genome
NC_007149.1	39503	53	none	0	0		NC_007149.1 Vibriophage VP4, complete genome
NC_007189.1	6907	14	none	0	0		NC_007189.1 Stenotrophomonas phage phiSMA9, complete genome
NC_007217.1	30889	48	none	0	0		NC_007217.1 Haloarcula phage SH1, complete genome
NC_007291.1	46072	89	none	0	0		NC_007291.1 Enterobacteria phage JK06, complete genome
NC_007451.1	14954	26	none	0	0		NC_007451.1 Enterobacteria phage PR4, complete genome
NC_007456.1	39704	48	none	0	0		NC_007456.1 Enterobacteria phage K1F, complete genome
NC_007457.1	36615	53	none	0	0		NC_007457.1 Bacillus anthracis phage Cherry, complete genome
NC_007458.1	37253	55	none	0	0		NC_007458.1 Bacillus phage Gamma, complete genome
NC_007461.1	4530	5	none	0	0		NC_007461.1 Chlamydia phage 4, complete genome
NC_007497.1	44856	71	none	0	0		NC_007497.1 Burkholderia phage Bcep176, complete genome
NC_007501.1	36466	51	none	0	0		NC_007501.1 Lactobacillus phage Lc-Nu, complete genome
NC_007581.1	185683	206	none	0	1		NC_007581.1 Clostridium phage c-st, complete genome
NC_007603.1	46219	72	none	1	0		NC_007603.1 Enterobacteria phage RTP, complete genome
NC_007610.1	131384	175	none	1	0		NC_007610.1 Listeria bacteriophage P100, complete genome
NC_007623.1	211215	204	none	0	0		NC_007623.1 Pseudomonas phage EL, complete genome
NC_007636.1	39699	49	none	0	0		NC_007636.1 Enterobacteria phage K1F, complete genome
NC_007637.1	45251	61	none	0	0		NC_007637.1 Enterobacteria phage K1E, complete genome
NC_007709.1	43785	59	none	0	0		NC_007709.1 Xanthomonas oryzae phage OP1 DNA, complete genome
NC_007710.1	46643	73	none	0	0		NC_007710.1 Xanthomonas oryzae phage OP2 DNA, complete genome
NC_007734.1	40867	56	none	0	0		NC_007734.1 Bacillus phage WBeta, complete genome
NC_007804.2	39104	51	none	0	0		NC_007804.2 Escherichia phage phiV10, complete genome
NC_007805.1	39199	62	none	0	0		NC_007805.1 Pseudomonas phage F10, complete genome
NC_007806.1	42999	51	none	1	0		NC_007806.1 Pseudomonas phage 73, complete genome
NC_007807.1	43365	51	none	0	0		NC_007807.1 Pseudomonas phage 119X, complete genome
NC_007808.1	49639	68	none	0	0		NC_007808.1 Pseudomonas phage PA11, complete genome
NC_007809.1	59446	82	none	0	0		NC_007809.1 Pseudomonas phage M6, complete genome
NC_007810.1	66015	93	none	0	0		NC_007810.1 Pseudomonas phage F8, complete genome
NC_007814.1	37974	53	none	0	0		NC_007814.1 Bacillus phage Fah, complete genome
NC_007817.1	5486	6	none	0	0		NC_007817.1 Enterobacteria phage ID2 Moscow/ID/2001, complete genome
NC_007818.1	6068	8	none	0	0		NC_007818.1 Coliphage ID21, complete genome
NC_007819.1	6071	8	none	0	0		NC_007819.1 Coliphage ID32, complete genome
NC_007820.1	6039	8	none	0	0		NC_007820.1 Coliphage NC35, complete genome
NC_007821.1	6068	8	none	0	0		NC_007821.1 Enterobacteria phage WA13, complete genome
NC_007822.1	6068	8	none	0	0		NC_007822.1 Coliphage WA45, complete genome
NC_007823.1	6065	8	none	0	0		NC_007823.1 Coliphage NC28, complete genome
NC_007824.1	6051	8	none	0	0		NC_007824.1 Coliphage ID62, complete genome
NC_007825.1	5538	6	none	0	0		NC_007825.1 Coliphage ID52, complete genome
NC_007827.1	6259	10	none	0	0		NC_007827.1 Coliphage NC29, complete genome
NC_007856.1	5486	6	none	0	0		NC_007856.1 Enterobacteria phage ID18, complete genome
NC_007902.1	52162	64	none	1	0		NC_007902.1 Sodalis phage phiSG1, complete genome
