dataset	mpf_class	min_seq_id	rep	n_elem	prevalence_pct	aa	known	lipobox_strict	lipobox_relaxed	tm_count	anchor_mode	passes
ice	MPF_B	0.5	10148	21	7.37	106		0	0	0	none	0
ice	MPF_B	0.5	10151	21	7.37	100		0	0	0	none	0
ice	MPF_B	0.5	345321	21	7.37	198		0	0	1	single_pass	1
ice	MPF_B	0.5	216273	21	7.37	239		0	0	1	single_pass	1
ice	MPF_B	0.5	44850	21	7.37	201		0	0	0	none	0
ice	MPF_B	0.5	58669	21	7.37	153		0	0	0	none	0
ice	MPF_B	0.5	10129	21	7.37	246		0	0	0	none	0
ice	MPF_B	0.5	10131	21	7.37	117		0	0	0	none	0
ice	MPF_B	0.5	10137	21	7.37	147		0	0	2	multi_pass	1
ice	MPF_B	0.5	51211	20	7.02	157		0	0	0	none	0
ice	MPF_B	0.5	279215	20	7.02	137		0	0	0	none	0
ice	MPF_B	0.5	10149	19	6.67	117		0	0	0	none	0
ice	MPF_B	0.5	185416	19	6.67	161		0	0	1	single_pass	1
ice	MPF_B	0.5	231596	19	6.67	159		0	0	0	none	0
ice	MPF_B	0.5	28831	18	6.32	71		0	0	0	none	0
ice	MPF_B	0.5	246899	18	6.32	104		0	0	0	none	0
ice	MPF_B	0.5	1204	18	6.32	119		0	0	0	none	0
ice	MPF_B	0.5	39170	18	6.32	96		0	0	0	none	0
ice	MPF_B	0.5	222205	17	5.96	162		0	0	0	none	0
ice	MPF_B	0.5	279433	17	5.96	87		0	0	0	none	0
ice	MPF_B	0.5	145705	17	5.96	139		0	0	3	multi_pass	1
ice	MPF_B	0.5	58976	17	5.96	136		0	0	0	none	0
ice	MPF_B	0.5	18369	17	5.96	143		0	0	0	none	0
ice	MPF_B	0.5	1205	17	5.96	148		0	0	0	none	0
ice	MPF_B	0.5	344910	17	5.96	122		0	0	0	none	0
ice	MPF_B	0.5	129037	17	5.96	127		0	0	0	none	0
ice	MPF_B	0.5	39070	16	5.61	149		0	0	0	none	0
ice	MPF_B	0.5	18409	16	5.61	102		0	0	0	none	0
ice	MPF_B	0.5	1238	16	5.61	106		0	0	0	none	0
ice	MPF_B	0.5	39155	16	5.61	57		0	0	0	none	0
ice	MPF_B	0.5	279180	16	5.61	98		0	0	0	none	0
ice	MPF_B	0.5	48231	15	5.26	118		0	0	0	none	0
ice	MPF_B	0.5	247170	15	5.26	196		0	0	0	none	0
ice	MPF_B	0.5	136543	15	5.26	198		0	0	3	multi_pass	1
ice	MPF_B	0.5	365287	15	5.26	180		0	0	0	none	0
ice	MPF_B	0.5	1226	15	5.26	128		0	0	0	none	0
ice	MPF_B	0.5	44882	15	5.26	71		0	0	1	single_pass	1
ice	MPF_B	0.5	344229	15	5.26	220		0	0	1	single_pass	1
ice	MPF_B	0.5	279253	15	5.26	73		0	0	0	none	0
ice	MPF_B	0.5	39067	14	4.91	108		0	0	0	none	0
ice	MPF_B	0.5	39090	14	4.91	131		0	0	3	multi_pass	1
ice	MPF_B	0.5	336582	14	4.91	221		0	1	0	none	0
ice	MPF_B	0.5	336088	14	4.91	170		0	0	8	multi_pass	1
ice	MPF_B	0.5	204505	14	4.91	73		0	0	0	none	0
ice	MPF_B	0.5	78058	14	4.91	147		0	0	0	none	0
ice	MPF_B	0.5	1254	14	4.91	118		0	0	0	none	0
ice	MPF_B	0.5	1255	14	4.91	121		0	0	0	none	0
ice	MPF_B	0.5	70450	14	4.91	196		0	0	0	none	0
ice	MPF_B	0.5	204404	14	4.91	220		0	0	0	none	0
ice	MPF_B	0.5	38193	13	4.56	203		0	0	0	none	0
ice	MPF_B	0.5	238142	13	4.56	218		0	0	0	none	0
ice	MPF_B	0.5	359906	13	4.56	152		1	0	0	lipid	1
ice	MPF_B	0.5	204946	13	4.56	98		0	0	0	none	0
ice	MPF_B	0.5	215989	13	4.56	182		0	0	0	none	0
ice	MPF_B	0.5	1261	13	4.56	233		0	0	0	none	0
ice	MPF_B	0.5	330918	13	4.56	186		0	0	0	none	0
ice	MPF_B	0.5	279649	13	4.56	207		0	0	0	none	0
ice	MPF_B	0.5	33331	12	4.21	89		0	0	0	none	0
ice	MPF_B	0.5	33332	12	4.21	104		0	0	0	none	0
ice	MPF_B	0.5	39096	12	4.21	140		0	0	0	none	0
ice	MPF_B	0.5	215832	12	4.21	73		0	0	0	none	0
ice	MPF_B	0.5	285517	12	4.21	233		0	0	0	none	0
ice	MPF_B	0.5	144475	12	4.21	168		0	0	0	none	0
ice	MPF_B	0.5	365568	12	4.21	69		0	0	0	none	0
ice	MPF_B	0.5	1219	12	4.21	195		0	0	0	none	0
ice	MPF_B	0.5	1224	12	4.21	113		0	0	0	none	0
ice	MPF_B	0.5	44951	12	4.21	246		0	0	1	single_pass	1
ice	MPF_B	0.5	235774	12	4.21	195		0	0	0	none	0
ice	MPF_B	0.5	44692	12	4.21	241		0	0	0	none	0
ice	MPF_B	0.5	39072	11	3.86	71		0	0	1	single_pass	1
ice	MPF_B	0.5	39097	11	3.86	139		0	0	1	single_pass	1
ice	MPF_B	0.5	201709	11	3.86	221		0	1	0	none	0
ice	MPF_B	0.5	205658	11	3.86	145		0	0	0	none	0
ice	MPF_B	0.5	38779	11	3.86	93		0	0	0	none	0
ice	MPF_B	0.5	78992	11	3.86	84		0	0	0	none	0
ice	MPF_B	0.5	215334	11	3.86	231		0	0	0	none	0
ice	MPF_B	0.5	70453	11	3.86	102		0	0	3	multi_pass	1
ice	MPF_B	0.5	366826	11	3.86	205		0	0	0	none	0
ice	MPF_B	0.5	33321	10	3.51	132		0	0	0	none	0
ice	MPF_B	0.5	191830	10	3.51	123		0	0	0	none	0
ice	MPF_B	0.5	201708	10	3.51	174		0	0	3	multi_pass	1
ice	MPF_B	0.5	86526	10	3.51	95		0	0	1	single_pass	1
ice	MPF_B	0.5	170017	10	3.51	94		0	0	0	none	0
ice	MPF_B	0.5	231392	10	3.51	74		0	0	0	none	0
ice	MPF_B	0.5	38703	10	3.51	102		0	0	0	none	0
ice	MPF_B	0.5	141104	10	3.51	103		0	0	0	none	0
ice	MPF_B	0.5	215401	10	3.51	220		0	0	0	none	0
ice	MPF_B	0.5	215665	10	3.51	102		0	0	0	none	0
ice	MPF_B	0.5	285459	10	3.51	89		0	0	0	none	0
ice	MPF_B	0.5	44657	10	3.51	161		0	0	2	multi_pass	1
ice	MPF_B	0.5	39066	9	3.16	103		0	0	0	none	0
ice	MPF_B	0.5	39118	9	3.16	105		0	0	0	none	0
ice	MPF_B	0.5	256341	9	3.16	125		0	0	0	none	0
ice	MPF_B	0.5	256356	9	3.16	127		0	0	1	single_pass	1
ice	MPF_B	0.5	17558	9	3.16	69		0	0	0	none	0
ice	MPF_B	0.5	136546	9	3.16	73		0	0	0	none	0
ice	MPF_B	0.5	144067	9	3.16	126		0	0	0	none	0
ice	MPF_B	0.5	196161	9	3.16	97		0	0	0	none	0
ice	MPF_B	0.5	196222	9	3.16	195		0	0	0	none	0
ice	MPF_B	0.5	344089	9	3.16	148		0	0	0	none	0
ice	MPF_B	0.5	336556	9	3.16	216		0	0	3	multi_pass	1
ice	MPF_B	0.5	355369	9	3.16	203		0	0	0	none	0
ice	MPF_B	0.5	336074	9	3.16	92		0	0	0	none	0
ice	MPF_B	0.5	330644	9	3.16	97		0	0	0	none	0
ice	MPF_B	0.5	255241	9	3.16	65		0	0	0	none	0
ice	MPF_B	0.5	44706	9	3.16	113		0	0	0	none	0
ice	MPF_B	0.5	145679	9	3.16	157		0	0	0	none	0
ice	MPF_B	0.5	185394	9	3.16	114		0	0	0	none	0
ice	MPF_B	0.5	204476	9	3.16	158		0	1	5	multi_pass	1
ice	MPF_B	0.5	235645	9	3.16	71		0	0	0	none	0
ice	MPF_B	0.5	44832	9	3.16	150		0	0	1	single_pass	1
ice	MPF_B	0.5	365720	9	3.16	221		0	0	1	single_pass	1
ice	MPF_B	0.5	42087	9	3.16	177		0	0	1	single_pass	1
ice	MPF_B	0.5	78989	9	3.16	90		0	0	0	none	0
ice	MPF_B	0.5	44616	9	3.16	128		0	0	0	none	0
ice	MPF_B	0.5	336526	9	3.16	148		0	0	0	none	0
ice	MPF_B	0.5	344314	9	3.16	211		0	0	0	none	0
ice	MPF_B	0.5	70451	9	3.16	128		0	0	3	multi_pass	1
ice	MPF_B	0.5	109304	9	3.16	69		0	0	3	multi_pass	1
ice	MPF_B	0.5	235777	9	3.16	244		0	0	0	none	0
ice	MPF_B	0.5	335971	9	3.16	114		0	0	0	none	0
ice	MPF_B	0.5	238039	9	3.16	57		0	0	0	none	0
ice	MPF_B	0.5	231554	9	3.16	206		0	0	0	none	0
ice	MPF_B	0.5	39114	8	2.81	128		0	0	0	none	0
ice	MPF_B	0.5	39116	8	2.81	59		0	0	0	none	0
ice	MPF_B	0.5	17532	8	2.81	139		0	0	0	none	0
ice	MPF_B	0.5	370933	8	2.81	180		0	0	0	none	0
ice	MPF_B	0.5	279310	8	2.81	142		0	0	0	none	0
ice	MPF_B	0.5	285513	8	2.81	69		0	0	0	none	0
ice	MPF_B	0.5	204525	8	2.81	107		1	1	0	lipid	1
ice	MPF_B	0.5	205441	8	2.81	179		0	0	0	none	0
ice	MPF_B	0.5	231298	8	2.81	94		0	0	0	none	0
ice	MPF_B	0.5	231400	8	2.81	120		0	0	0	none	0
ice	MPF_B	0.5	5689	8	2.81	97		0	0	0	none	0
ice	MPF_B	0.5	5732	8	2.81	131		0	0	0	none	0
ice	MPF_B	0.5	5760	8	2.81	237		0	0	0	none	0
ice	MPF_B	0.5	5764	8	2.81	99		0	0	0	none	0
ice	MPF_B	0.5	5770	8	2.81	98		0	0	0	none	0
ice	MPF_B	0.5	365282	8	2.81	82		0	0	0	none	0
ice	MPF_B	0.5	18411	8	2.81	126		0	0	0	none	0
ice	MPF_B	0.5	160555	8	2.81	101		0	0	0	none	0
ice	MPF_B	0.5	146417	8	2.81	153		0	0	0	none	0
ice	MPF_B	0.5	201742	8	2.81	145		0	0	0	none	0
ice	MPF_B	0.5	204104	8	2.81	135		0	0	0	none	0
ice	MPF_B	0.5	204576	8	2.81	158		0	0	1	single_pass	1
ice	MPF_B	0.5	330922	8	2.81	63		0	0	0	none	0
ice	MPF_B	0.5	129015	8	2.81	165		0	0	0	none	0
ice	MPF_B	0.5	279641	8	2.81	221		0	0	0	none	0
ice	MPF_B	0.5	205369	8	2.81	62		0	0	0	none	0
ice	MPF_B	0.5	70435	8	2.81	55		1	1	0	lipid	1
ice	MPF_B	0.5	70443	8	2.81	113		0	0	0	none	0
ice	MPF_B	0.5	366753	8	2.81	148		0	0	0	none	0
ice	MPF_B	0.5	222118	8	2.81	149		0	0	0	none	0
ice	MPF_B	0.5	256143	8	2.81	146		0	0	2	multi_pass	1
ice	MPF_B	0.5	33320	7	2.46	159		1	1	0	lipid	1
ice	MPF_B	0.5	38210	7	2.46	64		0	0	1	single_pass	1
ice	MPF_B	0.5	238095	7	2.46	141		0	0	0	none	0
ice	MPF_B	0.5	238123	7	2.46	70		0	0	0	none	0
ice	MPF_B	0.5	238131	7	2.46	136		0	0	0	none	0
ice	MPF_B	0.5	238144	7	2.46	223		0	0	0	none	0
ice	MPF_B	0.5	256296	7	2.46	137		0	0	0	none	0
ice	MPF_B	0.5	310993	7	2.46	132		0	0	0	none	0
ice	MPF_B	0.5	330092	7	2.46	89		0	0	1	single_pass	1
ice	MPF_B	0.5	205474	7	2.46	163		0	0	0	none	0
ice	MPF_B	0.5	215518	7	2.46	127		0	0	0	none	0
ice	MPF_B	0.5	44874	7	2.46	81		0	0	0	none	0
ice	MPF_B	0.5	78173	7	2.46	65		0	0	0	none	0
ice	MPF_B	0.5	365461	7	2.46	138		0	1	0	none	0
ice	MPF_B	0.5	78077	7	2.46	195		0	0	1	single_pass	1
ice	MPF_B	0.5	224765	7	2.46	88		0	0	0	none	0
ice	MPF_B	0.5	224806	7	2.46	65		0	0	0	none	0
ice	MPF_B	0.5	5710	7	2.46	234		0	0	0	none	0
ice	MPF_B	0.5	351167	7	2.46	127		0	0	0	none	0
ice	MPF_B	0.5	146500	7	2.46	175		0	0	0	none	0
ice	MPF_B	0.5	336107	7	2.46	149		0	0	1	single_pass	1
ice	MPF_B	0.5	96880	7	2.46	64		0	0	0	none	0
ice	MPF_B	0.5	279625	7	2.46	152		0	0	2	multi_pass	1
ice	MPF_B	0.5	215440	7	2.46	134		0	0	0	none	0
ice	MPF_B	0.5	231474	7	2.46	83		0	0	3	multi_pass	1
ice	MPF_B	0.5	70449	7	2.46	181		0	0	0	none	0
ice	MPF_B	0.5	135570	7	2.46	83		0	0	0	none	0
ice	MPF_B	0.5	135571	7	2.46	165		0	0	0	none	0
ice	MPF_B	0.5	239757	7	2.46	140		0	0	0	none	0
ice	MPF_B	0.5	331486	7	2.46	135		0	0	0	none	0
ice	MPF_B	0.5	17861	6	2.11	191		0	0	0	none	0
ice	MPF_B	0.5	22684	6	2.11	173		0	0	0	none	0
ice	MPF_B	0.5	22689	6	2.11	233		0	0	0	none	0
ice	MPF_B	0.5	38472	6	2.11	70		0	0	3	multi_pass	1
ice	MPF_B	0.5	38498	6	2.11	208		0	0	0	none	0
ice	MPF_B	0.5	38642	6	2.11	211		0	0	0	none	0
ice	MPF_B	0.5	256308	6	2.11	206		0	0	0	none	0
ice	MPF_B	0.5	131927	6	2.11	240		0	0	0	none	0
ice	MPF_B	0.5	191834	6	2.11	120		0	0	0	none	0
ice	MPF_B	0.5	201711	6	2.11	101		0	0	0	none	0
ice	MPF_B	0.5	37	6	2.11	104		0	0	0	none	0
ice	MPF_B	0.5	50	6	2.11	190		0	0	5	multi_pass	1
ice	MPF_B	0.5	55	6	2.11	155		0	0	2	multi_pass	1
ice	MPF_B	0.5	68	6	2.11	234		0	0	1	single_pass	1
ice	MPF_B	0.5	69	6	2.11	128		0	0	0	none	0
ice	MPF_B	0.5	71	6	2.11	133		0	0	0	none	0
ice	MPF_B	0.5	369053	6	2.11	58		1	1	2	ambiguous	1
ice	MPF_B	0.5	17719	6	2.11	197		0	0	0	none	0
ice	MPF_B	0.5	336039	6	2.11	87		0	0	0	none	0
ice	MPF_B	0.5	336041	6	2.11	201		0	0	0	none	0
ice	MPF_B	0.5	78872	6	2.11	124		0	0	0	none	0
ice	MPF_B	0.5	235918	6	2.11	83		0	0	0	none	0
ice	MPF_B	0.5	285972	6	2.11	210		0	0	0	none	0
ice	MPF_B	0.5	285984	6	2.11	139		0	0	1	single_pass	1
ice	MPF_B	0.5	285996	6	2.11	87		0	0	0	none	0
ice	MPF_B	0.5	331327	6	2.11	188		0	0	0	none	0
ice	MPF_B	0.5	90893	6	2.11	161		0	0	0	none	0
ice	MPF_B	0.5	144456	6	2.11	183		0	0	0	none	0
ice	MPF_B	0.5	144458	6	2.11	217		0	0	6	multi_pass	1
ice	MPF_B	0.5	60351	6	2.11	235		0	0	0	none	0
ice	MPF_B	0.5	67180	6	2.11	156		0	0	1	single_pass	1
ice	MPF_B	0.5	235901	6	2.11	111		0	0	0	none	0
ice	MPF_B	0.5	51605	6	2.11	96		0	0	0	none	0
ice	MPF_B	0.5	145758	6	2.11	232		0	0	0	none	0
ice	MPF_B	0.5	145775	6	2.11	208		0	0	0	none	0
ice	MPF_B	0.5	146193	6	2.11	70		0	0	0	none	0
ice	MPF_B	0.5	204472	6	2.11	246		0	0	6	multi_pass	1
ice	MPF_B	0.5	204529	6	2.11	182		0	0	1	single_pass	1
ice	MPF_B	0.5	215528	6	2.11	124		0	0	3	multi_pass	1
ice	MPF_B	0.5	17793	6	2.11	141		0	0	0	none	0
ice	MPF_B	0.5	63522	6	2.11	112		0	0	0	none	0
ice	MPF_B	0.5	63384	6	2.11	248		0	0	0	none	0
ice	MPF_B	0.5	78052	6	2.11	216		0	0	0	none	0
ice	MPF_B	0.5	78053	6	2.11	182		0	0	0	none	0
ice	MPF_B	0.5	78084	6	2.11	173		0	0	0	none	0
ice	MPF_B	0.5	78110	6	2.11	119		0	0	0	none	0
ice	MPF_B	0.5	78160	6	2.11	119		0	0	0	none	0
ice	MPF_B	0.5	231387	6	2.11	227		0	0	0	none	0
ice	MPF_B	0.5	238220	6	2.11	199		0	0	0	none	0
ice	MPF_B	0.5	331397	6	2.11	112		0	0	0	none	0
ice	MPF_B	0.5	5697	6	2.11	70		0	0	3	multi_pass	1
ice	MPF_B	0.5	5699	6	2.11	91		0	0	0	none	0
ice	MPF_B	0.5	5706	6	2.11	182		0	0	0	none	0
ice	MPF_B	0.5	5728	6	2.11	102		0	0	0	none	0
ice	MPF_B	0.5	338899	6	2.11	186		0	0	0	none	0
ice	MPF_B	0.5	365308	6	2.11	149		0	0	1	single_pass	1
ice	MPF_B	0.5	18388	6	2.11	158		0	0	1	single_pass	1
ice	MPF_B	0.5	195583	6	2.11	61		0	0	0	none	0
ice	MPF_B	0.5	149293	6	2.11	185		0	0	0	none	0
ice	MPF_B	0.5	1001	6	2.11	62		0	0	1	single_pass	1
ice	MPF_B	0.5	1222	6	2.11	116		0	0	0	none	0
ice	MPF_B	0.5	139544	6	2.11	169		0	0	0	none	0
ice	MPF_B	0.5	141646	6	2.11	118		0	0	1	single_pass	1
ice	MPF_B	0.5	336096	6	2.11	128		0	0	0	none	0
ice	MPF_B	0.5	204085	6	2.11	231		0	0	0	none	0
ice	MPF_B	0.5	204619	6	2.11	131		0	0	0	none	0
ice	MPF_B	0.5	78978	6	2.11	168		0	0	0	none	0
ice	MPF_B	0.5	79885	6	2.11	177		0	0	0	none	0
ice	MPF_B	0.5	96900	6	2.11	145		0	0	0	none	0
ice	MPF_B	0.5	279686	6	2.11	187		0	0	0	none	0
ice	MPF_B	0.5	42099	6	2.11	248		0	0	0	none	0
ice	MPF_B	0.5	314264	6	2.11	148		0	0	0	none	0
ice	MPF_B	0.5	231424	6	2.11	137		0	0	0	none	0
ice	MPF_B	0.5	231425	6	2.11	80		0	0	0	none	0
ice	MPF_B	0.5	67635	6	2.11	226		0	0	1	single_pass	1
ice	MPF_B	0.5	70437	6	2.11	79		0	0	0	none	0
ice	MPF_B	0.5	70445	6	2.11	83		0	0	0	none	0
ice	MPF_B	0.5	70463	6	2.11	81		0	0	0	none	0
ice	MPF_B	0.5	135550	6	2.11	241		0	0	1	single_pass	1
ice	MPF_B	0.5	345182	6	2.11	104		0	0	4	multi_pass	1
ice	MPF_B	0.5	222056	6	2.11	185		0	0	0	none	0
ice	MPF_B	0.5	251424	6	2.11	198		0	0	0	none	0
ice	MPF_B	0.5	306808	6	2.11	137		0	0	5	multi_pass	1
ice	MPF_B	0.5	58666	6	2.11	125		0	0	0	none	0
ice	MPF_B	0.5	238482	6	2.11	64		0	0	0	none	0
ice	MPF_B	0.5	279236	6	2.11	127		0	0	0	none	0
ice	MPF_B	0.5	294479	6	2.11	183		0	0	1	single_pass	1
ice	MPF_B	0.5	5856	6	2.11	99		0	0	0	none	0
ice	MPF_B	0.5	5857	6	2.11	100		0	0	0	none	0
ice	MPF_B	0.5	10140	6	2.11	81		1	1	0	lipid	1
ice	MPF_B	0.5	22682	5	1.75	147		0	0	3	multi_pass	1
ice	MPF_B	0.5	38237	5	1.75	195		0	0	0	none	0
ice	MPF_B	0.5	38245	5	1.75	137		0	0	0	none	0
ice	MPF_B	0.5	38495	5	1.75	65		0	0	0	none	0
ice	MPF_B	0.5	38497	5	1.75	136		0	1	0	none	0
ice	MPF_B	0.5	38508	5	1.75	155		0	0	4	multi_pass	1
ice	MPF_B	0.5	38888	5	1.75	140		0	0	0	none	0
ice	MPF_B	0.5	39051	5	1.75	194		0	0	6	multi_pass	1
ice	MPF_B	0.5	205179	5	1.75	216		0	0	0	none	0
ice	MPF_B	0.5	215915	5	1.75	223		0	0	0	none	0
ice	MPF_B	0.5	231249	5	1.75	193		0	0	0	none	0
ice	MPF_B	0.5	238090	5	1.75	218		0	0	0	none	0
ice	MPF_B	0.5	238093	5	1.75	188		0	0	0	none	0
ice	MPF_B	0.5	238103	5	1.75	109		0	0	4	multi_pass	1
ice	MPF_B	0.5	238112	5	1.75	230		0	0	7	multi_pass	1
ice	MPF_B	0.5	238172	5	1.75	189		0	0	0	none	0
ice	MPF_B	0.5	238195	5	1.75	97		0	0	0	none	0
ice	MPF_B	0.5	238199	5	1.75	147		0	0	4	multi_pass	1
ice	MPF_B	0.5	328244	5	1.75	74		0	0	0	none	0
ice	MPF_B	0.5	247006	5	1.75	120		0	0	0	none	0
ice	MPF_B	0.5	256280	5	1.75	231		0	0	0	none	0
ice	MPF_B	0.5	306877	5	1.75	221		0	0	0	none	0
ice	MPF_B	0.5	83116	5	1.75	96		0	0	1	single_pass	1
ice	MPF_B	0.5	131935	5	1.75	148		0	0	0	none	0
ice	MPF_B	0.5	136279	5	1.75	138		0	0	5	multi_pass	1
ice	MPF_B	0.5	144664	5	1.75	220		0	0	0	none	0
ice	MPF_B	0.5	196115	5	1.75	143		0	0	0	none	0
ice	MPF_B	0.5	196116	5	1.75	229		0	0	0	none	0
ice	MPF_B	0.5	204230	5	1.75	94		0	0	0	none	0
ice	MPF_B	0.5	344160	5	1.75	157		0	0	0	none	0
ice	MPF_B	0.5	43	5	1.75	152		0	0	0	none	0
ice	MPF_B	0.5	44	5	1.75	119		0	0	0	none	0
ice	MPF_B	0.5	45	5	1.75	173		0	0	0	none	0
ice	MPF_B	0.5	56	5	1.75	215		0	0	0	none	0
ice	MPF_B	0.5	355366	5	1.75	85		0	0	0	none	0
ice	MPF_B	0.5	369050	5	1.75	123		0	0	0	none	0
ice	MPF_B	0.5	17677	5	1.75	134		0	0	3	multi_pass	1
ice	MPF_B	0.5	78047	5	1.75	187		0	0	0	none	0
ice	MPF_B	0.5	96752	5	1.75	239		0	0	0	none	0
ice	MPF_B	0.5	96760	5	1.75	151		0	0	2	multi_pass	1
ice	MPF_B	0.5	330658	5	1.75	151		0	0	0	none	0
ice	MPF_B	0.5	222284	5	1.75	191		0	0	0	none	0
ice	MPF_B	0.5	222345	5	1.75	195		0	0	0	none	0
ice	MPF_B	0.5	256080	5	1.75	46		1	1	0	lipid	1
ice	MPF_B	0.5	257728	5	1.75	113		0	0	1	single_pass	1
ice	MPF_B	0.5	286019	5	1.75	148		0	0	4	multi_pass	1
ice	MPF_B	0.5	286021	5	1.75	191		0	0	0	none	0
ice	MPF_B	0.5	286023	5	1.75	75		0	0	0	none	0
ice	MPF_B	0.5	90879	5	1.75	205		0	0	0	none	0
ice	MPF_B	0.5	97107	5	1.75	63		0	0	0	none	0
ice	MPF_B	0.5	137939	5	1.75	101		0	0	0	none	0
ice	MPF_B	0.5	144503	5	1.75	112		0	0	0	none	0
ice	MPF_B	0.5	144546	5	1.75	148		0	0	0	none	0
ice	MPF_B	0.5	67163	5	1.75	71		0	0	0	none	0
ice	MPF_B	0.5	67181	5	1.75	69		0	0	0	none	0
ice	MPF_B	0.5	144231	5	1.75	171		0	0	0	none	0
ice	MPF_B	0.5	144654	5	1.75	233		0	0	0	none	0
ice	MPF_B	0.5	146189	5	1.75	93		0	0	0	none	0
ice	MPF_B	0.5	204469	5	1.75	97		0	0	0	none	0
ice	MPF_B	0.5	215514	5	1.75	192		0	0	2	multi_pass	1
ice	MPF_B	0.5	235704	5	1.75	97		0	0	0	none	0
ice	MPF_B	0.5	345591	5	1.75	107		0	0	0	none	0
ice	MPF_B	0.5	51449	5	1.75	177		0	0	0	none	0
ice	MPF_B	0.5	83048	5	1.75	43		0	0	0	none	0
ice	MPF_B	0.5	58818	5	1.75	151		0	0	3	multi_pass	1
ice	MPF_B	0.5	344861	5	1.75	202		0	0	0	none	0
ice	MPF_B	0.5	238206	5	1.75	76		0	0	0	none	0
ice	MPF_B	0.5	238207	5	1.75	133		0	0	0	none	0
ice	MPF_B	0.5	238239	5	1.75	160		0	0	0	none	0
ice	MPF_B	0.5	238249	5	1.75	159		0	0	3	multi_pass	1
ice	MPF_B	0.5	238257	5	1.75	239		0	0	0	none	0
ice	MPF_B	0.5	5717	5	1.75	132		0	0	0	none	0
ice	MPF_B	0.5	5721	5	1.75	79		0	0	0	none	0
ice	MPF_B	0.5	5723	5	1.75	232		0	0	0	none	0
ice	MPF_B	0.5	5727	5	1.75	56		0	0	0	none	0
ice	MPF_B	0.5	5761	5	1.75	233		0	0	0	none	0
ice	MPF_B	0.5	5771	5	1.75	135		0	0	4	multi_pass	1
ice	MPF_B	0.5	195584	5	1.75	77		0	0	0	none	0
ice	MPF_B	0.5	160563	5	1.75	83		0	0	0	none	0
