accession	n_cds	core_completeness	n_core	VirB1	VirB1_score	VirB2	VirB2_score	VirB3	VirB3_score	VirB4	VirB4_score	VirB4b	VirB4b_score	VirB5	VirB5_score	VirB6	VirB6_score	VirB7	VirB7_score	VirB8	VirB8_score	VirB9	VirB9_score	VirB10	VirB10_score	VirB11	VirB11_score	VirD4	VirD4_score	TraN	TraN_score
AP014659.1	225	7/7	7	none		ga:86:77837..78217:+	78.1	ga:87:78210..78509:+	64.0	ga:88:78519..79319:+	35.3	ga:88:78519..79319:+	132.5	none		ga:93:81425..82585:+	106.0	none		ga:94:82628..83290:+	134.8	ga:95:83287..84147:+	178.1	ga:97:84614..85915:+	214.3	ga:85:76879..77847:+	138.5	ga:50:46133..47572:+	516.3	none	
AP014686.1	226	6/7	6	none		ga:198:187215..187604:+	76.9	ga:199:187597..187896:+	61.8	ga:200:187906..190359:+	170.3	ga:200:187906..190359:+	130.2	none		none		none		ga:204:192532..193212:+	131.2	ga:205:193616..194050:+	130.1	ga:207:194530..195828:+	223.7	ga:197:186257..187225:+	134.9	ga:30:31588..33510:+	533.1	none	
AP014688.1	153	5/7	5	none		ga:20:18919..19299:+	78.1	ga:21:19292..19591:+	64.0	ga:22:19601..22042:+	160.0	ga:22:19601..22042:+	134.3	none		ga:25:23009..24169:+	106.2	none		none		none		ga:133:123223..124053:-	178.0	ga:19:17961..18929:+	138.5	ga:145:130924..131694:-	317.2	none	
AP017969.1	84	7/7	7	none		ga:4:6466..6795:+	65.7	ga:12:13169..13414:+	38.9	ga:13:13425..15911:+	55.8	ga:13:13425..15911:+	92.8	none		ga:26:26936..28564:+	52.5	none		ga:5:6809..7516:+	103.1	ga:7:7917..8780:+	174.0	ga:8:8792..9955:+	188.8	ga:11:12234..13169:+	99.7	ga:9:9957..11885:+	303.2	none	
AP017970.1	71	7/7	7	none		ga:5:6593..6922:+	66.1	ga:13:13292..13540:+	33.1	ga:14:13561..16053:+	58.1	ga:14:13561..16053:+	90.0	none		ga:26:25055..26677:+	47.2	none		ga:6:6936..7643:+	105.1	ga:8:8044..8904:+	165.3	ga:9:8915..10081:+	188.1	ga:12:12357..13292:+	98.7	ga:10:10083..12011:+	303.7	none	
AP018566.2	85	7/7	7	ga:12:7560..8294:+	32.5	ga:14:8594..8887:+	28.7	ga:15:8937..9254:+	63.3	ga:16:9254..11854:+	111.8	ga:16:9254..11854:+	76.8	ga:17:11872..12585:+	97.1	ga:19:12836..13876:+	153.6	none		ga:20:14095..14793:+	131.9	ga:21:14804..15688:+	159.0	ga:22:15688..16848:+	154.9	ga:23:16890..17885:+	81.2	ga:32:27891..29420:-	38.5	none	
AP018571.2	67	7/7	7	ga:40:31558..32202:+	46.4	ga:41:32186..32476:+	73.1	ga:42:32501..35254:+	47.0	ga:42:32501..35254:+	142.4	ga:42:32501..35254:+	73.3	ga:43:35264..36034:+	60.1	ga:45:36313..37368:+	133.2	none		ga:46:37563..38291:+	119.4	ga:47:38297..39226:+	138.8	ga:48:39223..40437:+	128.3	ga:50:40633..41667:+	65.7	ga:52:42256..43497:+	377.1	none	
AP018705.1	49	7/7	7	ga:38:33658..34401:-	47.4	ga:36:30856..31170:-	76.7	ga:35:30525..30842:-	87.1	ga:34:27993..30515:-	212.3	ga:34:27993..30515:-	101.2	ga:33:27219..27932:-	224.9	ga:31:25878..26954:-	141.9	none		ga:29:24553..25278:-	189.7	ga:28:23678..24556:-	196.0	ga:27:22524..23678:-	199.3	ga:26:21458..22540:-	91.7	ga:24:18723..21239:-	330.2	none	
AP018706.1	48	7/7	7	ga:38:34176..34919:-	47.3	ga:36:31374..31688:-	76.0	ga:35:31043..31360:-	87.1	ga:34:28511..31033:-	211.9	ga:34:28511..31033:-	101.2	ga:33:27737..28450:-	223.4	ga:31:26396..27472:-	141.9	none		ga:29:25070..25795:-	189.7	ga:28:24195..25073:-	196.0	ga:27:23041..24195:-	199.3	ga:26:21975..23057:-	91.7	ga:24:19243..21756:-	330.4	none	
AP018707.1	53	7/7	7	ga:40:34835..35599:-	44.6	ga:38:31995..32300:-	77.7	ga:37:31656..31979:-	84.6	ga:36:29112..31646:-	207.9	ga:36:29112..31646:-	102.7	ga:35:28388..29107:-	231.8	ga:33:26869..27954:-	165.9	none		ga:32:25825..26556:-	198.9	ga:31:24950..25828:-	202.0	ga:30:23817..24953:-	198.2	ga:29:22769..23839:-	101.2	ga:28:19953..22547:-	330.4	none	
AP018708.1	53	7/7	7	ga:40:34919..35683:-	44.6	ga:38:32079..32384:-	77.7	ga:37:31740..32063:-	84.6	ga:36:29196..31730:-	207.9	ga:36:29196..31730:-	102.7	ga:35:28472..29191:-	231.8	ga:33:26953..28038:-	165.9	none		ga:32:25909..26640:-	198.9	ga:31:25034..25912:-	202.0	ga:30:23901..25037:-	198.2	ga:29:22853..23923:-	101.2	ga:28:20037..22631:-	330.4	none	
AP018709.1	56	7/7	7	ga:41:37347..37988:-	23.4	ga:52:47856..48320:-	63.6	ga:51:47541..47852:-	49.8	ga:50:44986..47544:-	91.0	ga:50:44986..47544:-	112.1	none		ga:43:38604..40340:-	141.9	none		ga:49:44207..44989:-	144.6	ga:48:43290..44189:-	185.3	ga:46:41370..42791:-	223.1	ga:53:48337..49299:-	127.4	ga:21:16202..18115:+	525.5	none	
AP018710.1	39	7/7	7	ga:13:11793..12689:+	45.2	ga:36:33468..33959:-	68.5	ga:35:33154..33468:-	51.1	ga:34:30633..33140:-	96.9	ga:34:30633..33140:-	113.0	none		ga:31:27950..29668:-	86.9	none		ga:29:26853..27551:-	122.8	ga:28:25915..26853:-	163.0	ga:26:23995..25458:-	206.3	ga:37:33971..34954:-	135.2	ga:11:9275..11233:+	355.7	none	
AP019683.1	95	7/7	7	ga:2:4664..5254:-	62.9	ga:53:41304..41618:-	76.8	ga:52:41035..41301:-	36.5	ga:51:38398..40968:-	34.6	ga:51:38398..40968:-	107.4	none		ga:49:35559..37034:-	84.7	none		ga:48:34842..35552:-	129.8	ga:47:33824..34816:-	166.9	ga:46:32465..33808:-	209.6	ga:54:41697..42701:-	116.3	ga:0:256..1401:-	183.6	none	
AP019756.1	63	7/7	7	ga:1:513..1181:-	30.8	ga:0:226..510:-	59.2	none		ga:62:58924..61344:-	151.4	ga:62:58924..61344:-	79.5	ga:61:58214..58927:-	125.2	ga:59:56830..57996:-	136.9	none		ga:57:55797..56504:-	125.5	ga:56:55045..55800:-	126.5	ga:55:53915..55048:-	155.0	ga:54:52793..53911:-	95.4	ga:53:50806..52800:-	340.6	none	
AP022275.1	128	7/7	7	ga:49:44599..45261:-	47.8	ga:48:44290..44589:-	31.9	ga:47:41530..44280:-	61.1	ga:47:41530..44280:-	128.9	ga:47:41530..44280:-	44.7	ga:46:40795..41511:-	133.1	ga:44:39483..40481:-	136.8	none		ga:42:38585..39271:-	160.2	ga:41:37699..38592:-	146.7	ga:40:36506..37702:-	132.2	ga:39:35453..36502:-	69.6	ga:32:27164..29062:-	23.6	none	
AP022309.1	509	7/7	7	ga:413:415288..415710:+	75.6	ga:487:474541..474894:+	28.3	none		ga:489:475198..477660:+	53.8	ga:489:475198..477660:+	81.4	none		ga:491:478448..479470:+	61.5	none		ga:408:410395..411099:+	95.5	ga:409:411102..411974:+	176.0	ga:410:411971..413227:+	168.3	ga:419:419909..422338:+	151.3	ga:493:480846..482717:+	41.1	none	
AP022312.1	196	7/7	7	ga:34:34318..34740:+	75.9	none		none		ga:107:97656..100118:+	54.9	ga:107:97656..100118:+	81.4	none		ga:109:100909..101928:+	65.0	none		ga:29:29425..30129:+	96.1	ga:30:30132..31004:+	176.2	ga:31:31007..32257:+	166.8	ga:39:38935..41370:+	151.3	ga:111:103280..105151:+	42.2	none	
AP022422.1	78	7/7	7	ga:41:37153..37890:+	32.0	none		ga:44:38533..38850:+	63.3	ga:45:38850..41450:+	111.8	ga:45:38850..41450:+	76.4	ga:46:41468..42181:+	105.5	ga:48:42432..43472:+	142.4	none		ga:49:43774..44388:+	129.9	ga:50:44399..45283:+	159.4	ga:51:45283..46443:+	156.3	ga:52:46485..47480:+	81.2	ga:56:52048..53577:-	38.5	none	
AP025691.1	66	3/7	3	none		none		none		ga:1:1968..4325:-	21.1	none		none		ga:3:4640..5467:-	29.4	none		none		none		none		none		ga:5:5822..7597:-	171.5	none	
AP025950.1	60	7/7	7	none		ga:48:43600..43863:-	59.6	ga:47:40819..43587:-	75.1	ga:47:40819..43587:-	175.4	ga:47:40819..43587:-	84.2	ga:42:37948..38937:-	84.3	ga:41:36956..37951:-	116.9	none		ga:39:36153..36812:-	177.9	ga:38:35266..36156:-	162.9	ga:37:34078..35256:-	166.4	ga:36:33090..34097:-	93.0	ga:35:31278..33089:-	350.2	none	
AP025952.1	61	7/7	7	none		ga:7:7602..7865:+	59.6	ga:8:7878..10646:+	75.1	ga:8:7878..10646:+	175.4	ga:8:7878..10646:+	84.2	ga:13:12528..13517:+	84.3	ga:14:13514..14509:+	116.9	none		ga:16:14653..15312:+	177.9	ga:17:15309..16199:+	162.9	ga:18:16209..17387:+	166.4	ga:19:17368..18375:+	93.0	ga:20:18376..20187:+	350.2	none	
AP025954.1	60	7/7	7	none		ga:36:34544..34807:-	59.6	ga:35:31763..34531:-	75.1	ga:35:31763..34531:-	175.4	ga:35:31763..34531:-	84.2	ga:30:28892..29881:-	84.3	ga:29:27900..28895:-	116.9	none		ga:27:27097..27756:-	177.9	ga:26:26210..27100:-	162.9	ga:25:25022..26200:-	166.4	ga:24:24034..25041:-	93.0	ga:23:22222..24033:-	350.2	none	
AP025956.1	56	7/7	7	none		ga:17:14524..14787:-	54.5	ga:16:11737..14505:-	73.3	ga:16:11737..14505:-	177.2	ga:16:11737..14505:-	86.1	ga:11:8881..9852:-	81.8	ga:10:7886..8884:-	116.3	none		ga:8:7077..7739:-	177.6	ga:7:6193..7080:-	158.6	ga:6:4991..6166:-	165.9	ga:5:4018..5010:-	93.2	ga:4:2206..4017:-	348.4	none	
AP025958.1	54	7/7	7	none		ga:41:37418..37681:+	54.5	ga:42:37700..40468:+	73.3	ga:42:37700..40468:+	178.6	ga:42:37700..40468:+	86.1	ga:47:42353..43324:+	81.8	ga:48:43321..44319:+	116.3	none		ga:50:44466..45128:+	177.6	ga:51:45125..46012:+	158.6	ga:52:46039..47214:+	165.9	ga:0:108..572:+	63.7	ga:1:573..2384:+	348.4	none	
AP025960.1	55	7/7	7	none		ga:52:48750..49013:-	54.5	ga:51:45963..48731:-	73.3	ga:51:45963..48731:-	178.6	ga:51:45963..48731:-	86.1	ga:46:43095..44081:-	82.0	ga:45:42099..43091:-	111.7	none		ga:43:41290..41952:-	177.6	ga:42:40406..41293:-	161.4	ga:41:39207..40379:-	166.0	ga:40:38234..39226:-	93.2	ga:39:36422..38233:-	348.4	none	
AP025964.1	52	7/7	7	none		ga:27:22533..22796:+	51.9	ga:28:22809..25577:+	73.3	ga:28:22809..25577:+	173.1	ga:28:22809..25577:+	84.1	ga:33:27570..28265:+	40.5	ga:35:28539..29537:+	119.5	none		ga:37:29684..30346:+	177.6	ga:38:30343..31230:+	161.4	ga:39:31257..32432:+	165.9	ga:40:32413..33405:+	93.2	ga:41:33406..35217:+	348.4	none	
AP025967.1	150	7/7	7	none		ga:118:104068..104331:-	54.5	ga:117:101281..104049:-	73.3	ga:117:101281..104049:-	178.6	ga:117:101281..104049:-	86.1	ga:112:98425..99396:-	81.8	ga:111:97430..98428:-	116.3	none		ga:109:96621..97283:-	177.6	ga:108:95737..96624:-	158.6	ga:107:94535..95710:-	165.9	ga:106:93562..94554:-	93.2	ga:105:91750..93561:-	348.4	none	
AP025969.1	46	7/7	7	none		ga:19:19261..19524:+	54.5	ga:20:19543..22311:+	73.3	ga:20:19543..22311:+	177.2	ga:20:19543..22311:+	86.1	ga:25:24196..25167:+	81.8	ga:26:25164..26162:+	116.3	none		ga:28:26309..26971:+	177.6	ga:29:26968..27855:+	158.6	ga:30:27882..29057:+	165.9	ga:31:29038..30030:+	93.2	ga:32:30031..31842:+	348.4	none	
AP025971.1	48	7/7	7	none		ga:17:11744..12007:+	56.2	ga:18:12016..14784:+	74.2	ga:18:12016..14784:+	175.1	ga:18:12016..14784:+	85.1	ga:23:16660..17649:+	85.6	ga:24:17646..18641:+	118.4	none		ga:26:18785..19444:+	177.9	ga:27:19441..20331:+	163.5	ga:28:20341..21519:+	164.3	ga:29:21500..22507:+	94.3	ga:30:22508..24319:+	346.0	none	
AP025973.1	60	6/7	6	none		ga:8:6570..6833:-	59.6	ga:7:3789..6557:-	75.1	ga:7:3789..6557:-	175.4	ga:7:3789..6557:-	84.2	ga:2:918..1907:-	84.3	none		none		ga:58:53755..54414:-	177.9	ga:57:52868..53758:-	162.9	ga:56:51680..52858:-	166.4	ga:55:50692..51699:-	93.0	ga:54:48880..50691:-	350.2	none	
AP025975.1	54	7/7	7	none		ga:20:16554..16817:+	54.5	ga:21:16836..19604:+	73.3	ga:21:16836..19604:+	173.1	ga:21:16836..19604:+	84.1	ga:26:21585..22571:+	82.7	ga:27:22575..23567:+	112.5	none		ga:29:23714..24376:+	177.6	ga:30:24373..25260:+	159.6	ga:31:25287..26462:+	165.9	ga:32:26443..27435:+	93.2	ga:33:27436..29247:+	348.4	none	
AP025978.1	145	7/7	7	none		ga:17:8663..8926:+	54.5	ga:18:8945..11713:+	73.3	ga:18:8945..11713:+	177.2	ga:18:8945..11713:+	86.1	ga:23:13598..14569:+	81.8	ga:24:14566..15564:+	116.3	none		ga:26:15711..16373:+	177.6	ga:27:16370..17257:+	158.6	ga:28:17284..18459:+	165.9	ga:29:18440..19432:+	93.2	ga:30:19433..21244:+	348.4	none	
AP025980.1	55	7/7	7	none		ga:21:17282..17545:+	54.5	ga:22:17564..20332:+	73.3	ga:22:17564..20332:+	178.6	ga:22:17564..20332:+	86.1	ga:27:22217..23188:+	81.8	ga:28:23185..24183:+	116.3	none		ga:30:24330..24992:+	177.6	ga:31:24989..25876:+	158.6	ga:32:25903..27078:+	165.9	ga:33:27059..28051:+	93.2	ga:34:28052..29863:+	348.4	none	
AP025982.1	74	7/7	7	none		ga:72:59373..59636:+	54.5	none		ga:0:56..1735:+	99.6	none		ga:5:3620..4591:+	81.8	ga:6:4588..5586:+	116.3	none		ga:8:5733..6395:+	177.6	ga:9:6392..7279:+	161.4	ga:10:7306..8481:+	165.9	ga:11:8462..9454:+	93.2	ga:12:9455..11266:+	348.4	none	
AP025984.1	56	7/7	7	none		ga:44:43234..43497:-	54.5	ga:43:40447..43215:-	73.3	ga:43:40447..43215:-	177.8	ga:43:40447..43215:-	86.1	ga:38:37480..38466:-	82.7	ga:37:36484..37476:-	112.5	none		ga:35:35675..36337:-	177.6	ga:34:34791..35678:-	161.4	ga:33:33589..34764:-	165.9	ga:32:32616..33608:-	93.2	ga:31:30804..32615:-	348.4	none	
AP025986.1	56	7/7	7	none		none		none		ga:50:44836..46368:-	53.8	none		ga:45:41980..42951:-	81.8	ga:44:40985..41983:-	116.3	none		ga:42:40176..40838:-	177.6	ga:41:39292..40179:-	152.8	ga:40:38090..39265:-	165.9	ga:39:37117..38109:-	93.2	ga:38:35305..37116:-	348.4	none	
AP025988.1	49	7/7	7	none		ga:1:3281..3544:-	56.2	ga:0:500..3268:-	75.1	ga:0:500..3268:-	176.0	ga:0:500..3268:-	86.5	ga:45:43333..44322:-	84.3	ga:44:42341..43336:-	116.9	none		ga:42:41538..42197:-	177.9	ga:41:40651..41541:-	162.8	ga:40:39460..40641:-	165.3	ga:39:38472..39479:-	94.1	ga:38:36660..38471:-	345.2	none	
AP025989.1	51	7/7	7	none		none		none		ga:8:6843..9311:-	105.0	none		none		ga:46:33339..34487:-	95.5	none		ga:6:6022..6699:-	112.5	ga:5:4952..6022:-	97.7	ga:4:3819..4955:-	143.9	ga:2:2665..3615:-	100.7	ga:0:362..2251:-	244.4	none	
AP025991.1	59	7/7	7	none		ga:32:29553..29816:+	59.6	ga:33:29829..32597:+	75.1	ga:33:29829..32597:+	175.4	ga:33:29829..32597:+	84.2	ga:38:34479..35468:+	84.3	ga:39:35465..36460:+	116.9	none		ga:41:36604..37263:+	177.9	ga:42:37260..38150:+	162.9	ga:43:38160..39338:+	166.4	ga:44:39319..40326:+	93.0	ga:45:40327..42138:+	350.2	none	
AP025993.1	53	7/7	7	none		ga:40:35982..36245:+	54.5	ga:41:36264..39032:+	73.3	ga:41:36264..39032:+	173.1	ga:41:36264..39032:+	84.1	ga:46:41013..41999:+	82.7	ga:47:42003..42995:+	112.5	none		ga:49:43142..43804:+	177.6	ga:50:43801..44688:+	159.6	ga:51:44715..45890:+	165.9	ga:52:45871..46863:+	93.2	ga:0:50..1045:+	225.0	none	
AP025997.1	158	7/7	7	none		ga:23:22725..22988:-	54.5	ga:22:19938..22706:-	73.3	ga:22:19938..22706:-	178.6	ga:22:19938..22706:-	86.1	ga:17:17082..18053:-	81.8	ga:16:16087..17085:-	116.3	none		ga:14:15278..15940:-	177.6	ga:13:14394..15281:-	158.6	ga:12:13192..14367:-	165.9	ga:11:12219..13211:-	93.2	ga:10:10407..12218:-	348.4	none	
AP025998.1	47	7/7	7	none		none		none		ga:41:29768..32236:+	105.0	none		ga:21:17092..18048:+	31.3	ga:7:5974..7122:+	95.5	none		ga:43:32380..33057:+	112.5	ga:44:33057..34127:+	97.7	ga:45:34124..35260:+	143.9	ga:0:135..821:+	101.7	ga:2:1235..3124:+	244.4	none	
AP026000.1	52	7/7	7	none		ga:11:6715..6978:+	51.4	ga:12:6997..9765:+	73.1	ga:12:6997..9765:+	180.3	ga:12:6997..9765:+	82.8	ga:17:11656..12645:+	83.5	ga:18:12642..13637:+	118.4	none		ga:20:13781..14443:+	177.6	ga:21:14440..15327:+	161.4	ga:22:15354..16526:+	166.0	ga:23:16507..17499:+	93.2	ga:24:17500..19311:+	348.4	none	
AP026002.1	69	7/7	7	none		ga:15:8394..8657:+	54.5	ga:16:8676..11393:+	73.3	ga:16:8676..11393:+	173.1	ga:16:8676..11393:+	84.1	ga:21:13425..14366:+	82.8	ga:23:14678..15106:+	70.1	none		ga:27:15746..16213:+	104.5	ga:28:16210..17097:+	159.6	ga:29:17124..18299:+	165.9	ga:30:18280..19272:+	93.2	ga:32:19574..21082:+	345.2	none	
AP026004.1	54	6/7	6	none		ga:7:6438..6701:-	54.5	ga:6:3651..6419:-	73.3	ga:6:3651..6419:-	173.1	ga:6:3651..6419:-	84.1	ga:1:684..1670:-	82.7	none		none		ga:51:46528..47190:-	177.6	ga:50:45644..46531:-	159.6	ga:49:44442..45617:-	165.9	ga:48:43469..44461:-	93.2	ga:47:41657..43468:-	348.4	none	
AP026006.1	60	7/7	7	none		ga:53:47919..48182:-	59.6	ga:52:45138..47906:-	75.1	ga:52:45138..47906:-	175.4	ga:52:45138..47906:-	84.2	ga:47:42267..43256:-	84.3	ga:46:41275..42270:-	116.9	none		ga:44:40472..41131:-	177.9	ga:43:39585..40475:-	162.9	ga:42:38397..39575:-	166.4	ga:41:37409..38416:-	93.0	ga:40:35597..37408:-	350.2	none	
AP026008.1	60	7/7	7	none		ga:23:22492..22755:-	59.6	ga:22:19711..22479:-	75.1	ga:22:19711..22479:-	175.4	ga:22:19711..22479:-	84.2	ga:17:16840..17829:-	84.3	ga:16:15848..16843:-	116.9	none		ga:14:15045..15704:-	177.9	ga:13:14158..15048:-	162.9	ga:12:12970..14148:-	166.4	ga:11:11982..12989:-	93.0	ga:10:10170..11981:-	350.2	none	
AP026010.1	48	7/7	7	none		ga:18:16117..16380:-	54.5	ga:17:13330..16098:-	73.3	ga:17:13330..16098:-	177.8	ga:17:13330..16098:-	86.1	ga:12:10363..11349:-	82.7	ga:11:9367..10359:-	112.5	none		ga:9:8558..9220:-	177.6	ga:8:7674..8561:-	161.4	ga:7:6472..7647:-	165.9	ga:6:5499..6491:-	93.2	ga:5:3687..5498:-	348.4	none	
AP026012.1	47	7/7	7	none		ga:34:35892..36155:-	54.5	ga:33:33105..35873:-	73.3	ga:33:33105..35873:-	177.8	ga:33:33105..35873:-	86.1	ga:28:30138..31124:-	82.7	ga:27:29142..30134:-	112.5	none		ga:25:28333..28995:-	177.6	ga:24:27449..28336:-	161.4	ga:23:26247..27422:-	165.9	ga:22:25274..26266:-	93.2	ga:21:23462..25273:-	348.4	none	
AP026015.1	60	6/7	6	none		ga:50:47197..47460:+	59.6	ga:51:47473..48207:+	77.9	ga:52:48191..50239:+	176.0	ga:51:47473..48207:+	71.5	ga:57:52121..53110:+	84.3	ga:58:53107..54102:+	116.9	none		none		ga:0:172..1062:+	162.9	ga:1:1072..2250:+	166.4	ga:2:2231..3238:+	93.0	ga:3:3239..5050:+	350.2	none	
AP026450.1	62	7/7	7	ga:18:14266..15000:+	32.5	none		ga:21:15643..15960:+	63.3	ga:22:15960..18560:+	113.8	ga:22:15960..18560:+	76.4	ga:23:18578..19291:+	105.5	ga:25:19542..20582:+	142.4	none		ga:26:20801..21499:+	131.9	ga:27:21510..22394:+	159.7	ga:28:22394..23554:+	156.3	ga:29:23596..24591:+	81.2	ga:38:32585..34114:-	38.5	none	
AP026458.1	64	7/7	7	ga:18:13195..13929:+	32.5	none		ga:21:14572..14889:+	63.3	ga:22:14889..17489:+	113.8	ga:22:14889..17489:+	76.4	ga:23:17507..18220:+	105.5	ga:25:18471..19511:+	142.4	none		ga:26:19730..20428:+	131.9	ga:27:20439..21323:+	159.7	ga:28:21323..22483:+	156.3	ga:29:22525..23520:+	81.2	ga:38:31514..33043:-	38.5	none	
AP026466.1	87	7/7	7	ga:47:35379..35861:-	81.1	none		ga:61:50933..51217:-	36.5	ga:60:48570..50927:-	58.5	ga:60:48570..50927:-	44.9	none		ga:74:58019..59014:-	123.7	none		ga:58:47670..48404:-	144.4	ga:57:46903..47673:-	170.5	ga:56:45774..46913:-	154.7	ga:50:37630..39168:-	207.1	ga:54:42726..44684:-	287.0	none	
AP026467.1	61	7/7	7	ga:18:13269..14003:+	32.5	none		ga:21:14646..14963:+	63.3	ga:22:14963..17563:+	113.8	ga:22:14963..17563:+	76.4	ga:23:17581..18294:+	105.5	ga:25:18545..19585:+	142.4	none		ga:26:19804..20502:+	131.9	ga:27:20513..21397:+	159.7	ga:28:21397..22557:+	156.3	ga:29:22599..23594:+	81.2	ga:35:29558..31087:-	38.5	none	
AP026474.1	64	7/7	7	ga:18:14273..15007:+	32.5	none		ga:21:15650..15967:+	63.3	ga:22:15967..18567:+	113.8	ga:22:15967..18567:+	76.4	ga:23:18585..19298:+	105.5	ga:25:19549..20589:+	142.4	none		ga:26:20808..21506:+	131.9	ga:27:21517..22401:+	159.7	ga:28:22401..23561:+	156.3	ga:29:23603..24598:+	81.2	ga:38:32592..34121:-	38.5	none	
AP026478.1	64	7/7	7	ga:18:14160..14894:+	32.5	none		ga:21:15537..15854:+	63.3	ga:22:15854..18454:+	113.8	ga:22:15854..18454:+	76.4	ga:23:18472..19185:+	105.5	ga:25:19436..20476:+	142.4	none		ga:26:20695..21393:+	131.9	ga:27:21404..22288:+	159.7	ga:28:22288..23448:+	156.3	ga:29:23490..24485:+	81.2	ga:38:32479..34008:-	38.5	none	
