element	n_MPF_T	n_MPF_F	n_MPF_I	n_MPF_FA	n_MPF_FATA	n_MPF_G	n_MPF_B	n_MPF_C
AP023007.1	1	0	0	0	5	0	0	0
AP023008.1	1	0	0	1	4	0	0	0
AP023015.1	1	0	0	1	1	0	0	0
AP023016.1	0	0	0	1	7	0	0	0
AP023017.1	0	0	0	1	4	0	0	0
AP023020.1	0	0	0	0	1	0	0	0
AP023021.1	1	0	0	0	0	0	0	0
AP023022.1	0	0	0	0	1	0	0	0
AP023265.1	0	12	0	0	0	0	0	0
AP023266.1	0	12	0	0	0	0	0	0
AP023267.1	0	12	0	0	0	0	0	0
AP024098.1	1	0	0	0	0	0	0	0
AP024100.1	1	0	0	0	0	0	0	0
AP024102.1	1	0	0	0	0	0	0	0
AP024104.1	1	0	0	0	0	0	0	0
AP024106.1	1	0	0	0	0	0	0	0
AP024108.1	1	0	0	0	0	0	0	0
AP024132.2	0	12	0	0	0	0	0	0
AP024158.1	1	0	0	0	0	0	0	0
AP024160.1	1	0	0	0	0	0	0	0
AP024162.1	1	0	0	0	0	0	0	0
AP024278.1	1	0	0	0	4	0	0	0
AP024350.1	2	7	0	0	0	0	0	0
AP024474.1	1	0	0	0	0	0	0	0
AP024476.1	1	0	0	0	0	0	0	0
AP024477.1	1	0	15	0	0	0	0	0
AP024491.1	0	12	0	0	0	0	0	0
AP024496.1	0	12	0	0	0	0	0	0
AP024633.1	1	0	0	0	0	0	0	0
AP024635.1	1	0	0	0	0	0	0	0
AP024638.1	1	0	0	0	0	0	0	0
AP024640.1	1	0	0	0	0	0	0	0
AP024642.1	1	0	0	0	0	0	0	0
AP024645.1	1	0	0	0	0	0	0	0
AP024663.1	1	0	0	0	0	0	0	0
AP024696.1	0	0	0	0	1	0	0	0
AP024748.1	1	0	0	0	1	0	0	0
AP024827.1	0	12	0	0	0	0	0	0
AP024844.2	2	11	0	0	0	0	0	0
AP024877.1	1	10	0	0	1	0	0	0
AP024914.1	0	0	13	0	0	0	1	0
AP024919.1	0	0	13	0	0	0	1	0
AP024970.1	1	0	0	0	1	0	1	0
AP024974.1	1	0	0	0	1	0	1	0
AP024977.1	1	0	0	0	1	0	1	0
AP024978.1	0	0	0	2	1	0	0	0
AP024980.1	1	0	0	0	1	0	1	0
AP024981.1	0	0	0	2	1	0	0	0
AP024983.1	1	0	0	0	1	0	1	0
AP025019.1	0	1	0	0	1	0	0	8
AP025020.1	0	0	0	0	0	0	0	8
AP025022.1	0	0	0	0	0	0	1	0
AP025024.1	0	0	0	0	0	0	1	0
AP025276.1	2	0	0	0	0	0	1	0
AP025536.1	1	11	0	0	0	0	0	0
AP025555.1	1	0	0	0	1	0	0	0
AP025588.1	0	0	1	0	0	0	0	0
AP025629.1	0	0	1	0	0	0	0	0
AP025670.1	0	2	0	0	0	0	0	0
AP025671.1	0	12	0	0	0	0	0	0
AP025672.1	1	0	0	0	0	0	0	0
AP025691.1	1	0	0	0	5	0	0	0
AP025950.1	7	0	0	0	0	0	0	0
AP025952.1	7	0	0	0	0	0	0	0
AP025954.1	7	0	0	0	0	0	0	0
AP025956.1	7	1	0	0	0	0	0	0
AP025958.1	7	1	0	0	0	0	0	0
AP025960.1	7	1	0	0	0	0	0	0
AP025962.1	6	0	0	0	0	0	0	0
AP025964.1	7	1	0	0	0	0	0	0
AP025967.1	7	2	0	0	0	0	0	0
AP025969.1	7	1	0	0	0	0	0	0
AP025971.1	7	0	0	0	0	0	0	0
AP025973.1	6	0	0	0	0	0	0	0
AP025975.1	7	1	0	0	0	0	0	0
AP025978.1	7	2	0	0	0	0	0	0
AP025980.1	7	1	0	0	0	0	0	0
AP025982.1	6	0	0	0	0	0	0	0
AP025984.1	7	1	0	0	0	0	0	0
AP025986.1	5	0	0	0	0	0	0	0
AP025988.1	7	0	0	0	0	0	0	0
AP025989.1	6	0	0	0	0	0	0	0
AP025991.1	7	0	0	0	0	0	0	0
AP025993.1	7	1	0	0	0	0	0	0
AP025997.1	7	2	0	0	0	0	0	0
AP025998.1	6	0	0	0	0	0	0	0
AP026000.1	7	1	0	0	0	0	0	0
AP026002.1	7	1	0	0	0	0	0	0
AP026004.1	6	1	0	0	0	0	0	0
AP026006.1	7	0	0	0	0	0	0	0
AP026008.1	7	0	0	0	0	0	0	0
AP026010.1	7	1	0	0	0	0	0	0
AP026012.1	7	1	0	0	0	0	0	0
AP026015.1	6	1	0	0	0	0	0	0
AP026448.1	0	12	0	0	1	0	0	0
AP026449.1	1	0	15	0	0	0	0	0
AP026450.1	8	0	0	0	0	0	0	0
AP026455.1	0	12	0	0	1	0	0	0
AP026457.1	0	12	0	0	0	0	0	0
AP026458.1	8	0	0	0	0	0	0	0
AP026464.1	0	12	0	0	0	0	0	0
AP026466.1	7	0	0	0	0	0	0	0
AP026467.1	8	0	0	0	0	0	0	0
AP026473.1	0	12	0	0	1	0	0	0
AP026474.1	8	0	0	0	0	0	0	0
AP026477.1	0	12	0	0	1	0	0	0
AP026478.1	8	0	0	0	0	0	0	0
AP026480.1	0	10	0	0	1	0	0	0
AP026481.1	8	0	0	0	0	0	0	0
AP026485.1	8	0	0	0	0	0	0	0
AP026488.1	1	0	15	0	0	0	0	0
AP026490.1	7	0	0	0	0	0	0	0
AP026491.1	8	0	0	0	0	0	0	0
AP026496.1	0	11	0	0	0	0	0	0
AP026497.1	1	0	0	0	0	0	0	0
AP026498.1	7	0	0	0	0	0	0	0
AP026499.1	8	0	0	0	0	0	0	0
AP026500.1	7	0	0	0	0	0	0	0
AP026506.1	8	0	0	0	0	0	0	0
AP026508.1	0	11	0	0	0	0	0	0
AP026509.1	8	0	0	0	0	0	0	0
AP026511.1	0	12	0	0	0	0	0	0
AP026512.1	8	0	0	0	0	0	0	0
AP026515.1	1	12	15	0	1	0	0	0
AP026516.1	8	0	0	0	0	0	0	0
AP026519.1	0	9	0	0	1	0	0	0
AP026521.1	0	12	0	0	1	0	1	0
AP026522.1	8	0	0	0	0	0	0	0
AP026530.1	1	0	0	0	0	0	0	0
AP026531.1	0	12	0	0	0	0	0	0
AP026532.1	1	0	15	0	0	0	0	0
AP026533.1	8	0	0	0	0	0	0	0
AP026557.1	2	11	0	0	0	0	0	0
AP026574.1	1	0	1	0	0	0	1	0
AP026575.1	0	0	0	0	0	0	1	0
AP026576.1	2	0	0	1	1	0	0	0
AP026577.1	0	0	0	0	1	0	0	0
AP026580.1	1	0	0	0	0	0	1	0
AP026581.1	0	0	0	6	1	0	1	0
AP026587.1	1	0	0	0	0	0	1	0
AP026588.1	0	0	0	0	0	0	1	0
AP026594.1	1	0	0	0	0	0	1	0
AP026595.1	0	0	0	0	0	0	1	0
AP026605.1	0	0	0	0	0	0	1	0
AP026606.1	0	0	0	0	0	0	1	0
AP026607.1	1	0	0	0	0	0	1	0
AP026613.1	0	0	0	1	5	0	1	0
AP026614.1	0	0	0	0	0	0	1	0
AP026615.1	1	0	0	0	0	0	1	0
AP026618.1	0	0	0	0	5	0	1	0
AP026619.1	0	0	0	0	0	0	1	0
AP026620.1	1	0	1	0	0	0	1	0
AP026629.1	1	0	1	0	0	0	1	0
AP026630.1	0	0	0	0	0	0	1	0
AP026631.1	1	0	0	0	0	0	1	0
AP026633.1	0	0	0	0	0	0	1	0
AP026634.1	0	0	0	0	0	0	1	0
AP026635.1	1	0	0	0	0	0	1	0
AP026642.1	0	0	0	1	6	0	1	0
AP026643.1	0	0	0	0	0	0	1	0
AP026644.1	1	0	0	0	0	0	1	0
AP026645.1	0	0	0	2	0	0	0	0
AP026651.1	1	0	0	5	1	0	1	0
AP026652.1	0	0	0	0	0	0	1	0
AP026719.1	0	0	0	1	1	1	0	0
AP026727.1	0	0	0	1	1	1	0	0
AP026730.1	0	0	0	1	1	1	0	0
AP026741.1	7	0	0	0	0	0	0	0
AP026743.1	0	0	0	0	1	0	0	0
AP026744.1	0	12	0	0	1	0	0	0
AP026747.1	0	12	0	0	0	1	0	0
AP026752.1	0	0	0	0	1	0	0	0
AP026753.1	0	12	0	0	1	0	0	0
AP026756.1	0	0	0	0	1	0	0	0
AP026757.1	1	0	15	0	0	0	0	0
AP026762.1	0	0	0	0	1	0	0	0
AP026900.1	8	0	1	0	0	0	0	0
AP026901.1	8	0	1	0	0	0	0	0
AP026971.1	1	1	0	0	1	0	0	0
AP027222.1	0	0	0	0	0	0	1	0
AP027223.1	0	0	0	1	7	0	0	0
AP027228.1	0	0	0	0	0	0	1	0
AP027229.1	0	0	0	1	7	0	0	0
AP027234.1	0	0	0	0	0	0	1	0
AP027235.1	0	0	0	1	7	0	0	0
AP027245.1	1	0	0	0	1	0	4	0
AP027307.1	7	0	0	0	1	0	0	0
AP027312.1	1	0	0	0	0	0	0	0
AP027315.1	1	0	0	0	0	0	0	0
AP027316.1	1	12	0	0	0	0	1	0
AP027317.1	8	0	0	0	0	0	0	0
AP027319.1	1	0	0	0	0	0	0	0
AP027322.1	1	0	0	0	0	0	0	0
AP027325.1	1	0	0	0	0	0	0	0
AP027326.1	7	0	0	0	0	0	0	0
AP027328.1	1	0	0	0	0	0	0	0
AP027329.1	1	0	0	0	1	0	0	0
AP027331.1	2	0	0	0	0	0	0	0
AP027332.1	1	11	0	0	0	0	1	0
AP027334.1	1	0	0	0	0	0	0	0
AP027337.1	1	0	0	0	0	0	0	0
AP027340.1	1	0	0	0	0	0	0	0
AP027342.1	1	0	0	0	0	0	0	0
AP027343.1	7	0	0	0	0	0	0	0
AP027374.1	1	0	0	0	1	0	0	0
AP027376.1	7	1	0	0	0	0	1	0
AP027405.1	8	0	0	0	0	0	0	0
AP027406.1	7	0	0	0	0	0	0	0
AP027407.1	0	12	0	0	0	0	0	0
AP027409.1	8	0	0	0	0	0	0	0
AP027410.1	7	0	0	0	0	0	0	0
AP027447.1	0	2	0	0	1	0	0	0
AP027449.1	0	3	0	0	1	0	0	0
AP027468.1	0	11	0	0	1	0	0	0
AP027529.1	7	0	0	0	0	0	0	0
AP027530.1	7	0	0	0	0	0	0	0
AP027717.1	0	12	0	0	0	0	0	0
AP027755.1	0	0	0	0	1	0	0	0
AP027770.1	0	11	0	0	0	0	0	0
AP027810.1	6	0	0	0	0	0	0	0
AP027847.1	0	5	0	0	0	0	0	0
AP027894.1	6	0	0	0	0	0	0	0
AP027895.1	0	12	0	0	1	0	0	0
AP027896.1	7	0	0	0	0	0	0	0
AP027898.1	0	0	0	0	1	0	0	0
AP028202.1	2	0	0	0	1	0	0	0
AP028203.1	7	0	0	0	0	0	0	0
AP028323.1	0	0	0	0	0	0	1	0
AP028324.1	0	0	0	0	0	0	1	0
AP028354.1	7	0	0	0	0	0	0	0
AP028456.1	2	0	0	1	1	0	0	0
AP028463.1	0	0	13	0	0	0	1	0
AP028474.1	0	0	13	0	0	0	0	0
AP028477.1	0	12	0	0	0	0	0	0
AP028479.1	1	6	0	0	0	0	0	0
AP028481.1	0	12	0	0	1	1	0	0
AP028482.1	0	0	13	0	1	0	0	0
AP028486.1	8	0	0	0	0	0	0	0
AP028492.1	0	12	0	0	0	0	0	0
AP028496.1	0	0	13	0	1	0	0	0
AP028498.1	0	12	0	0	0	0	1	0
AP028500.1	0	12	0	0	0	0	0	0
AP028507.1	0	12	0	0	1	17	0	0
AP028508.1	0	12	0	0	0	1	0	0
AP028509.1	6	0	0	0	0	0	0	0
AP028512.1	0	4	0	0	0	0	0	0
AP028514.1	0	0	12	0	0	0	0	0
AP028515.1	0	12	0	0	0	0	0	0
AP028516.1	0	12	0	0	0	1	0	0
AP028518.1	0	12	0	0	0	0	0	0
AP028521.1	0	12	0	0	0	1	0	0
AP028526.1	0	12	0	0	1	0	0	0
AP028527.1	0	0	1	0	0	0	0	0
AP028537.1	0	12	0	0	0	0	0	0
AP028546.1	0	0	13	0	0	0	0	0
AP028550.1	0	11	0	0	0	0	0	0
AP028551.1	0	0	13	0	0	0	1	0
AP028557.1	0	11	0	0	0	0	0	0
AP028558.1	0	0	12	0	0	0	0	0
AP028559.1	0	0	13	0	0	0	1	0
AP028562.1	0	11	0	0	0	0	0	0
AP028563.1	0	12	0	0	1	0	0	0
AP028564.1	0	0	12	0	0	0	0	0
AP028565.1	0	0	13	0	0	0	1	0
AP028567.1	0	0	1	0	0	0	0	0
AP028575.1	6	11	0	0	0	0	0	0
AP028578.1	0	12	0	0	0	0	0	0
AP028582.1	0	12	0	0	0	0	0	0
AP028589.1	0	12	0	0	0	0	0	0
AP028595.1	0	12	0	0	0	0	0	0
AP028600.1	0	12	0	0	1	1	0	0
AP028811.1	0	12	0	0	1	0	0	0
AP028958.1	0	12	0	0	0	0	0	0
AP028962.1	0	0	0	0	1	0	0	0
AP028979.1	2	11	0	0	0	0	0	0
AP028981.1	0	0	0	0	1	0	0	0
AP029036.1	7	0	0	0	0	0	0	0
AP029040.1	0	0	1	0	0	0	0	0
AP029041.1	0	0	0	0	1	0	0	0
AP029164.1	0	1	0	0	0	0	0	0
AP029175.1	1	1	0	0	0	0	0	0
AP029177.1	0	0	0	0	0	0	1	0
AP029232.1	0	0	0	0	7	0	0	0
AP029601.1	1	11	0	0	1	0	0	0
AP031219.1	0	0	0	1	1	0	0	0
AP031220.1	0	0	0	2	3	0	0	0
AP031222.1	1	0	1	0	0	0	1	0
AP031224.1	0	0	0	6	1	0	0	0
AP031233.1	0	0	0	0	0	0	1	0
AP031235.1	0	0	0	6	1	0	0	0
AP031244.1	0	0	0	0	0	0	1	0
AP031246.1	1	0	0	0	0	0	1	0
AP031248.1	0	0	0	2	1	0	0	0
AP031256.1	0	0	0	0	0	0	1	0
AP031258.1	2	0	0	1	1	0	0	0
AP031259.1	1	0	0	0	0	0	1	0
AP031260.1	0	0	0	5	1	0	0	0
AP031261.1	1	0	0	0	9	0	0	0
AP031268.1	1	0	1	0	0	0	1	0
AP031269.1	0	0	0	6	1	0	0	0
AP031277.1	0	0	0	0	0	0	1	0
AP031278.1	1	0	0	0	0	0	1	0
AP031279.1	1	0	0	0	9	0	0	0
AP031372.1	0	0	0	0	1	0	0	0
AP031458.1	6	0	0	0	0	0	0	0
AP031464.1	0	0	8	0	0	0	0	0
AP031475.1	1	0	0	0	0	0	0	0
AQPP01000018.1	0	0	0	0	8	0	0	0
BN000925.1	8	0	0	0	0	0	0	0
CM001862.1	0	0	0	0	8	0	0	0
CM003332.1	2	0	0	0	0	0	0	0
CM003352.1	7	12	0	0	1	1	0	0
CM003353.1	5	0	0	0	1	0	0	0
CM003354.1	8	0	0	0	0	0	1	0
CM007813.1	1	0	0	0	0	0	0	0
CM008884.1	0	12	0	0	1	0	0	0
CM017776.1	0	0	12	0	0	0	0	0
CP000228.1	0	0	0	1	1	0	1	0
CP000475.1	2	0	0	0	2	0	0	0
CP000476.1	1	0	0	0	1	0	0	0
CP000540.1	0	12	0	0	0	0	0	0
CP000541.1	8	0	1	0	0	0	1	0
CP000617.1	1	11	0	0	1	0	1	0
CP000618.1	7	0	0	0	0	0	1	0
CP000619.1	0	0	7	0	0	1	1	0
CP000620.1	1	0	13	0	0	0	1	0
CP000630.1	8	0	0	0	0	0	0	0
CP000631.1	7	0	0	0	0	0	0	0
CP000700.1	2	12	0	0	0	0	0	0
CP000701.1	8	0	0	0	0	0	0	0
CP000782.1	8	0	0	0	0	0	0	0
CP000876.1	0	0	0	0	1	0	0	0
CP000877.1	0	0	0	0	1	0	0	0
CP001057.1	1	0	0	0	1	0	0	0
CP001076.1	8	0	0	0	0	0	0	0
CP001077.1	8	0	0	0	0	1	1	0
CP001136.1	8	0	0	0	0	0	0	0
CP001166.1	1	0	0	1	1	0	1	0
CP001169.1	1	0	0	3	1	0	0	0
CP001170.1	1	0	0	0	3	0	0	0
CP001179.1	1	0	0	1	1	0	0	0
CP001180.1	1	0	0	3	1	0	0	0
CP001770.1	1	0	1	0	2	0	5	0
CP001771.1	1	1	0	0	0	0	4	0
CP001772.1	0	0	0	0	0	0	1	0
CP002030.1	7	1	0	0	0	0	0	0
CP002151.1	8	0	0	0	0	0	0	0
CP002152.1	8	0	0	0	0	0	0	0
CP002153.1	8	0	0	0	0	0	0	0
CP002155.1	0	0	0	0	1	0	0	0
CP002166.1	8	0	0	0	0	0	1	0
CP002245.1	8	0	0	0	0	0	0	0
CP002441.1	8	0	0	0	0	0	0	0
CP002509.1	2	0	0	6	1	0	0	0
CP002510.1	0	0	0	3	1	0	0	0
CP002524.1	1	12	0	0	0	0	0	0
CP002527.1	1	0	3	0	0	0	0	0
CP002944.1	0	0	0	0	1	0	0	0
CP002990.1	0	0	0	0	1	0	0	0
CP003042.1	6	0	0	0	0	0	0	0
CP003090.1	8	0	0	0	1	0	0	0
CP003091.1	1	11	0	0	0	0	1	0
CP003092.1	8	0	0	0	0	0	0	0
CP003224.1	0	12	0	0	0	0	0	0
CP003225.1	4	2	0	0	0	0	0	0
CP003317.1	0	0	0	0	1	0	0	0
CP003352.1	1	0	0	0	0	0	1	0
CP003420.1	5	0	0	0	0	0	0	0
CP003690.1	1	0	0	3	1	0	0	0
CP003691.1	3	0	0	1	1	0	1	0
CP003692.1	0	0	0	1	2	0	0	0
CP003693.1	0	0	0	1	2	0	0	0
CP003694.1	2	0	0	6	1	0	0	0
CP003748.1	1	0	0	1	1	0	1	0
CP003927.1	0	0	6	0	0	0	0	0
CP003950.1	1	0	0	0	1	0	0	0
CP003951.1	1	0	0	0	1	0	0	0
CP003952.1	0	0	0	0	1	0	0	0
CP003958.1	0	0	0	0	1	0	0	0
CP004058.1	0	12	2	0	1	0	0	0
CP004365.1	0	0	8	0	0	0	1	0
CP004847.1	1	10	0	0	0	0	0	0
CP005999.1	1	0	15	0	0	0	0	0
CP006000.1	0	3	0	0	0	0	0	0
CP006001.1	0	12	0	0	1	0	0	0
CP006582.2	7	0	0	0	0	0	1	0
CP006621.1	0	0	0	0	1	0	1	0
CP006622.1	1	0	0	0	0	0	1	0
CP006657.1	7	12	0	0	1	0	0	0
CP006901.1	2	0	0	0	2	0	0	0
CP006904.1	0	0	0	0	1	0	0	0
CP006927.1	0	12	0	0	1	0	0	0
CP007054.1	2	0	0	0	0	0	0	0
CP007068.1	8	0	0	0	1	0	1	0
CP007069.1	1	0	0	0	0	0	0	0
CP007070.1	8	0	0	0	0	0	0	0
CP007150.1	0	12	0	0	0	0	0	0
CP007157.1	0	0	0	0	1	0	0	0
CP007238.1	8	0	0	0	0	0	1	0
CP007558.1	2	11	0	0	0	0	0	0
CP007580.1	1	12	0	0	0	0	0	0
CP007643.1	8	0	0	0	0	0	0	0
CP007645.1	8	0	0	0	0	0	1	0
CP007752.1	6	0	0	0	0	0	0	0
CP008701.1	1	12	0	0	0	0	0	0
CP008745.1	0	12	0	0	0	0	0	0
CP008789.1	0	12	0	0	1	0	0	0
CP008790.1	2	11	0	0	0	0	0	0
CP008791.1	0	12	0	0	0	0	0	0
CP008937.1	7	0	0	0	0	0	1	0
CP008938.1	6	0	0	0	0	0	1	0
CP008939.1	0	0	0	0	0	0	1	0
CP008940.1	7	0	0	0	0	0	1	0
CP009218.1	1	11	0	0	0	0	0	0
CP009363.1	7	0	0	0	0	0	0	0
CP009368.1	0	0	0	5	2	0	0	0
CP009417.1	1	0	0	0	2	0	1	0
CP009591.1	2	0	0	6	1	0	0	0
CP009592.1	1	0	0	1	2	0	0	0
CP009763.1	1	0	0	0	0	0	0	0
CP009851.1	6	0	0	0	0	0	0	0
CP009852.1	0	0	13	0	0	0	1	0
CP009853.1	8	0	0	0	0	0	0	0
CP009855.1	0	2	0	0	1	0	0	0
CP009857.1	0	0	13	0	0	0	1	0
CP009858.1	8	0	0	0	0	0	0	0
CP009867.1	8	0	0	0	0	0	0	0
CP009868.1	1	11	0	0	0	0	0	0
CP009869.1	8	11	0	0	0	0	0	0
CP009871.1	0	0	0	0	1	14	0	0
CP009881.1	8	0	0	0	0	0	0	0
CP009883.1	8	11	0	0	0	0	0	0
CP009940.1	2	0	0	6	1	0	0	0
CP010326.1	0	0	0	0	1	0	0	0
CP010513.1	6	0	0	0	0	0	0	0
CP010856.1	8	0	0	0	0	0	1	0
CP010857.1	1	0	0	0	0	0	0	0
CP010861.1	8	0	0	0	1	0	0	0
CP011314.1	0	10	0	0	0	0	0	0
CP011629.1	5	0	0	0	0	0	0	0
CP011632.1	0	0	13	0	0	0	1	0
CP011633.1	2	12	0	0	0	0	0	0
CP011634.1	0	11	0	0	1	0	0	0
CP011635.1	8	11	0	0	0	0	0	0
CP011990.1	0	12	0	0	0	0	0	0
CP011991.1	0	12	0	0	0	0	0	0
CP011992.1	7	0	0	0	0	0	0	0
CP011998.1	1	0	0	0	1	0	0	0
CP012113.1	0	12	0	0	1	0	0	0
CP012367.1	0	0	0	0	3	0	0	0
CP012385.1	0	0	0	0	3	0	0	0
CP012668.1	5	11	0	0	0	0	0	0
CP012853.1	1	0	0	0	0	0	6	0
CP012854.1	0	0	0	0	0	0	1	0
CP012855.1	0	0	0	0	1	0	0	0
CP012857.1	1	0	0	0	0	0	0	0
CP012858.1	0	0	0	0	0	0	1	0
CP012861.1	0	0	0	0	0	0	1	0
CP012864.1	2	0	0	0	0	0	5	0
CP012867.1	1	0	0	0	0	0	6	0
CP013001.1	2	1	0	0	2	1	0	0
CP013100.1	2	0	0	0	0	0	0	0
CP013721.1	0	12	0	0	1	0	0	0
CP013822.1	0	10	0	0	0	0	0	0
CP013836.1	0	12	0	0	1	0	0	0
CP013914.1	1	0	13	0	0	0	0	0
CP013915.1	0	0	13	0	0	0	0	0
CP013927.1	1	0	2	0	0	0	0	0
CP013960.1	1	0	0	0	7	0	0	0
CP014066.2	2	0	0	0	0	0	1	0
CP014068.2	0	0	0	1	4	0	0	0
CP014199.1	1	1	0	0	0	0	0	0
CP014200.1	1	0	0	0	0	0	0	0
CP014292.1	1	12	0	0	0	0	0	0
CP014295.1	1	11	0	0	0	0	0	0
CP014296.1	0	12	0	0	1	0	0	0
CP014297.1	0	2	0	0	1	0	0	0
CP014298.1	0	0	13	0	0	0	1	0
CP014330.2	8	0	0	0	0	0	0	0
CP014450.1	0	0	0	0	0	0	1	0
