accession	stratum	offset	traY_bit	excA_bit	excA_aa
CP058016.1	order#1	1	885.1	276.8	216
CP059906.1	order#1	1	885.1	276.8	216
CP059924.1	order#1	1	885.1	276.8	216
CP060167.1	order#1	1	911.6	296.0	220
CP061214.1	order#1	1	884.1	270.3	214
CP061218.1	split_2	1	883.4	267.4	215
CP061221.1	order#1	1	883.4	267.4	215
CP061224.1	split_2	1	883.4	267.4	215
CP061227.1	order#1	1	883.4	267.4	215
CP061248.1	split_2	1	883.4	267.4	215
CP061251.1	split_2	1	611.9	267.4	215
CP061259.1	order#4+	1	670.6	227.1	166
CP061271.1	order#4+	1	883.4	267.4	215
CP061273.1	order#4+	2	561.0	224.9	158
CP063724.1	split_2	1	897.9	278.4	217
CP063731.1	order#1	1	887.3	266.8	214
CP063741.1	order#1	1	897.3	278.4	217
CP066329.1	order#1	1	908.9	296.8	220
CP066336.1	order#1	1	949.5	289.9	220
CP067934.1	order#3	1	759.3	113.5	207
CP067953.1	order#1	1	885.1	276.8	216
CP069703.1	order#1	1	940.4	288.2	220
CP070303.1	order#1	1	949.5	289.9	220
CP070395.1	order#1	1	887.0	269.7	215
CP070396.1	order#1	1	888.1	268.1	216
CP071164.1	order#3	1	759.0	113.5	207
CP073108.1	order#1	1	887.2	276.8	216
CP074224.1	split_2	1	916.9	296.3	220
CP074320.1	order#1	1	886.5	276.8	216
CP074342.1	order#1	1	949.5	289.9	220
CP074344.1	order#1	1	949.5	289.9	220
CP074608.1	order#1	1	908.9	296.8	220
CP074613.1	order#1	1	885.1	276.8	216
CP076294.1	order#4+	1	883.5	276.8	216
CP076674.1	order#3	1	759.0	113.5	207
CP077226.1	order#1	1	887.2	276.8	216
CP077245.1	split_2	1	886.1	232.5	166
CP077274.1	order#1	1	887.2	276.8	216
CP077282.1	order#1	1	877.8	232.7	204
CP077327.1	order#1	1	886.1	232.5	166
CP077343.1	order#1	1	877.8	232.7	204
CP077667.1	order#1	1	949.5	289.9	220
CP082371.1	order#1	1	911.3	295.5	220
CP082378.1	split_2	1	908.9	296.8	220
CP082390.1	order#1	1	908.9	296.8	220
CP082435.1	order#1	1	950.8	289.5	220
CP082483.1	order#1	1	887.2	276.8	216
CP082497.1	order#1	1	950.8	289.5	220
CP082504.1	order#1	2	582.0	289.5	220
CP082507.1	order#1	1	950.8	289.5	220
CP082519.1	order#1	1	908.9	296.8	220
CP082522.1	order#1	1	949.5	289.9	220
CP082534.1	order#1	1	950.8	289.5	220
CP082539.1	order#1	1	949.5	289.9	220
CP082542.1	order#1	1	908.9	296.8	220
CP082552.1	order#1	1	950.8	289.5	220
CP082560.1	order#1	1	950.8	289.5	220
CP082563.1	order#1	1	950.8	289.5	220
CP082569.1	order#1	1	950.8	289.5	220
CP082580.1	order#1	1	887.2	276.8	216
CP082601.1	order#1	1	908.9	296.8	220
CP082604.1	order#1	1	950.8	289.5	220
CP082610.1	order#1	1	908.9	296.8	220
CP082618.1	order#1	1	949.5	289.9	220
CP082628.1	order#1	1	887.2	276.8	216
CP082646.1	order#4+	1	950.8	289.5	220
CP082649.1	order#1	1	950.8	289.5	220
CP082656.1	order#1	1	950.8	289.5	220
CP082669.1	order#1	1	887.2	276.8	216
CP082671.1	order#1	1	877.8	233.6	204
CP082694.1	order#4+	1	950.8	289.5	220
CP082705.1	split_2	-113	950.8	219.1	148
CP082707.1	order#1	1	877.8	233.6	204
CP082710.1	split_2	1	908.9	296.8	220
CP082715.1	split_2	1	908.9	296.8	220
CP082717.1	order#1	1	950.8	289.5	220
CP082750.1	order#1	1	899.6	281.0	217
CP082752.1	split_2	1	950.8	289.5	220
CP083380.1	order#1	1	950.8	289.5	220
CP084513.1	order#3	3	674.9	112.7	226
CP084536.1	order#1	1	940.4	288.2	220
CP088066.1	split_2	1	887.2	276.8	216
CP088354.1	order#1	1	887.2	276.8	216
CP088371.1	order#1	1	887.2	276.8	216
CP088378.1	order#1	1	895.5	283.0	217
CP088388.1	order#1	1	895.5	283.0	217
CP088395.1	order#1	1	887.2	276.8	216
CP088403.1	order#1	1	908.9	296.8	220
CP088412.1	order#1	1	886.1	232.5	166
CP088426.1	order#1	1	887.2	276.8	216
CP088437.1	order#1	1	895.5	283.0	217
CP088445.1	split_2	1	895.2	256.3	216
CP088449.1	order#1	1	895.5	283.0	217
CP088458.1	order#1	1	887.2	276.8	216
CP088469.1	order#1	1	948.0	289.9	220
CP088476.1	order#4+	1	877.8	232.7	204
CP088483.1	order#1	1	887.2	276.8	216
CP088489.1	order#1	1	886.1	232.5	166
CP088492.1	order#1	1	887.2	276.8	216
CP088499.1	order#1	1	877.8	233.6	204
CP088503.1	order#1	1	895.2	256.3	216
CP088518.1	order#1	1	895.5	283.0	217
CP088522.1	order#1	1	948.1	289.9	220
CP088549.1	order#4+	1	882.7	232.5	166
CP088591.1	order#1	1	895.2	256.3	216
CP088595.1	order#1	1	948.0	289.9	220
CP088605.1	order#1	1	895.5	283.0	217
CP088610.1	order#1	1	886.1	232.5	166
CP088616.1	order#1	1	878.9	232.7	204
CP088619.1	order#1	1	886.1	232.5	166
CP088639.1	split_2	1	894.6	256.3	216
CP088674.1	order#1	1	895.5	283.0	217
CP088675.1	order#1	1	887.2	276.8	216
CP088678.1	order#1	1	895.2	256.3	216
CP088685.1	order#1	1	951.2	289.9	220
CP088700.1	order#1	1	887.2	276.8	216
CP088704.1	split_2	1	890.7	262.1	215
CP088732.1	order#1	1	895.5	283.0	217
CP088742.1	order#1	1	895.5	283.0	217
CP088750.1	split_2	1	895.5	283.0	217
CP088777.1	order#1	1	886.1	232.5	166
CP088788.1	order#1	1	882.7	232.5	166
CP088792.1	order#1	1	886.1	232.5	166
CP088801.1	order#1	1	877.8	233.6	204
CP088807.1	order#1	1	895.5	283.0	217
CP088824.1	order#1	1	886.1	232.5	166
CP088825.1	order#1	1	887.2	276.8	216
CP088840.1	order#1	1	886.1	232.5	166
CP088849.1	order#1	1	895.5	283.0	217
CP088856.1	order#1	1	887.2	276.8	216
CP088863.1	split_2	1	223.5	233.6	204
CP088867.1	order#1	1	893.1	261.1	215
CP088870.1	split_2	1	895.5	283.0	217
CP088891.1	order#1	1	949.5	289.9	220
CP090077.1	order#1	1	887.2	276.8	216
CP090250.1	order#1	1	895.5	283.0	217
CP090275.1	order#1	1	882.2	268.0	215
CP090290.1	order#3	1	759.3	113.5	207
CP090291.1	order#1	1	877.8	233.6	204
CP090403.1	order#1	1	950.8	289.5	220
CP090404.1	order#1	1	895.5	283.0	217
CP090857.1	order#1	1	950.1	288.4	220
CP090862.1	order#1	1	950.1	288.4	220
CP091395.1	split_2	1	877.8	232.7	204
CP091410.1	split_2	1	885.4	232.5	166
CP092295.1	order#1	1	949.5	289.9	220
CP092298.1	order#1	1	949.5	289.9	220
CP092299.1	order#1	1	877.8	233.6	204
CP092302.1	order#1	1	949.5	289.9	220
CP092313.1	order#1	1	887.2	127.2	86
CP092323.1	split_2	1	950.8	289.5	220
CP093074.1	order#1	1	908.9	296.8	220
CP093082.1	order#1	1	876.7	233.6	204
CP093085.1	order#1	1	887.2	276.8	216
CP093104.1	order#1	1	908.9	296.8	220
CP093113.1	order#1	1	908.9	296.8	220
CP097477.1	order#1	1	895.5	283.0	217
CP098934.1	order#1	1	946.8	289.9	220
CP098941.1	order#1	1	946.8	289.9	220
CP098956.1	order#1	1	946.8	289.9	220
CP099039.1	order#1	1	950.8	289.0	220
CP099061.1	order#1	1	885.1	276.8	216
CP099064.1	order#1	1	885.1	276.8	216
CP099067.1	order#1	1	885.1	276.8	216
CP099070.1	order#1	1	885.1	276.8	216
CP099074.1	order#1	1	885.1	276.8	216
CP099077.1	order#1	1	885.1	276.8	216
CP099091.1	order#1	1	885.1	276.8	216
CP099094.1	order#1	1	885.1	276.8	216
CP099097.1	order#1	1	885.1	276.8	216
CP099115.1	order#1	1	880.1	233.6	204
CP099130.1	order#1	1	916.9	296.3	220
CP099182.1	order#1	1	880.1	233.6	204
CP099228.1	order#1	1	887.2	276.8	216
CP099234.1	order#1	1	887.2	276.8	216
CP099240.1	order#1	1	887.2	276.8	216
CP099708.1	order#3	1	812.1	235.2	211
CP100016.1	order#1	1	876.3	233.6	204
CP100655.1	order#1	1	949.5	289.9	220
CP100658.1	order#1	1	949.5	289.9	220
CP101953.1	split_2	1	916.9	296.3	220
CP101959.1	order#1	1	916.9	296.3	220
CP101964.1	order#1	1	887.2	276.8	216
CP102114.1	order#1	1	895.5	283.0	217
CP104411.1	split_2	1	895.5	283.0	217
CP104414.1	order#1	1	895.5	283.0	217
CP104418.1	order#1	1	895.5	283.0	217
CP104424.1	order#1	1	895.5	283.0	217
CP104429.1	order#1	1	895.5	283.0	217
CP104432.1	order#1	1	895.5	283.0	217
CP104436.1	order#1	1	895.5	283.0	217
CP107228.1	order#3	1	759.3	113.5	207
CP110412.1	order#1	1	950.8	289.5	220
CP110752.1	order#1	1	895.5	283.0	217
CP111092.1	order#1	1	950.8	289.5	220
CP112984.1	order#1	1	950.6	289.1	220
CP113984.1	order#1	1	887.2	276.8	216
CP113985.1	order#1	1	887.2	276.8	216
CP113988.1	order#1	1	887.2	276.8	216
CP113991.1	order#1	1	887.2	276.8	216
CP113993.1	order#1	1	887.2	276.8	216
CP113995.1	split_2	1	887.2	276.8	216
CP113998.1	order#1	1	887.2	276.8	216
CP114001.1	order#1	1	887.2	276.8	216
CP114003.1	order#1	1	887.2	276.8	216
CP114004.1	order#1	1	887.2	276.8	216
CP114352.1	order#1	1	886.6	277.7	216
CP119485.1	order#1	1	887.2	276.8	216
CP119489.1	order#1	1	950.8	289.5	220
CP120716.1	order#1	1	457.7	216.5	160
CP121420.1	order#1	1	457.7	216.5	160
CP121421.1	order#1	1	888.2	216.5	160
CP121424.1	order#1	1	457.7	216.5	160
CP121425.1	order#1	1	457.7	216.5	160
CP121429.1	order#1	1	457.7	216.5	160
CP122672.1	split_2	1	887.2	276.8	216
CP122738.1	split_2	1	927.3	214.1	199
CP122747.1	split_2	2	520.5	214.1	199
CP122753.1	order#1	1	877.8	232.7	204
CP122780.1	order#1	1	949.3	290.7	220
CP122799.1	split_2	1	477.5	289.5	220
CP122843.1	split_2	1	877.8	233.6	204
CP122854.1	order#1	1	877.8	233.6	204
CP122890.1	order#4+	4	489.5	276.8	216
CP123652.1	order#1	1	950.8	289.5	220
CP124978.1	order#1	1	895.2	253.9	216
CP125015.1	order#1	1	886.1	234.0	166
CP125022.1	order#1	1	886.1	234.0	166
CP125065.1	order#1	1	895.2	256.3	216
CP128418.1	order#4+	1	798.7	173.3	210
CP133143.1	order#1	1	877.8	233.6	204
CP134894.1	order#1	1	887.2	276.8	216
CP134907.1	order#1	1	908.9	296.8	220
CP134914.1	order#1	1	908.9	296.8	220
CP134920.1	order#1	1	887.2	276.8	216
CP134932.1	order#1	1	895.5	283.0	217
CP134937.1	order#1	1	895.5	283.0	217
CP139222.1	order#3	1	759.3	113.5	207
CP139240.1	order#3	1	759.3	113.5	207
CP142529.1	order#1	1	950.3	289.9	220
CP142534.1	order#1	1	883.5	276.8	216
CP142536.1	order#1	1	877.8	233.6	204
CP142541.1	order#1	1	877.8	233.6	204
CP142549.1	order#1	1	895.5	283.0	217
CP142562.1	order#4+	6	471.1	276.8	216
CP142564.1	order#1	1	877.8	233.6	204
CP142575.1	order#1	1	950.3	289.9	220
CP142579.1	order#1	1	883.5	276.8	216
CP142581.1	order#1	1	883.5	127.2	86
CP142587.1	order#1	1	890.1	276.8	216
CP143561.1	order#1	1	887.2	276.8	216
CP144216.1	order#1	1	951.2	289.9	220
CP144323.1	order#3	1	759.3	113.5	207
CP148298.1	order#1	1	877.3	232.9	204
CP148781.1	order#4+	1	740.6	289.9	220
CP148783.1	order#1	2	949.8	123.3	86
CP148851.1	order#1	1	740.6	289.9	220
CP148853.1	order#1	1	723.7	288.6	220
CP148855.1	order#1	1	738.2	289.9	220
CP148857.1	order#1	1	948.6	289.9	220
CP148859.1	order#1	1	739.2	289.9	220
CP148861.1	order#1	1	948.1	289.9	220
CP148865.1	order#1	1	740.6	289.9	220
CP148869.1	order#1	2	316.9	289.9	220
CP148871.1	order#1	2	317.4	288.6	220
CP148884.1	order#1	2	316.9	289.9	220
CP148887.1	order#1	1	738.7	289.9	220
CP157137.1	order#1	1	897.9	278.4	217
HG428759.1	order#1	1	950.8	289.5	220
HG793099.1	order#3	1	736.2	177.1	224
LC567050.1	order#1	1	885.1	276.8	216
LC567051.1	order#1	1	877.8	233.6	204
LC567052.1	order#1	1	877.8	233.6	204
LC567053.1	order#1	1	950.8	289.5	220
LC567054.1	order#1	1	877.8	232.7	204
LC567055.1	order#1	1	874.1	232.7	204
LC567056.1	order#1	1	885.1	276.8	216
LC567057.1	order#1	1	885.1	276.8	216
LC567058.1	order#1	1	885.1	276.8	216
LC567059.1	order#1	1	887.2	276.8	216
LC567060.1	order#1	1	885.1	276.8	216
LC567061.1	order#1	1	950.3	289.9	220
LC567062.1	order#1	1	948.0	289.9	220
LC567063.1	order#1	1	948.0	289.9	220
LC567064.1	order#1	1	949.5	289.9	220
LC567065.1	order#1	1	948.0	289.9	220
LC567066.1	order#1	1	948.0	289.9	220
LC567067.1	order#1	1	948.0	289.9	220
LC567068.1	order#1	1	877.8	232.7	204
LC567069.1	order#4+	1	950.8	289.5	220
LC567070.1	order#1	1	948.0	289.9	220
LC567071.1	order#1	1	877.8	232.7	204
LC567072.1	order#1	1	915.6	296.3	220
LC567073.1	order#1	1	950.8	287.3	220
LC567074.1	order#1	1	877.8	233.6	204
LC567075.1	order#1	1	948.0	289.9	220
LC567076.1	order#1	1	948.0	289.9	220
LC567077.1	order#1	1	948.0	289.9	220
LC567078.1	order#1	1	948.0	289.9	220
LC567079.1	order#1	1	887.2	276.8	216
LC567080.1	order#1	1	950.8	289.5	220
LC567081.1	order#1	1	948.0	289.9	220
LC567082.1	order#1	1	948.0	289.9	220
LC567083.1	order#1	1	885.1	276.8	216
LC567084.1	order#1	1	885.1	276.8	216
LC567085.1	order#1	1	950.8	289.5	220
LC567086.1	order#1	1	950.8	289.5	220
LC567087.1	order#1	1	950.8	289.5	220
LC567088.1	order#1	1	950.8	289.5	220
LC567089.1	order#1	1	877.8	232.7	204
LC567090.1	order#1	1	885.1	276.8	216
LC567091.1	order#1	1	950.8	289.5	220
LC567092.1	order#1	1	877.8	232.7	204
LC567093.1	order#1	1	885.1	276.8	216
LC567094.1	order#1	1	885.1	276.8	216
LC567095.1	order#1	1	950.8	289.5	220
LC567096.1	order#1	1	877.8	232.7	204
LC567097.1	order#1	1	885.1	276.8	216
LC567098.1	order#1	1	885.6	276.8	216
LC567099.1	order#1	1	950.8	289.5	220
LR213460.1	order#1	1	894.6	256.3	216
LR890577.1	order#1	1	887.2	276.8	216
LR890589.1	order#3	1	757.3	116.0	207
LR890720.1	order#3	1	760.5	111.9	207
LT985289.1	order#1	1	877.8	232.7	204
MF554637.1	order#1	7	479.4	289.0	220
MH430881.1	order#4+	1	915.6	296.3	220
NC_002122.1	order#1	1	950.8	289.5	220
NC_004632.1	order#3	2	850.2	257.0	215
NC_004633.1	order#3	2	830.9	285.8	216
NC_005014.1	order#1	1	950.3	289.9	220
NC_006856.1	order#4+	1	951.2	289.9	220
NC_007365.1	order#1	1	896.0	254.6	216
NC_011077.1	order#1	1	950.8	289.5	220
NC_011081.1	order#1	1	950.3	289.9	220
NC_011419.1	order#1	1	948.8	289.9	220
NC_011754.1	order#1	1	892.1	262.1	215
NC_011759.1	split_2	1	819.5	256.0	211
NC_012487.1	order#1	1	887.0	285.1	217
NC_013120.1	order#1	1	948.0	289.9	220
NC_013973.1	order#3	1	735.7	262.0	222
NC_014383.1	split_2	1	877.8	232.7	204
NC_014477.1	order#1	1	895.5	283.0	217
NC_014843.1	order#1	1	870.0	207.2	145
NC_015965.1	order#1	1	877.8	232.7	204
NC_017637.1	order#1	1	877.8	233.6	204
NC_017642.1	order#1	1	950.8	289.5	220
NC_017665.1	order#1	1	877.8	233.6	204
NC_017675.1	order#1	1	908.9	296.8	220
NC_017718.1	order#1	1	908.9	296.8	220
NC_018659.1	split_2	1	877.8	232.7	204
NC_018995.1	order#1	1	886.1	232.5	166
NC_019043.1	order#1	1	877.8	233.6	204
NC_019044.1	order#1	1	950.8	289.5	220
NC_019061.1	order#1	1	950.8	290.3	220
NC_019097.1	order#1	1	877.3	234.2	204
NC_019099.1	order#1	1	950.8	289.5	220
NC_019104.1	order#1	1	877.8	233.6	204
NC_019111.1	order#1	1	877.8	233.6	204
NC_019123.1	order#1	1	908.9	296.8	220
NC_019131.1	order#1	1	887.2	276.8	216
NC_019137.1	order#1	1	908.9	296.8	220
NC_019265.2	order#4+	2	788.9	292.4	216
NC_020991.1	order#1	1	948.0	289.9	220
NC_021198.1	order#3	1	757.3	116.0	207
NC_021811.1	split_2	1	908.9	296.8	220
NC_021813.2	order#1	1	908.9	296.8	220
NC_022267.1	order#1	1	950.8	289.0	220
NC_022371.1	order#4+	1	886.1	232.5	166
NC_022742.1	order#1	1	877.8	232.7	204
NC_022885.1	split_2	1	951.2	289.9	220
NC_022992.1	order#1	1	887.3	263.0	214
NC_022996.1	order#1	1	887.3	263.0	214
NC_023275.1	order#1	1	950.8	289.5	220
NC_023276.1	order#1	1	950.8	289.5	220
NC_023290.1	order#1	1	950.8	289.5	220
NC_023326.1	order#4+	1	877.8	233.6	204
NC_023329.1	order#1	1	883.5	216.5	160
NC_023899.1	order#1	1	883.5	276.8	216
NC_023900.2	order#1	1	950.8	289.5	220
NC_024955.2	order#1	1	950.3	289.9	220
NC_024975.1	order#1	1	885.1	276.8	216
NC_024976.1	order#1	1	887.2	276.8	216
NC_024977.1	order#1	1	873.5	232.7	204
NC_024978.1	order#1	1	877.8	233.6	204
NC_024979.1	order#1	1	592.3	276.8	216
NC_024980.1	order#4+	1	877.8	233.6	204
NC_025138.1	order#1	1	897.3	278.4	217
NC_025140.1	order#1	1	948.0	289.9	220
NC_025142.1	order#1	1	885.1	276.8	216
NC_025143.1	order#1	1	885.1	276.8	216
NC_025144.1	order#1	1	885.1	276.8	216
NC_025145.1	order#1	1	894.0	254.1	216
NC_025147.1	order#1	1	950.8	289.5	220
NC_025176.1	order#1	1	885.1	276.8	216
NC_025180.1	order#1	1	887.2	276.8	216
NC_032099.1	order#1	1	886.1	232.5	166
NC_032100.1	order#1	1	887.2	276.8	216
NZ_AP014805.1	order#1	1	887.2	276.8	216
NZ_AP017613.1	split_2	1	897.3	278.4	217
NZ_AP017892.1	order#1	1	950.8	289.5	220
NZ_AP017893.1	order#1	1	950.8	289.5	220
NZ_AP018797.1	order#1	1	897.3	278.4	217
NZ_AP018803.1	order#1	1	897.3	278.4	217
NZ_AP019672.1	order#3	1	759.3	113.5	207
NZ_AP019762.1	order#1	1	897.3	278.4	217
NZ_AP021916.1	order#1	1	916.9	296.3	220
NZ_AP021945.1	order#1	1	914.7	296.3	220
NZ_AP021948.1	split_2	1	950.8	289.5	220
NZ_AP022037.1	order#1	1	948.0	289.9	220
NZ_AP022066.1	order#1	1	885.1	276.8	216
NZ_AP022071.1	split_2	1	895.5	283.0	217
NZ_AP022088.1	order#1	1	918.1	295.0	220
NZ_AP022090.1	order#1	1	894.6	256.3	216
NZ_AP022097.1	order#1	1	950.8	289.5	220
NZ_AP022122.1	order#1	1	948.0	289.5	220
NZ_AP022160.1	order#1	1	950.1	289.5	220
NZ_AP022174.1	split_2	1	886.1	232.5	166
NZ_AP022216.1	order#1	1	887.2	276.8	216
NZ_AP022224.1	split_2	1	886.1	232.5	166
NZ_AP022263.1	order#1	1	950.6	289.1	220
NZ_AP022271.1	order#3	1	759.3	113.5	207
NZ_AP022289.1	order#1	1	887.2	276.8	216
NZ_AP022296.1	order#1	1	886.1	232.5	166
NZ_AP022370.1	order#3	1	759.3	113.5	207
NZ_AP022548.1	split_2	1	948.9	289.5	220
NZ_AP022813.1	order#1	1	895.5	283.0	217
NZ_AP022817.1	order#1	1	895.5	283.0	217
NZ_AP024115.1	order#4+	1	877.8	233.6	204
NZ_AP024117.1	order#1	1	888.0	268.2	215
NZ_AP025182.1	order#1	1	950.8	290.7	220
NZ_AP025678.1	order#1	1	893.2	285.1	217
NZ_AP025743.1	order#1	1	897.3	278.4	217
NZ_AP025753.1	order#1	1	911.6	296.0	220
NZ_AP027158.1	order#1	1	908.9	296.0	220
NZ_AP027160.1	order#1	1	897.3	278.4	217
NZ_AP027166.1	order#1	1	887.3	266.8	214
NZ_AP027207.1	order#1	2	445.6	254.6	216
NZ_AP027213.1	order#1	1	893.9	254.6	216
NZ_AP027218.1	order#1	1	889.9	259.2	215
NZ_AP027219.1	order#1	1	885.8	263.5	216
NZ_AP027247.1	order#1	1	894.1	254.6	216
NZ_AP027255.1	order#1	1	894.9	255.5	216
NZ_AP027257.1	order#1	1	893.3	254.6	216
NZ_AP027259.1	order#1	1	893.3	254.6	216
NZ_AP027430.1	order#1	1	890.0	276.8	216
NZ_AP027435.1	order#1	1	890.0	276.8	216
NZ_AP027555.1	order#1	1	885.1	276.8	216
NZ_AP027600.1	order#1	1	950.8	289.5	220
NZ_AP027654.1	order#1	1	885.1	276.8	216
NZ_AP027793.1	order#1	1	886.1	232.5	166
NZ_AP027815.1	order#1	1	893.8	281.0	217
NZ_AP027832.1	order#1	1	950.8	290.2	220
NZ_AP027928.1	order#1	1	950.8	289.5	220
NZ_AP028312.1	order#1	1	877.4	233.6	204
