query_idx	aa_len	best_named_family	evalue_3di	assigned
400	368	TrbK_RP4	5.199e-07	1
401	368	TrbK_RP4	5.145e-07	1
402	368	TrbK_RP4	2.098e-06	1
403	353	TrbK_RP4	6.365e-07	1
404	136	ExcA	3.435e-01	0
405	191	TraS	1.808e-02	1
406	189	TraS	2.963e-02	0
407	148	TraS	4.730e-01	0
408	334	TrbK_RP4	1.315e-07	1
409	189	TraS	1.209e-02	1
410	116	ExcA	9.697e-02	0
411	458	TrbK_RP4	4.154e-01	0
412	142	Eex_IncN	1.641e+00	0
413	113	TrbK_RP4	1.012e-01	0
414	400	TrbK_RP4	7.618e-17	1
415	74	TrbK_RP4	7.763e-01	0
416	310	TraS	7.021e-01	0
417	310	TraS	1.384e+00	0
418	309	Eex_IncN	1.684e+00	0
419	309	TraS	1.344e+00	0
420	309	TraS	1.269e+00	0
421	310	TraS	1.460e+00	0
422	311	TraS	7.340e-01	0
423	175	TraS	2.422e+00	0
424	125	ExcA	2.974e+00	0
425	362	TraS	4.630e-01	0
426	342	TrbK_RP4	2.109e-09	1
427	342	TrbK_RP4	1.774e-09	1
428	342	TrbK_RP4	6.033e-09	1
429	342	TrbK_RP4	3.408e-09	1
430	346	TrbK_RP4	4.831e-10	1
431	345	TrbK_RP4	8.529e-10	1
432	95	Eex_IncN	2.481e-02	0
433	285	TrbK_RP4	4.207e-06	1
434	489	TrbK_RP4	5.449e-02	0
435	425	Eex_IncN	2.448e+00	0
436	234	TraS	4.645e-01	0
437	52	ExcA	5.354e+00	0
438	491	TrbK_RP4	2.116e-01	0
439	121	Eex_IncN	6.360e-01	0
440	271	ExcA	6.551e-01	0
441	134	TraS	1.228e-01	0
442	137	TraS	1.138e-01	0
443	100	ExcA	7.737e-01	0
444	401	TraS	1.942e-02	1
445	298	TraS	1.619e-02	1
446	697	TraS	1.166e-01	0
447	697	TraS	1.173e-01	0
448	295	TraS	2.077e-02	1
449	1008	ExcA	2.942e+00	0
450	141	Eex_IncN	2.011e+00	0
451	554	TraS	9.020e-01	0
452	115	TraS	1.539e-01	0
453	64	Eex_IncN	9.992e-01	0
454	132	TrbK_RP4	4.150e+00	0
455	233	TraS	1.467e-04	1
456	174	TraS	2.017e-01	0
457	93	ExcA	3.554e-01	0
458	166	ExcA	1.366e-01	0
459	165	ExcA	8.213e-02	0
460	42	Eex_IncN	1.549e+00	0
461	42	Eex_IncN	2.072e+00	0
462	258	ExcA	1.647e-01	0
463	149	ExcA	3.011e-01	0
464	192	TraS	1.223e-01	0
465	165	ExcA	9.641e-02	0
466	428	Eex_IncN	1.787e+00	0
467	73	TrbK_RP4	1.102e+00	0
468	81	ExcA	2.364e+00	0
469	175	TraS	1.592e-03	1
470	71	TraS	1.504e+00	0
471	218	TraS	1.123e-01	0
472	218	TraS	1.138e-01	0
473	218	TraS	2.671e-02	0
474	218	TraS	2.404e-02	0
475	42	Eex_IncN	2.105e+00	0
476	524	ExcA	1.911e+00	0
477	114	Eex_IncN	5.113e-01	0
478	272	TraS	6.976e-01	0
479	167	Eex_IncN	5.522e-01	0
480	131	Eex_IncN	4.537e-01	0
481	131	TraS	7.990e-02	0
482	80	TrbK_RP4	1.678e+00	0
483	87	TraS	1.019e+00	0
484	175	TraS	1.490e-02	1
485	705	TraS	1.352e+00	0
486	263	TraS	9.237e-01	0
487	172	TraS	4.693e-03	1
488	167	TraS	3.152e-02	0
489	180	TraS	5.473e-04	1
490	175	TraS	1.490e-02	1
491	47	ExcA	3.526e+00	0
492	169	TraS	4.050e-03	1
493	169	TraS	6.921e-03	1
494	54	TraS	9.752e+00	0
495	177	TraS	3.897e-05	1
496	169	TraS	9.315e-03	1
497	169	TraS	1.911e-02	1
498	169	TraS	1.343e-02	1
499	169	TraS	2.654e-03	1
500	43	TraS	3.691e+00	0
501	57	ExcA	3.551e+00	0
502	169	TraS	4.702e-03	1
503	89	ExcA	7.949e-01	0
504	147	TraS	2.219e-01	0
505	169	TraS	1.519e-01	0
506	169	TraS	6.968e-03	1
507	169	TraS	2.128e-02	0
508	96	Eex_IncN	1.106e+00	0
509	169	TraS	7.126e-03	1
510	169	TraS	1.003e-02	1
511	169	TraS	7.813e-03	1
512	151	TraS	1.546e-01	0
513	169	TraS	1.179e-02	1
514	151	TraS	1.295e-02	1
515	151	TraS	5.138e-02	0
516	169	TraS	1.506e-02	1
517	169	TraS	6.968e-03	1
518	417	TraS	4.635e-45	1
519	169	TraS	8.415e-03	1
520	169	TraS	9.997e-03	1
521	146	TraS	1.646e-01	0
522	169	TraS	7.492e-03	1
523	169	TraS	7.926e-03	1
524	169	TraS	5.402e-03	1
525	169	TraS	1.205e-02	1
526	63	TraS	6.268e-01	0
527	169	TraS	7.997e-03	1
528	151	TraS	1.775e-02	1
529	46	TraS	3.689e+00	0
530	169	TraS	9.673e-03	1
531	169	TraS	5.951e-03	1
532	29	ExcA	2.260e+00	0
533	169	TraS	2.020e-02	1
534	169	TraS	4.032e-02	0
535	69	ExcA	1.712e+00	0
536	169	TraS	5.712e-03	1
537	169	TraS	7.749e-03	1
538	169	TraS	2.721e-03	1
539	133	TraS	6.909e-02	0
540	169	TraS	5.040e-03	1
541	169	TraS	6.400e-03	1
542	157	TraS	3.171e-01	0
543	169	TraS	3.972e-03	1
544	169	TraS	1.231e-02	1
545	169	TraS	3.494e-03	1
546	169	TraS	7.907e-02	0
547	169	TraS	2.029e-03	1
548	170	TraS	6.068e-03	1
549	169	TraS	4.602e-03	1
550	169	TraS	3.435e-03	1
551	169	TraS	6.659e-03	1
552	169	TraS	3.521e-03	1
553	169	TraS	5.135e-03	1
554	169	TraS	5.314e-03	1
555	169	TraS	2.091e-02	1
556	169	TraS	4.485e-02	0
557	169	TraS	7.343e-03	1
558	169	TraS	5.755e-03	1
559	169	TraS	8.291e-03	1
560	169	TraS	1.541e-02	1
561	169	TraS	1.816e-02	1
562	169	TraS	4.161e-03	1
563	169	TraS	6.968e-03	1
564	169	TraS	7.013e-03	1
565	130	Eex_IncN	1.875e+00	0
566	171	TraS	1.621e-02	1
567	171	TraS	2.432e-02	0
568	181	TraS	4.327e-03	1
569	182	TraS	2.562e-04	1
570	182	TraS	1.315e-04	1
571	182	TraS	2.438e-04	1
572	182	TraS	2.694e-04	1
573	182	TraS	1.760e-04	1
574	181	TraS	1.070e-04	1
575	181	TraS	3.083e-03	1
576	175	TraS	7.093e-03	1
577	169	TraS	4.625e-03	1
578	190	TraS	4.113e-03	1
579	190	TraS	1.830e-03	1
580	237	TraS	1.116e-03	1
581	173	TraS	4.540e-03	1
582	109	ExcA	3.909e-01	0
583	173	TraS	3.655e-03	1
584	173	TraS	6.204e-03	1
585	173	TraS	5.028e-03	1
586	173	TraS	1.043e-02	1
587	173	TraS	5.056e-03	1
588	167	TraS	5.398e-03	1
589	173	TraS	1.019e-02	1
590	168	TraS	3.512e-03	1
591	173	TraS	2.768e-03	1
592	173	TraS	7.830e-03	1
593	173	TraS	6.196e-03	1
594	173	TraS	5.504e-03	1
595	173	TraS	4.883e-03	1
596	173	TraS	4.385e-03	1
597	173	TraS	5.704e-03	1
598	167	TraS	2.983e-03	1
599	167	TraS	3.046e-03	1
600	167	TraS	4.442e-03	1
601	173	TraS	1.367e-02	1
602	173	TraS	5.028e-03	1
603	167	TraS	8.009e-03	1
604	167	TraS	4.191e-03	1
605	172	TraS	1.556e-02	1
606	80	Eex_IncN	5.596e-01	0
607	538	TrbK_RP4	2.156e-27	1
608	62	TrbK_RP4	1.193e+00	0
609	176	TraS	5.289e-02	0
610	269	TrbK_RP4	8.546e-02	0
611	70	TrbK_RP4	8.667e-01	0
612	70	TrbK_RP4	6.057e-01	0
613	70	TrbK_RP4	3.606e-01	0
614	117	ExcA	3.355e-01	0
615	71	TrbK_RP4	1.461e+00	0
616	189	Eex_IncN	8.849e-01	0
617	70	TraS	9.699e-01	0
618	70	TrbK_RP4	8.997e-01	0
619	70	Eex_IncN	1.433e+00	0
620	70	TrbK_RP4	8.330e-01	0
621	239	TraS	1.220e+00	0
622	251	TraS	6.873e-01	0
623	151	TraS	7.371e-01	0
624	335	TrbK_RP4	1.198e-07	1
625	325	TrbK_RP4	8.674e-08	1
626	251	TraS	7.195e-01	0
627	59	TrbK_RP4	1.605e+00	0
628	62	TraS	1.070e+00	0
629	69	TrbK_RP4	5.099e-01	0
630	69	TrbK_RP4	4.177e-01	0
631	253	Eex_IncN	2.546e-01	0
632	78	Eex_IncN	1.116e-01	0
633	167	TraS	1.760e-03	1
634	167	TraS	9.718e-04	1
635	167	TraS	3.348e-04	1
636	167	TraS	1.114e-03	1
637	104	ExcA	5.508e-02	0
638	519	TrbK_RP4	1.157e-32	1
639	519	TrbK_RP4	2.148e-33	1
640	519	TrbK_RP4	2.402e-33	1
641	519	TrbK_RP4	4.106e-33	1
642	519	TrbK_RP4	3.993e-33	1
643	519	TrbK_RP4	1.357e-32	1
644	411	TrbK_RP4	7.807e-29	1
645	517	TrbK_RP4	7.824e-33	1
646	519	TrbK_RP4	3.622e-33	1
647	53	TrbK_RP4	7.269e-01	0
648	70	TrbK_RP4	1.517e-01	0
649	206	ExcA	6.752e-01	0
650	206	ExcA	9.753e-01	0
651	91	Eex_IncN	2.514e+00	0
652	172	Eex_IncN	1.420e+00	0
653	176	Eex_IncN	1.053e+00	0
654	69	TrbK_RP4	2.624e+00	0
655	127	Eex_IncN	1.900e-01	0
656	127	Eex_IncN	2.774e-01	0
657	215	Eex_IncN	2.151e-01	0
658	71	TrbK_RP4	3.962e-01	0
659	238	TraS	7.776e-01	0
660	127	Eex_IncN	1.381e-02	1
661	69	TrbK_RP4	1.116e+00	0
662	69	TrbK_RP4	8.743e-01	0
663	72	TrbK_RP4	1.036e+00	0
664	72	TrbK_RP4	1.073e+00	0
665	72	TrbK_RP4	2.442e+00	0
666	72	TrbK_RP4	1.209e+00	0
667	177	ExcA	2.089e-01	0
668	172	ExcA	1.611e-01	0
669	178	ExcA	2.977e-01	0
670	66	TrbK_RP4	6.468e-01	0
671	69	TrbK_RP4	2.179e-01	0
672	62	TrbK_RP4	8.738e-01	0
673	395	TrbK_RP4	1.350e-10	1
674	144	TraS	4.202e-02	0
675	117	Eex_IncN	1.109e-01	0
676	529			0
677	191	TraS	1.975e-01	0
678	194	TraS	2.297e-01	0
679	179	TraS	2.245e-01	0
680	179	TraS	1.099e-01	0
681	112	ExcA	4.030e-01	0
682	473	ExcA	9.900e-01	0
683	42	Eex_IncN	2.372e+00	0
684	62	ExcA	1.476e+00	0
685	257	Eex_IncN	1.151e+00	0
686	109	TrbK_RP4	7.295e-01	0
687	59	TrbK_RP4	3.329e-01	0
688	63	TrbK_RP4	2.140e+00	0
689	153	Eex_IncN	1.062e+00	0
690	153	Eex_IncN	1.178e+00	0
691	153	Eex_IncN	1.370e+00	0
692	153	Eex_IncN	1.745e+00	0
693	153	Eex_IncN	1.795e+00	0
694	176	Eex_IncN	5.925e-01	0
695	176	Eex_IncN	5.955e-01	0
696	176	Eex_IncN	6.315e-01	0
697	178	Eex_IncN	6.538e-01	0
698	178	Eex_IncN	4.079e-01	0
699	178	Eex_IncN	1.078e+00	0
700	178	Eex_IncN	6.864e-01	0
701	176	Eex_IncN	1.081e+00	0
702	177	Eex_IncN	8.052e-01	0
703	177	Eex_IncN	9.877e-01	0
704	177	Eex_IncN	1.878e+00	0
705	177	Eex_IncN	7.534e-01	0
706	176	Eex_IncN	8.585e-01	0
707	178	Eex_IncN	4.618e-01	0
708	176	Eex_IncN	5.897e-01	0
709	177	Eex_IncN	3.995e-01	0
710	79	Eex_IncN	2.327e+00	0
711	262	Eex_IncN	3.633e-01	0
712	261	Eex_IncN	5.489e-01	0
713	436	ExcA	5.951e-02	0
714	436	ExcA	1.290e-01	0
715	114	ExcA	9.406e-02	0
716	114	ExcA	1.161e-01	0
717	117	ExcA	1.998e-02	1
718	114	ExcA	8.875e-02	0
719	114	ExcA	1.220e-01	0
720	114	ExcA	1.178e-01	0
721	114	ExcA	1.699e-01	0
722	534	TrbK_RP4	3.913e-26	1
