rank	cond_mi_bits	n_plasmids	family	is_positive_control
94	0.024621	511	NZ_CP149488.1#120	0
95	0.024229	985	NZ_CP012501.1#263	0
96	0.024084	508	NZ_CP149488.1#122	0
97	0.02403	99	NZ_CP141902.1#99	0
98	0.023994	445	NZ_CP149488.1#114	0
99	0.023786	444	CP031369.2#169	0
100	0.023771	448	NZ_CP149488.1#118	0
101	0.023714	445	NZ_CP149488.1#112	0
102	0.023656	451	NZ_CP149488.1#117	0
103	0.023551	1654	NZ_CP134367.1#126	0
104	0.023343	394	NZ_OZ040540.1#12	0
105	0.023316	529	NZ_CP129220.1#90	0
106	0.023085	503	NC_012944.1#3	0
107	0.023025	836	NZ_LR740777.2#39	0
108	0.022926	446	NZ_CP149488.1#115	0
109	0.022729	496	NZ_CP149488.1#123	0
110	0.022633	510	NZ_CP149488.1#129	0
111	0.022616	506	NZ_CP056426.1#101	0
112	0.022584	502	NZ_OP378634.1#70	0
113	0.022584	502	NZ_CP149488.1#124	0
114	0.022507	533	OW969593.1#38	0
115	0.022267	500	NZ_CP149488.1#126	0
116	0.022047	1623	CP034254.1#44	0
117	0.021822	481	NZ_CP149488.1#121	0
118	0.021804	458	NZ_CP134354.1#179	0
119	0.021778	2791	NZ_CP156937.1#6	0
120	0.021635	417	NZ_CP065437.1#116	0
121	0.021477	1315	NZ_CP020057.1#14	0
122	0.021443	1236	NZ_KP056256.1#43	0
123	0.021307	1124	NZ_CP025006.1#111	0
124	0.021113	1403	NZ_KY706108.1#105	0
125	0.021103	1932	NZ_CP049189.1#370	0
126	0.02103	1807	NZ_CP022118.1#11	0
127	0.020811	1240	NZ_CP083867.1#208	0
128	0.020772	724	NZ_CP149488.1#53	0
129	0.020746	350	NZ_CP110949.1#33	0
130	0.02072	953	NZ_CP103064.1#49	0
131	0.020703	1804	NZ_MZ836807.1#287	0
132	0.020687	879	CP098976.1#105	0
133	0.020637	1386	NZ_CP024258.1#65	0
134	0.020605	1124	NZ_MT810353.1#128	0
135	0.020474	181	NZ_LR890485.1#84	0
136	0.020397	1179	OW967191.1#65	0
137	0.020369	252	NZ_CP089769.1#50	0
138	0.020362	182	NZ_LR890485.1#83	0
139	0.020096	1123	NZ_MH179305.1#115	0
140	0.020095	416	CP115334.1#71	0
141	0.020074	1033	NZ_CP034137.1#23	0
142	0.019972	1177	NZ_CP050250.1#149	0
143	0.019883	147	NZ_CP096188.1#8	0
144	0.019851	141	AP027847.1#96	0
145	0.01974	1096	NZ_KX129782.1#147	0
146	0.019715	146	NZ_CP056386.1#91	0
147	0.019705	122	NZ_LR890485.1#118	0
148	0.019604	123	NZ_LR890485.1#119	0
149	0.019578	1134	CP025516.1#104	0
150	0.019487	145	NZ_CP080100.1#141	0
151	0.019331	158	CP139232.1#112	0
152	0.019328	143	NZ_CP056386.1#88	0
153	0.019308	914	NZ_CP025402.1#101	0
154	0.019305	886	NZ_MN823999.1#170	0
155	0.019098	756	OW849518.1#67	0
156	0.019091	145	NZ_CP090395.1#33	0
157	0.018995	146	NZ_CP096188.1#10	0
158	0.018814	1883	OW968080.1#4	0
159	0.018797	144	NZ_CP056386.1#86	0
160	0.018734	400	NZ_CP149488.1#170	0
161	0.018663	315	NZ_CP010882.1#88	0
162	0.018605	1173	NZ_CP109985.1#54	0
163	0.018518	1637	CP042630.1#153	0
164	0.01846	349	NZ_CP149488.1#95	0
165	0.018368	1893	NZ_CP114774.1#100	0
166	0.018356	817	CP044394.1#21	0
167	0.018295	1257	NZ_CP117366.1#47	0
168	0.018256	1806	NZ_MK295820.1#39	0
169	0.018161	611	NZ_LC511995.1#115	0
170	0.018088	998	NZ_CP057312.1#179	0
171	0.018048	377	NZ_CP076705.1#84	0
172	0.018038	1172	NZ_CP155710.1#6	0
173	0.017927	541	CP067564.1#52	0
174	0.017917	1186	CP139232.1#38	0
175	0.017895	591	NZ_CP148747.1#10	0
176	0.017874	479	MZ690487.1#223	0
177	0.017858	418	NZ_CP145701.1#96	0
178	0.01784	487	NZ_CP128917.1#52	1
179	0.017759	671	NZ_CP149488.1#54	0
180	0.017751	462	CP070330.1#84	0
181	0.017631	296	NZ_CP070599.1#11	0
182	0.017554	807	CP044394.1#32	0
183	0.017509	722	NZ_CP018992.1#92	0
184	0.017461	1124	NZ_CP155645.1#91	0
185	0.017427	92	NZ_CP145711.1#95	0
186	0.017348	730	NZ_AP025010.1#63	0
187	0.017274	587	NZ_CP149488.1#55	0
188	0.017263	182	CP139232.1#115	0
189	0.017254	723	NZ_OR724976.1#112	0
190	0.017225	593	NZ_CP048352.1#56	0
191	0.017171	724	NZ_AP028319.1#177	0
192	0.017167	658	NZ_ON784343.1#17	0
193	0.017019	103	NZ_CP099261.1#167	0
194	0.016942	1641	NZ_CP063484.1#44	0
195	0.016846	1248	NZ_CP051658.1#38	0
196	0.016846	1415	NZ_MF353155.1#104	0
197	0.016828	148	NZ_CP132715.1#127	0
198	0.016772	688	LC623933.1#120	0
199	0.016757	616	NZ_CP109987.1#11	0
200	0.016736	106	CP139232.1#118	0
201	0.016715	647	CP054450.1#195	0
202	0.016564	140	CP061266.1#138	0
203	0.016484	353	NZ_CP104607.1#55	0
204	0.016469	125	NZ_OP378619.1#15	0
205	0.016456	708	NZ_MN240794.1#334	0
206	0.016448	123	CP139232.1#116	0
207	0.016446	28	NZ_CP120558.1#77	0
208	0.016414	496	NZ_OR724976.1#116	0
209	0.016217	297	NZ_CP104607.1#71	0
210	0.016207	174	NZ_CP133279.1#206	0
211	0.0162	219	AP023267.1#46	0
212	0.016159	392	NZ_CP149488.1#172	0
213	0.016047	1227	CP088405.1#24	0
214	0.016015	670	NZ_CP047337.1#155	0
215	0.015985	1188	CP120235.2#250	0
216	0.015968	746	NZ_CP083867.1#19	0
217	0.015916	326	AP027847.1#102	0
218	0.015855	719	CP123681.1#162	0
219	0.015586	1235	NZ_CP022697.1#56	0
220	0.015526	353	NZ_CP115325.1#89	0
221	0.015518	1180	CP139232.1#55	0
222	0.015508	932	NZ_CP063860.1#47	0
223	0.015397	1796	NZ_MG656414.1#225	0
224	0.015344	1655	NZ_CP027545.1#14	0
225	0.015256	1286	NZ_CP083634.1#9	0
226	0.015251	47	NZ_CP097229.1#364	0
227	0.015156	1304	OW969918.1#80	0
228	0.01512	943	NZ_CP129791.1#1	0
229	0.015102	732	NZ_CP145711.1#77	0
230	0.015065	813	OR902841.1#46	0
231	0.01495	965	CP101952.1#60	0
232	0.014935	1174	NZ_CP144732.1#61	0
233	0.014717	561	CP155652.1#195	0
234	0.0147	532	NZ_CP095659.1#81	0
235	0.014577	282	NZ_CP078136.1#53	0
236	0.014318	712	NZ_AP028096.1#76	0
237	0.014314	1177	NZ_CP117735.1#51	0
238	0.01428	1271	NZ_CP142997.1#53	0
239	0.014169	581	NZ_MZ156798.1#279	0
240	0.014064	106	NZ_CP083484.1#33	0
241	0.013897	665	AP027847.1#75	0
242	0.013861	709	NZ_CP137921.1#194	0
243	0.013757	1303	CP067827.1#222	0
244	0.013701	183	NZ_OY757124.1#63	0
245	0.013623	1217	NZ_CP047380.1#144	0
246	0.013553	101	CP052436.1#96	0
247	0.013523	1015	NZ_CP063481.1#5	0
248	0.013507	1516	NZ_CP121221.1#53	0
249	0.01345	1263	CP035637.1#69	0
250	0.01344	684	NZ_CP022118.1#386	0
251	0.013411	1637	NZ_CP051335.1#25	0
252	0.013347	59	CP056847.1#150	0
253	0.013342	666	CP056847.1#67	0
254	0.013179	713	NZ_LR740760.1#21	0
255	0.013131	455	NZ_CP012632.1#64	0
256	0.013112	184	NZ_CP023959.1#31	0
257	0.012995	877	NZ_OW970375.1#26	0
258	0.012991	32	CP043253.1#28	0
259	0.01287	644	NZ_CP128908.1#25	0
260	0.012744	242	NZ_CP106925.1#56	0
261	0.012732	302	CP139232.1#74	0
262	0.012722	935	NZ_AP025756.1#58	0
263	0.012688	274	NZ_CP122500.1#38	0
264	0.012642	162	NZ_CP056386.1#168	0
265	0.012634	940	NZ_LR890509.1#56	0
266	0.012592	179	CP061265.1#23	0
267	0.012577	1267	NZ_CP082358.1#39	0
268	0.012575	679	CP048936.1#214	0
269	0.012575	1281	CP089863.1#2	0
270	0.012565	338	AP026744.1#58	0
271	0.012546	351	NZ_LT985219.1#68	0
272	0.012521	45	NZ_OP038277.1#86	0
273	0.012503	351	NZ_CP039526.1#299	0
274	0.01246	59	NZ_MW390538.1#72	0
275	0.012431	734	NZ_CP128614.1#143	0
276	0.012354	1515	NZ_MW800637.1#93	0
277	0.012345	274	CP082383.2#21	0
278	0.01234	33	NZ_MW390528.1#0	0
279	0.012311	560	OW968140.1#148	0
280	0.012278	523	CP044390.1#13	0
281	0.012229	629	NZ_CP093855.1#350	0
282	0.012198	676	CP121101.1#114	0
283	0.012112	160	NZ_CP056386.1#171	0
284	0.012106	854	NZ_CP128591.1#19	0
285	0.012084	1189	NZ_CP071395.1#118	0
286	0.012058	1330	CP048936.1#210	0
287	0.011997	935	CP044382.1#46	0
288	0.011918	10	NZ_CP051739.1#61	0
289	0.011881	424	NZ_CP024827.1#75	0
290	0.011781	1400	NZ_LT985275.1#73	0
291	0.011716	164	NZ_CP056386.1#167	0
292	0.011641	264	NZ_CP047011.1#110	0
293	0.011635	361	NZ_MZ152093.1#29	0
294	0.011599	137	NZ_CP024876.1#25	0
295	0.011521	477	NZ_MT560062.1#48	0
296	0.011503	591	NZ_CP149488.1#89	0
297	0.011464	495	NZ_CP010372.1#127	0
298	0.011415	1160	NZ_CP070173.1#235	0
299	0.011369	11	CP058778.1#97	0
300	0.01128	1352	NZ_LR890258.1#47	0
301	0.01124	286	NZ_CP077964.1#79	0
302	0.011234	360	CP077328.1#51	0
303	0.011183	14	NZ_CP095604.1#114	0
304	0.011109	880	NZ_CP061046.1#24	0
305	0.01107	330	NC_025127.1#136	0
306	0.011061	1292	NZ_CP023733.1#75	0
307	0.010884	13	NZ_CP148350.1#68	0
308	0.010881	289	NZ_CP076735.1#211	0
309	0.010875	337	NZ_CP149488.1#98	0
310	0.01083	1823	CP075023.1#30	0
311	0.010802	389	NZ_CP120634.1#15	0
312	0.01078	1389	NZ_CP115325.1#51	0
313	0.010779	41	NZ_CP140294.1#35	0
314	0.010744	809	CP068028.1#106	0
315	0.01074	41	NZ_CP097229.1#291	0
316	0.010736	891	NZ_CP063946.1#207	0
317	0.010724	403	NZ_CP118040.1#39	0
318	0.010709	986	NZ_KY271406.1#86	0
319	0.010709	410	NZ_CP090062.1#167	0
320	0.010677	410	NZ_CP085198.1#65	0
321	0.010633	623	CP099214.1#61	0
322	0.010611	66	NZ_MK192097.1#179	0
323	0.010592	517	NZ_CP063295.1#76	0
324	0.010591	277	NZ_CP057312.1#99	0
325	0.01055	135	NZ_CP056386.1#164	0
326	0.010505	1131	NZ_CP021843.1#1	0
327	0.010498	755	NZ_OV753635.1#200	0
328	0.010454	154	NZ_CP056386.1#163	0
329	0.01045	716	NZ_CP123952.1#162	0
330	0.010435	21	CP099060.1#111	0
331	0.010423	511	NZ_CP132064.1#132	0
332	0.010423	189	NZ_CP107179.1#97	0
333	0.010392	271	NZ_CP122645.1#2	0
334	0.010385	288	NZ_CP076735.1#212	0
335	0.010357	109	NZ_CP133748.1#321	0
336	0.01035	1161	MZ690482.1#183	0
337	0.010268	440	NZ_CP093853.1#360	0
338	0.010254	1192	OW967997.1#112	0
339	0.010229	1663	NZ_CP091666.1#60	0
340	0.010226	1409	NZ_CP115325.1#40	0
341	0.010208	13	MZ690486.1#32	0
342	0.010203	813	CP061266.1#64	0
343	0.010192	265	CP057398.1#91	0
344	0.010181	897	NZ_CP135466.1#57	0
345	0.010176	747	NZ_CP095633.1#269	0
346	0.010166	802	NZ_CP047635.1#66	0
347	0.010139	332	NZ_CP148332.1#43	0
348	0.010136	1556	CP054336.1#108	0
349	0.010094	17	NZ_CP011417.1#96	0
350	0.010053	212	CP139232.1#77	0
351	0.010041	1101	NZ_CP148468.1#8	0
352	0.010039	11	CP044394.1#181	0
353	0.010003	981	NZ_CP154430.1#48	0
354	0.009898	1517	NZ_CP026589.1#35	0
355	0.00986	1192	CP044369.1#13	0
356	0.009858	1179	NZ_CP021946.1#75	0
357	0.009857	19	NZ_OP378626.1#64	0
358	0.009855	976	NZ_CP058119.1#242	0
359	0.009845	464	CP060651.1#124	0
360	0.009832	15	CP061263.1#10	0
361	0.009816	75	NZ_CP128908.1#17	0
362	0.009797	449	NZ_CP063481.1#88	0
363	0.009736	157	NZ_CP056386.1#166	0
364	0.009731	299	NZ_CP154420.1#73	0
365	0.009723	110	NZ_CP106839.1#130	0
366	0.009708	344	NZ_CP095606.1#68	0
367	0.009688	77	NZ_CP050380.1#219	0
368	0.009649	595	NZ_CP095084.1#126	0
369	0.009633	1019	CP075145.1#73	0
370	0.009597	467	CP011634.1#201	0
371	0.009569	10	CP148558.1#161	0
372	0.009568	176	NZ_CP154420.1#169	0
373	0.00953	93	CP154636.1#126	0
374	0.009501	372	NZ_CP126816.1#113	0
375	0.009498	373	NZ_CP056351.1#181	0
376	0.009492	17	CP059945.1#95	0
377	0.009476	7	CP044391.1#98	0
378	0.009449	272	LC744503.1#62	0
379	0.009443	16	NZ_CP010239.1#143	0
380	0.009431	76	NZ_CP090618.1#138	0
381	0.009387	347	NZ_MH909331.1#263	0
382	0.00937	180	NZ_CP096181.1#26	0
383	0.009328	924	NZ_CP066535.1#22	0
384	0.009302	1291	NZ_OW968292.1#7	0
385	0.009288	894	NZ_CP068510.1#243	0
386	0.009243	426	NZ_CP133921.1#123	0
387	0.009225	1379	NZ_CP117655.1#118	0
388	0.009222	13	NZ_CP154294.1#12	0
389	0.009195	396	NZ_CP137921.1#170	0
390	0.009188	108	NZ_CP148291.1#58	0
391	0.009179	902	NZ_CP135466.1#62	0
392	0.009159	1035	CP052261.1#20	0
393	0.009155	157	NZ_CP122463.1#154	0
394	0.009132	639	NZ_CP047345.1#76	0
395	0.009107	7	CP082329.1#109	0
396	0.009082	12	CP008701.1#172	0
397	0.009008	315	NZ_CP067058.1#59	0
398	0.008957	1193	NZ_CP141571.1#109	0
399	0.00894	269	NZ_CP103368.1#367	0
400	0.008892	1307	NZ_AP024688.1#91	0
401	0.00887	26	NZ_KX710093.1#150	0
402	0.008847	610	NZ_CP148484.1#45	0
403	0.008845	73	NZ_CP122918.1#22	0
404	0.008832	269	NZ_KY270852.1#155	0
405	0.008813	11	NZ_CP100079.1#4	0
406	0.008761	15	CP054318.1#33	0
407	0.008749	103	NZ_CP138780.1#256	0
408	0.008728	103	NZ_MF156714.1#100	0
409	0.008709	210	NZ_CP053298.1#126	0
410	0.008708	803	NZ_CP026058.1#78	0
411	0.008706	172	CP121101.1#103	0
412	0.008696	129	NZ_LR890344.1#170	0
413	0.008666	436	NZ_CP134354.1#189	0
414	0.008637	8	NZ_CP095449.1#68	0
415	0.008631	448	NZ_CP100690.1#163	0
416	0.008619	432	NZ_CP076735.1#77	0
417	0.008558	80	NZ_CP056386.1#169	0
418	0.008503	74	CP128716.1#171	0
419	0.008485	729	NZ_CP154420.1#126	0
420	0.008464	924	NZ_CP135466.1#68	0
421	0.008454	74	CP056987.1#76	0
422	0.00844	12	MN956836.1#487	0
423	0.008395	1125	NZ_CP032832.1#368	0
424	0.008385	674	NZ_CP129695.1#205	0
425	0.008378	320	NZ_CP063946.1#165	0
426	0.00837	319	NZ_CP146586.1#33	0
427	0.008366	17	NZ_CP095449.1#108	0
428	0.008211	24	NZ_CP025329.1#218	0
429	0.008174	361	MN868654.1#149	0
430	0.008153	309	NZ_KY271406.1#11	0
431	0.008143	323	CP139232.1#19	0
432	0.008143	811	MN661402.1#118	0
433	0.008136	8	NZ_OP378644.1#198	0
434	0.008103	154	NZ_AP025755.1#4	0
435	0.008078	22	NZ_CP147592.1#135	0
436	0.008077	9	CP133155.1#97	0
437	0.008076	900	NZ_MT815555.1#108	0
438	0.008054	23	CP059926.1#9	0
439	0.008053	740	NZ_OQ658822.1#151	0
440	0.008042	685	NZ_CP090449.1#81	0
441	0.008032	213	AP019385.1#233	0
442	0.008031	95	NZ_CP082281.1#256	0
443	0.00801	191	NZ_CP122645.1#246	0
444	0.008001	208	NZ_CP118040.1#95	0
445	0.007995	345	NZ_CP137125.1#12	0
446	0.007975	432	NZ_CP100690.1#164	0
447	0.007975	1287	CP139232.1#87	0
448	0.00797	45	NZ_CP054364.1#65	0
449	0.007968	15	LR890477.1#317	0
450	0.007954	77	NZ_CP058962.1#3	0
451	0.007943	204	NZ_CP118040.1#97	0
452	0.007931	46	NZ_AP027171.1#82	0
453	0.007908	367	NZ_CP011417.1#219	0
454	0.007902	230	CP090301.1#40	0
455	0.007899	351	NZ_AP023228.1#0	0
456	0.007885	43	CP056847.1#152	0
457	0.007859	15	CP044377.1#233	0
458	0.007852	6	NZ_CP092760.1#164	0
459	0.007852	6	NZ_CP051274.1#12	0
460	0.007835	346	NZ_CP017721.1#220	0
461	0.007826	345	AP027468.1#292	0
462	0.007823	6	NZ_CP115931.1#124	0
463	0.007803	38	NZ_CP090197.1#12	0
464	0.00779	57	NZ_PP024954.1#104	0
465	0.00776	76	NZ_OV753988.1#62	0
466	0.007758	395	NZ_CP072323.1#128	0
467	0.007756	329	NZ_CP137921.1#53	0
468	0.007751	591	NZ_CP083878.1#150	0
469	0.007737	205	NZ_CP118040.1#96	0
470	0.00773	6	CP096599.1#288	0
471	0.007729	11	CP044347.1#55	0
472	0.00769	12	LC613146.1#112	0
473	0.007684	923	NZ_CP103698.1#20	0
474	0.007677	368	CP095455.1#175	0
475	0.007664	455	NZ_CP082128.1#129	0
476	0.007659	532	NZ_CP134354.1#134	0
477	0.007652	11	NZ_CP110959.1#76	0
478	0.007652	7	NZ_CP055014.1#5	0
479	0.007637	12	CP052288.1#34	0
480	0.00763	356	NZ_MF918373.1#40	0
481	0.00763	7	NZ_CP092760.1#155	0
482	0.007623	428	NZ_CP134354.1#190	0
483	0.007592	380	NZ_CP134354.1#197	0
484	0.007592	6	MZ690487.1#228	0
485	0.007583	242	NZ_CP079885.1#20	0
486	0.007572	876	NZ_CP047634.1#17	0
487	0.007549	183	NZ_CP042868.1#78	0
488	0.007527	21	CP121101.1#216	0
489	0.007488	448	LR890263.1#82	0
490	0.007485	311	NZ_CP136251.1#124	0
491	0.007473	1186	OW967784.1#83	0
492	0.007473	18	CP061263.1#5	0
493	0.007447	6	OW969948.1#126	0
494	0.00743	168	NZ_MW218143.1#11	0
495	0.007422	859	NZ_CP135466.1#56	0
496	0.007417	1169	LC763831.1#7	0
497	0.007411	9	MZ690483.1#57	0
498	0.007407	241	NZ_PP024953.1#228	0
499	0.007401	9	CP042601.1#47	0
500	0.00738	56	NZ_MK262712.1#106	0
501	0.00738	35	NZ_CP151189.1#185	0
502	0.00738	56	NZ_CP073378.1#310	0
503	0.00738	44	CP119184.1#77	0
504	0.007365	564	NZ_MW307890.1#59	0
505	0.007352	787	OW968252.1#8	0
506	0.007296	330	NZ_PP024954.1#75	0
507	0.007284	141	NZ_CP035838.1#105	0
508	0.007283	268	NZ_CP132064.1#7	0
509	0.007266	594	CP139232.1#131	0
510	0.007264	5	MN868654.1#15	0
511	0.007243	374	NC_022333.1#194	0
512	0.007218	916	NC_023332.1#78	0
513	0.007215	11	NZ_CP097687.1#69	0
514	0.007196	168	CP146579.1#192	0
515	0.007175	683	CP061265.1#11	0
516	0.007158	11	CP113982.1#65	0
517	0.007152	12	CP114754.1#78	0
518	0.007065	175	OW967540.1#88	0
519	0.007059	290	NZ_CP047635.1#101	0
520	0.007053	453	CP061237.1#61	0
521	0.007052	495	CP053334.1#48	0
522	0.007005	89	NZ_CP062874.1#14	0
523	0.006978	9	CP083532.1#192	0
524	0.006949	7	NZ_CP100079.1#29	0
525	0.006911	250	NZ_CP055884.1#122	0
526	0.006904	7	CP067544.1#135	0
527	0.006896	10	CP082328.1#14	0
528	0.006894	610	CP142586.1#53	0
529	0.006885	316	CP139232.1#12	0
530	0.006884	522	NZ_CP010214.1#34	0
531	0.006846	594	NZ_CP098235.1#64	0
532	0.006825	7	NZ_CP093857.1#314	0
533	0.006824	328	NZ_CP033091.2#93	0
534	0.00681	437	NZ_CP109847.1#5	0
535	0.006805	143	CP057124.1#74	0
536	0.006787	498	NZ_CP017473.1#72	0
537	0.006779	970	NZ_CP010393.1#87	0
538	0.00676	120	CP146579.1#205	0
539	0.006731	8	CP044382.1#149	0
540	0.006731	6	MN868654.1#72	0
541	0.006726	248	NZ_OK287926.1#66	0
542	0.006725	34	LC744471.1#138	0
543	0.006719	579	NZ_CP091025.1#1	0
544	0.006689	375	NZ_CP134354.1#199	0
545	0.006592	75	NZ_CP021249.1#63	0
546	0.006591	80	CP137925.1#84	0
547	0.006578	714	OY856297.1#2	0
548	0.00655	13	LR890662.1#24	0
549	0.006542	461	CP139232.1#127	0
550	0.006526	77	NZ_CP122645.1#219	0
551	0.0065	301	NZ_MZ156797.1#2	0
552	0.006481	252	NZ_MW495061.1#5	0
553	0.006481	6	CP024249.1#45	0
554	0.006478	246	NZ_OR724976.1#201	0
555	0.006477	520	NZ_CP102632.1#151	0
556	0.006475	367	NZ_CP134354.1#194	0
557	0.00647	248	NZ_CP128591.1#161	0
558	0.006441	225	MF116002.1#146	0
559	0.006437	180	NZ_CP139804.1#12	0
560	0.006423	7	CP042639.1#205	0
561	0.006422	17	CP090276.1#71	0
562	0.006392	12	NZ_CP092760.1#146	0
563	0.006379	6	NZ_CP100079.1#41	0
564	0.006373	764	AP027847.1#181	0
565	0.006373	14	CP091399.1#113	0
566	0.00636	534	NZ_CP096283.1#84	0
567	0.006356	680	NZ_CP097420.1#88	0
568	0.006337	71	CP042621.1#91	0
569	0.006323	157	LR134252.1#130	0
570	0.006312	420	NZ_CP122705.1#13	0
571	0.006302	207	NZ_CP053282.1#35	0
572	0.006296	11	NZ_CP133748.1#127	0
573	0.006293	208	NZ_MT232840.1#302	0
574	0.00629	542	NZ_CP074358.1#44	0
575	0.00628	84	CP067599.1#161	0
576	0.00628	138	NZ_CP139804.1#100	0
577	0.006276	308	NZ_CP046117.1#12	0
578	0.006223	182	NZ_CP092400.1#101	0
579	0.006215	1292	CP139232.1#58	0
580	0.006201	297	NZ_CP128614.1#111	0
581	0.006197	376	NZ_CP083889.1#0	0
582	0.00619	371	NZ_CP057230.1#127	0
583	0.006185	7	CP044382.1#167	0
584	0.006177	13	LR134219.1#136	0
585	0.006147	14	MZ690487.1#97	0
586	0.006131	44	NZ_CP133748.1#245	0
587	0.006131	379	NZ_CP132064.1#72	0
588	0.006092	504	NZ_AP027627.1#50	0
589	0.006088	6	NZ_CP041303.1#81	0
590	0.006084	14	NZ_CP083867.1#234	0
591	0.006077	935	CP042616.1#39	0
592	0.006072	383	NZ_CP137921.1#65	0
593	0.006056	9	NZ_CP056855.1#121	0
594	0.006054	481	NZ_CP040029.1#56	0
595	0.006053	11	NZ_CP066888.1#0	0
596	0.006051	614	NZ_CP133748.1#284	0
597	0.006051	197	NZ_CP134354.1#39	0
598	0.006035	262	NZ_CP102547.1#59	0
599	0.006032	935	LR890282.1#49	0
600	0.00603	336	NZ_CP102245.1#61	0
601	0.00602	554	CP027765.1#9	0
602	0.00602	10	LC746220.1#98	0
603	0.006012	12	CP018675.1#185	0
604	0.006003	758	NZ_CP149488.1#6	0
605	0.005995	351	NZ_CP055013.1#111	0
606	0.005994	5	NZ_CP063154.1#84	0
