seed	gene	product	aa	start	end	strand	n_families	families
R100	qacEdelta1	putative ethidium bromide resistant protein	115	13025	13372	-1	1	Multi_Drug_Res(PF00893):117.6
R100	aadA1	streptomycin adenyltransferase	336	13536	14546	-1	3	AadA_C(PF13427):118.7;Polbeta(PF18765):31.3;NTP_transf_2(PF01909):26.8
R100	intR	integrase for In2	337	14476	15489	1	2	Phage_integrase(PF00589):168.3;Phage_int_SAM_4(PF13495):97.6
R100	tnpM	Tn21 modulator protein	116	15692	16042	1	2	DUF3330(PF11809):129.8;EAL(PF00563):37.9
R100	tnpR	resolvase for Tn21	186	16168	16728	1	2	Resolvase(PF00239):129.3;HTH_7(PF02796):56.7
R100	tnpA	transposase for Tn21	988	16731	19697	1	2	DDE_Tnp_Tn3(PF01526):528.3;DUF4158(PF13700):192.4
R100	ybjA		125	19764	20141	1	2	Acetyltransf_1(PF00583):41.0;Acetyltransf_7(PF13508):31.0
R100	cat	chloramphenycol acetyltransferase	219	20342	21001	-1	1	CAT(PF00302):382.6
R100	insA	IS1 transposition protein	91	21280	21555	1	2	HTH_Tnp_IS1(PF12759):104.8;Zn_ribbon_InsA(PF03811):75.3
R100	insB	IS1 transposition protein	167	21474	21977	1	1	DDE_Tnp_IS1(PF03400):261.3
R100	ycdA		78	23523	23759	-1	0	
R100	ycdB		93	23788	24069	1	0	
R100	stbB	plasmid stable inheritance protein	117	24192	24545	-1	1	Plasmid_stab_B(PF10784):104.5
R100	stbA	plasmid stable inheritance protein	320	24545	25507	-1	3	StbA_N(PF06406):270.8;ParM_N(PF21523):242.3;MreB-like_C(PF21522):30.6
R100	ycgA		215	26060	26707	1	1	N6_N4_Mtase(PF01555):140.2
R100	ycgB		144	26943	27377	1	1	DUF1380(PF07128):167.6
R100	ychA		275	27377	28204	1	2	YubG_N(PF30111):208.3;YubG_C(PF30110):194.6
R100	yciA		190	28077	28649	1	0	
R100	yciB		141	28622	29047	1	1	Antirestrict(PF03230):91.9
R100	ycjA		140	29094	29516	1	0	
R100	ycjB		117	29568	29921	1	0	
R100	ydaA		83	30084	30335	1	0	
R100	ydaB		76	30761	30991	1	0	
R100	ydbA		453	31043	32404	1	1	DUF3560(PF12083):125.4
R100	ydcA		187	32451	33014	1	1	MTS(PF05175):32.3
R100	yddA		155	33100	33567	-1	0	
R100	ssb	single strand DNA binding protein	188	33830	34396	1	1	SSB(PF00436):129.5
R100	ydeA		79	34448	34687	1	1	DUF905(PF06006):114.4
R100	ydeB		473	34748	36169	1	2	ParB_N(PF02195):67.5;HTH_ParB(PF17762):29.9
R100	ydgA	transposase of Tn10	402	36239	37447	1	1	DDE_Tnp_1(PF01609):87.3
R100	ydhA		401	37813	39018	-1	1	Glt_symporter(PF03616):546.7
R100	ydjA		106	39462	39782	1	1	ABM(PF03992):58.8
R100	ydjB		162	39673	40161	1	0	
R100	yeaA		228	40169	40855	1	2	HTH_5(PF01022):34.6;HTH_20(PF12840):31.1
R100	tetR	repressor of tet operon	207	40833	41456	-1	2	TetR_C_1(PF02909):105.0;TetR_N(PF00440):49.9
R100	tetA	tetracycline resistance protein	401	41538	42743	1	2	MFS_1(PF07690):183.7;Sugar_tr(PF00083):29.0
R100	tetC		222	42856	43524	-1	1	TetR_N(PF00440):53.6
R100	tetD		138	43537	43953	1	2	HTH_18(PF12833):76.5;HTH_AraC(PF00165):70.5
R100	yedA	transposase of Tn10	402	43963	45171	-1	1	DDE_Tnp_1(PF01609):87.3
R100	yefA		191	45293	45868	1	0	
R100	psiB	plasmid SOS inhibition protein	144	45937	46371	1	1	PsiB(PF06290):212.0
R100	psiA	plasmid SOS inhibition protein	239	46368	47087	1	1	PsiA(PF06952):327.3
R100	mok	modulator of Hok protein	70	47309	47521	1	1	DUF5431(PF17496):140.0
R100	hok	post-segregation killing protein	52	47367	47525	1	1	HOK_GEF(PF01848):76.5
R100	yehA		125	47763	48140	-1	0	
R100	yeiA		98	48440	48736	1	0	
R100	32		273	48847	49668	1	1	DUF932(PF06067):179.2
R100	X		169	49965	50474	-1	1	SLT(PF01464):78.2
R100	traM		127	50890	51273	1	1	Tra_M(PF05261):156.3
R100	traJ	positive rugulator of tra operon	223	51467	52138	1	1	TraJ(PF27685):49.2
R100	traY	component of oriT-specific nickase	75	52275	52502	1	1	TraY(PF05509):77.6
R100	traA	prepropilin	119	52535	52894	1	1	TraA(PF05513):201.2
R100	traL		103	52909	53220	1	1	TraL(PF07178):104.2
R100	traE		188	53242	53808	1	1	TraE(PF05309):174.3
R100	traK		242	53795	54523	1	2	TraK_C(PF23536):80.0;TraK_N(PF06586):56.3
R100	traB		483	54523	55974	1	1	TrbI(PF03743):94.2
R100	traP		195	55943	56530	1	1	TraP(PF07296):269.6
R100	trbD		122	56469	56837	1	1	DUF2689(PF10894):44.1
R100	traV		171	56834	57349	1	1	TraV(PF09676):78.4
R100	traR		73	57484	57705	1	1	zf-dskA_traR(PF01258):51.0
R100	yfhA		137	57698	58111	1	0	
R100	yfiA		157	58104	58577	1	0	
R100	yfiB		72	58657	58875	1	0	
R100	yfiC		115	58903	59250	1	0	
R100	traC		876	59376	62006	1	4	TraC_F_IV(PF11130):304.1;P-loop_TraG(PF19044):97.1;DUF87(PF01935):28.0;TrwB_AAD_bind(PF10412):21.8
R100	trbI		128	62003	62389	1	1	TrbI_Ftype(PF09677):119.8
R100	traW		210	62386	63018	1	1	TraW_N(PF12477):44.8
R100	traU		330	63015	64007	1	1	TraU(PF06834):369.5
R100	ygeA		103	64031	64342	1	0	
R100	trbC		212	64351	64989	1	1	TrbC_Ftype(PF09673):68.6
R100	traN		300	64986	65888	1	0	
R100	traZ		311	65901	66836	1	1	F_T4SS_TraN(PF06986):269.1
R100	trbE		86	66860	67120	1	1	TrbE(PF11100):56.6
R100	traF		253	67095	67856	1	1	TraF(PF13728):234.3
R100	trbA		114	67870	68214	1	1	Conjugal_tfr_repressor_TrbA(PF27686):118.2
R100	traQ	possible cleavage protein of preproplin	94	68333	68617	1	1	TraQ(PF09679):137.4
R100	trbB		181	68604	69149	1	2	TraF(PF13728):44.4;Thioredoxin_2(PF13098):27.0
R100	trbJ		115	69079	69426	1	0	
R100	trbF		141	69374	69799	1	1	Plasmid_mob_TrbF(PF27688):182.3
R100	traH		460	69777	71159	1	1	TraH(PF06122):381.7
R100	traG		940	71156	73978	1	1	TraG_N(PF07916):374.0
R100	traS	possible surface exclusion protein	159	74000	74479	1	1	TraS(PF10624):312.7
R100	traT	surface exclusion protein	243	74528	75259	1	1	TraT(PF05818):278.9
R100	yhfA		260	75417	76199	1	0	
R100	traD		738	76250	78466	1	4	TrwB_AAD_bind(PF10412):391.2;TraD_N(PF12615):117.9;TraG-D_C(PF12696):70.3;T4SS-DNA_transf(PF02534):30.9
R100	traI	DNA helicase I	1756	78466	83736	1	7	TrwC(PF08751):268.6;TraI_C(PF07057):144.2;AAA_30(PF13604):131.6;TraI_hel_assoc_N(PF22232):124.9
R100	traX	possible pilin acetylase	248	83756	84502	1	1	TraX(PF05857):259.3
R100	yieA		286	84561	85421	1	9	Abhydrolase_1(PF00561):122.9;Hydrolase_4(PF12146):74.3;Peptidase_S15(PF02129):57.2;Peptidase_S9(PF00326):45.0
R100	finO	fertility inhibition protein	186	85524	86084	1	2	FinO_N(PF12602):129.0;ProQ(PF04352):94.6
R100	yigA		70	86213	86425	1	0	
R100	yigB		153	86669	87130	1	1	SNase(PF00565):107.1
R100	yihA		196	87423	88013	1	1	DUF2726(PF10881):77.1
R100	repA2	negative regulator of repA1 expression	84	88253	88507	1	1	RepB-RCR_reg(PF10723):102.4
R100	repA6	regulatory reading frame	24	88745	88819	1	1	RepA1_leader(PF08048):54.1
R100	repA1	replication initiation protein	285	88812	89669	1	1	IncFII_repA(PF02387):325.5
R100	repA4		128	90032	90418	1	1	Rep_assoc_RepA4(PF27691):274.8
R100	tir		217	90608	91261	1	1	Rce1-like(PF02517):62.5
R100	pemI	plasmid stable inheritance protein	85	91354	91611	1	1	MazE_antitoxin(PF04014):30.6
R100	pemK	plasmid stable inheritance protein	133	91544	91945	1	1	PemK_toxin(PF02452):100.4
R100	yjcA		436	92230	93540	1	1	GmrSD_N(PF03235):71.0
R100	insA	IS1 transposition protein	91	93569	93844	1	2	HTH_Tnp_IS1(PF12759):104.8;Zn_ribbon_InsA(PF03811):75.3
R100	insB	IS1 transposition protein	167	93763	94266	1	1	DDE_Tnp_IS1(PF03400):261.3
IncC_pVCR94	EEL44_05315	DNA cytosine methyltransferase	475	1	171829	1	1	DNA_methylase(PF00145):37.7
IncC_pVCR94	EEL44_05325	IS30-like element ISAs2 family transposase	315	1799	2746	1	2	HTH_38(PF13936):43.7;HTH_23(PF13384):28.8
IncC_pVCR94	EEL44_05330	ISL3-like element ISPpu12 family transposase	443	2734	4065	-1	3	DDE_Tnp_ISL3(PF01610):226.2;Zn_ribbon_ISL3(PF14690):49.2;HTH_Tnp_ISL3(PF13542):39.5
IncC_pVCR94	EEL44_05335	lipoprotein signal peptidase	170	4087	4599	-1	1	Peptidase_A8(PF01252):143.6
IncC_pVCR94	EEL44_05340	cation transporter	298	4603	5499	-1	1	Cation_efflux(PF01545):53.2
IncC_pVCR94	cadR	Cd(II)/Pb(II)-responsive transcriptional regulator	135	5595	6002	1	3	MerR_1(PF13411):77.2;MerR-DNA-bind(PF09278):70.5;MerR(PF00376):59.5
IncC_pVCR94	EEL44_05355	hypothetical protein	87	6489	6752	1	0	
IncC_pVCR94	EEL44_05360	hypothetical protein	72	6756	6974	1	0	
IncC_pVCR94	EEL44_05365	phage head-tail adapter protein	205	7068	7685	1	1	DUF8308(PF26975):26.3
IncC_pVCR94	EEL44_05370	hypothetical protein	68	7686	7892	1	0	
IncC_pVCR94	EEL44_05375	ASCH domain-containing protein	99	7897	8196	1	0	
IncC_pVCR94	EEL44_05380	hypothetical protein	162	8288	8776	-1	0	
IncC_pVCR94	topB	DNA topoisomerase III	730	8791	10983	-1	3	Topoisom_bac(PF01131):363.2;Toprim(PF01751):50.4;Zn_ribbon_Top1(PF01396):48.5
IncC_pVCR94	EEL44_05390	hypothetical protein	77	10983	11216	-1	0	
IncC_pVCR94	EEL44_05395	hypothetical protein	205	11198	11815	-1	0	
IncC_pVCR94	EEL44_05400	conjugal transfer protein TraI	992	11982	14960	1	1	TraI_2(PF07514):297.0
IncC_pVCR94	EEL44_05405	DUF87 domain-containing protein	621	14957	16822	1	4	TraG-D_C(PF12696):52.0;TrwB_AAD_bind(PF10412):47.4;AAA_10(PF12846):33.1;DUF87(PF01935):29.8
IncC_pVCR94	EEL44_05410	hypothetical protein	194	16833	17417	1	0	
IncC_pVCR94	EEL44_05415	DUF4400 domain-containing protein	209	17374	18003	1	1	DtrJ-like(PF14348):100.2
IncC_pVCR94	EEL44_05420	hypothetical protein	148	18013	18459	1	0	
IncC_pVCR94	EEL44_05425	hypothetical protein	125	18469	18846	1	0	
IncC_pVCR94	EEL44_05430	hypothetical protein	220	18846	19508	1	0	
IncC_pVCR94	EEL44_05435	hypothetical protein	125	19832	20209	1	0	
IncC_pVCR94	EEL44_05445	pilus assembly protein	208	20631	21257	1	1	TraE(PF05309):95.3
IncC_pVCR94	EEL44_05450	conjugal transfer protein TraK	305	21241	22158	1	1	TraK_C(PF23536):35.8
IncC_pVCR94	EEL44_05455	conjugal transfer protein TraB	438	22155	23471	1	1	TrbI(PF03743):135.0
IncC_pVCR94	traV	type IV conjugative transfer system protein TraV	192	23468	24046	1	1	TraV(PF09676):100.2
IncC_pVCR94	EEL44_05465	conjugal transfer protein TraA	130	24050	24442	1	0	
IncC_pVCR94	EEL44_05470	DUF4165 domain-containing protein	1843	24643	30174	1	5	Big_3_3(PF13750):208.6;DUF4165(PF13752):195.3;Big_3_2(PF12245):89.7;PKD(PF00801):34.5
IncC_pVCR94	EEL44_05475	DsbC family protein	235	30323	31030	1	1	DsbC_N(PF10411):45.9
IncC_pVCR94	traC	type IV secretion system protein TraC	815	31027	33474	1	4	TraC_F_IV(PF11130):354.2;P-loop_TraG(PF19044):128.3;AAA_10(PF12846):58.4;DUF87(PF01935):31.6
IncC_pVCR94	EEL44_05485	hypothetical protein	105	33489	33806	1	0	
IncC_pVCR94	EEL44_05490	S26 family signal peptidase	176	33803	34333	1	1	Peptidase_S26(PF10502):66.8
IncC_pVCR94	EEL44_05495	conjugal transfer protein TraW	421	34296	35561	1	1	TrbC_Ftype(PF09673):68.0
IncC_pVCR94	EEL44_05500	EAL domain-containing protein	223	35558	36229	1	1	EAL(PF00563):89.3
IncC_pVCR94	EEL44_05505	conjugal transfer protein TraU	335	36226	37233	1	1	TraU(PF06834):332.9
IncC_pVCR94	traN	conjugal transfer mating pair stabilization protein TraN	936	37337	40147	1	1	F_T4SS_TraN(PF06986):145.3
IncC_pVCR94	EEL44_05515	hypothetical protein	286	40186	41046	-1	0	
IncC_pVCR94	EEL44_05520	hypothetical protein	213	41169	41810	-1	0	
IncC_pVCR94	EEL44_05525	hypothetical protein	106	42103	42423	1	0	
IncC_pVCR94	EEL44_05530	hypothetical protein	61	42727	42912	1	0	
IncC_pVCR94	EEL44_05535	CbbQ/NirQ/NorQ/GpvN family protein	322	43131	44099	1	2	AAA_5(PF07728):58.5;CbbQ_C(PF08406):56.4
IncC_pVCR94	EEL44_05540	hypothetical protein	301	44110	45015	1	0	
IncC_pVCR94	ssb	single-stranded DNA-binding protein	176	45076	45606	1	1	SSB(PF00436):125.3
IncC_pVCR94	bet	phage recombination protein Bet	329	45701	46690	1	1	RecT(PF03837):81.0
IncC_pVCR94	EEL44_05555	endonuclease	336	46752	47762	1	1	YqaJ(PF09588):92.6
IncC_pVCR94	EEL44_05560	hypothetical protein	70	47668	47880	-1	0	
IncC_pVCR94	EEL44_05565	DUF3150 domain-containing protein	425	47962	49239	1	1	DUF3150(PF11348):304.8
IncC_pVCR94	EEL44_05570	VWA domain-containing protein	598	49324	51120	1	3	VWA(PF00092):38.6;VWA_2(PF13519):30.3;CobT(PF06213):28.5
IncC_pVCR94	EEL44_05575	DUF3085 domain-containing protein	162	51235	51723	1	1	DUF3085(PF11284):65.5
IncC_pVCR94	EEL44_05580	hypothetical protein	110	51789	52121	1	0	
IncC_pVCR94	EEL44_05585	hypothetical protein	179	52386	52925	1	0	
IncC_pVCR94	EEL44_05590	hypothetical protein	166	53006	53506	1	0	
IncC_pVCR94	EEL44_05595	DNA adenine modification methylase	294	53580	54464	1	1	N6_N4_Mtase(PF01555):33.4
IncC_pVCR94	EEL44_05600	ferredoxin	74	54530	54754	1	1	Fer2(PF00111):41.3
IncC_pVCR94	EEL44_05605	hypothetical protein	129	54816	55205	1	0	
IncC_pVCR94	EEL44_05610	hypothetical protein	148	55195	55641	1	0	
IncC_pVCR94	EEL44_05615	hypothetical protein	91	55646	55921	1	0	
IncC_pVCR94	EEL44_05620	hypothetical protein	63	55979	56170	1	0	
IncC_pVCR94	EEL44_05625	topoisomerase II	125	56215	56592	1	0	
IncC_pVCR94	EEL44_05630	hypothetical protein	114	56784	57128	1	0	
IncC_pVCR94	EEL44_05635	hypothetical protein	100	57206	57508	1	0	
IncC_pVCR94	EEL44_05640	DNA cytosine methyltransferase	541	57586	59211	1	1	DNA_methylase(PF00145):101.3
IncC_pVCR94	EEL44_05645	hypothetical protein	158	59227	59703	1	0	
IncC_pVCR94	EEL44_05650	hypothetical protein	184	59777	60331	1	0	
IncC_pVCR94	EEL44_05655	hypothetical protein	128	60564	60950	1	0	
IncC_pVCR94	EEL44_05660	phosphoadenosine phosphosulfate reductase	816	61038	63488	1	0	
IncC_pVCR94	EEL44_05665	hypothetical protein	67	63690	63893	1	0	
IncC_pVCR94	EEL44_05670	5'-deoxynucleotidase	201	63965	64570	1	2	YfbR-like(PF12917):128.3;HD_3(PF13023):48.4
IncC_pVCR94	EEL44_05675	hypothetical protein	89	64563	64832	1	0	
IncC_pVCR94	EEL44_05680	hypothetical protein	72	64846	65064	1	0	
IncC_pVCR94	EEL44_05685	pyruvate dehydrogenase	185	65138	65695	1	0	
IncC_pVCR94	EEL44_05690	NgrC	283	65770	66621	1	0	
IncC_pVCR94	EEL44_05695	hypothetical protein	128	67079	67465	1	0	
IncC_pVCR94	EEL44_05700	DNA primase	575	67643	69370	1	3	DUF7146(PF23639):73.5;Toprim_3(PF13362):65.6;Zn_Ribbon_Prim(PF08273):51.1
IncC_pVCR94	EEL44_05705	hypothetical protein	92	69357	69635	1	0	
IncC_pVCR94	EEL44_05710	permease	79	69708	69947	1	0	
IncC_pVCR94	EEL44_05715	hypothetical protein	133	70167	70568	1	1	MatP(PF06303):30.5
IncC_pVCR94	EEL44_05720	hypothetical protein	241	70682	71407	1	0	
IncC_pVCR94	EEL44_05730	MafI family immunity protein	90	75798	76070	1	0	
IncC_pVCR94	EEL44_05735	hypothetical protein	74	76075	76299	1	0	
IncC_pVCR94	EEL44_05740	hypothetical protein	111	76330	76665	1	0	
IncC_pVCR94	EEL44_05745	hypothetical protein	150	76832	77284	1	0	
IncC_pVCR94	EEL44_05750	hypothetical protein	200	77300	77902	-1	0	
IncC_pVCR94	EEL44_05755	hypothetical protein	106	78151	78471	1	0	
IncC_pVCR94	EEL44_05760	hypothetical protein	95	78490	78777	1	0	
IncC_pVCR94	EEL44_05765	hypothetical protein	178	78770	79306	1	0	
IncC_pVCR94	EEL44_05770	integrase	336	79309	80319	1	2	Phage_integrase(PF00589):104.9;Phage_int_SAM_1(PF02899):24.4
IncC_pVCR94	EEL44_05775	3'-5' exonuclease	289	80324	81193	1	1	RNase_T(PF00929):62.8
IncC_pVCR94	EEL44_05780	hypothetical protein	163	81190	81681	1	0	
IncC_pVCR94	EEL44_05785	DNA replication terminus site-binding protein	291	81998	82873	1	1	Ter(PF05472):158.3
IncC_pVCR94	EEL44_05790	DNA-binding protein	346	83026	84066	1	2	KfrA_N(PF11740):81.7;CENP-F_leu_zip(PF10473):40.2
IncC_pVCR94	EEL44_05795	hypothetical protein	92	84066	84344	1	0	
IncC_pVCR94	EEL44_05800	ATP-dependent helicase	503	84353	85864	1	5	UvrD-helicase(PF00580):60.2;AAA_19(PF13245):37.6;Viral_helicase1(PF01443):33.9;UvrD_C(PF13361):33.6
IncC_pVCR94	EEL44_05805	conjugal transfer protein TraF	346	85975	87015	1	1	TraF(PF13728):221.6
