set	id	aa	n_tm	signal	orientation_alternates
TARGET_VirB5+1	TARGET_VirB5+1|89	81	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|90	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|91	59	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|92	95	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|93	61	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|94	60	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|95	101	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|96	83	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|97	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|98	81	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|99	80	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|100	69	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|101	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|102	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|103	124	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|104	141	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|105	72	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|106	95	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|107	80	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|108	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|109	141	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|110	67	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|111	83	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|112	111	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|113	71	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|114	59	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|115	69	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|116	118	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|117	110	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|118	85	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|119	61	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|120	76	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|121	67	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|122	66	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|123	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|124	74	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|125	170	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|126	67	1	1	1
TARGET_VirB5+1	TARGET_VirB5+1|127	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|128	105	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|129	61	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|130	75	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|131	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|132	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|133	61	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|134	106	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|135	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|136	140	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|137	95	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|138	54	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|139	169	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|140	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|141	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|142	69	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|143	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|144	120	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|145	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|146	75	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|147	67	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|148	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|149	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|150	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|151	67	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|152	98	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|153	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|154	81	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|155	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|156	82	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|157	74	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|158	119	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|159	152	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|160	169	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|161	66	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|162	66	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|163	66	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|164	183	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|165	114	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|166	62	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|167	121	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|168	153	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|169	262	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|170	90	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|171	71	1	1	1
TARGET_VirB5+1	TARGET_VirB5+1|172	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|173	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|174	63	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|175	98	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|176	228	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|177	67	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|178	149	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|179	130	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|180	66	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|181	70	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|182	66	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|183	102	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|184	62	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|185	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|186	300	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|187	81	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|188	153	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|189	65	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|190	78	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|191	78	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|192	104	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|193	55	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|194	97	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|195	80	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|196	67	1	1	1
TARGET_VirB5+1	TARGET_VirB5+1|197	71	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|198	63	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|199	59	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|200	67	1	1	1
TARGET_VirB5+1	TARGET_VirB5+1|201	141	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|202	114	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|203	108	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|204	81	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|205	106	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|206	67	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|207	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|208	76	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|209	144	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|210	78	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|211	69	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|212	114	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|213	69	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|214	85	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|215	79	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|216	68	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|217	76	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|218	61	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|219	57	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|220	75	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|221	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|222	75	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|223	153	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|224	72	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|225	108	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|226	166	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|227	66	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|228	60	2	0	1
TARGET_VirB5+1	TARGET_VirB5+1|229	75	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|230	526	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|231	152	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|232	70	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|233	100	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|234	75	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|235	59	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|236	74	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|237	104	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|238	105	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|239	71	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|240	151	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|241	97	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|242	81	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|243	67	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|244	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|245	72	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|246	66	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|247	98	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|248	59	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|249	53	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|250	163	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|251	184	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|252	144	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|253	72	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|254	112	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|255	71	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|256	101	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|257	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|258	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|259	30	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|260	57	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|261	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|262	66	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|263	194	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|264	114	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|265	124	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|266	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|267	95	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|268	112	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|269	261	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|270	80	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|271	80	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|272	88	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|273	260	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|274	130	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|275	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|276	135	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|277	96	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|278	106	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|279	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|280	400	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|281	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|282	70	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|283	53	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|284	153	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|285	66	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|286	151	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|287	63	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|288	408	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|289	57	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|290	75	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|291	96	3	0	1
TARGET_VirB5+1	TARGET_VirB5+1|292	141	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|293	68	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|294	115	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|295	66	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|296	96	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|297	114	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|298	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|299	103	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|300	63	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|301	74	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|302	70	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|303	74	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|304	114	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|305	78	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|306	66	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|307	100	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|308	76	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|309	110	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|310	69	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|311	145	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|312	147	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|313	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|314	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|315	57	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|316	105	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|317	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|318	80	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|319	115	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|320	121	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|321	143	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|322	69	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|323	160	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|324	95	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|325	95	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|326	70	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|327	141	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|328	143	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|329	67	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|330	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|331	206	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|332	65	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|333	105	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|334	139	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|335	57	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|336	57	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|337	78	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|338	69	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|339	63	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|340	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|341	72	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|342	68	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|343	66	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|344	70	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|345	73	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|346	168	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|347	91	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|348	61	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|349	66	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|350	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|351	105	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|352	114	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|353	114	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|354	66	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|355	121	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|356	46	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|357	75	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|358	95	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|359	65	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|360	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|361	74	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|362	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|363	69	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|364	62	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|365	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|366	41	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|367	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|368	101	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|369	67	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|370	98	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|371	66	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|372	66	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|373	95	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|374	119	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|375	88	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|376	144	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|377	95	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|378	67	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|379	66	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|380	114	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|381	261	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|382	59	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|383	117	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|384	144	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|385	57	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|386	109	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|387	78	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|388	66	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|389	63	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|390	75	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|391	77	0	0	1
TARGET_VirB5+1	TARGET_VirB5+1|392	82	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|393	112	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|394	145	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|395	57	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|396	97	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|397	102	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|398	77	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|399	141	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|400	57	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|401	70	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|402	66	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|403	100	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|404	106	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|405	78	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|406	105	1	0	1
TARGET_VirB5+1	TARGET_VirB5+1|407	75	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|408	110	0	1	1
TARGET_VirB5+1	TARGET_VirB5+1|409	84	0	1	1
