element_id	role	gene	side	record_role	accession	route	coords	strand	protein_id	locus_tag	aa_len	aa_sha256	product	flag
IncC	positive	eexC	exclusion			MISS								NOT_FOUND
R100	positive	traG	partner	primary	AP000342.1	gene	AP000342.1:71156..73978	+	BAA78880.1		940	9cf4ff1716fdaba21745849f336de75d519df30f6adc8d0be6194de7eae1d1e0		
R100	positive	traS	exclusion	primary	AP000342.1	gene	AP000342.1:74000..74479	+	BAA78881.1		159	d54e540dd46ba81e0898297f2996ec012d80fe45015f05178e28054d2fb4fc30	possible surface exclusion protein	
R100	positive	traG	partner	crosscheck	NC_002134.1	gene	NC_002134.1:71156..73978	+	WP_001007039.1	HXF40_RS00470	940	9cf4ff1716fdaba21745849f336de75d519df30f6adc8d0be6194de7eae1d1e0	conjugal transfer mating-pair stabilization protein TraG	
R100	positive	traS	exclusion	crosscheck	NC_002134.1	product	NC_002134.1:74000..74479	+	WP_001405921.1	HXF40_RS00475	159	d54e540dd46ba81e0898297f2996ec012d80fe45015f05178e28054d2fb4fc30	conjugative transfer entry exclusion protein TraS	
R27	positive	eexA	exclusion	primary	AF250878.1	gene_regex	AF250878.1:22505..22897	+	AAF69857.1		130	1e62c0e79d127cf75dcdc69fb83813874f8ad515849b9a6086d09a4e10c683cd	orf; hypothetical protein	
R27	positive	trhG	partner	primary	AF250878.1	gene_regex	AF250878.1:113294..117283	+	AAF69966.1		1329	b6c2f78c16b955314e316b3e1d58a274efabfc510661ca5a0cb65737a5f90f48	orf; hypothetical protein	
R621a	positive	excA	exclusion	primary	AP011954.1	gene	AP011954.1:48762..49376	-	BAK64483.1		204	cb6b79a76aa892f5952cbad1f7059c2ac8279eb7b7c41c2c6d7c642e96701ff0	surface exclusion protein	
R621a	positive	traY	partner	primary	AP011954.1	gene	AP011954.1:49452..51689	-	BAK64484.1		745	9177558bfefb2b2d72c1f886f3c76556969599c17efd99d0f9d6b18a3cc8fbaf	TraY integral membrane protein	
R621a	positive	excA	exclusion	crosscheck	NC_015965.1	gene	NC_015965.1:48762..49376	-	WP_000578648.1	HXF67_RS00295	204	cb6b79a76aa892f5952cbad1f7059c2ac8279eb7b7c41c2c6d7c642e96701ff0	plasmid IncI1-type surface exclusion protein ExcA	
R621a	positive	traY	partner	crosscheck	NC_015965.1	gene	NC_015965.1:49452..51620	-	WP_000698360.1	HXF67_RS00300	722	92f517678ad95fd3a5ce7c45741b678f3757d7f1e8204021cfc6b462510c267a	IncI1-type conjugal transfer membrane protein TraY	
R64	positive	excA	exclusion	primary	AP005147.1	gene	AP005147.1:76983..77645	-	BAB91650.1	R64_p087	220	43ab07ed1f6be41652b5d2beee1bd5a91fedabf5d7b248f1fa1deee76ea5f3ca	surface exclusion protein	
R64	positive	traY	partner	primary	AP005147.1	gene	AP005147.1:77716..79953	-	BAB91652.1	R64_p089	745	4108d588a23d56fecd364ff3bd59642bdc46837c4a9eac0234694006e835e715	TraY integral membrane protein	
R64	positive	excA	exclusion	crosscheck	NC_005014.1	gene	NC_005014.1:76983..77645	-	WP_000644796.1	PLSM15973718_RS00445	220	43ab07ed1f6be41652b5d2beee1bd5a91fedabf5d7b248f1fa1deee76ea5f3ca	plasmid IncI1-type surface exclusion protein ExcA	
R64	positive	traY	partner	crosscheck	NC_005014.1	product	NC_005014.1:77716..79884	-	WP_000698354.1	PLSM15973718_RS00450	722	35167417025ebe9e7e44e0445af668583ac32861b5ef31e31c45fa4b9bb594d7	DotA/TraY family protein	
RP4	positive	trbK	exclusion	primary	BN000925.1	gene	BN000925.1:27450..27659	+	CAJ85697.1		69	23dde58dab57d3c66e099ad94fdc0b0c65ec5e3e828309ced2d50fcc32c7c64b	TrbK entry exclusion protein	
RP4	positive	trbL	partner	primary	BN000925.1	gene	BN000925.1:27666..29252	+	CAJ85698.1		528	b05af4436bbcd68cd7831b8fe9faa1d1ccff977eba915a866098fe5bd5702485	TrbL protein	
RP4	positive	trbK	exclusion	aux	CP152305.1	gene	CP152305.1:27452..27661	+	XAE35835.1	QRD23_00170	69	23dde58dab57d3c66e099ad94fdc0b0c65ec5e3e828309ced2d50fcc32c7c64b	IncPalpha-type entry exclusion lipoprotein TrbK	
RP4	positive	trbL	partner	aux	CP152305.1	gene	CP152305.1:27668..29254	+	XAE35836.1	QRD23_00175	528	b05af4436bbcd68cd7831b8fe9faa1d1ccff977eba915a866098fe5bd5702485	P-type conjugative transfer protein TrbL	
RP4	positive	trbK	exclusion	aux	NZ_PP591959.1	gene	NZ_PP591959.1:27452..27661	+	WP_011205793.1	AB3577_RS00170	69	23dde58dab57d3c66e099ad94fdc0b0c65ec5e3e828309ced2d50fcc32c7c64b	IncPalpha-type entry exclusion lipoprotein TrbK	
RP4	positive	trbL	partner	aux	NZ_PP591959.1	gene	NZ_PP591959.1:27668..29254	+	WP_011205794.1	AB3577_RS00175	528	b05af4436bbcd68cd7831b8fe9faa1d1ccff977eba915a866098fe5bd5702485	P-type conjugative transfer protein TrbL	
SXT	positive	eex	exclusion	primary	KJ817376.1	gene_regex	KJ817376.1:5856..6287	+	AKA21199.1		143	4419c74f454d7ef438362c438c6deaced1f2bb112447c8085576a8a9eb3c5e92	EexR1	
SXT	positive	traG	partner	primary	KJ817376.1	gene	KJ817376.1:6320..9889	-	AKA21200.1		1189	5098b5fd46bb82a0b4ef4dadfdddeca378e8ba7070fac1ce0cb5ef08bcf4f242	IncF plasmid conjugative transfer protein TraG	
pKM101	positive	eex	exclusion	aux	U09868.1	gene	U09868.1:6533..6760	+	AAA86454.1		75	fd988b8cd6b2e4c33a938ce55b103064a88dd68b10c9b35eba4741806d8c6956		
pKM101	positive	traD	partner	aux	U09868.1	gene	U09868.1:6776..7816	+	AAA86455.1		346	4695cb4e7b2ce75d2e7b12d3a245d2f7c9039dee207bd8fb9dcc8690c0940d26		
pKPC_UVA01	positive	trbL-like	partner	primary	CP009465.1	product	CP009465.1:21534..22508	+	AJE44582.1	LG39_00140	324	f8257e4d7d8cffadb441a76b1fea41d84855bb60c8a807c79ac51840d818bb74	conjugal transfer protein TrbL	
pKPC_UVA01	positive	trbL-like	partner	aux	CP017937.1	product	CP017937.1:21534..22508	+	APB53868.1	AGE75_27895	324	f8257e4d7d8cffadb441a76b1fea41d84855bb60c8a807c79ac51840d818bb74	conjugal transfer protein TrbL	
pKPC_UVA01	positive	trbK-like	exclusion			MISS								NOT_FOUND
