element_id	role	tier	expected_organism	source	accver	length	organism	organism_ok	is_derivative	title
pED208	positive	B	Salmonella enterica	plsdb	NZ_AF411480.1	32647		YES		Salmonella enterica subsp. enterica serovar Typhi plasmid pED208, complete sequence
pED208	positive	B	Salmonella enterica	ncbi	AF411480.1	32647	Salmonella enterica subsp. enterica serovar Typhi	YES		Salmonella typhi plasmid pED208 IncFV plasmid transfer region, complete sequence
pED208	positive	B	Salmonella enterica	ncbi	AY075109.1	850	Salmonella enterica subsp. enterica serovar Typhi	YES		Salmonella typhi plasmid pED208 X protein (X) gene, complete cds
R64	positive	A	Salmonella enterica	plsdb	NC_005014.1	120826		YES		Salmonella enterica subsp. enterica serovar Typhimurium plasmid R64, complete sequence
R64	positive	A	Salmonella enterica	ncbi	AP005147.1	120826	Salmonella enterica subsp. enterica serovar Typhimurium	YES		Salmonella enterica subsp. enterica serovar Typhimurium plasmid R64 DNA, complete sequence
R144	positive	B	NA	ncbi	PZ236463.1	598	Rhizopus delemar	unasserted		Rhizopus delemar isolate R144 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 
R144	positive	B	NA	ncbi	OP524232.1	768	Drummondita longifolia	unasserted		Drummondita longifolia isolate R144 small subunit ribosomal RNA gene, partial sequence; internal transcribed s
R144	positive	B	NA	ncbi	FO080694.2	38688	Caenorhabditis elegans	unasserted		Caenorhabditis elegans Cosmid R144, complete sequence
R144	positive	B	NA	ncbi	JQ975976.1	1347	uncultured fungus	unasserted		Uncultured fungus clone R144 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S rib
R144	positive	B	NA	ncbi	HQ649833.1	558	Macrophomina phaseolina	unasserted		Macrophomina phaseolina isolate r144 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 a
R144	positive	B	NA	ncbi	KU750269.1	1332	Parasenecio longispicus	unasserted		Parasenecio longispicus voucher R144 tRNA-Lys (trnK) gene, partial sequence; trnK-rps16 intergenic spacer, com
R144	positive	B	NA	ncbi	KU750169.1	2074	Parasenecio longispicus	unasserted		Parasenecio longispicus voucher R144 trnL-UAG-rpl32 intergenic spacer, partial sequence; Rpl32 (rpl32) gene, c
R144	positive	B	NA	ncbi	KU750596.1	2329	Parasenecio longispicus	unasserted		Parasenecio longispicus voucher R144 trnT-UGU-trnL-UAA intergenic spacer, partial sequence; tRNA-Leu (trnL-UAA
R144	positive	B	NA	ncbi	KU750490.1	2392	Parasenecio longispicus	unasserted		Parasenecio longispicus voucher R144 PsbK (psbK) gene, partial cds; psbK-psbI intergenic spacer, complete sequ
R144	positive	B	NA	ncbi	KU750379.1	1388	Parasenecio longispicus	unasserted		Parasenecio longispicus voucher R144 rps16-trnQ intergenic spacer, partial sequence; tRNA-Gln (trnQ-UUG) gene 
R144	positive	B	NA	ncbi	KU750063.1	1175	Parasenecio longispicus	unasserted		Parasenecio longispicus voucher R144 ycf3-trnS-GCU intergenic spacer, partial sequence; tRNA-Ser (trnS-GCU) ge
R144	positive	B	NA	ncbi	DQ255942.1	695	Lyssavirus rabies	unasserted		Rabies virus isolate IIL R144 transmembrane glycoprotein G gene, partial cds; G-L intergenic spacer, complete 
R621a	positive	A	Salmonella enterica	plsdb	NC_015965.1	93185		YES		Salmonella enterica subsp. enterica serovar Typhimurium plasmid R621a, complete sequence
R621a	positive	A	Salmonella enterica	ncbi	AP011954.1	93185	Salmonella enterica subsp. enterica serovar Typhimurium	YES		Salmonella enterica subsp. enterica serovar Typhimurium plasmid R621a DNA, complete sequence
pKM101	positive	C	NA	ncbi	D90147.1	1990	Escherichia coli	unasserted		Escherichia coli plasmid pKM101 mucA, mucB genes, complete cds
pKM101	positive	C	NA	ncbi	AF000361.1	2101	IncN plasmid pKM101	unasserted		IncN plasmid pKM101 TraIH (traIH) gene, partial cds, and TraJ (traJ) and TraK (traK) genes, complete cds
pKM101	positive	C	NA	ncbi	AF000360.1	1701	IncN plasmid pKM101	unasserted		IncN plasmid pKM101 IS26 (IS46) element TnpA (tnpA) gene, complete cds
pKM101	positive	C	NA	ncbi	U42978.1	824	Plasmid pKM101	unasserted		Plasmid pKM101 FlpA (fipA) gene, complete cds
pKM101	positive	C	NA	ncbi	AF236660.1	714	Escherichia coli	unasserted		Escherichia coli plasmid pKM101 TraC gene, complete cds
pKM101	positive	C	NA	ncbi	U72482.2	13833	Plasmid pKM101	unasserted		Plasmid pKM101 resolvase (uvp1), RepA protein (repA), ArdK protein (ardK), Mpr protein (mpr), MucB protein (mu
pKM101	positive	C	NA	ncbi	U09868.1	12416	Escherichia coli	unasserted		Escherichia coli pKM101 conjugation proteins (traL), (traM), (traA), (traB), (traC), (traB), (traC), (traD), (
pKM101	positive	C	NA	ncbi	GQ915613.1	1660	Escherichia coli	unasserted		Escherichia coli strain GA120 plasmid pKM101 MucA gene, complete cds; and MucB gene, partial cds
pKM101	positive	C	NA	ncbi	M13388.1	1797	Plasmid pKM101	unasserted		Plasmid pKM101 (from E.coli) mucAB operon encoding proteins functional in UV mutagenesis, complete cds
RP4	positive	B	Escherichia coli	plsdb	CP152305.1	60095		YES		Escherichia coli strain J53/RP4 plasmid pRP4, complete sequence
RP4	positive	B	Escherichia coli	ncbi	NZ_PP591959.1	60095	Escherichia coli	YES		Escherichia coli strain J53/RP4 plasmid RP4, complete sequence
RP4	positive	B	Escherichia coli	ncbi	PP591959.1	60095	Escherichia coli	YES		Escherichia coli strain J53/RP4 plasmid RP4, complete sequence
RP4	positive	B	Escherichia coli	ncbi	S37640.1	1380	Escherichia coli	YES		Escherichia coli plasmid RK2 KilBI (kilBI) gene, complete cds; and unknown gene
R388	positive	A	Escherichia coli	plsdb	NC_028464.1	33913		YES		Escherichia coli plasmid R388, complete sequence
R388	positive	A	Escherichia coli	ncbi	NG_051851.1	437	Escherichia coli	YES		Escherichia coli plasmid R388 dfrB2 gene for trimethoprim-resistant dihydrofolate reductase DfrB2, complete CD
R388	positive	A	Escherichia coli	ncbi	BR000038.1	33913	Escherichia coli	YES		TPA_inf: Escherichia coli plasmid R388 DNA, complete sequence
R388	positive	A	Escherichia coli	ncbi	U12441.2	6431	Escherichia coli	YES		Escherichia coli plasmid R388 class 1 integron In3, complete sequence
R27	positive	A	Salmonella enterica	plsdb	NC_002305.1	180461		YES		Salmonella enterica subsp. enterica serovar Typhi plasmid R27, complete sequence
R27	positive	A	Salmonella enterica	ncbi	AF250878.1	180461	Salmonella enterica subsp. enterica serovar Typhi	YES		Salmonella typhi R27 plasmid complete sequence
R27	positive	A	Salmonella enterica	ncbi	U59130.1	743	Salmonella enterica subsp. enterica serovar Typhimurium	YES		Salmonella typhimurium plasmid R27 HtdF gene, complete cds, and HtdK gene, partial cds
R27	positive	A	Salmonella enterica	ncbi	AF223162.1	9147	Salmonella enterica subsp. enterica serovar Typhi	YES	YES	Salmonella typhi plasmid R27 transposon Tn10, complete sequence
R27	positive	A	Salmonella enterica	ncbi	AF105019.1	38245	Salmonella enterica subsp. enterica serovar Typhi	YES		Salmonella typhi plasmid R27 tra2 region, complete sequence
R27	positive	A	Salmonella enterica	ncbi	AF085349.1	2400	Salmonella enterica subsp. enterica serovar Typhi	YES		Salmonella typhi plasmid R27 transfer protein TrhC (trhC) gene, complete cds
pVCR94	positive	B	Vibrio cholerae	plsdb	NZ_CP033514.1	171829		YES		Vibrio cholerae strain E4 plasmid pVCR94, complete sequence
pVCR94	positive	B	Vibrio cholerae	ncbi	CP033514.1	171829	Vibrio cholerae	YES		Vibrio cholerae strain E4 plasmid pVCR94, complete sequence
R16a	positive	A	Escherichia coli	plsdb	NZ_KX156773.1	173094		YES		Escherichia coli strain K-12 plasmid R16a, complete sequence
R16a	positive	A	Escherichia coli	ncbi	KX156773.1	173094	Escherichia coli	YES		Escherichia coli strain K-12 plasmid R16a, complete sequence
ColE1	positive	A	Escherichia coli	plsdb	NZ_CP132199.1	9292		NO		Serratia marcescens strain GES6 plasmid pSM05-colE1, complete sequence
ColE1	positive	A	Escherichia coli	plsdb	NC_001371.1	6646		YES		Escherichia coli plasmid ColE1, complete sequence
ColE1	positive	A	Escherichia coli	ncbi	J01566.1	6646	Escherichia coli	YES		Escherichia coli plasmid ColE1, complete sequence
ColE1	positive	A	Escherichia coli	ncbi	AH003522.2	230	Escherichia coli	YES	YES	Escherichia coli plasmid ColE1 transposons Tn7, complete sequence
pKPC_UVA01	positive	A	Klebsiella pneumoniae	plsdb	NZ_CP009465.1	43621		YES		Klebsiella pneumoniae strain CAV1016 plasmid pKPC_UVA01, complete sequence
pKPC_UVA01	positive	A	Klebsiella pneumoniae	plsdb	NZ_CP017937.1	43621		YES		Klebsiella pneumoniae strain CAV1016 plasmid pKPC_UVA01, complete sequence
pKPC_UVA01	positive	A	Klebsiella pneumoniae	ncbi	CP017937.1	43621	Klebsiella pneumoniae	YES		Klebsiella pneumoniae strain CAV1016 plasmid pKPC_UVA01, complete sequence
pKPC_UVA01	positive	A	Klebsiella pneumoniae	ncbi	CP009465.1	43621	Klebsiella pneumoniae	YES		Klebsiella pneumoniae strain CAV1016 plasmid pKPC_UVA01, complete sequence
SXT	positive	C	Vibrio cholerae	ncbi	KJ817376.1	104025	Vibrio cholerae O1	YES		Vibrio cholerae O1 strain ICDC-1307 SXT element, complete sequence
SXT	positive	C	Vibrio cholerae	ncbi	KC709654.1	2645	Vibrio cholerae O1 biovar El Tor	YES	YES	Vibrio cholerae O1 biovar El Tor strain IDH02301 transposon SXT IS4 family transposase gene, complete cds, and
SXT	positive	C	Vibrio cholerae	ncbi	HM015627.1	2625	Vibrio cholerae O1 biovar El Tor	YES	YES	Vibrio cholerae O1 biovar El Tor strain MCV09 transposon SXT QnrVC3 (qnrVC3) and dihydrofolate reductase (dfr6
SXT	positive	C	Vibrio cholerae	ncbi	GQ495078.1	641	Vibrio cholerae	YES	YES	Vibrio cholerae strain A880 transposon SXT element, complete sequence
SXT	positive	C	Vibrio cholerae	ncbi	GQ495077.1	641	Vibrio cholerae	YES	YES	Vibrio cholerae strain MCV08 transposon SXT element, complete sequence
SXT	positive	C	Vibrio cholerae	ncbi	GQ495076.1	641	Vibrio cholerae	YES	YES	Vibrio cholerae strain MCV09 transposon SXT element, complete sequence
SXT	positive	C	Vibrio cholerae	ncbi	GQ495075.1	1242	Vibrio cholerae	YES	YES	Vibrio cholerae strain MCV09 transposon SXT element integrase (int) gene, complete cds
SXT	positive	C	Vibrio cholerae	ncbi	AY034138.1	19997	Vibrio cholerae MO10	YES		Vibrio cholerae strain MO10 SXT element antibiotic resistance gene cluster, complete sequence
SXT	positive	C	Vibrio cholerae	ncbi	AF099172.1	1242	Vibrio cholerae	YES		Vibrio cholerae SXT element integrase (int) gene, complete cds
SXT	positive	C	Vibrio cholerae	ncbi	AB535680.1	20747	Vibrio cholerae O1 biovar El Tor	YES		Vibrio cholerae O1 biovar El Tor SXT conjugative element gene cluster, complete sequence, strain: KN14
SXT	positive	C	Vibrio cholerae	ncbi	AB450045.1	19086	Vibrio cholerae O1 biovar El Tor	YES		Vibrio cholerae O1 biovar El tor SXT conjugative element gene cluster, complete sequence, strain: HN1
R391	positive	C	Providencia rettgeri	ncbi	AY090559.1	88532	Providencia rettgeri	YES		Providencia rettgeri conjugative genomic island R391, complete sequence
ICEBs1	positive	C	Bacillus subtilis	NONE						NO CANDIDATE FOUND
