accession	mpf_class_call	entry_criterion	n_cds	n_fa_fata_profiles	n_FA	n_FATA	fa_subclass	profile_support	FA_profiles	FATA_profiles	virb4	tcpA	t4cp1	t4cp2	MOBB	MOBC	MOBF	MOBH	MOBP1	MOBP2	MOBP3	MOBQ	MOBT	MOBV	virb4_bit	relaxase_profiles	exclusion_family_hit	slot_status
AP031260.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	54	6	5	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf23	FATA_cd419a	26:22746..25193:+	21:15877..17262:+	none	none	none	none	none	none	none	none	none	none	22:17440..18645:+	32:33730..34992:+	93.8	MOBT;MOBV		no_slot_defined
AP031261.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	43	9	0	9	FATA	high		FATA_cd411;FATA_cd419a;FATA_prgC;FATA_prgF;FATA_prgHa;FATA_prgHb;FATA_prgIa;FATA_prgIb;FATA_prgIc	33:30962..33412:-	38:35093..36967:-	38:35093..36967:-	38:35093..36967:-	none	none	none	none	21:20058..22352:-	none	none	none	none	none	354.7	MOBP1		no_slot_defined
AP031269.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	59	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf19;FA_orf23	FATA_cd419a	24:17946..20393:+	19:13835..15220:+	none	none	none	none	none	none	none	6:5240..5407:+	none	none	20:15398..16603:+	none	93.8	MOBP2;MOBT		no_slot_defined
AP031279.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	43	9	0	9	FATA	high		FATA_cd411;FATA_cd419a;FATA_prgC;FATA_prgF;FATA_prgHa;FATA_prgHb;FATA_prgIa;FATA_prgIb;FATA_prgIc	10:8449..10899:-	15:12580..14454:-	15:12580..14454:-	15:12580..14454:-	none	none	none	none	42:38088..40382:-	none	none	none	none	none	354.7	MOBP1		no_slot_defined
AQPP01000018.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	70	8	0	8	FATA	high		FATA_cd411;FATA_prgF;FATA_prgHa;FATA_prgHb;FATA_prgIa;FATA_prgIb;FATA_prgIc;FATA_trsG	31:25209..27665:+	none	27:21900..23795:+	27:21900..23795:+	none	none	none	none	39:34069..36276:+	none	none	none	none	none	330.3	MOBP1		no_slot_defined
CM001862.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	70	8	0	8	FATA	high		FATA_cd411;FATA_prgF;FATA_prgHa;FATA_prgHb;FATA_prgIa;FATA_prgIb;FATA_prgIc;FATA_trsG	31:25209..27665:+	none	27:21900..23795:+	27:21900..23795:+	none	none	none	none	39:34069..36276:+	none	none	none	none	none	330.3	MOBP1		no_slot_defined
CP000475.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	289	2	0	2	FATA	minimal		FATA_cd419a;FATA_prgF	26:26518..28053:+	none	114:135301..137031:+	35:37854..39317:+	none	none	81:93861..99797:-	none	none	none	none	none	none	none	100.7	MOBF		no_slot_defined
CP001166.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	238	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	89:99735..100703:-	none	154:161174..164674:+	154:161174..164674:+	none	none	none	none	none	none	none	none	none	none	157.6			no_slot_defined
CP001169.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	36	4	3	1	FA	medium	FA_orf13;FA_orf14;FA_orf15	FATA_cd419a	11:10778..13237:+	25:22995..24209:+	7:6922..9033:+	7:6922..9033:+	none	6:6195..6932:+	none	none	none	none	none	none	none	none	172.6	MOBC		no_slot_defined
CP001170.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	101	3	0	3	FATA	medium		FATA_cd419a;FATA_trsD;FATA_trsG	94:67537..69420:-	none	10:12245..13927:+	10:12245..13927:+	none	none	none	none	none	none	none	7:6880..8976:+	none	none	262.5	MOBQ		no_slot_defined
CP001179.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	248	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	102:95370..96338:+	none	38:33392..36892:-	38:33392..36892:-	none	none	none	none	none	none	none	none	none	none	157.6			no_slot_defined
CP001180.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	54	4	3	1	FA	medium	FA_orf13;FA_orf15;FA_orf17a	FATA_cd419a	12:12272..14830:+	none	none	7:6421..9144:+	none	8:9150..9992:+	none	none	none	none	none	none	none	none	95.8	MOBC		no_slot_defined
CP001770.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	169	2	0	2	FATA	minimal		FATA_cd419a;FATA_prgF	63:68031..70568:+	none	56:60379..62436:-	56:60379..62436:-	none	none	none	none	57:62591..63913:-	none	none	none	none	57:62591..63913:-	299.2	MOBP1;MOBV		no_slot_defined
CP002509.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	197	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a	122:103986..106526:-	73:60401..62737:-	131:117485..120559:-	131:117485..120559:-	none	none	none	none	none	none	none	none	none	none	140.1			no_slot_defined
CP002510.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	145	4	3	1	FA	medium	FA_orf13;FA_orf15;FA_orf17a	FATA_cd419a	52:51440..54022:+	none	none	45:45539..48316:+	none	46:48316..49170:+	none	none	32:32390..33328:-	none	none	none	none	none	93.9	MOBC;MOBP1		no_slot_defined
CP003690.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	98	4	3	1	FA	medium	FA_orf13;FA_orf15;FA_orf17a	FATA_cd419a	35:31805..34363:+	none	none	29:25458..28205:+	none	30:28211..29053:+	none	none	none	none	none	none	none	none	97.1	MOBC		no_slot_defined
CP003691.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	220	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	126:101541..103478:+	none	17:11536..14163:+	120:93252..95885:+	none	none	none	none	135:110465..112021:+	35:29477..31033:+	none	none	none	none	343.6	MOBP1;MOBP2		no_slot_defined
CP003692.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	174	3	1	2	FATA	medium	FA_orf14	FATA_cd419a;FATA_prgC	170:184263..185723:-	33:31309..31830:+	3:2935..5514:-	3:2935..5514:-	none	none	none	none	165:179904..181094:-	165:179904..181094:-	none	none	none	none	245.0	MOBP1;MOBP2		no_slot_defined
CP003693.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	296	3	1	2	FATA	medium	FA_orf14	FATA_cd419a;FATA_prgC	9:9396..10868:-	246:270416..271582:-	16:17816..20392:-	16:17816..20392:-	none	none	none	none	4:5037..6227:-	4:5037..6227:-	none	none	none	none	246.3	MOBP1;MOBP2		no_slot_defined
CP003694.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	421	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a	272:295252..297792:+	299:319105..320271:+	none	259:277007..280084:+	none	none	none	none	none	none	none	none	none	none	139.6			no_slot_defined
CP003748.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	220	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	102:95948..98047:-	none	144:137362..140811:+	144:137362..140811:+	none	none	none	none	none	none	none	none	none	none	328.3			no_slot_defined
CP006901.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	346	2	0	2	FATA	minimal		FATA_cd419a;FATA_prgIb	341:250606..252468:+	none	19:16192..17409:+	18:14132..16078:+	none	none	none	322:233460..234359:+	none	none	none	none	none	none	317.1	MOBH		no_slot_defined
CP009368.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	347	7	5	2	FA	high	FA_orf13;FA_orf14;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a;FATA_prgC	2:1851..4391:-	301:358443..359609:-	none	16:21056..24130:-	none	none	none	none	none	none	none	none	none	none	140.7			no_slot_defined
CP009417.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	761	2	0	2	FATA	minimal		FATA_cd419a;FATA_gbs1354	549:435803..437737:+	none	487:370966..373164:+	487:370966..373164:+	none	none	498:382738..385044:+	none	none	none	none	none	none	none	324.5	MOBF		no_slot_defined
CP009591.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	207	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a	61:57600..59657:-	29:30665..31831:-	77:77016..80090:-	77:77016..80090:-	none	none	none	none	none	none	none	none	none	none	134.7			no_slot_defined
CP009592.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	190	3	1	2	FATA	medium	FA_orf14	FATA_cd419a;FATA_prgF	30:28835..30934:+	none	185:182400..185729:-	185:182400..185729:-	none	none	none	none	none	none	none	none	none	none	324.4			no_slot_defined
CP009940.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	209	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a	40:47981..50038:+	72:75805..76971:+	24:27548..30622:+	24:27548..30622:+	none	none	none	none	none	none	none	none	none	none	134.7			no_slot_defined
CP013001.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	405	2	0	2	FATA	minimal		FATA_cd419a;FATA_prgC	177:150706..152802:+	none	none	141:117218..120040:-	none	224:220461..221048:+	none	none	none	none	none	none	none	none	319.8	MOBC		no_slot_defined
CP013960.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	47	7	0	7	FATA	high		FATA_prgF;FATA_trsC;FATA_trsD;FATA_trsF;FATA_trsG;FATA_trsJ;FATA_trsL	33:33500..35512:-	none	26:26381..28027:-	26:26381..28027:-	none	none	none	none	none	none	none	46:42641..43069:+	none	46:42641..43069:+	321.0	MOBQ;MOBV		no_slot_defined
CP014068.2	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	90	5	1	4	FATA	high	FA_orf15	FATA_cd419_1;FATA_cd419a;FATA_prgC;FATA_trsG	65:64023..66515:-	none	none	63:59487..61661:-	none	62:57937..58749:-	none	none	none	none	none	none	none	none	104.1	MOBC		no_slot_defined
CP014451.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	82	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	6:5275..7230:+	none	none	0:35..1117:+	none	none	none	none	13:11406..12560:+	13:11406..12560:+	none	none	none	none	319.8	MOBP1;MOBP2		no_slot_defined
CP015491.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	93	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	44:43274..45244:-	none	37:35777..38158:-	37:35777..38158:-	none	none	none	none	38:38188..39714:-	38:38188..39714:-	none	none	none	none	253.4	MOBP1;MOBP2		no_slot_defined
CP015592.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	411	8	6	2	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a;FATA_prgC	406:452995..455535:-	none	5:6682..9759:-	5:6682..9759:-	none	none	none	none	none	none	none	none	none	none	141.4			no_slot_defined
CP020439.2	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	232	3	0	3	FATA	medium		FATA_cd419a;FATA_gbs1369;FATA_prgB	93:85963..87924:-	none	none	161:148797..151835:-	none	none	none	none	none	none	none	none	none	none	124.8			no_slot_defined
CP020755.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	675	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	523:465795..466763:+	none	445:409096..410241:-	440:402383..403234:-	none	none	none	none	none	none	none	none	none	none	154.4			no_slot_defined
CP020756.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	216	5	0	5	FATA	high		FATA_cd419a;FATA_gbs1354;FATA_trsD;FATA_trsG;FATA_trsL	35:19704..20588:+	none	191:117861..119543:-	191:117861..119543:-	none	none	none	none	none	none	none	195:124298..124906:-	none	none	116.8	MOBQ		no_slot_defined
CP020758.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	125	5	0	5	FATA	high		FATA_cd419a;FATA_trsC;FATA_trsD;FATA_trsG;FATA_trsL	78:47865..49571:+	none	72:44246..45571:+	72:44246..45571:+	none	none	none	none	63:38652..39377:+	none	none	none	none	none	258.3	MOBP1		no_slot_defined
CP024685.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	446	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a	272:292433..294973:+	288:310425..311591:+	262:278503..281577:+	262:278503..281577:+	none	none	none	none	none	none	none	none	none	none	140.5			no_slot_defined
CP024686.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	292	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	285:303234..305171:-	94:100905..102071:+	290:309372..311942:-	290:309372..311942:-	none	59:70138..70755:-	none	none	280:298904..300097:-	280:298904..300097:-	none	none	none	none	321.5	MOBC;MOBP1;MOBP2		no_slot_defined
CP024687.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	278	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	31:30618..32555:+	245:227993..228730:+	24:22128..24755:+	24:22128..24755:+	none	246:228672..229247:+	none	none	none	38:36744..38300:+	none	none	none	none	334.6	MOBC;MOBP2		no_slot_defined
CP024688.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	152	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	80:75035..77134:-	none	118:113361..116864:+	118:113361..116864:+	none	none	none	none	none	none	none	none	none	none	325.5			no_slot_defined
CP024689.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	136	4	3	1	FA	medium	FA_orf13;FA_orf15;FA_orf17a	FATA_cd419a	18:17302..19860:+	122:113552..113935:+	none	13:13453..14445:+	none	14:14451..15293:+	none	none	none	none	none	none	none	none	96.6	MOBC		no_slot_defined
CP025942.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	32	5	4	1	FA	high	FA_orf13;FA_orf15;FA_orf17a;FA_orf17b	FATA_cd419a	30:21730..24276:-	none	none	6:2705..4795:-	none	none	none	none	none	none	none	none	none	none	124.1			no_slot_defined
CP028515.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	51	2	0	2	FATA	minimal		FATA_cd419a;FATA_trsD	29:33728..35992:-	none	17:18671..20317:-	17:18671..20317:-	none	18:20314..20931:-	none	none	none	none	none	none	none	none	256.8	MOBC		no_slot_defined
