accession	mpf_class	slot_anchor	slot_occupant_family	slot_occupant_coords	slot_occupant_aa	slot_family_bit	slot_status
AP026458.1	MPF_T	VirB5	Eex_IncN	18228..18455	75	69.5	eex_occupied
AP026466.1	MPF_T	VirB5	Eex_IncN	57136..57360	74	67.6	eex_occupied
AP026467.1	MPF_T	VirB5	Eex_IncN	18302..18529	75	69.5	eex_occupied
AP026474.1	MPF_T	VirB5	Eex_IncN	19306..19533	75	69.5	eex_occupied
AP026478.1	MPF_T	VirB5	Eex_IncN	19193..19420	75	69.5	eex_occupied
AP026481.1	MPF_T	VirB5	Eex_IncN	19306..19533	75	69.5	eex_occupied
AP026485.1	MPF_T	VirB5	Eex_IncN	10398..10625	75	69.5	eex_occupied
AP026490.1	MPF_T	VirB5	Eex_IncN	38660..38887	75	74.3	eex_occupied
AP026491.1	MPF_T	VirB5	Eex_IncN	18302..18529	75	69.5	eex_occupied
AP026498.1	MPF_T	VirB5	Eex_IncN	50203..50427	74	67.6	eex_occupied
AP026499.1	MPF_T	VirB5	Eex_IncN	19306..19533	75	69.5	eex_occupied
AP026506.1	MPF_T	VirB5	Eex_IncN	18302..18529	75	69.5	eex_occupied
AP026509.1	MPF_T	VirB5	Eex_IncN	18302..18529	75	69.5	eex_occupied
AP026512.1	MPF_T	VirB5	Eex_IncN	18265..18492	75	69.5	eex_occupied
AP026516.1	MPF_T	VirB5	Eex_IncN	18302..18529	75	69.5	eex_occupied
AP026522.1	MPF_T	VirB5	Eex_IncN	19304..19531	75	69.5	eex_occupied
AP026533.1	MPF_T	VirB5	Eex_IncN	19734..19961	75	69.5	eex_occupied
AP026741.1	MPF_T	VirB5		18380..19474	364		candidate
AP026900.1	MPF_T	VirB5	Eex_IncN	90805..91056	83	37.0	eex_occupied
AP026901.1	MPF_T	VirB5		89032..89304	90		candidate
AP027307.1	MPF_T	VirB5		163602..163910	102		candidate
AP027317.1	MPF_T	VirB5	Eex_IncN	33775..33993	72	42.9	eex_occupied
AP027326.1	MPF_T	VirB5		43258..43566	102		candidate
AP027343.1	MPF_T	VirB5	Eex_IncN	54914..55186	90	55.3	eex_occupied
AP027376.1	MPF_T	VirB5		48453..48887	144		candidate
AP027405.1	MPF_T	VirB5	Eex_IncN	15674..15901	75	70.7	eex_occupied
AP027406.1	MPF_T	VirB5	Eex_IncN	54850..55104	84	62.5	eex_occupied
AP027409.1	MPF_T	VirB5	Eex_IncN	20314..20541	75	69.5	eex_occupied
AP027410.1	MPF_T	VirB5	Eex_IncN	53587..53841	84	62.5	eex_occupied
AP027529.1	MPF_T	VirB5	Eex_IncN	3856..4080	74	68.1	eex_occupied
AP027530.1	MPF_T	VirB5	Eex_IncN	42225..42485	86	67.8	eex_occupied
AP027810.1	MPF_T	VirB5		29371..30465	364		candidate
AP027894.1	MPF_T	VirB5		28145..29239	364		candidate
AP027896.1	MPF_T	VirB5	Eex_IncN	38157..38417	86	67.8	eex_occupied
AP028203.1	MPF_T	VirB5		7277..7525	82		candidate
AP028486.1	MPF_T	VirB5	Eex_IncN	22549..22776	75	69.5	eex_occupied
AP028509.1	MPF_T	VirB5		16184..16603	139		candidate
AP029036.1	MPF_T	VirB5	Eex_IncN	105273..105521	82	57.4	eex_occupied
AP031458.1	MPF_T	VirB5		27777..28130	117		candidate
BN000925.1	MPF_T	VirB5	TrbK_RP4	27450..27659	69	75.8	eex_occupied
CM003353.1	MPF_T	VirB5		97296..97601	101		candidate
CM003354.1	MPF_T	VirB5	Eex_IncN	49590..49847	85	57.3	eex_occupied
CP000541.1	MPF_T	VirB5	TrbK_RP4	14883..15110	75	104.8	eex_occupied
CP000630.1	MPF_T	VirB5		123741..123959	72		candidate
CP000631.1	MPF_T	VirB5		48584..48781	65		candidate
CP000701.1	MPF_T	VirB5	Eex_IncN	123392..123610	72	39.9	eex_occupied
CP000782.1	MPF_T	VirB5	Eex_IncN	306027..306260	77	69.8	eex_occupied
CP001076.1	MPF_T	VirB5	Eex_IncN	181427..181660	77	74.5	eex_occupied
CP001077.1	MPF_T	VirB5	Eex_IncN	995831..996064	77	74.2	eex_occupied
CP001136.1	MPF_T	VirB5	Eex_IncN	7124..7384	86	71.9	eex_occupied
CP002030.1	MPF_T	VirB5		29003..29980	325		candidate
CP002151.1	MPF_T	VirB5	TrbK_RP4	10930..11139	69	75.8	eex_occupied
CP002152.1	MPF_T	VirB5	TrbK_RP4	10927..11136	69	75.8	eex_occupied
CP002153.1	MPF_T	VirB5	TrbK_RP4	10930..11139	69	75.8	eex_occupied
CP002166.1	MPF_T	VirB5		8127..8429	100		candidate
CP002245.1	MPF_T	VirB5		173930..174106	58		candidate
CP002441.1	MPF_T	VirB5		20285..21892	535		candidate
CP003042.1	MPF_T	VirB5		25412..25738	108		candidate
CP003090.1	MPF_T	VirB5		1744154..1744540	128		candidate
CP003092.1	MPF_T	VirB5		91721..91930	69		candidate
CP006582.2	MPF_T	VirB5		22329..23372	347		candidate
CP006657.1	MPF_T	VirB5	Eex_IncN	95937..96194	85	68.5	eex_occupied
CP007068.1	MPF_T	VirB5	Eex_IncN	813026..813259	77	74.6	eex_occupied
CP007070.1	MPF_T	VirB5		20880..21101	73		candidate
CP007238.1	MPF_T	VirB5		106984..107211	75		candidate
CP007643.1	MPF_T	VirB5	Eex_IncN	243052..243285	77	73.1	eex_occupied
CP007645.1	MPF_T	VirB5	Eex_IncN	276171..276404	77	60.4	eex_occupied
CP009851.1	MPF_T	VirB5	Eex_IncN	25061..25345	94	54.6	eex_occupied
CP009853.1	MPF_T	VirB5	Eex_IncN	16828..17055	75	69.5	eex_occupied
CP009858.1	MPF_T	VirB5	Eex_IncN	16828..17055	75	69.5	eex_occupied
CP009867.1	MPF_T	VirB5	Eex_IncN	20496..20723	75	69.5	eex_occupied
CP009869.1	MPF_T	VirB5		310670..310996	108		candidate
CP009881.1	MPF_T	VirB5	Eex_IncN	16828..17055	75	69.5	eex_occupied
CP009883.1	MPF_T	VirB5		4379..4705	108		candidate
CP010856.1	MPF_T	VirB5		74933..75589	218		candidate
CP010861.1	MPF_T	VirB5		62630..63286	218		candidate
CP011635.1	MPF_T	VirB5		131353..131679	108		candidate
CP011992.1	MPF_T	VirB5	Eex_IncN	31285..31542	85	67.6	eex_occupied
CP014330.2	MPF_T	VirB5	Eex_IncN	31241..31477	78	67.5	eex_occupied
CP016609.1	MPF_T	VirB5	Eex_IncN	2224..2538	104	66.4	eex_occupied
CP018090.1	MPF_T	VirB5	Eex_IncN	26271..26507	78	70.5	eex_occupied
CP018959.1	MPF_T	VirB5	Eex_IncN	29113..29340	75	69.5	eex_occupied
CP020527.1	MPF_T	VirB5	Eex_IncN	11674..11901	75	70.7	eex_occupied
CP021115.1	MPF_T	VirB5		65308..65961	217		candidate
CP021117.1	MPF_T	VirB5		117387..118052	221		candidate
CP021182.1	MPF_T	VirB5	Eex_IncN	102356..102568	70	35.4	eex_occupied
CP021184.1	MPF_T	VirB5	Eex_IncN	58986..59243	85	57.0	eex_occupied
CP021375.1	MPF_T	VirB5		203190..203423	77		candidate
CP021899.1	MPF_T	VirB5	Eex_IncN	39703..39930	75	70.7	eex_occupied
CP021901.1	MPF_T	VirB5	Eex_IncN	13917..14174	85	67.6	eex_occupied
CP022245.1	MPF_T	VirB5		14370..14936	188		candidate
CP022246.1	MPF_T	VirB5		34184..34750	188		candidate
CP022483.1	MPF_T	VirB5		41594..41722	42		candidate
CP022767.1	MPF_T	VirB5		41078..41206	42		candidate
CP024820.1	MPF_T	VirB5	Eex_IncN	20645..20902	85	67.6	eex_occupied
CP025215.1	MPF_T	VirB5		16174..17229	351		candidate
CP025875.1	MPF_T	VirB5		24231..25325	364		candidate
CP025879.1	MPF_T	VirB5	Eex_IncN	25430..25717	95	72.8	eex_occupied
CP025925.1	MPF_T	VirB5		27034..28128	364		candidate
CP026196.1	MPF_T	VirB5		139111..139437	108		candidate
CP026274.1	MPF_T	VirB5	Eex_IncN	214905..215132	75	69.5	eex_occupied
CP026277.1	MPF_T	VirB5	Eex_IncN	46247..46474	75	69.5	eex_occupied
CP026279.1	MPF_T	VirB5	Eex_IncN	13893..14135	80	64.7	eex_occupied
CP027617.1	MPF_T	VirB5	Eex_IncN	6677..6919	80	64.7	eex_occupied
CP027700.1	MPF_T	VirB5	Eex_IncN	36234..36491	85	72.7	eex_occupied
CP028182.1	MPF_T	VirB5	Eex_IncN	39084..39341	85	67.6	eex_occupied
CP028705.1	MPF_T	VirB5	Eex_IncN	22086..22343	85	67.6	eex_occupied
CP029841.1	MPF_T	VirB5	Eex_IncN	109557..109784	75	74.3	eex_occupied
CP030160.1	MPF_T	VirB5		24857..25069	70		candidate
CP030162.1	MPF_T	VirB5		99560..99772	70		candidate
CP030167.1	MPF_T	VirB5		24727..24939	70		candidate
CP030168.1	MPF_T	VirB5		43528..43881	117		candidate
CP030170.1	MPF_T	VirB5		50582..50794	70		candidate
CP030179.1	MPF_T	VirB5		95660..95872	70		candidate
CP030195.1	MPF_T	VirB5	Eex_IncN	26910..27197	95	73.0	eex_occupied
CP030802.1	MPF_T	VirB5		47117..48064	315		candidate
CP030830.1	MPF_T	VirB5		374863..375069	68		candidate
CP030832.1	MPF_T	VirB5		192913..194091	392		candidate
CP031373.2	MPF_T	VirB5	Eex_IncN	3989..4246	85	67.6	eex_occupied
CP031589.1	MPF_T	VirB5		53587..54240	217		candidate
CP031590.1	MPF_T	VirB5	Eex_IncN	55392..55655	87	65.1	eex_occupied
CP031591.1	MPF_T	VirB5		99777..100454	225		candidate
CP031592.1	MPF_T	VirB5		76741..77250	169		candidate
CP031755.1	MPF_T	VirB5	Eex_IncN	43562..43819	85	59.9	eex_occupied
CP033548.1	MPF_T	VirB5	Eex_IncN	5296..5625	109	33.3	eex_occupied
CP034075.1	MPF_T	VirB5	Eex_IncN	31127..31411	94	71.9	eex_occupied
CP034323.1	MPF_T	VirB5	Eex_IncN	41049..41306	85	67.6	eex_occupied
CP034356.1	MPF_T	VirB5	Eex_IncN	95491..95709	72	38.0	eex_occupied
CP034398.1	MPF_T	VirB5	Eex_IncN	30295..30537	80	64.7	eex_occupied
CP034400.1	MPF_T	VirB5	Eex_IncN	12996..13250	84	62.5	eex_occupied
CP035638.1	MPF_T	VirB5		21843..23447	534		candidate
CP035775.1	MPF_T	VirB5		12106..13185	359		candidate
CP035910.1	MPF_T	VirB5	Eex_IncN	10552..10809	85	67.6	eex_occupied
CP036400.2	MPF_T	VirB5	Eex_IncN	27074..27301	75	69.5	eex_occupied
CP038200.1	MPF_T	VirB5		5760..6464	234		candidate
CP038202.1	MPF_T	VirB5		1391362..1391724	120		candidate
CP039389.1	MPF_T	VirB5	Eex_IncN	32780..33037	85	68.5	eex_occupied
CP039587.1	MPF_T	VirB5	Eex_IncN	37300..37536	78	68.5	eex_occupied
CP039913.1	MPF_T	VirB5	Eex_IncN	185264..185497	77	70.1	eex_occupied
CP039914.1	MPF_T	VirB5	Eex_IncN	32506..32787	93	77.3	eex_occupied
CP039918.1	MPF_T	VirB5	Eex_IncN	10854..11084	76	72.8	eex_occupied
CP039919.1	MPF_T	VirB5		130908..131135	75		candidate
CP040178.1	MPF_T	VirB5	Eex_IncN	53166..53393	75	69.5	eex_occupied
CP040446.1	MPF_T	VirB5	Eex_IncN	38461..38718	85	67.6	eex_occupied
CP040826.1	MPF_T	VirB5	Eex_IncN	7762..8004	80	64.7	eex_occupied
CP041053.1	MPF_T	VirB5	Eex_IncN	8381..8638	85	67.6	eex_occupied
CP041205.1	MPF_T	VirB5	Eex_IncN	473547..473780	77	72.8	eex_occupied
CP041938.1	MPF_T	VirB5	Eex_IncN	55100..55357	85	67.6	eex_occupied
CP042602.1	MPF_T	VirB5		17266..18501	411		candidate
CP042607.1	MPF_T	VirB5		22864..22980	38		candidate
CP042643.1	MPF_T	VirB5	Eex_IncN	18055..18282	75	70.7	eex_occupied
CP042644.1	MPF_T	VirB5					unresolved
CP042647.1	MPF_T	VirB5		17488..17718	76		candidate
CP043014.1	MPF_T	VirB5	Eex_IncN	36898..37122	74	67.6	eex_occupied
CP043017.1	MPF_T	VirB5	Eex_IncN	55879..56133	84	62.5	eex_occupied
CP043604.1	MPF_T	VirB5	Eex_IncN	24940..25197	85	67.6	eex_occupied
CP044008.1	MPF_T	VirB5	Eex_IncN	5262..5546	94	54.6	eex_occupied
CP044026.1	MPF_T	VirB5		12780..13127	115		candidate
CP044027.1	MPF_T	VirB5	Eex_IncN	924..1151	75	79.2	eex_occupied
CP044166.1	MPF_T	VirB5		153736..154734	332		candidate
CP044292.1	MPF_T	VirB5	Eex_IncN	32906..33166	86	67.8	eex_occupied
CP044383.1	MPF_T	VirB5		10929..12488	519		candidate
CP046494.1	MPF_T	VirB5	Eex_IncN	19355..19654	99	45.2	eex_occupied
CP046499.1	MPF_T	VirB5		11429..11767	112		candidate
CP046501.1	MPF_T	VirB5		6844..7182	112		candidate
CP046892.1	MPF_T	VirB5	Eex_IncN	33763..34020	85	67.6	eex_occupied
CP046894.1	MPF_T	VirB5		42146..42466	106		candidate
CP047083.1	MPF_T	VirB5	Eex_IncN	10700..10978	92	57.1	eex_occupied
CP047084.1	MPF_T	VirB5		17304..18302	332		candidate
CP047287.1	MPF_T	VirB5		12440..13444	334		candidate
CP047483.1	MPF_T	VirB5		34603..35601	332		candidate
CP047611.1	MPF_T	VirB5	Eex_IncN	9922..10146	74	71.0	eex_occupied
CP047612.1	MPF_T	VirB5		29790..30869	359		candidate
CP047775.1	MPF_T	VirB5	Eex_IncN	48771..48998	75	69.5	eex_occupied
CP048291.1	MPF_T	VirB5	Eex_IncN	37391..37678	95	73.2	eex_occupied
CP048471.1	MPF_T	VirB5		357543..357818	91		candidate
CP048487.1	MPF_T	VirB5	Eex_IncN	76947..77180	77	73.9	eex_occupied
CP048491.1	MPF_T	VirB5	Eex_IncN	117223..117456	77	75.0	eex_occupied
CP048549.1	MPF_T	VirB5	Eex_IncN	76947..77180	77	73.9	eex_occupied
CP048927.1	MPF_T	VirB5	Eex_IncN	3524..3751	75	74.3	eex_occupied
CP049307.1	MPF_T	VirB5		268617..268943	108		candidate
CP049311.1	MPF_T	VirB5		79587..79913	108		candidate
CP049735.2	MPF_T	VirB5		148635..148835	66		candidate
CP049982.1	MPF_T	VirB5	Eex_IncN	31425..31652	75	74.3	eex_occupied
CP049987.1	MPF_T	VirB5	Eex_IncN	30071..30298	75	74.3	eex_occupied
CP050294.1	MPF_T	VirB5		271348..272391	347		candidate
CP050295.1	MPF_T	VirB5		415934..416125	63		candidate
CP050513.1	MPF_T	VirB5	Eex_IncN	1023030..1023245	71	67.1	eex_occupied
CP050515.1	MPF_T	VirB5	Eex_IncN	963043..963276	77	72.8	eex_occupied
CP050564.1	MPF_T	VirB5		14037..14210	57		candidate
CP050684.1	MPF_T	VirB5		29833..30825	330		candidate
CP050859.2	MPF_T	VirB5	Eex_IncN	17368..17595	75	69.5	eex_occupied
CP052170.1	MPF_T	VirB5	Eex_IncN	21025..21282	85	67.6	eex_occupied
CP052359.1	MPF_T	VirB5	Eex_IncN	22440..22667	75	69.5	eex_occupied
CP052394.1	MPF_T	VirB5	Eex_IncN	28068..28295	75	69.5	eex_occupied
CP052433.1	MPF_T	VirB5	Eex_IncN	19635..19862	75	69.5	eex_occupied
CP052446.1	MPF_T	VirB5	Eex_IncN	20717..20944	75	69.5	eex_occupied
CP052480.1	MPF_T	VirB5	Eex_IncN	10064..10288	74	83.0	eex_occupied
CP052507.1	MPF_T	VirB5	Eex_IncN	21025..21282	85	67.6	eex_occupied
CP052768.1	MPF_T	VirB5	Eex_IncN	17460..17717	85	67.6	eex_occupied
CP052790.1	MPF_T	VirB5		11898..12992	364		candidate
CP052800.1	MPF_T	VirB5		30067..31146	359		candidate
CP052872.1	MPF_T	VirB5	Eex_IncN	8523..8750	75	69.5	eex_occupied
CP053405.1	MPF_T	VirB5	Eex_IncN	7248..7517	89	55.5	eex_occupied
CP053703.1	MPF_T	VirB5	Eex_IncN	11296..11523	75	69.5	eex_occupied
CP053916.1	MPF_T	VirB5		45737..46075	112		candidate
CP054320.1	MPF_T	VirB5	Eex_IncN	7735..8019	94	71.8	eex_occupied
CP054423.1	MPF_T	VirB5	Eex_IncN	31132..31416	94	71.9	eex_occupied
CP054716.1	MPF_T	VirB5		23104..23463	119		candidate
CP055459.1	MPF_T	VirB5	Eex_IncN	27427..27654	75	69.5	eex_occupied
CP055705.1	MPF_T	VirB5	Eex_IncN	39042..39269	75	72.7	eex_occupied
CP055715.1	MPF_T	VirB5	Eex_IncN	17226..17510	94	70.4	eex_occupied
CP056027.1	MPF_T	VirB5		11139..11462	107		candidate
CP056177.1	MPF_T	VirB5	Eex_IncN	38297..38590	97	47.0	eex_occupied
CP056317.1	MPF_T	VirB5	Eex_IncN	27367..27594	75	69.5	eex_occupied
CP056464.1	MPF_T	VirB5	Eex_IncN	38297..38590	97	47.0	eex_occupied
CP056496.1	MPF_T	VirB5		64191..64517	108		candidate
CP056572.1	MPF_T	VirB5		8036..8380	114		candidate
CP056627.1	MPF_T	VirB5	Eex_IncN	77898..78140	80	79.5	eex_occupied
CP056799.1	MPF_T	VirB5	TrbK_RP4	11028..11201	57	26.1	eex_occupied
CP056820.1	MPF_T	VirB5	Eex_IncN	16571..16858	95	74.5	eex_occupied
CP056866.1	MPF_T	VirB5	Eex_IncN	11507..11764	85	67.6	eex_occupied
CP056923.1	MPF_T	VirB5	Eex_IncN	52676..52900	74	67.6	eex_occupied
CP056930.1	MPF_T	VirB5	Eex_IncN	52680..52904	74	67.6	eex_occupied
CP056978.1	MPF_T	VirB5	Eex_IncN	13485..13712	75	70.7	eex_occupied
CP057048.1	MPF_T	VirB5		35650..36261	203		candidate
CP057053.1	MPF_T	VirB5		1973..2584	203		candidate
CP057056.1	MPF_T	VirB5	Eex_IncN	21662..21946	94	54.6	eex_occupied
CP057077.1	MPF_T	VirB5	Eex_IncN	13955..14182	75	70.7	eex_occupied
CP057089.1	MPF_T	VirB5	Eex_IncN	22192..22419	75	70.7	eex_occupied
CP057157.1	MPF_T	VirB5		14062..14673	203		candidate
CP057161.1	MPF_T	VirB5		28804..29898	364		candidate
CP057196.1	MPF_T	VirB5	Eex_IncN	54646..54930	94	54.0	eex_occupied
CP057236.1	MPF_T	VirB5	Eex_IncN	22186..22413	75	74.3	eex_occupied
CP057326.1	MPF_T	VirB5	Eex_IncN	1530..1748	72	58.7	eex_occupied
CP057370.1	MPF_T	VirB5	Eex_IncN	20871..21155	94	71.8	eex_occupied
CP057373.1	MPF_T	VirB5	Eex_IncN	3207..3467	86	67.8	eex_occupied
CP057409.1	MPF_T	VirB5	Eex_IncN	14362..14589	75	70.7	eex_occupied
CP057443.1	MPF_T	VirB5	Eex_IncN	14361..14645	94	70.4	eex_occupied
CP057472.1	MPF_T	VirB5	Eex_IncN	24123..24410	95	74.5	eex_occupied
CP057478.1	MPF_T	VirB5	Eex_IncN	50475..50729	84	68.6	eex_occupied
CP057489.1	MPF_T	VirB5	Eex_IncN	20831..21115	94	70.4	eex_occupied
CP057511.1	MPF_T	VirB5	Eex_IncN	13816..14043	75	70.7	eex_occupied
CP057528.1	MPF_T	VirB5	Eex_IncN	52506..52730	74	67.6	eex_occupied
CP057529.1	MPF_T	VirB5		29820..30914	364		candidate
CP057548.1	MPF_T	VirB5	Eex_IncN	52506..52730	74	67.6	eex_occupied
CP057579.1	MPF_T	VirB5		24226..25305	359		candidate
CP057707.1	MPF_T	VirB5	Eex_IncN	51117..51371	84	62.5	eex_occupied
CP057749.1	MPF_T	VirB5	Eex_IncN	39042..39269	75	72.7	eex_occupied
CP057780.1	MPF_T	VirB5	TrbK_RP4	1745..1918	57	26.1	eex_occupied
CP057806.1	MPF_T	VirB5	Eex_IncN	33319..33546	75	74.3	eex_occupied
CP057810.1	MPF_T	VirB5	Eex_IncN	33324..33551	75	74.3	eex_occupied
CP057904.1	MPF_T	VirB5	Eex_IncN	19904..20191	95	72.8	eex_occupied
CP057914.1	MPF_T	VirB5	Eex_IncN	7224..7511	95	72.8	eex_occupied
CP057938.1	MPF_T	VirB5	Eex_IncN	23276..23560	94	70.4	eex_occupied
CP057948.1	MPF_T	VirB5	Eex_IncN	51326..51580	84	62.6	eex_occupied
CP057954.1	MPF_T	VirB5	Eex_IncN	49136..49390	84	62.5	eex_occupied
CP057999.1	MPF_T	VirB5		29526..30137	203		candidate
CP058017.1	MPF_T	VirB5	Eex_IncN	23636..23923	95	72.8	eex_occupied
CP058067.1	MPF_T	VirB5	Eex_IncN	34085..34312	75	72.7	eex_occupied
CP058085.1	MPF_T	VirB5		29439..30518	359		candidate
CP058779.1	MPF_T	VirB5	Eex_IncN	31955..32215	86	67.8	eex_occupied
CP059361.1	MPF_T	VirB5		29337..30332	331		candidate
CP059363.1	MPF_T	VirB5		10673..11671	332		candidate
CP059367.1	MPF_T	VirB5		12464..13462	332		candidate
CP059370.1	MPF_T	VirB5	Eex_IncN	33554..33823	89	59.5	eex_occupied
CP059928.1	MPF_T	VirB5		27497..28576	359		candidate
CP060651.1	MPF_T	VirB5		64049..64375	108		candidate
CP060660.1	MPF_T	VirB5		64049..64375	108		candidate
CP060663.1	MPF_T	VirB5		64049..64375	108		candidate
CP061215.1	MPF_T	VirB5	Eex_IncN	42715..42999	94	71.8	eex_occupied
CP061774.1	MPF_T	VirB5		166905..167132	75		candidate
CP061776.1	MPF_T	VirB5		8356..9537	393		candidate
CP063084.1	MPF_T	VirB5		284..1261	325		candidate
CP063167.1	MPF_T	VirB5		1059174..1060220	348		candidate
CP063721.1	MPF_T	VirB5		11945..13039	364		candidate
CP063755.1	MPF_T	VirB5	Eex_IncN	75247..75474	75	74.3	eex_occupied
CP063758.1	MPF_T	VirB5	Eex_IncN	4142..4369	75	74.3	eex_occupied
CP064039.1	MPF_T	VirB5		55105..56052	315		candidate
CP066116.1	MPF_T	VirB5		248940..249266	108		candidate
CP066261.1	MPF_T	VirB5	Eex_IncN	40677..40919	80	64.7	eex_occupied
CP066331.1	MPF_T	VirB5	Eex_IncN	22187..22414	75	74.3	eex_occupied
CP067096.1	MPF_T	VirB5	Eex_IncN	63274..63501	75	69.5	eex_occupied
CP067444.1	MPF_T	VirB5	Eex_IncN	45889..46131	80	64.7	eex_occupied
CP067446.1	MPF_T	VirB5	Eex_IncN	6742..6999	85	67.6	eex_occupied
CP067462.1	MPF_T	VirB5	Eex_IncN	6742..6999	85	67.6	eex_occupied
CP067471.1	MPF_T	VirB5	Eex_IncN	31285..31542	85	67.6	eex_occupied
CP067482.1	MPF_T	VirB5	Eex_IncN	31007..31234	75	69.5	eex_occupied
CP067487.1	MPF_T	VirB5	Eex_IncN	6742..6999	85	67.6	eex_occupied
CP067493.1	MPF_T	VirB5	Eex_IncN	32973..33230	85	67.6	eex_occupied
CP067498.1	MPF_T	VirB5	Eex_IncN	31285..31542	85	67.6	eex_occupied
CP067523.1	MPF_T	VirB5	Eex_IncN	31285..31542	85	67.6	eex_occupied
CP067528.1	MPF_T	VirB5	Eex_IncN	6742..6999	85	67.6	eex_occupied
CP067540.1	MPF_T	VirB5	Eex_IncN	31285..31542	85	67.6	eex_occupied
CP067547.1	MPF_T	VirB5	Eex_IncN	31285..31542	85	67.6	eex_occupied
CP067554.1	MPF_T	VirB5	Eex_IncN	3352..3588	78	65.6	eex_occupied
CP067560.1	MPF_T	VirB5	Eex_IncN	54987..55229	80	64.7	eex_occupied
CP067570.1	MPF_T	VirB5	Eex_IncN	31285..31542	85	67.6	eex_occupied
CP067597.1	MPF_T	VirB5	Eex_IncN	31285..31542	85	67.6	eex_occupied
CP067602.1	MPF_T	VirB5	Eex_IncN	31285..31542	85	67.6	eex_occupied
CP067619.1	MPF_T	VirB5	Eex_IncN	31144..31401	85	67.6	eex_occupied
